POW_LGA_CODE_2021,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
LGA50080,4,0,0,0,0,0,0,4,12,11,14,5,6,3,0,50,12,12,16,3,7,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,4,3,0,23,9,0,0,4,4,3,0,23,8,26,73,75,108,101,38,437,165,94,94,115,167,66,19,725,12,5,8,8,4,5,5,49,1199,1295,1358,1548,1556,578,122,7649,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,15,715,979,1242,1566,1254,255,17,6022,222,50,61,60,46,17,0,455,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,0,0,6,0,0,0,16,4,4,5,3,6,5,0,24,28,20,28,43,41,23,0,178,982,1056,1342,1692,1352,297,22,6738,0,0,0,0,0,0,0,0
LGA50210,3,0,0,0,0,0,0,5,17,18,16,14,4,0,0,73,43,26,26,14,8,5,0,125,7,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,17,10,13,4,0,0,0,48,26,16,12,4,0,0,0,60,14,58,113,119,118,64,21,500,296,149,97,94,106,44,7,802,12,10,14,11,3,4,4,60,1713,2032,1949,1630,1310,464,78,9185,9,18,3,8,10,0,0,49,27,16,11,3,13,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,5,0,4,0,0,33,1219,1849,1974,1755,1159,259,13,8222,291,86,64,59,62,29,0,599,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,14,8,7,13,3,5,0,0,38,35,26,26,23,35,12,0,155,1609,2012,2094,1873,1290,300,17,9201,12,11,8,3,0,0,0,33
LGA50250,19,37,64,43,18,4,0,177,18,68,71,49,37,0,0,247,33,107,136,97,53,9,0,432,4,3,3,0,3,0,0,12,8,34,47,27,18,0,0,130,3,29,48,31,12,0,0,126,16,71,93,62,32,4,0,272,7,26,45,24,18,0,5,121,135,689,860,821,550,102,0,3154,9,28,14,15,16,0,3,88,575,2482,2941,2706,1774,271,15,10760,0,0,3,0,0,0,0,0,47,109,105,121,71,7,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,9,66,200,201,140,87,20,0,708,39,60,32,29,17,5,0,179,6,6,4,3,0,0,0,17,0,0,0,0,0,0,0,7,3,12,16,8,0,0,0,38,47,102,52,63,39,10,0,311,51,99,58,51,61,12,0,324,265,594,471,401,281,42,4,2060,0,0,0,0,3,0,0,3
LGA50280,0,0,0,0,0,0,0,0,4,3,0,3,3,0,0,19,9,3,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,26,73,90,92,85,23,390,72,43,49,44,53,36,6,298,5,7,3,0,3,3,0,30,395,512,635,635,551,274,49,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,321,573,518,378,86,0,2029,79,23,19,22,5,6,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,9,0,0,0,26,0,3,4,0,0,5,0,14,34,19,35,29,37,0,6,163,255,375,635,581,428,104,13,2391,0,0,0,0,0,0,0,0
LGA50350,0,0,0,0,0,0,0,0,0,6,5,4,3,0,0,19,7,14,11,6,15,3,0,66,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,17,14,8,5,0,3,0,0,26,4,22,41,37,39,17,3,160,48,40,28,13,30,22,3,195,3,4,0,4,0,0,0,16,557,781,930,801,685,201,15,3978,4,3,0,3,0,0,0,21,3,4,10,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,12,190,301,376,400,301,69,0,1640,55,15,8,27,20,4,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,11,4,0,3,11,5,10,0,29,264,329,411,446,326,82,6,1858,8,4,5,0,0,0,0,20
LGA50420,16,3,9,0,0,0,0,29,20,23,11,12,13,6,0,76,53,33,27,28,18,0,0,165,3,4,0,6,0,0,0,11,3,0,0,0,0,0,0,3,17,12,10,0,7,0,0,52,26,20,10,0,8,0,0,73,12,65,161,135,111,79,19,577,277,139,111,110,91,47,11,777,10,16,9,12,8,4,0,56,1878,2224,2207,2035,1701,628,95,10771,17,23,4,0,0,0,0,48,95,54,34,24,16,10,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,8,8,3,0,0,52,1012,1482,1559,1563,1198,289,26,7126,278,124,81,78,55,27,8,650,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,5,6,4,4,0,0,16,0,7,13,3,4,0,0,29,28,27,31,18,25,5,0,134,1443,1736,1732,1702,1303,335,27,8288,20,17,11,6,0,0,0,58
LGA50490,13,23,13,7,0,0,0,54,32,63,47,37,34,5,0,220,61,109,84,62,44,14,0,375,9,12,8,0,5,0,0,31,0,0,0,5,0,0,0,8,25,66,53,31,13,3,0,191,32,79,59,34,22,3,0,231,25,162,298,257,173,67,13,995,400,699,725,521,470,117,21,2957,18,30,19,18,9,0,3,97,3041,6898,7483,6030,4392,1062,117,29015,8,13,7,13,0,0,0,40,94,78,51,30,22,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33,11,9,7,0,0,78,1527,3023,2827,2576,1687,340,18,12003,273,191,131,119,97,22,0,832,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,4,6,3,3,0,0,0,0,15,11,20,19,11,6,0,0,75,28,30,20,17,16,7,0,122,1968,3390,3076,2792,1841,384,22,13469,32,20,19,10,7,0,0,91
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,10,19,12,0,51,3,0,0,0,7,9,3,22,0,0,0,0,0,0,0,3,21,30,36,51,56,50,12,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,29,24,28,13,0,118,0,0,6,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,13,4,21,32,31,34,12,0,140,0,0,0,0,0,0,0,0
LGA50630,0,7,13,9,4,5,0,33,0,4,5,0,0,0,0,12,0,11,16,18,5,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,5,4,4,3,24,18,107,143,114,84,11,0,468,4,0,4,0,0,0,0,12,96,366,479,489,331,57,14,1840,0,0,0,0,0,0,0,0,0,0,8,15,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,75,71,54,12,0,308,4,0,4,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,11,3,3,5,9,0,0,30,45,73,97,92,73,11,4,394,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,24,25,21,24,12,117,3,4,0,5,4,6,0,21,0,0,0,0,0,0,0,3,40,31,47,81,79,45,27,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,38,43,28,0,5,150,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,9,22,21,40,54,30,4,5,172,0,0,0,0,0,0,0,0
