POW_LGA_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
LGA50080,0,0,0,21,8,0,0,0,0,10,119,10,13,4,0,149,42,3,4,4,8,67,5933,567,895,172,84,7649,5662,198,517,164,46,6585,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,34,26,0,3,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,43,4,5,3,0,63,0,0,0,0,0,0,7,0,0,0,0,7,32,4,0,0,0,43,20,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,10,5,0,0,0,16,7,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,22,4,0,0,0,0,4,35,5,3,0,0,40,168,7,10,0,6,187,0,0,0,0,0,0,203,0,3,0,0,210,10,0,0,0,0,10,14,0,3,0,0,15,137,3,15,0
LGA50210,5,0,0,50,23,0,10,0,4,38,377,50,55,10,0,494,26,4,0,0,5,36,7106,928,990,106,53,9185,6497,239,446,77,19,7278,11,0,0,0,0,12,13,0,0,0,0,15,27,3,3,0,0,38,93,17,17,5,0,136,9,0,0,0,0,12,7,0,0,0,0,7,7,0,0,0,0,7,41,4,0,0,0,43,0,0,0,0,0,0,14,0,4,0,0,15,515,32,49,11,14,615,66,5,10,0,0,78,19,0,5,0,0,24,8,0,0,0,0,12,53,0,7,0,0,62,13,9,3,0,3,26,19,0,3,0,0,22,27,9,3,0,0,34,0,0,0,0,0,6,145,11,25,0,3,182,11,0,0,0,0,21,32,3,6,5,0,40,349,13,35,0,5,404,23,3,3,0,0,29,242,3,5,0,3,255,11,0,3,0,0,19,103,6,10,0,0,116,215,8,22,4
LGA50250,0,0,0,35,12,0,0,0,0,11,496,5,0,0,6,503,50,0,3,0,4,55,10508,130,77,9,38,10760,1839,22,45,13,9,1930,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,12,11,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,7,19,0,0,0,0,24,24,0,0,0,0,20,5,0,0,0,0,5,0,0,0,0,0,0,30,0,3,0,0,33,8,0,0,0,0,8,7,0,0,0,0,7,7,0,0,0,0,8,0,0,0,0,0,0,15,4,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,7,290,0,7,0,3,301,0,0,0,0,0,4,76,0,0,0,0,77,5,0,0,0,0,5,13,0,0,0,0,13,38,0,0,0
LGA50280,9,0,0,30,3,3,3,0,0,9,145,12,18,0,0,173,21,3,4,5,0,30,1942,365,585,120,45,3057,1808,139,300,85,18,2351,4,0,0,0,0,4,0,0,0,0,0,0,22,4,3,0,0,30,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,11,0,0,38,0,0,0,0,0,0,4,0,4,0,0,9,9,0,0,0,0,9,15,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,15,24,0,0,0,0,29,14,0,0,0,0,17,8,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,11,0,5,0,0,16,84,3,14,8,0,108,0,0,0,0,0,0,45,0,0,0,0,41,0,0,5,0,0,0,5,0,0,0,0,3,36,0,5,3
LGA50350,0,0,0,9,60,3,8,0,0,76,252,16,23,0,0,292,11,0,0,0,0,10,3389,279,253,16,27,3978,1253,70,114,19,6,1453,3,0,0,0,0,3,8,0,0,0,0,8,5,0,0,0,0,10,31,3,5,4,0,42,5,0,0,0,0,5,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,5,53,3,3,0,0,58,12,0,0,0,0,10,9,0,0,0,0,9,0,0,0,0,0,0,21,5,0,0,0,26,11,0,4,0,0,15,6,0,0,0,0,6,6,0,0,0,0,9,0,0,0,0,0,0,26,0,5,4,0,37,7,0,0,0,0,7,0,0,0,0,0,0,87,3,0,0,0,93,0,0,0,0,0,0,54,0,4,0,0,57,11,0,0,0,0,8,14,0,0,0,0,12,42,0,0,0
LGA50420,3,0,0,48,154,27,51,10,8,244,608,86,111,12,7,825,31,0,3,0,0,41,8122,1249,1206,126,79,10771,5427,265,428,67,25,6208,10,0,0,0,0,17,14,0,0,0,0,13,33,0,5,0,0,36,177,23,20,7,0,230,16,0,3,0,0,23,5,0,0,0,0,4,9,0,0,0,0,9,29,5,3,0,0,40,6,0,3,0,0,10,45,6,3,4,0,61,367,9,18,4,3,409,60,0,9,0,0,68,35,3,4,0,0,45,10,4,0,0,0,14,74,0,9,0,0,85,76,3,9,5,4,93,36,0,4,0,0,39,48,0,6,3,0,58,3,0,0,0,0,7,154,5,7,0,0,170,64,0,3,0,0,67,8,0,5,0,0,10,245,11,23,0,0,284,10,3,0,0,0,14,282,0,5,0,0,290,55,5,6,0,0,64,70,0,6,0,0,77,132,9,16,4
LGA50490,3,0,0,126,185,20,14,3,0,220,2150,87,100,13,14,2358,64,3,10,4,5,86,26513,1289,984,105,126,29015,8988,164,186,40,30,9410,37,0,0,0,0,37,42,0,0,0,0,45,45,0,0,0,0,41,295,19,23,9,5,345,19,0,0,0,0,19,15,0,0,0,0,17,20,0,0,0,0,27,65,0,0,0,0,73,4,0,0,0,0,4,47,6,4,0,0,60,573,6,17,3,5,604,180,3,5,6,0,190,53,0,0,0,0,58,15,0,0,0,0,15,122,4,4,0,0,130,65,5,0,0,0,67,74,0,0,0,0,74,46,0,9,0,0,61,3,0,0,0,0,12,301,6,12,4,0,327,66,0,0,0,0,72,22,0,0,0,0,26,823,11,10,0,6,851,43,0,3,0,0,52,518,9,15,0,0,540,69,3,3,0,0,75,153,7,7,0,0,163,318,10,8,4
LGA50560,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,12,3,0,5,0,0,8,115,47,62,25,9,262,100,11,27,16,8,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA50630,0,0,0,3,0,0,0,0,0,0,51,0,0,0,0,51,13,0,0,0,0,12,1736,41,43,12,11,1840,372,3,21,11,0,409,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,47,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,149,39,95,64,8,355,157,15,45,35,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
