POW_LGA_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
LGA50080,0,4,0,0,4,49,42,3,4,94,328,872,45,24,1266,675,405,32,37,1149,737,406,86,25,1255,808,480,91,23,1400,813,592,51,29,1485,902,588,55,15,1556,1084,582,53,25,1742,1123,593,92,34,1851,985,612,112,16,1725,752,700,109,20,1589,287,372,49,10,715,106,204,26,9,337,40,103,23,12,170,8635,6516,818,270,16248
LGA50210,0,0,0,0,0,76,47,3,18,144,283,1416,53,24,1780,925,1020,62,48,2055,1367,689,115,56,2224,1425,856,127,43,2452,1381,914,92,42,2432,1306,843,56,36,2246,1191,748,51,33,2027,1201,669,71,30,1972,939,636,76,27,1685,664,561,71,11,1299,279,333,45,5,665,75,154,11,0,244,33,68,4,3,103,11076,8914,844,365,21189
LGA50250,0,0,0,0,0,69,10,9,13,101,92,82,16,9,197,561,82,66,28,734,1098,127,151,42,1416,1458,196,229,48,1934,1462,198,230,50,1943,1304,149,198,25,1675,1337,114,206,29,1682,1241,101,226,37,1601,1022,85,204,27,1344,630,72,132,14,850,207,18,57,4,282,34,10,9,0,51,9,8,0,0,20,10453,1233,1726,322,13727
LGA50280,0,0,0,0,0,29,26,0,4,57,74,305,31,11,419,170,141,15,4,331,256,175,21,9,459,290,239,29,10,572,369,322,39,11,733,402,357,40,10,804,413,294,28,6,746,362,263,40,7,670,307,241,43,10,593,230,314,51,4,599,112,167,22,0,304,60,96,11,4,172,24,44,5,8,77,3057,2954,367,102,6483
LGA50350,0,0,0,0,0,20,9,0,5,33,110,203,5,5,310,352,212,10,22,590,422,133,12,14,582,450,163,26,12,645,524,214,17,11,766,499,180,10,10,703,476,173,11,10,676,525,154,13,6,699,442,182,20,9,653,287,138,17,0,443,126,98,12,3,238,36,48,4,3,89,3,19,5,0,25,4241,1922,157,99,6420
LGA50420,0,0,0,0,0,68,53,6,13,138,238,1248,52,29,1567,920,1253,63,58,2294,1278,806,70,56,2212,1380,725,95,53,2252,1354,841,68,46,2305,1308,736,57,27,2134,1285,678,49,20,2027,1352,716,57,22,2150,1125,676,69,20,1880,796,633,59,12,1495,312,411,32,12,770,111,221,16,0,350,29,107,4,4,144,11490,9048,703,355,21593
LGA50490,0,0,0,0,0,178,72,10,28,283,354,1136,64,38,1590,2021,1743,133,117,4019,3467,1259,260,125,5114,4362,1281,339,120,6093,4475,1269,339,82,6160,3875,1058,208,71,5208,3784,917,165,67,4937,3435,802,189,57,4482,2881,832,213,56,3978,1825,684,146,32,2683,658,444,66,10,1181,162,212,20,7,395,42,87,12,8,154,31339,11715,2146,780,45984
LGA50560,0,0,0,0,0,0,0,0,0,3,8,3,0,0,15,6,10,3,0,17,12,10,0,0,23,14,8,0,0,31,20,17,0,0,39,35,8,0,4,50,29,15,6,3,52,42,13,5,0,60,31,23,0,0,47,21,33,10,0,65,19,22,8,3,51,6,12,5,0,29,5,9,3,0,18,260,177,31,14,490
LGA50630,0,0,0,0,0,10,0,3,7,23,23,11,3,9,54,77,12,16,3,110,160,22,25,9,208,204,19,33,7,261,254,32,36,9,334,229,30,27,6,293,224,32,38,4,296,250,29,35,7,320,178,37,34,6,252,117,35,20,0,179,44,14,8,3,70,7,3,0,0,20,5,12,3,0,14,1782,292,272,66,2411
LGA50770,0,0,0,0,0,3,0,0,0,5,9,18,0,0,26,24,14,3,4,44,22,4,0,0,26,18,19,0,0,39,35,17,0,0,52,44,15,0,4,63,62,16,3,0,84,42,15,0,4,60,49,25,3,0,82,38,21,10,0,64,23,14,4,0,35,21,16,0,0,31,21,18,0,0,44,403,214,29,11,666
LGA50840,0,0,0,0,0,13,4,0,0,22,22,69,8,3,98,88,25,10,7,128,101,34,9,4,149,114,45,17,4,180,127,54,8,5,186,139,55,7,7,207,170,73,12,8,261,168,65,12,5,249,150,89,18,6,260,126,92,13,4,243,62,64,7,6,143,21,35,7,0,66,18,13,4,0,35,1323,705,119,57,2199
LGA50910,0,0,0,0,0,0,0,0,0,0,9,13,0,0,18,13,12,0,0,23,28,12,0,0,33,16,8,3,0,28,12,12,0,0,32,21,12,0,0,39,28,7,6,0,44,34,10,4,0,55,37,10,0,0,48,28,8,0,0,38,12,13,0,0,36,3,13,0,0,20,8,3,0,0,8,255,141,18,11,421
