POW_LGA_CODE_2021,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_19,ClAW_2000_2999_H_20_29,ClAW_2000_2999_H_30_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40_44,ClAW_2000_2999_H_45_49,ClAW_2000_2999_H_50ov,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000_3499_H_0,ClAW_3000_3499_H_1_19,ClAW_3000_3499_H_20_29,ClAW_3000_3499_H_30_34,ClAW_3000_3499_H_35_39,ClAW_3000_3499_H_40_44,ClAW_3000_3499_H_45_49,ClAW_3000_3499_H_50ov,ClAW_3000_3499_H_NS,ClAW_3000_3499_H_Tot,ClAW_3500mo_H_0,ClAW_3500mo_H_1_19,ClAW_3500mo_H_20_29,ClAW_3500mo_H_30_34,ClAW_3500mo_H_35_39,ClAW_3500mo_H_40_44,ClAW_3500mo_H_45_49,ClAW_3500mo_H_50ov,ClAW_3500mo_H_NS,ClAW_3500mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_19,ClAW_PINS_H_20_29,ClAW_PINS_H_30_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40_44,ClAW_PINS_H_45_49,ClAW_PINS_H_50ov,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_19,ClAW_Tot_H_20_29,ClAW_Tot_H_30_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40_44,ClAW_Tot_H_45_49,ClAW_Tot_H_50ov,ClAW_Tot_H_NS,ClAW_Tot_H_Tot,SWs_NNI_H_0,SWs_NNI_H_1_19,SWs_NNI_H_20_29,SWs_NNI_H_30_34,SWs_NNI_H_35_39,SWs_NNI_H_40_44,SWs_NNI_H_45_49,SWs_NNI_H_50ov,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_19,SWs_1_149_H_20_29,SWs_1_149_H_30_34,SWs_1_149_H_35_39,SWs_1_149_H_40_44,SWs_1_149_H_45_49,SWs_1_149_H_50ov,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_19,SWs_150_299_H_20_29,SWs_150_299_H_30_34,SWs_150_299_H_35_39,SWs_150_299_H_40_44,SWs_150_299_H_45_49,SWs_150_299_H_50ov,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_19,SWs_300_399_H_20_29,SWs_300_399_H_30_34,SWs_300_399_H_35_39,SWs_300_399_H_40_44,SWs_300_399_H_45_49,SWs_300_399_H_50ov,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_19,SWs_400_499_H_20_29,SWs_400_499_H_30_34,SWs_400_499_H_35_39,SWs_400_499_H_40_44,SWs_400_499_H_45_49,SWs_400_499_H_50ov,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_19,SWs_500_649_H_20_29,SWs_500_649_H_30_34,SWs_500_649_H_35_39,SWs_500_649_H_40_44,SWs_500_649_H_45_49,SWs_500_649_H_50ov,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_19,SWs_650_799_H_20_29,SWs_650_799_H_30_34,SWs_650_799_H_35_39,SWs_650_799_H_40_44,SWs_650_799_H_45_49,SWs_650_799_H_50ov,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_19,SWs_800_999_H_20_29,SWs_800_999_H_30_34,SWs_800_999_H_35_39,SWs_800_999_H_40_44,SWs_800_999_H_45_49,SWs_800_999_H_50ov,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_19,SWs_1000_1249_H_20_29,SWs_1000_1249_H_30_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40_44,SWs_1000_1249_H_45_49,SWs_1000_1249_H_50ov,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_19,SWs_1250_1499_H_20_29,SWs_1250_1499_H_30_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40_44,SWs_1250_1499_H_45_49,SWs_1250_1499_H_50ov,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_19,SWs_1500_1749_H_20_29,SWs_1500_1749_H_30_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40_44,SWs_1500_1749_H_45_49,SWs_1500_1749_H_50ov,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_19,SWs_1750_1999_H_20_29,SWs_1750_1999_H_30_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40_44,SWs_1750_1999_H_45_49,SWs_1750_1999_H_50ov,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_19,SWs_2000_2999_H_20_29,SWs_2000_2999_H_30_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40_44,SWs_2000_2999_H_45_49,SWs_2000_2999_H_50ov,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000_3499_H_0,SWs_3000_3499_H_1_19,SWs_3000_3499_H_20_29,SWs_3000_3499_H_30_34,SWs_3000_3499_H_35_39,SWs_3000_3499_H_40_44,SWs_3000_3499_H_45_49,SWs_3000_3499_H_50ov,SWs_3000_3499_H_NS,SWs_3000_3499_H_Tot,SWs_3500mo_H_0,SWs_3500mo_H_1_19,SWs_3500mo_H_20_29,SWs_3500mo_H_30_34,SWs_3500mo_H_35_39,SWs_3500mo_H_40_44,SWs_3500mo_H_45_49,SWs_3500mo_H_50ov,SWs_3500mo_H_NS,SWs_3500mo_H_Tot
LGA50080,0,8,4,7,19,22,6,14,0,78,0,0,0,0,0,3,0,6,0,14,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,112,327,302,211,458,270,57,83,20,1834,0,4,0,0,0,0,0,0,0,8,9,181,12,0,0,0,0,0,0,206,0,114,15,0,0,0,0,0,0,141,9,62,31,3,0,0,0,0,0,102,6,43,46,9,3,3,0,0,0,119,8,43,95,22,24,10,0,0,0,205,8,22,49,49,59,10,9,7,0,203,13,12,19,25,90,46,7,4,0,215,4,6,10,12,56,54,22,15,0,182,6,3,12,0,23,22,14,9,0,87,3,0,0,0,14,21,3,14,0,52,0,0,0,0,3,3,5,4,0,20,0,6,3,5,3,11,10,6,0,42,0,0,0,0,0,5,0,0,0,10,3,0,0,4,5,7,5,9,0,24
LGA50210,3,14,6,0,12,22,5,13,0,77,0,0,0,7,0,0,0,3,0,16,0,3,3,0,4,3,0,3,0,24,0,0,5,0,4,3,0,0,7,13,97,425,384,234,566,341,94,95,25,2258,4,13,4,0,0,0,0,0,0,18,14,324,12,0,0,0,0,0,4,360,15,244,46,4,3,0,0,0,0,315,8,133,52,3,4,0,0,0,0,213,11,76,91,17,3,4,0,4,0,216,10,64,141,46,17,4,0,4,3,291,10,38,71,48,70,12,0,3,3,260,11,16,27,42,101,31,6,8,0,241,4,5,8,15,65,32,8,10,0,147,5,5,0,8,29,30,14,12,0,100,0,0,8,5,7,18,8,4,0,51,0,4,0,3,8,7,0,5,0,27,3,6,0,0,9,10,5,9,0,36,0,0,0,0,0,3,4,0,0,6,0,0,3,6,0,0,4,8,0,14
LGA50250,19,3,5,0,10,8,21,98,0,173,4,0,0,0,0,3,4,27,0,40,8,0,0,0,0,0,9,23,6,44,0,0,0,0,4,0,0,0,3,6,65,36,50,20,60,76,56,274,15,653,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,20,0,12,0,0,0,0,0,0,0,12,0,4,7,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,7,0,5,3,5,0,0,0,0,0,15,0,0,0,3,3,0,0,0,0,12,0,0,0,5,3,3,0,0,0,22,0,0,0,3,4,6,0,0,0,16,0,0,0,4,0,4,0,5,0,17,0,0,0,0,0,3,0,5,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,5,0,15,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0
LGA50280,0,9,0,0,3,0,0,0,0,13,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,6,35,165,139,79,99,63,18,13,0,611,0,7,0,0,0,0,0,0,0,7,0,82,0,0,0,0,0,0,0,86,0,34,0,0,0,0,0,0,0,45,5,18,10,0,0,0,0,0,0,30,9,23,23,7,0,4,0,0,0,58,3,19,34,11,0,0,0,0,0,73,4,18,36,27,16,12,0,5,0,109,4,7,12,18,26,8,4,0,3,87,0,4,4,7,16,12,3,0,0,55,0,6,0,0,3,14,4,0,0,25,0,0,5,0,4,5,0,3,0,22,0,0,0,0,0,3,0,4,0,5,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,6,0,9
LGA50350,0,3,3,3,9,17,6,9,0,52,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,88,125,68,219,188,45,49,5,809,0,0,0,0,0,0,0,0,0,6,0,23,0,0,0,0,0,0,0,25,3,30,7,0,0,0,0,0,0,39,0,22,8,0,0,0,0,0,0,33,0,16,11,0,0,0,0,0,0,29,3,8,16,4,0,0,0,0,0,41,0,6,14,7,9,3,0,0,0,36,0,4,4,3,8,8,4,3,6,39,0,0,6,6,13,17,0,3,4,40,0,0,3,3,10,16,0,6,0,42,0,0,0,4,8,15,8,4,0,36,0,0,0,0,4,0,0,0,0,7,0,0,0,0,5,8,3,6,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,10
LGA50420,3,8,6,8,16,27,6,28,0,96,0,4,0,0,0,7,5,4,0,21,0,4,5,6,0,4,4,8,0,28,0,5,5,0,0,4,0,0,3,14,74,424,389,243,515,358,112,130,7,2254,3,16,0,0,0,0,0,0,0,15,16,293,12,4,0,0,0,0,3,321,11,227,45,0,5,0,0,0,5,293,9,151,62,13,4,0,0,0,0,236,3,95,90,14,3,0,0,5,3,222,17,75,142,52,21,14,0,3,5,335,9,45,69,65,70,17,0,8,3,288,7,21,33,41,110,34,10,11,6,272,6,10,16,20,59,48,14,10,0,179,3,5,12,5,33,44,11,12,3,132,0,8,4,7,17,24,9,12,0,79,0,0,0,8,9,12,8,21,0,47,4,0,0,3,6,11,8,23,0,62,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,5,9,0,21
LGA50490,21,12,7,13,102,175,69,146,0,542,4,4,3,0,14,30,17,35,0,108,4,4,5,4,4,26,16,43,0,119,0,0,0,5,3,7,0,3,5,26,257,484,702,414,1741,1748,539,658,46,6607,12,10,0,0,0,0,0,0,0,20,16,235,7,0,0,0,0,0,3,266,7,226,31,3,0,0,0,0,3,280,12,146,50,8,0,0,0,4,6,226,12,129,108,8,8,10,0,0,4,275,13,106,164,37,27,7,4,5,0,359,17,49,144,74,67,21,5,3,3,376,15,30,71,54,127,47,14,8,0,370,14,23,37,34,150,113,16,9,0,407,13,4,11,19,93,108,28,29,0,317,5,3,7,15,69,71,15,19,0,203,0,0,0,3,21,44,16,30,0,121,8,5,0,0,30,72,17,35,6,170,0,0,0,0,5,11,0,7,0,23,0,0,0,0,3,11,3,15,0,40
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,8,9,0,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,3,0,0,0,3,0,0,3,0,17,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,12,13,7,18,19,8,31,6,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,13,7,13,5,0,8,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
