POW_LGA_CODE_2021,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000_3499_Mng,SG_3000_3499_Pro,SG_3000_3499_TecTW,SG_3000_3499_CoPSW,SG_3000_3499_ClAW,SG_3000_3499_SWks,SG_3000_3499_MaOpDv,SG_3000_3499_Lab,SG_3000_3499_IDNS,SG_3000_3499_Tot,SG_3500mo_Mng,SG_3500mo_Pro,SG_3500mo_TecTW,SG_3500mo_CoPSW,SG_3500mo_ClAW,SG_3500mo_SWks,SG_3500mo_MaOpDv,SG_3500mo_Lab,SG_3500mo_IDNS,SG_3500mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot
LGA50080,0,8,0,11,3,0,0,0,0,20,0,4,7,11,3,0,0,7,0,39,0,14,3,33,23,0,0,9,0,90,0,45,5,60,22,0,0,18,0,155,3,48,15,67,33,0,0,10,3,183,8,90,15,71,64,0,0,7,4,261,13,111,24,56,58,6,3,0,0,274,21,184,20,104,30,0,0,5,3,371,18,191,12,85,15,0,0,3,0,332,107,224,36,91,25,0,8,6,0,489,19,14,3,11,7,0,0,0,0,43,6,24,0,0,0,0,0,0,0,32,0,3,0,4,0,0,0,0,0,5,189,966,145,608,286,9,19,83,18,2324,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,7,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,3,5,7,0,0,5,0,20
LGA50210,0,13,0,16,0,0,0,15,0,52,0,16,0,29,9,0,5,10,0,69,4,35,10,60,21,0,0,26,0,157,0,54,9,112,38,0,0,32,0,243,3,95,12,122,64,0,4,40,0,339,5,174,19,133,88,0,13,25,3,461,13,254,17,58,75,3,9,12,0,441,25,340,11,58,29,0,3,3,0,473,11,320,12,72,9,0,6,3,4,433,83,433,19,109,9,0,10,0,0,661,12,35,0,0,0,0,0,0,0,54,6,73,0,4,0,0,0,0,0,80,0,9,0,0,3,0,0,0,0,18,159,1860,113,798,364,6,51,177,11,3540,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,12,0,0,0,3,3,0,0,0,0,14,0,0,0,10,0,0,0,0,0,11,0,0,0,9,5,0,0,0,0,21
LGA50250,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,7,0,4,4,11,0,0,0,3,0,17,0,0,0,7,4,0,0,0,0,16,0,0,0,14,3,0,0,0,0,20,0,12,0,13,6,0,0,0,0,26,0,23,0,0,3,0,0,0,0,31,0,25,4,0,0,0,0,0,0,40,0,27,0,3,0,0,0,0,0,33,6,50,0,15,0,0,0,0,0,71,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,24,143,11,79,17,0,0,16,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA50280,0,5,0,3,0,0,0,0,0,10,0,6,3,9,0,0,0,0,0,15,0,0,0,14,3,0,0,7,0,34,0,12,3,19,5,0,0,5,0,40,6,17,0,25,0,0,0,6,0,56,0,30,0,21,12,0,0,4,0,67,0,28,7,3,5,0,0,0,0,42,5,36,0,3,0,0,0,0,0,43,5,50,3,0,0,0,0,0,0,60,6,62,0,11,0,0,0,0,0,81,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,257,13,103,35,0,4,29,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,3,0,0,0,0,11
LGA50350,0,6,0,6,0,0,0,5,0,11,0,0,0,8,0,0,0,0,0,12,0,0,0,14,0,0,0,4,0,24,0,5,3,12,0,0,0,5,0,33,0,15,3,15,6,0,0,4,0,43,0,11,0,17,4,0,0,0,0,35,4,29,0,0,7,0,0,0,0,36,10,21,0,0,3,0,0,0,0,30,0,32,0,0,0,0,0,0,0,30,13,47,3,0,6,0,0,0,0,61,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,171,18,74,32,0,0,25,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
LGA50420,4,6,6,9,0,0,0,9,0,30,0,13,3,21,0,0,0,6,0,52,0,23,4,48,8,0,0,19,0,105,0,26,0,60,8,0,0,19,0,113,0,49,10,74,15,0,0,18,0,178,0,72,21,72,37,0,3,10,0,220,8,81,6,29,16,0,0,0,4,150,11,138,13,40,4,0,4,6,0,214,7,136,0,49,9,0,0,0,0,204,46,189,3,170,3,0,0,0,3,414,0,13,0,19,0,0,0,0,0,36,10,19,0,9,3,0,0,0,0,30,0,3,0,3,0,0,0,0,0,8,94,771,67,615,116,0,11,91,15,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,18
LGA50490,0,6,0,7,3,0,0,7,0,22,0,3,0,17,0,0,0,6,0,32,0,8,5,25,8,0,4,5,0,56,0,19,8,44,17,0,3,5,0,91,0,22,11,42,17,0,10,14,0,118,3,57,25,46,39,0,15,6,3,188,3,65,36,29,57,0,8,3,0,209,19,70,28,23,44,0,9,3,0,205,16,86,33,44,24,0,4,0,4,201,76,92,83,51,19,0,8,0,5,340,21,0,8,0,3,0,0,0,0,35,19,4,5,0,0,0,0,0,0,27,0,0,0,6,0,0,0,0,0,12,158,436,249,341,243,4,56,50,13,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,8
LGA50560,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,4,15,6,0,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,4,0,8,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,4,21,0,0,0,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,3,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,15,5,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
