POW_LGA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
LGA50080,22,0,6,19,6,49,199,3,10,8,0,226,147,4,28,16,4,196,128,7,32,12,0,185,185,12,36,18,8,257,368,26,68,15,6,480,450,31,79,11,9,584,671,41,105,14,13,842,974,58,127,11,9,1186,684,56,98,8,8,854,657,64,84,10,7,817,459,59,61,6,0,584,720,98,69,11,5,896,98,31,20,4,3,149,108,82,64,0,0,264,53,4,8,7,11,77,5933,567,895,172,84,7649,30,0,7,24,0,58,297,4,25,27,0,350,311,0,33,20,4,366,322,6,45,17,6,392,439,13,50,19,4,524,809,15,72,24,3,921,919,24,78,17,10,1052,1065,22,72,14,9,1182,1054,26,68,13,14,1170,685,23,55,7,3,780,549,34,55,3,5,644,341,17,19,4,4,389,444,37,42,5,0,532,36,9,8,0,0,59,41,27,27,6,4,104,42,0,9,0,10,62,7382,266
LGA50210,24,4,7,14,0,49,305,0,12,7,0,330,258,9,32,7,3,308,201,6,44,8,0,266,232,25,62,4,3,326,380,38,73,7,3,497,458,53,84,5,4,603,735,74,139,7,10,961,995,122,135,9,3,1266,903,97,88,6,6,1103,743,127,95,6,5,966,566,100,59,4,6,737,941,115,69,8,5,1138,143,48,19,0,0,205,166,97,39,7,0,308,66,4,18,4,11,100,7106,928,990,106,53,9185,51,3,3,29,0,92,475,7,61,12,3,560,571,16,89,17,0,693,533,18,61,14,12,633,625,17,83,8,3,731,1035,30,102,11,11,1194,1199,40,91,12,4,1343,1427,46,94,12,6,1584,1352,54,79,8,6,1500,944,52,36,3,4,1041,819,45,40,7,8,914,579,38,23,0,0,639,684,34,36,6,0,763,67,15,7,0,3,91,66,29,28,5,3,125,93,3,0,4,6,101,10518,442
LGA50250,23,0,0,0,0,25,33,0,0,0,0,32,15,0,0,0,0,18,14,0,0,0,0,13,24,4,3,0,0,29,30,0,0,0,0,38,36,0,0,5,0,47,113,9,8,0,4,133,251,6,7,0,4,271,417,4,0,0,3,429,675,20,6,0,0,700,878,5,4,0,0,895,4037,26,19,0,7,4093,1832,13,5,0,4,1856,2027,39,12,0,5,2087,105,0,0,0,4,108,10508,130,77,9,38,10760,18,0,3,0,0,24,38,0,5,0,0,49,46,0,6,0,0,58,42,0,9,0,0,52,52,0,6,0,4,59,89,0,6,4,7,103,95,5,8,0,0,99,147,3,7,0,0,157,260,0,7,0,3,270,358,3,0,0,0,368,340,5,0,0,0,346,272,0,9,0,3,281,758,5,4,4,0,763,171,0,0,0,0,177,117,4,0,0,0,117,30,0,0,0,0,32,2826,31
LGA50280,3,0,3,13,0,22,92,0,3,6,0,100,49,0,14,3,0,69,40,3,29,7,5,84,83,7,27,13,0,133,116,16,50,9,0,197,197,19,55,12,5,279,245,33,78,8,5,369,395,50,87,10,4,548,234,29,63,8,0,335,167,51,57,0,5,284,97,35,40,5,0,178,157,66,40,3,4,273,19,13,7,3,0,44,34,31,21,4,0,91,18,9,3,0,4,25,1942,365,585,120,45,3057,7,0,3,18,0,32,137,0,31,13,0,182,108,6,32,10,0,146,134,6,46,10,0,199,207,6,50,11,3,277,303,11,61,11,3,391,383,19,40,11,0,458,397,30,52,13,0,485,321,30,57,9,0,417,203,20,28,8,0,262,142,27,28,5,6,207,101,8,21,0,0,128,108,19,13,6,8,144,16,3,3,0,0,27,12,11,7,7,0,38,12,7,8,0,0,30,2596,191
LGA50350,9,4,6,4,0,22,48,0,5,0,0,53,54,0,8,0,0,58,49,4,8,0,0,67,76,0,7,0,0,87,140,3,20,0,3,167,214,13,26,0,0,256,440,16,28,5,0,488,566,27,48,0,4,641,478,33,22,0,3,535,392,27,21,0,3,446,280,22,16,3,5,319,466,60,30,3,8,568,75,27,12,0,0,110,73,41,0,0,0,126,28,5,0,0,10,39,3389,279,253,16,27,3978,11,0,3,6,0,27,60,0,8,4,0,69,79,0,17,3,0,105,92,3,12,0,4,113,119,4,14,0,0,136,190,7,19,8,0,214,242,14,27,3,0,287,361,11,11,5,0,382,332,17,27,0,3,372,219,8,17,0,0,246,152,10,3,0,0,164,88,7,3,0,0,102,129,14,17,0,0,159,8,4,4,0,0,16,7,8,3,0,0,22,21,0,0,0,0,28,2100,105
LGA50420,19,6,12,24,0,61,299,3,16,3,0,325,270,11,32,3,4,326,237,26,50,9,7,321,330,30,77,6,5,447,470,33,103,12,8,625,585,73,104,8,3,772,945,83,138,11,11,1194,1161,153,161,12,4,1491,1018,139,120,7,11,1290,804,158,97,4,7,1078,599,104,75,3,0,784,973,183,101,0,6,1268,158,82,34,0,0,279,173,159,62,4,0,405,80,16,6,4,8,112,8122,1249,1206,126,79,10771,33,0,4,21,0,60,442,4,38,12,0,494,536,17,50,6,3,610,544,18,73,13,0,653,560,20,76,19,11,679,1010,26,79,10,7,1136,1156,46,104,16,4,1331,1335,37,86,10,6,1478,1268,52,74,11,3,1410,846,51,58,4,4,962,586,60,50,5,0,692,392,34,22,6,0,455,461,40,37,0,3,542,64,11,12,0,0,84,47,42,19,0,0,119,72,3,8,0,9,104,9364,473
LGA50490,45,3,3,21,0,79,279,4,15,4,0,304,300,6,19,5,5,338,297,12,37,16,11,374,390,25,35,8,10,467,677,42,54,3,7,783,1020,62,79,3,11,1181,2078,80,131,7,7,2305,3338,154,150,8,11,3658,3053,104,106,4,9,3284,2970,138,88,0,9,3211,2421,101,60,5,7,2592,5607,198,85,3,8,5901,1594,89,28,0,0,1723,2241,241,67,3,3,2557,200,25,9,0,30,271,26513,1289,984,105,126,29015,67,0,3,24,0,98,382,5,26,6,0,420,498,5,28,8,5,539,541,8,39,11,4,605,742,5,27,3,8,799,1255,20,42,7,3,1328,1555,22,49,7,6,1642,2166,38,44,4,7,2267,2577,44,48,6,0,2680,2017,21,30,4,3,2078,1421,37,19,0,5,1482,910,19,5,4,0,948,1290,33,21,0,0,1342,239,17,5,0,0,259,263,51,19,0,0,327,129,10,0,3,10,151,16053,337
LGA50560,0,0,0,4,0,8,3,0,0,0,0,5,0,0,0,6,0,6,0,4,3,0,0,9,3,0,3,4,0,14,9,0,9,0,0,24,9,3,5,3,0,18,23,3,7,0,0,31,26,7,4,0,0,36,14,12,9,0,0,34,15,6,3,0,0,22,7,0,6,0,0,17,11,10,8,4,0,27,4,0,6,0,0,3,0,4,3,0,0,3,3,0,0,0,0,5,115,47,62,25,9,262,0,0,0,0,0,3,4,0,0,0,0,10,7,0,6,4,0,10,4,0,0,0,0,13,19,0,0,3,0,22,20,5,3,0,0,27,9,0,0,0,0,11,20,0,9,0,0,27,21,0,3,0,0,28,11,0,0,0,0,21,6,0,6,5,0,16,3,0,0,0,0,8,10,3,8,0,0,18,4,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,4,147,10
LGA50630,0,0,0,4,0,10,5,0,0,0,0,6,6,0,0,0,0,8,5,0,0,0,0,3,10,0,0,0,0,14,3,0,0,5,0,12,11,6,4,5,0,24,26,0,9,0,0,34,52,9,5,0,0,66,75,3,4,0,0,80,137,3,5,0,0,145,246,0,7,0,4,257,789,9,3,0,0,800,196,5,0,0,0,201,161,3,0,0,0,163,25,0,0,0,0,28,1736,41,43,12,11,1840,0,0,0,3,0,5,5,0,4,0,0,11,5,0,0,0,0,7,9,0,0,0,0,17,10,0,4,0,0,16,35,0,3,0,0,35,30,0,4,0,0,33,57,0,4,0,0,61,54,0,0,0,0,59,51,0,0,0,0,50,56,0,6,4,0,60,73,0,0,0,0,71,100,0,0,0,0,102,17,0,0,0,0,19,12,0,0,0,0,16,6,0,0,0,4,7,524,7
LGA50770,0,0,0,6,0,10,3,0,0,0,0,7,0,0,0,7,0,9,4,3,4,3,0,12,7,3,7,11,0,21,7,0,7,3,0,24,4,4,11,0,0,21,18,10,13,5,5,51,23,7,15,7,0,50,27,4,9,0,0,37,20,0,4,5,0,28,15,0,14,4,0,34,14,4,7,4,0,22,5,0,5,0,0,9,0,0,4,3,0,16,0,0,0,7,0,11,149,39,95,64,8,355,0,0,0,4,0,7,8,0,0,0,0,12,8,0,0,10,0,16,5,0,3,3,0,12,20,0,9,4,0,32,20,0,3,0,0,26,28,3,9,0,0,42,27,0,3,3,0,36,25,6,5,9,0,44,15,0,0,0,0,19,12,4,4,0,0,18,10,3,9,0,0,21,4,0,4,0,0,13,0,0,0,0,0,4,3,3,0,0,0,6,0,0,0,3,0,3,193,18
