POW_LGA_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
LGA50080,2026,3091,2267,2438,1834,1632,915,1810,233,16248
LGA50210,1962,4553,2990,3268,2258,2319,1289,2235,330,21189
LGA50250,748,1428,4630,458,653,156,3852,1481,323,13727
LGA50280,1174,1040,959,794,611,626,250,940,91,6483
LGA50350,711,850,1482,657,809,404,612,775,117,6420
LGA50420,2435,3876,3527,3246,2254,2536,1248,2156,314,21593
LGA50490,6088,7640,6489,4873,6607,3486,6525,3449,829,45984
LGA50560,172,53,47,36,46,22,32,63,13,490
LGA50630,177,245,703,83,129,23,821,185,53,2411
LGA50770,276,56,48,45,69,34,41,87,4,666
LGA50840,345,288,410,195,196,140,312,285,39,2199
LGA50910,136,39,44,49,38,18,46,58,0,421
LGA50980,1104,1881,994,1189,1020,571,310,749,171,7995
LGA51080,198,17,17,13,28,3,26,55,0,361
LGA51120,150,39,70,27,40,12,37,50,7,432
LGA51190,2261,4786,3743,3343,3575,2368,1747,2745,361,24932
LGA51260,2165,2691,2384,2232,1705,1824,705,2020,231,15954
LGA51310,1676,4866,1170,2357,1950,847,193,758,172,13993
LGA51330,7641,8393,10147,4992,8188,6135,8161,6331,1100,61088
LGA51400,414,602,505,379,287,259,234,503,54,3240
LGA51470,90,22,33,17,25,13,44,34,5,287
LGA51540,456,315,287,285,276,187,189,378,49,2420
LGA51610,134,19,46,12,29,3,39,53,0,323
LGA51680,304,181,306,94,178,74,166,223,27,1549
LGA51710,116,114,146,157,94,15,80,110,15,854
LGA51750,863,1900,598,1023,652,1134,128,451,92,6847
LGA51820,6210,7609,10524,5039,6113,4015,4618,5026,876,50040
LGA51860,41,44,38,39,18,9,13,40,0,230
LGA51890,373,551,1342,373,337,249,884,557,112,4774
LGA51960,164,322,666,85,127,54,726,200,39,2385
LGA52030,127,26,45,18,39,14,37,49,5,361
LGA52100,181,45,56,40,50,34,42,73,12,526
LGA52170,481,629,378,588,339,346,29,179,59,3021
LGA52240,239,25,30,23,33,6,65,114,16,548
LGA52310,108,5,28,3,12,3,24,52,0,237
LGA52380,35,50,112,13,21,5,156,44,13,444
LGA52450,144,61,98,49,52,31,30,75,14,564
LGA52520,244,86,90,35,80,35,65,71,9,726
LGA52590,323,168,276,115,151,92,237,297,25,1686
LGA52660,463,462,478,472,321,456,457,541,54,3698
LGA52730,443,368,250,220,201,162,79,276,36,2037
LGA52800,289,565,319,456,238,93,201,312,66,2529
LGA52870,454,200,232,182,164,111,140,328,42,1851
LGA52940,125,27,20,28,32,8,24,35,13,305
LGA53010,144,28,27,18,20,10,16,41,7,300
LGA53080,59,109,131,44,41,19,143,64,9,618
LGA53150,303,544,230,494,241,132,26,153,37,2159
LGA53220,947,1830,5909,534,741,184,5343,1552,328,17368
LGA53290,1158,805,872,556,698,514,636,751,140,6141
LGA53360,243,241,314,244,205,130,76,234,48,1727
LGA53430,3743,6814,3314,3697,3559,2108,1463,2493,386,27577
LGA53570,530,138,218,77,201,82,202,670,46,2171
LGA53640,214,56,80,29,54,25,67,98,6,627
LGA53710,120,38,31,40,37,14,25,38,3,338
LGA53780,2799,4556,4431,4550,2883,2815,2375,2808,432,27649
LGA53800,1814,3053,2580,2460,2063,1630,1306,1817,259,16975
LGA53920,153,240,145,202,77,39,116,111,45,1124
LGA53990,889,1121,1540,868,641,544,748,1512,154,8017
LGA54060,178,128,194,108,102,109,55,163,19,1062
LGA54130,244,47,57,26,43,15,47,77,8,566
LGA54170,4680,12726,5012,8864,5842,6703,1118,3960,673,49576
LGA54200,1890,2530,2722,1872,2083,1280,2075,1679,265,16385
LGA54280,1477,2322,3441,1474,1744,996,2806,1450,302,16013
LGA54310,1348,2097,3968,1085,1362,621,1781,1547,295,14098
LGA54340,241,274,255,204,209,156,85,367,36,1820
LGA54410,98,37,56,60,34,21,35,58,10,411
LGA54480,133,11,17,8,16,3,29,44,0,267
LGA54550,350,91,94,52,72,49,78,139,18,945
LGA54620,184,64,153,44,54,16,125,81,14,727
LGA54690,76,13,13,9,16,12,26,30,7,190
LGA54760,187,32,28,19,23,16,35,44,5,394
LGA54830,1786,2475,4004,1890,1616,906,2382,2136,354,17533
LGA54900,313,66,80,48,62,36,88,81,23,796
LGA54970,184,406,945,72,138,6,1153,242,57,3209
LGA55040,221,407,867,98,137,23,1010,309,53,3130
LGA55110,2294,4290,3014,4821,2663,3543,1068,2584,340,24614
LGA55180,896,484,498,438,424,344,313,788,68,4260
LGA55250,160,228,411,64,76,25,435,132,21,1547
LGA55320,4447,14859,4672,5591,5331,4590,1463,3468,591,44999
LGA55390,82,162,311,26,40,4,354,76,14,1075
LGA55460,269,199,210,165,160,123,142,138,31,1439
LGA55530,92,20,20,14,10,9,22,48,0,227
LGA55600,273,147,126,118,122,63,100,123,15,1083
LGA55670,114,43,35,27,22,12,24,45,10,333
LGA55740,289,837,246,647,257,227,33,175,44,2755
LGA55810,57,84,166,22,43,11,195,63,17,661
LGA55880,122,16,15,12,14,7,25,32,4,237
LGA55950,102,24,31,13,21,12,18,23,7,242
LGA56090,1048,1695,1390,1440,1032,874,675,996,175,9324
LGA56160,15,0,8,3,6,0,10,11,0,65
LGA56230,683,734,1542,537,493,449,981,715,117,6257
LGA56300,157,73,43,43,33,22,36,85,6,500
LGA56370,150,39,38,27,25,17,41,51,9,399
LGA56460,337,489,280,323,278,184,139,269,34,2322
LGA56580,1568,4719,1300,2253,1817,528,352,696,244,13482
LGA56620,54,68,13,36,18,6,12,20,0,233
LGA56730,655,860,637,669,594,423,292,616,92,4828
LGA56790,315,113,116,120,97,72,67,200,21,1126
