POW_LGA_CODE_2021,Lab_3500mo_A_35_44,Lab_3500mo_A_45_54,Lab_3500mo_A_55_64,Lab_3500mo_A_65_74,Lab_3500mo_A_75ov,Lab_3500mo_Tot,Lab_PINS_A_15_19,Lab_PINS_A_20_24,Lab_PINS_A_25_34,Lab_PINS_A_35_44,Lab_PINS_A_45_54,Lab_PINS_A_55_64,Lab_PINS_A_65_74,Lab_PINS_A_75ov,Lab_PINS_Tot,Lab_Tot_A_15_19,Lab_Tot_A_20_24,Lab_Tot_A_25_34,Lab_Tot_A_35_44,Lab_Tot_A_45_54,Lab_Tot_A_55_64,Lab_Tot_A_65_74,Lab_Tot_A_75ov,Lab_Tot_Tot,OIDNS_NNI_A_15_19,OIDNS_NNI_A_20_24,OIDNS_NNI_A_25_34,OIDNS_NNI_A_35_44,OIDNS_NNI_A_45_54,OIDNS_NNI_A_55_64,OIDNS_NNI_A_65_74,OIDNS_NNI_A_75ov,OIDNS_NNI_T,OIDNS_1_149_A_15_19,OIDNS_1_149_A_20_24,OIDNS_1_149_A_25_34,OIDNS_1_149_A_35_44,OIDNS_1_149_A_45_54,OIDNS_1_149_A_55_64,OIDNS_1_149_A_65_74,OIDNS_1_149_A_75ov,OIDNS_1_149_T,OIDNS_150_299_A_15_19,OIDNS_150_299_A_20_24,OIDNS_150_299_A_25_34,OIDNS_150_299_A_35_44,OIDNS_150_299_A_45_54,OIDNS_150_299_A_55_64,OIDNS_150_299_A_65_74,OIDNS_150_299_A_75ov,OIDNS_150_299_T,OIDNS_300_399_A_15_19,OIDNS_300_399_A_20_24,OIDNS_300_399_A_25_34,OIDNS_300_399_A_35_44,OIDNS_300_399_A_45_54,OIDNS_300_399_A_55_64,OIDNS_300_399_A_65_74,OIDNS_300_399_A_75ov,OIDNS_300_399_T,OIDNS_400_499_A_15_19,OIDNS_400_499_A_20_24,OIDNS_400_499_A_25_34,OIDNS_400_499_A_35_44,OIDNS_400_499_A_45_54,OIDNS_400_499_A_55_64,OIDNS_400_499_A_65_74,OIDNS_400_499_A_75ov,OIDNS_400_499_T,OIDNS_500_649_A_15_19,OIDNS_500_649_A_20_24,OIDNS_500_649_A_25_34,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000_3499_A_15_19,OIDNS_3000_3499_A_20_24,OIDNS_3000_3499_A_25_34,OIDNS_3000_3499_A_35_44,OIDNS_3000_3499_A_45_54,OIDNS_3000_3499_A_55_64,OIDNS_3000_3499_A_65_74,OIDNS_3000_3499_A_75ov,OIDNS_3000_3499_T,OIDNS_3500mo_A_15_19,OIDNS_3500mo_A_20_24,OIDNS_3500mo_A_25_34,OIDNS_3500mo_A_35_44,OIDNS_3500mo_A_45_54,OIDNS_3500mo_A_55_64,OIDNS_3500mo_A_65_74,OIDNS_3500mo_A_75ov,OIDNS_3500mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54
LGA50080,0,0,0,0,0,7,3,0,3,0,4,0,0,4,8,290,180,263,281,315,321,126,20,1810,0,0,0,5,3,0,0,0,12,7,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,10,0,0,0,0,4,3,0,0,12,0,0,0,3,0,0,5,0,16,3,0,0,4,6,6,0,0,15,3,0,3,0,0,4,0,0,14,0,0,6,5,0,7,3,0,27,0,0,6,5,11,3,0,0,36,0,4,6,9,5,6,0,0,28,0,0,0,0,3,5,0,0,13,0,0,0,4,0,3,0,0,6,0,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,9,4,3,4,8,4,0,0,27,27,15,32,42,45,45,14,11,233,25,4,8,11,16,26,7,3,109,437,9,22,23,29,30,18,0,572,217,37,51,77,56
LGA50210,0,4,3,0,0,8,4,3,5,0,3,0,0,0,12,447,267,334,351,388,319,116,16,2235,3,0,4,3,3,4,0,0,9,6,0,0,3,0,0,0,0,13,7,0,4,0,3,0,0,0,9,0,4,0,8,0,0,0,0,16,3,0,5,0,0,5,0,0,9,0,0,4,8,8,4,0,0,27,0,0,6,6,3,3,0,0,19,0,0,13,7,4,7,0,0,29,0,0,6,12,3,7,0,0,34,0,0,11,3,5,5,0,0,29,0,0,4,7,9,5,0,3,24,0,3,3,3,5,0,0,0,8,0,0,4,13,7,0,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,13,5,8,12,15,12,3,0,0,55,25,24,72,87,62,38,12,8,330,28,14,19,29,24,22,8,0,141,662,40,53,53,38,20,20,0,889,408,152,113,111,93
LGA50250,20,13,3,0,0,61,0,0,4,9,3,0,3,0,22,65,185,392,316,295,198,32,0,1481,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,12,0,0,6,4,3,4,0,0,17,0,4,0,3,4,4,0,0,22,0,0,6,9,3,4,0,0,23,0,0,0,6,10,0,0,0,18,0,10,18,28,17,13,0,0,85,0,4,10,7,6,15,0,0,42,0,0,11,18,16,6,0,0,53,3,0,9,8,9,9,0,0,34,8,22,69,78,70,61,7,5,323,5,0,18,9,8,9,0,0,49,39,3,10,15,7,3,0,0,76,23,0,22,11,6
LGA50280,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,112,88,182,186,159,150,46,9,940,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,4,0,6,4,0,0,9,0,0,0,3,0,4,0,0,9,0,0,0,6,0,3,5,0,11,0,0,0,3,5,0,0,0,9,0,0,0,0,0,5,0,0,8,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,7,4,8,21,11,23,15,3,91,9,4,3,14,7,12,7,0,59,202,4,10,27,17,7,18,0,284,51,10,25,45,34
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,114,128,158,119,114,34,3,775,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,3,0,0,4,0,0,0,9,0,0,4,3,3,0,0,0,13,0,0,4,3,5,4,0,0,15,0,0,0,0,6,0,0,0,6,0,0,6,6,4,0,0,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,5,3,8,4,0,0,20,4,16,24,25,31,18,3,3,117,3,0,7,11,10,7,0,0,45,83,11,7,10,8,6,0,0,122,61,29,15,24,15
LGA50420,0,0,4,0,0,11,3,0,5,0,3,3,0,0,21,342,296,401,327,329,328,130,11,2156,3,0,7,4,6,0,0,0,11,0,0,0,0,5,0,0,0,7,0,6,0,0,0,0,0,0,10,0,0,0,4,0,0,5,0,13,0,3,3,3,0,0,0,0,14,0,6,5,3,0,0,3,0,20,4,5,5,0,4,4,0,0,18,0,6,8,3,10,5,0,0,29,0,3,13,13,5,3,0,0,39,0,0,12,10,10,3,0,0,35,0,0,3,6,3,3,0,0,20,0,0,7,0,5,0,3,0,14,0,0,8,10,3,5,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,11,15,15,7,6,0,0,51,15,35,82,81,46,30,7,0,314,27,14,19,17,17,14,9,3,120,589,77,33,39,32,27,23,3,818,335,205,97,113,79
LGA50490,5,3,5,0,0,22,4,6,5,0,3,3,4,0,23,401,464,811,615,549,475,120,10,3449,0,4,0,6,3,0,0,0,16,8,0,5,4,0,0,0,0,15,11,5,0,0,0,3,0,0,23,0,3,10,4,3,0,3,0,28,3,3,6,5,6,4,0,0,19,4,6,12,8,10,6,5,0,53,8,5,15,0,15,3,4,0,47,5,11,28,17,7,13,3,0,79,0,10,32,34,24,9,4,0,113,0,8,22,29,16,8,0,0,78,0,5,19,19,16,13,0,0,67,0,0,17,22,7,4,0,0,49,0,3,18,36,22,8,0,0,86,0,0,6,10,0,0,0,0,16,0,0,5,5,9,0,0,0,22,6,20,31,20,17,15,5,3,119,41,83,216,209,156,100,25,8,829,26,16,51,39,21,21,4,4,172,473,72,49,56,28,29,18,6,731,303,225,108,86,71
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,9,7,17,11,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,4,0,3,0,0,10,0,0,0,0,0,3,0,0,16,0,0,6,4,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,48,37,39,27,7,0,185,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,0,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,8,5,5,7,8,19,5,0,0,53,0,0,7,3,4,0,3,0,12,6,0,0,0,0,0,0,0,18,4,4,0,0,7
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,8,10,20,15,8,8,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,0,7,3,0,0,18,7,0,0,0,6,0,0,0,22,5,0,0,7,0
