POW_LGA_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
LGA50080,48,243,51,0,345,51,108,12,0,173,38,81,4,0,124,3,12,0,0,18,17,67,0,0,89,5,22,6,0,33,7,13,3,0,23,8,14,0,0,28,0,0,0,0,0,190,558,80,0,834,207,191,8,0,408,251,58,11,0,322,261,105,0,0,373,96,10,0,0,110,50,40,0,0,90,22,20,0,0,45,42,10,0,0,57,117,32,3,0,149,7,0,0,0,11,1060,475,26,3,1566,258,435,60,3,759,304,165,25,0,494,303,185,0,0,496,105,23,0,0,125,70,109,6,0,183,25,41,5,0,74,54,25,0,0,89,124,47,0,0,173,9,0,0,0,14,1252,1034,105,6,2401
LGA50210,79,321,72,0,478,102,105,15,0,222,120,118,5,0,242,17,13,0,0,30,60,96,7,0,167,25,35,9,0,65,51,13,5,0,73,38,33,0,0,74,13,4,0,0,18,505,742,112,7,1366,109,97,7,7,218,283,43,3,0,328,371,105,0,0,480,212,22,0,0,236,83,37,0,0,115,49,12,3,0,64,149,15,6,0,164,176,19,3,0,199,26,4,0,0,30,1458,351,23,3,1832,184,424,76,6,690,380,145,19,0,548,493,226,8,0,724,233,32,0,0,268,142,136,7,0,283,73,47,8,0,130,200,30,5,0,239,218,51,3,0,273,38,5,4,0,49,1960,1093,132,14,3200
LGA50250,12,38,5,0,55,15,12,0,0,30,15,17,4,0,38,0,0,0,0,3,0,8,0,0,8,0,0,0,0,0,9,5,0,0,17,3,5,0,0,14,0,0,0,0,0,59,88,14,0,165,10,12,0,0,19,23,4,0,0,26,32,5,0,0,36,12,0,0,0,16,3,3,0,0,10,5,0,0,0,5,9,0,0,0,9,23,0,0,0,26,4,0,0,0,4,123,31,0,0,153,23,47,5,0,74,40,17,0,0,58,47,22,4,0,73,12,4,0,0,14,3,7,0,0,13,5,0,0,0,4,21,5,0,0,28,31,9,0,0,41,0,0,0,0,6,180,117,14,5,316
LGA50280,64,150,21,5,243,49,47,3,0,104,29,55,0,0,84,10,10,0,0,15,18,35,4,0,53,4,8,4,0,21,5,7,0,0,11,12,11,0,0,20,5,5,0,0,7,187,331,39,4,560,158,94,0,0,251,210,18,0,0,224,222,43,0,4,272,88,7,0,0,92,40,10,0,0,52,26,3,0,0,31,23,5,0,0,29,75,14,0,0,87,22,3,0,0,23,860,192,4,5,1062,221,248,26,4,496,258,67,3,0,328,253,98,0,4,355,89,13,0,0,107,54,43,4,3,110,33,10,4,0,50,24,11,0,0,38,85,21,0,0,108,24,6,0,0,34,1054,525,39,10,1628
LGA50350,16,83,51,0,149,34,25,3,0,61,33,31,4,0,63,5,0,0,0,5,15,34,0,0,49,3,13,0,0,17,10,5,0,0,12,8,11,0,0,20,0,7,5,0,11,122,199,60,0,381,25,15,0,0,38,113,11,0,0,125,86,26,0,0,106,46,5,0,0,49,17,3,0,0,26,12,3,0,0,14,29,3,0,0,32,32,11,0,0,41,3,0,0,0,10,373,69,4,0,441,41,96,49,0,190,147,40,3,0,187,116,50,4,0,168,45,3,0,0,56,37,43,0,0,77,19,16,0,0,33,38,8,0,0,43,42,19,0,0,58,7,8,5,0,15,492,272,63,0,831
LGA50420,104,420,73,0,602,156,154,15,0,326,124,192,7,0,323,29,42,0,0,67,45,97,16,0,158,26,44,0,0,78,41,33,0,0,66,32,44,0,6,81,7,15,5,0,26,561,1040,121,7,1725,109,106,8,0,221,444,81,3,0,525,410,116,0,0,528,161,17,0,0,178,103,27,0,0,134,60,19,0,0,80,120,9,0,0,128,130,25,4,0,158,25,5,0,0,29,1562,404,18,0,1989,210,530,78,0,820,601,233,25,0,856,534,309,6,0,850,189,54,0,0,244,150,129,16,0,290,87,66,0,0,152,159,38,0,0,197,165,67,4,6,240,30,16,5,0,55,2126,1443,137,13,3709
LGA50490,74,371,182,0,626,96,150,25,0,273,94,99,3,0,191,9,21,0,0,27,95,83,20,0,190,22,41,6,0,71,111,30,5,0,145,35,22,0,0,57,16,26,0,0,45,539,840,244,0,1623,96,67,11,0,172,204,40,3,0,244,175,51,0,0,225,113,5,0,0,120,160,15,0,3,180,31,6,3,0,42,256,8,0,0,267,111,16,0,0,131,20,0,4,3,20,1157,206,23,8,1396,169,438,186,0,797,296,190,27,0,516,261,146,6,0,417,114,23,0,0,142,249,96,21,3,370,51,46,11,0,112,370,41,7,0,418,146,35,0,0,181,34,28,4,3,65,1702,1050,264,8,3016
LGA50560,8,29,0,0,42,3,3,0,0,6,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,18,42,0,0,63,35,28,0,0,61,7,0,0,0,7,11,3,0,0,16,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,0,70,29,0,7,103,44,60,0,0,103,11,3,0,0,12,14,5,0,0,19,5,0,0,0,5,5,3,0,0,5,7,0,0,0,7,3,0,0,0,3,3,0,0,6,8,0,0,0,0,0,90,69,0,3,166
LGA50630,4,12,0,0,16,0,0,0,0,0,3,10,0,0,11,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,29,0,0,43,21,8,0,0,26,7,0,0,0,7,7,5,0,0,9,5,0,0,0,5,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,5,4,0,0,7,0,0,0,0,0,44,21,0,0,65,23,19,0,0,42,5,0,0,0,5,13,13,0,0,24,5,0,0,0,5,5,7,0,0,10,4,0,0,0,4,0,0,0,0,5,5,6,0,0,9,0,0,0,0,0,53,49,0,0,107
LGA50770,12,30,0,0,42,0,0,0,0,5,3,3,0,0,7,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,24,39,0,0,61,59,43,0,0,104,6,0,0,0,6,5,0,0,0,7,0,0,0,0,0,6,3,0,0,6,0,0,0,0,6,4,0,0,0,7,7,0,0,0,6,0,0,0,0,0,91,55,0,6,144,70,75,0,0,149,7,0,0,0,11,16,3,0,0,16,0,0,0,0,0,4,6,0,0,12,3,0,0,0,0,6,0,0,0,11,7,3,0,0,6,0,0,0,0,0,109,93,0,6,206
