POW_LGA_CODE_2021,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
LGA50080,0,15,0,0,18,6,9,0,0,19,0,13,0,0,18,0,7,0,0,11,3,6,0,0,11,8,7,0,0,14,9,9,4,0,16,0,8,6,0,18,7,12,4,0,21,3,7,0,0,8,3,3,0,0,9,4,6,0,0,9,4,14,0,3,20,51,113,25,10,193,322,859,38,24,1241,672,395,28,38,1125,729,386,86,24,1225,803,473,87,23,1385,805,581,55,29,1468,891,571,51,15,1532,1074,566,53,19,1715,1111,577,91,36,1813,974,595,109,13,1693,739,695,106,21,1563,274,366,48,14,699,103,196,20,9,331,35,90,19,7,157,8536,6354,793,259,15954,5,0,0,0,5,4,4,0,0,6,0,4,0,0,9,0,0,0,0,0,4,3,0,0,8,10,5,0,0,15,0,7,0,0,6,7,5,0,0,10,4,3,0,5,10,4,4,0,0,11,4,3,0,0,10,0,0,0,0,6
LGA50210,0,20,0,0,20,3,11,0,0,14,0,6,0,0,6,7,6,0,0,13,11,10,0,0,20,5,9,4,0,20,0,16,0,0,17,4,7,0,0,21,0,10,0,0,13,10,9,0,0,20,0,6,0,0,11,0,0,0,0,6,0,0,0,4,8,51,117,21,8,194,279,1391,55,26,1744,915,1004,62,44,2022,1364,675,115,53,2205,1409,847,125,41,2424,1368,902,88,43,2393,1297,823,50,36,2211,1178,729,48,36,1998,1183,665,69,25,1940,932,626,79,29,1657,648,549,69,11,1274,274,327,42,3,648,80,152,11,0,245,30,64,4,0,97,10943,8742,827,338,20853,5,8,0,0,14,4,6,0,5,14,6,6,0,3,12,10,5,0,0,14,11,9,0,0,19,10,8,0,0,21,3,0,0,0,12,11,5,0,0,14,6,3,0,0,12,5,3,0,0,7,3,5,0,0,9,0,0,0,0,0
LGA50250,0,3,0,0,3,0,0,0,0,3,5,0,0,0,8,0,0,0,0,3,0,4,0,0,3,7,0,0,0,5,3,0,0,0,4,3,0,0,0,7,0,0,3,0,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,24,10,10,3,47,92,80,17,7,184,546,82,65,28,722,1090,123,151,43,1400,1455,196,229,48,1925,1451,197,231,52,1929,1286,146,203,24,1659,1320,114,203,26,1664,1230,99,221,33,1583,1015,85,199,29,1325,624,67,132,7,838,207,15,52,5,273,31,4,9,0,52,9,8,0,4,18,10356,1211,1706,308,13582,0,0,0,0,0,9,0,0,0,13,5,0,0,5,6,6,0,0,0,5,5,0,0,0,10,11,0,0,0,11,15,0,0,0,16,10,0,0,0,14,9,0,4,0,9,3,3,0,0,11,0,0,3,0,0,0,0,0,0,0
LGA50280,0,0,0,0,4,0,4,0,0,4,0,3,0,0,0,0,3,0,0,3,0,0,0,0,7,0,6,0,0,6,0,0,0,0,3,0,6,0,0,3,4,0,0,0,4,0,0,0,0,4,0,5,0,0,5,0,4,0,0,5,0,0,0,0,0,8,37,0,0,45,75,301,31,11,413,166,139,15,4,324,252,170,21,9,443,288,238,29,10,563,362,308,39,11,719,397,347,40,10,789,404,290,28,6,731,357,251,37,7,662,301,239,43,10,590,225,311,51,3,594,106,169,22,0,294,56,93,11,4,167,24,45,5,8,78,3021,2895,363,96,6376,0,0,0,0,0,0,0,0,0,0,4,4,0,0,13,0,0,0,0,4,5,11,0,0,13,8,0,0,0,7,0,5,0,0,6,0,0,0,0,5,0,0,0,0,0,5,3,0,0,4,5,0,0,0,5,0,0,0,0,0
LGA50350,0,10,0,0,7,5,18,0,0,21,0,6,0,0,7,0,8,0,0,9,4,10,0,0,7,3,8,0,0,9,3,0,4,0,8,3,9,0,0,12,0,4,3,0,9,3,0,0,0,5,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,63,9,0,96,103,196,5,5,297,344,200,5,22,565,417,130,12,14,573,445,157,23,12,634,525,205,17,8,756,493,180,9,10,695,474,174,7,10,666,512,148,13,6,681,443,176,20,9,643,287,133,16,0,436,123,94,10,3,231,36,45,4,3,86,3,18,0,0,22,4197,1847,150,93,6287,0,0,0,0,0,5,0,0,4,3,3,0,0,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA50420,0,9,0,0,13,7,10,0,0,12,0,8,0,3,14,4,4,0,0,15,3,0,0,0,8,5,7,0,0,14,0,8,0,0,11,8,9,7,0,22,3,7,0,0,12,6,8,0,0,16,0,3,0,0,7,0,10,0,0,10,0,8,0,0,11,50,106,8,7,162,234,1230,48,29,1543,907,1236,63,58,2271,1273,791,70,57,2192,1369,718,94,53,2232,1340,828,67,47,2282,1291,726,54,25,2098,1277,665,43,13,2001,1340,700,56,23,2115,1114,659,68,20,1857,782,618,59,12,1476,312,397,36,12,753,109,209,16,0,338,27,102,4,0,130,11376,8892,679,339,21290,0,11,0,0,12,11,5,0,0,10,4,0,0,0,3,3,0,0,0,6,8,4,0,0,15,11,9,0,0,20,6,6,0,3,13,10,3,0,0,15,13,4,0,0,17,6,0,0,0,9,8,8,0,0,11,0,4,0,0,5
LGA50490,0,16,4,0,23,12,22,4,0,30,3,25,0,0,29,20,23,5,0,39,12,23,4,0,35,16,14,4,0,31,14,5,3,0,30,10,18,0,0,29,5,6,5,0,21,8,13,5,0,22,7,10,4,0,12,0,0,0,0,3,3,0,0,0,7,109,171,37,6,333,353,1103,60,34,1550,1997,1723,134,112,3968,3445,1233,260,117,5058,4322,1247,334,111,6014,4451,1238,333,81,6097,3834,1038,195,73,5136,3732,906,157,69,4868,3410,773,186,54,4422,2853,820,205,51,3926,1799,665,143,32,2643,653,432,60,10,1151,158,206,20,0,389,41,85,15,8,148,31049,11466,2103,750,45366,3,12,0,0,19,11,6,0,6,19,19,4,0,3,22,21,12,0,7,40,15,3,0,3,23,23,14,4,0,36,37,7,0,0,46,13,6,0,0,21,18,10,0,0,28,9,5,0,0,12,4,0,5,0,8,0,0,0,0,0
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,3,0,0,15,6,10,3,0,17,12,10,0,0,23,14,8,0,0,31,20,17,0,0,36,33,8,0,4,43,29,15,6,3,52,42,13,5,0,60,31,23,0,0,47,21,34,10,0,61,14,22,8,3,51,6,12,5,0,29,5,9,3,0,17,256,174,31,20,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,12,28,11,3,9,50,73,12,16,3,106,161,22,25,9,209,199,19,33,8,253,253,29,34,7,325,229,30,27,5,294,224,32,37,5,293,251,29,31,7,316,174,37,29,6,248,121,32,20,0,175,43,14,8,3,69,7,5,0,0,19,5,12,3,0,14,1765,285,265,60,2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,0,0,9,9,18,0,0,26,24,14,3,4,44,22,4,0,0,26,18,19,0,0,37,35,17,0,0,52,41,14,0,4,62,60,18,3,0,81,42,15,0,4,60,51,22,3,0,81,38,17,10,0,62,23,14,4,0,35,14,14,0,0,34,21,18,0,0,44,399,212,29,11,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
