POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA55040,4,0,0,0,4,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,7,6,3,0,3,34,201,49,78,115,254,175,142,8,28,1052
LGA55110,469,102,124,248,590,547,185,4,17,2298,27,0,11,17,24,24,10,0,0,108,81,15,17,29,111,102,50,0,4,421,80,7,15,37,93,67,38,0,18,356,2017,321,439,889,2216,1905,778,14,109,8692
LGA55180,48,4,4,0,11,21,4,0,0,102,12,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,5,0,0,14,12,0,0,0,5,3,4,0,0,38,360,32,32,47,86,91,120,8,33,821
LGA55250,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,8,0,3,19,105,30,44,46,113,61,104,4,15,518
LGA55320,1370,388,520,788,1540,1352,702,37,55,6760,50,9,11,21,21,14,8,0,0,131,188,30,65,81,191,179,114,4,13,867,148,38,44,75,137,135,112,0,34,723,4669,1036,1490,2199,4183,3562,2262,52,200,19654
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,3,0,0,0,5,0,0,0,0,10,91,13,36,34,76,73,43,0,6,380
LGA55460,12,0,4,10,5,12,11,0,0,53,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,9,0,0,0,0,0,0,0,4,13,68,6,23,29,31,39,24,0,3,230
LGA55530,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,11,0,0,0,0,19
LGA55600,4,0,5,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,3,43,8,8,24,30,16,24,0,4,156
LGA55670,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,4,3,8,3,0,0,43
LGA55740,74,27,24,42,101,100,72,0,0,435,0,0,4,0,0,6,0,0,0,11,10,4,0,7,6,4,10,0,0,39,8,6,0,5,5,7,5,0,0,42,275,81,81,123,217,216,176,9,12,1173
