POW_LGA_CODE_2021,SWs_PINS_H_0,SWs_PINS_H_1_19,SWs_PINS_H_20_29,SWs_PINS_H_30_34,SWs_PINS_H_35_39,SWs_PINS_H_40_44,SWs_PINS_H_45_49,SWs_PINS_H_50ov,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_19,SWs_Tot_H_20_29,SWs_Tot_H_30_34,SWs_Tot_H_35_39,SWs_Tot_H_40_44,SWs_Tot_H_45_49,SWs_Tot_H_50ov,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_19,MaOpD_NNI_H_20_29,MaOpD_NNI_H_30_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40_44,MaOpD_NNI_H_45_49,MaOpD_NNI_H_50ov,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_19,MaOpD_1_149_H_20_29,MaOpD_1_149_H_30_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40_44,MaOpD_1_149_H_45_49,MaOpD_1_149_H_50ov,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_19,MaOpD_150_299_H_20_29,MaOpD_150_299_H_30_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40_44,MaOpD_150_299_H_45_49,MaOpD_150_299_H_50ov,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_19,MaOpD_300_399_H_20_29,MaOpD_300_399_H_30_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40_44,MaOpD_300_399_H_45_49,MaOpD_300_399_H_50ov,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot,MaOpD_400_499_H_0,MaOpD_400_499_H_1_19,MaOpD_400_499_H_20_29,MaOpD_400_499_H_30_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40_44,MaOpD_400_499_H_45_49,MaOpD_400_499_H_50ov,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_19,MaOpD_500_649_H_20_29,MaOpD_500_649_H_30_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40_44,MaOpD_500_649_H_45_49,MaOpD_500_649_H_50ov,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_19,MaOpD_650_799_H_20_29,MaOpD_650_799_H_30_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40_44,MaOpD_650_799_H_45_49,MaOpD_650_799_H_50ov,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_19,MaOpD_800_999_H_20_29,MaOpD_800_999_H_30_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40_44,MaOpD_800_999_H_45_49,MaOpD_800_999_H_50ov,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_19,MaOpD_1000_1249_H_20_29,MaOpD_1000_1249_H_30_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40_44,MaOpD_1000_1249_H_45_49,MaOpD_1000_1249_H_50ov,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_19,MaOpD_1250_1499_H_20_29,MaOpD_1250_1499_H_30_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40_44,MaOpD_1250_1499_H_45_49,MaOpD_1250_1499_H_50ov,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_19,MaOpD_1500_1749_H_20_29,MaOpD_1500_1749_H_30_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40_44,MaOpD_1500_1749_H_45_49,MaOpD_1500_1749_H_50ov,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_19,MaOpD_1750_1999_H_20_29,MaOpD_1750_1999_H_30_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40_44,MaOpD_1750_1999_H_45_49,MaOpD_1750_1999_H_50ov,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_19,MaOpD_2000_2999_H_20_29,MaOpD_2000_2999_H_30_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40_44,MaOpD_2000_2999_H_45_49,MaOpD_2000_2999_H_50ov,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000_3499_H_0,MaOpD_3000_3499_H_1_19,MaOpD_3000_3499_H_20_29,MaOpD_3000_3499_H_30_34,MaOpD_3000_3499_H_35_39,MaOpD_3000_3499_H_40_44,MaOpD_3000_3499_H_45_49,MaOpD_3000_3499_H_50ov,MaOpD_3000_3499_H_NS,MaOpD_3000_3499_H_Tot,MaOpD_3500mo_H_0,MaOpD_3500mo_H_1_19,MaOpD_3500mo_H_20_29,MaOpD_3500mo_H_30_34,MaOpD_3500mo_H_35_39,MaOpD_3500mo_H_40_44,MaOpD_3500mo_H_45_49,MaOpD_3500mo_H_50ov,MaOpD_3500mo_H_NS,MaOpD_3500mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_19,MaOpD_PINS_H_20_29,MaOpD_PINS_H_30_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40_44,MaOpD_PINS_H_45_49,MaOpD_PINS_H_50ov,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_19,MaOpD_Tot_H_20_29,MaOpD_Tot_H_30_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40_44,MaOpD_Tot_H_45_49,MaOpD_Tot_H_50ov,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_19,Lab_NNI_H_20_29,Lab_NNI_H_30_34,Lab_NNI_H_35_39,Lab_NNI_H_40_44,Lab_NNI_H_45_49,Lab_NNI_H_50ov,Lab_NNI_H_NS,Lab_NNI_H_Tot
LGA50080,0,3,0,0,5,0,0,0,3,14,80,498,289,130,282,194,71,67,13,1632,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,14,0,12,3,0,0,0,0,4,0,22,3,14,15,0,0,4,0,0,0,37,0,22,19,6,5,0,3,7,0,57,0,8,14,11,15,8,3,6,0,76,5,5,11,18,15,28,16,8,0,102,6,4,8,7,47,46,31,44,0,198,8,0,0,4,14,33,20,47,4,131,6,3,4,0,7,13,20,50,0,109,3,0,0,4,0,12,11,20,0,56,4,3,0,0,5,17,17,31,3,78,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,7,3,11,0,0,0,0,0,7,4,4,0,11,43,94,78,62,111,176,114,222,21,915,4,11,6,0,0,0,0,0,0,14
LGA50210,0,8,5,5,3,0,0,0,5,20,97,936,460,206,331,155,49,60,24,2319,0,0,0,0,0,0,0,0,0,6,5,17,0,0,0,0,0,0,0,27,0,38,4,8,0,0,0,0,0,49,0,26,7,0,0,0,0,0,0,36,6,21,20,8,0,3,0,0,0,55,0,17,27,9,4,11,3,0,0,71,0,8,16,19,28,21,0,3,3,99,3,3,26,19,72,40,9,18,3,187,7,3,9,19,89,70,21,37,8,265,6,6,3,4,43,44,33,48,0,187,5,0,3,0,11,22,13,43,7,106,0,0,0,4,12,24,18,34,0,90,0,0,4,0,8,10,8,51,4,85,3,0,0,0,0,0,6,7,0,18,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,3,0,0,12,44,148,121,85,265,245,102,259,22,1289,0,12,0,0,3,0,0,0,0,23
LGA50250,0,0,0,0,0,0,0,0,0,0,3,37,21,17,17,19,7,25,3,156,9,0,0,0,0,0,0,4,0,14,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,8,0,4,5,0,0,0,0,3,0,20,7,3,0,0,0,5,0,18,0,43,27,5,5,3,8,3,3,62,0,120,25,8,0,0,9,10,7,117,4,179,48,15,12,5,13,14,18,198,8,328,72,16,4,3,9,17,16,293,19,459,304,51,46,6,51,36,81,1280,31,1893,75,9,4,0,10,19,19,373,9,511,39,10,9,0,4,4,10,163,0,235,3,0,0,0,0,0,0,20,5,33,617,127,87,26,102,111,157,2538,82,3852,5,0,0,0,0,0,0,5,0,7
LGA50280,0,0,3,0,0,5,0,0,0,4,32,219,131,62,70,60,20,26,4,626,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,5,5,0,0,0,0,0,0,19,0,3,8,3,0,0,0,0,0,18,0,0,8,3,0,9,0,4,3,27,0,4,4,4,6,6,0,3,0,33,4,6,4,0,23,9,3,6,0,53,3,3,0,0,12,7,0,7,0,34,4,0,0,0,3,4,0,7,0,27,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,4,0,18,0,20,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,35,37,18,48,33,11,50,5,250,0,3,0,0,0,0,0,0,0,11
LGA50350,0,0,0,0,0,0,0,0,0,5,9,112,63,26,59,69,19,28,11,404,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,14,0,9,7,6,4,0,0,0,0,30,0,8,9,7,20,10,0,3,0,59,3,0,3,12,63,50,9,6,3,148,0,0,0,11,42,31,17,8,0,115,6,0,0,5,24,17,6,21,0,80,0,0,0,6,5,14,11,21,0,54,0,0,0,0,5,10,0,19,0,36,0,0,0,3,6,8,9,26,0,48,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,8,10,42,34,47,180,137,52,111,9,612,0,3,0,0,0,0,0,0,0,5
LGA50420,0,8,0,3,3,0,0,0,3,19,88,957,484,235,335,209,79,124,30,2536,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,26,0,27,3,0,0,5,0,0,0,39,0,22,12,3,0,0,0,0,5,43,4,23,15,6,3,4,0,0,0,56,0,20,27,8,9,5,0,0,0,74,0,13,20,18,37,15,3,6,0,109,3,18,20,20,67,65,13,20,5,221,4,12,8,13,75,74,29,35,3,254,3,5,5,5,39,40,27,36,6,156,6,3,0,4,19,29,10,41,3,115,5,0,3,0,0,16,5,27,0,58,0,0,0,0,3,7,7,36,0,69,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,4,6,15,0,0,0,0,0,0,0,7,3,11,34,157,118,78,244,271,99,228,21,1248,6,8,0,0,0,0,0,0,0,15
LGA50490,0,6,0,6,9,0,0,0,13,35,153,980,638,256,594,522,132,169,42,3486,4,0,6,0,0,0,0,0,4,21,3,22,5,0,0,0,0,0,4,40,0,42,13,5,0,3,0,0,0,66,4,54,25,5,3,5,0,4,0,99,10,42,45,10,11,0,0,0,4,128,10,47,80,36,19,32,5,5,4,236,15,50,96,52,90,60,10,13,3,389,21,51,77,136,310,220,51,52,13,939,45,57,65,107,436,400,108,125,12,1361,34,20,31,44,226,247,99,181,11,880,33,20,16,22,137,161,82,209,12,684,37,10,11,14,82,72,51,187,5,470,107,26,24,3,82,85,75,482,14,886,21,0,0,0,11,18,13,90,0,164,19,0,6,0,8,10,6,64,4,115,4,3,0,5,0,14,0,10,19,50,374,447,486,439,1415,1321,514,1432,93,6525,4,6,0,0,4,4,0,3,0,22
LGA50560,0,0,0,0,0,0,0,0,0,0,0,11,3,0,3,3,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,10,3,7,0,32,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,16,0,0,3,0,4,3,4,14,0,30,14,0,0,0,0,5,3,20,3,48,5,5,4,0,4,4,8,49,0,77,14,6,12,0,4,14,22,90,3,157,61,14,13,0,11,23,14,247,3,384,9,0,0,0,0,0,0,41,0,65,3,0,0,0,0,0,0,19,0,25,0,0,0,0,0,0,0,4,0,8,121,30,32,0,25,53,52,497,14,821,5,0,0,0,0,0,0,0,0,5
LGA50770,0,0,0,0,0,0,0,0,0,0,0,8,3,6,8,6,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,5,15,0,3,0,41,0,0,0,0,0,0,0,0,0,0
