POW_LGA_CODE_2021,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000_3499_A_15_19,ClAW_3000_3499_A_20_24,ClAW_3000_3499_A_25_34,ClAW_3000_3499_A_35_44,ClAW_3000_3499_A_45_54,ClAW_3000_3499_A_55_64,ClAW_3000_3499_A_65_74,ClAW_3000_3499_A_75ov,ClAW_3000_3499_Tot,ClAW_3500mo_A_15_19,ClAW_3500mo_A_20_24,ClAW_3500mo_A_25_34,ClAW_3500mo_A_35_44,ClAW_3500mo_A_45_54,ClAW_3500mo_A_55_64,ClAW_3500mo_A_65_74,ClAW_3500mo_A_75ov,ClAW_3500mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov
LGA50080,0,0,14,247,222,367,454,559,482,88,4,2438,0,0,4,4,0,3,0,0,7,11,0,3,4,4,8,8,0,29,9,0,7,12,7,10,9,0,50,0,0,11,16,16,13,3,3,69,3,3,16,21,24,24,5,0,93,9,9,24,39,35,40,14,0,166,3,19,34,46,39,43,12,0,206,5,18,35,53,69,78,19,0,278,8,18,78,70,91,100,23,0,385,0,9,28,42,81,64,14,0,237,0,0,17,29,41,44,6,0,135,0,0,0,9,22,24,3,0,67,0,0,5,17,26,24,0,0,78,0,0,6,4,0,8,0,0,14,0,0,0,0,5,7,0,0,15,0,0,0,5,6,5,0,0,6,52,75,274,368,457,473,125,11,1834,3,0,0,0,0,0,0,0,8,196,0,0,4,3,0,0,0,206,90,12,9,7,4,12,0,0,141,38,10,12,12,10,13,4,0
LGA50210,4,0,23,253,414,715,720,620,427,107,0,3268,0,5,6,0,6,0,0,0,17,7,3,4,8,7,0,3,0,32,8,11,19,16,13,8,3,0,81,5,17,19,15,13,19,0,5,88,0,9,23,26,15,19,5,0,100,9,21,40,46,32,40,16,0,208,5,20,61,66,62,50,11,0,276,11,30,75,75,85,58,19,0,355,4,31,95,97,117,83,14,0,430,5,9,59,64,89,58,14,0,290,3,0,22,40,49,38,9,0,160,0,0,20,17,21,24,3,0,91,0,0,12,20,22,13,0,0,77,0,0,4,4,0,3,0,0,16,0,0,7,3,13,7,0,0,24,0,3,0,0,7,3,0,0,13,55,160,462,507,537,425,105,15,2258,8,0,0,0,3,0,6,0,18,332,8,9,0,0,5,0,0,360,205,63,15,10,12,11,7,0,315,85,55,27,20,12,16,0,0
LGA50250,0,0,7,19,39,144,119,80,42,11,0,458,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,0,7,0,0,0,3,0,0,0,0,4,0,0,3,5,0,0,0,0,13,0,0,9,3,0,0,0,0,11,0,3,8,5,3,0,0,0,24,0,3,12,4,5,6,0,0,32,4,6,10,16,8,9,0,0,51,0,7,29,13,21,11,0,0,83,0,4,28,24,24,15,0,0,87,0,3,12,24,16,9,0,0,63,0,3,32,62,41,35,0,0,173,0,0,6,13,11,14,5,0,40,0,0,3,14,12,12,0,0,44,0,3,0,0,0,3,0,0,6,11,33,153,191,144,99,11,3,653,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,12,0,0,3,4,0,0,0,0
LGA50280,0,0,3,102,61,173,179,141,118,18,4,794,0,0,0,5,0,3,3,0,9,0,0,0,0,0,0,0,0,7,6,0,0,6,7,0,0,0,15,0,0,3,3,8,7,4,0,27,0,0,5,18,9,11,6,0,44,5,4,9,21,16,16,9,0,81,0,0,13,29,20,30,5,0,95,0,0,16,17,23,21,10,0,87,0,4,15,28,27,27,4,0,103,0,7,5,10,17,14,4,0,64,0,0,0,12,9,12,0,0,41,0,0,0,6,6,0,0,0,13,0,0,0,3,3,9,0,0,13,0,0,0,0,7,0,0,0,8,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,6,9,11,67,157,150,157,52,8,611,3,0,0,0,0,0,0,0,7,80,0,0,6,0,0,3,0,86,18,3,3,4,3,5,4,0,45,3,3,8,5,9,4,0,0
LGA50350,0,0,3,57,85,131,128,109,108,29,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,8,0,0,0,7,7,0,4,0,21,0,0,6,10,10,4,0,0,42,0,5,5,12,12,11,0,0,46,4,8,16,15,11,14,5,0,67,4,13,32,34,27,25,3,0,140,0,13,41,35,50,37,6,0,185,0,5,23,30,34,19,7,0,123,0,0,3,24,19,13,0,0,65,0,0,4,9,8,9,5,0,37,0,0,9,10,15,15,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,51,151,192,198,148,45,8,809,0,0,0,0,0,0,0,0,6,21,6,0,0,0,0,0,0,25,25,9,4,3,3,0,0,0,39,4,9,0,5,3,3,0,0
LGA50420,4,0,15,296,446,679,637,640,436,105,11,3246,0,0,4,3,0,0,0,0,6,15,0,0,8,7,9,5,0,37,4,16,16,14,3,5,4,0,66,6,21,6,20,5,24,5,0,90,3,12,20,22,24,29,7,0,114,7,18,30,41,38,32,31,4,204,5,30,53,66,44,39,13,3,257,3,44,52,57,83,79,25,3,345,0,22,87,73,94,100,21,0,404,0,8,51,73,93,64,11,0,298,0,0,21,49,46,47,14,0,183,0,4,19,23,22,25,4,0,96,0,0,22,27,26,24,5,0,96,0,0,0,4,3,5,0,0,21,0,0,0,5,11,12,0,0,28,0,3,5,0,0,3,6,0,14,35,181,387,478,503,488,156,25,2254,4,0,0,0,0,0,0,0,15,280,24,3,0,5,4,4,0,321,153,69,22,18,15,14,4,0,293,69,79,34,19,19,15,10,0
LGA50490,0,0,32,194,673,1321,1070,877,587,150,5,4873,0,0,4,3,3,3,0,0,17,10,8,9,12,0,7,0,0,47,11,16,13,10,4,10,5,6,72,3,16,10,15,16,12,10,0,85,6,15,37,31,14,15,13,0,134,11,33,65,56,38,46,27,6,284,15,54,102,115,73,66,28,5,457,13,100,249,142,144,127,37,0,822,12,110,368,294,277,247,50,0,1365,0,42,315,302,280,240,43,3,1225,6,21,184,216,241,168,33,0,869,0,10,98,108,124,88,14,0,450,0,4,97,149,153,111,16,0,542,0,0,18,41,25,14,8,0,108,0,0,12,32,38,23,7,3,119,0,3,3,5,12,7,0,0,26,88,436,1587,1534,1466,1185,292,23,6607,8,0,10,0,0,0,0,0,20,217,28,10,6,0,3,3,0,266,132,91,22,7,10,9,3,0,280,43,80,34,21,18,13,12,0
LGA50560,0,0,0,0,3,4,7,8,11,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,9,0,0,0,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,19,12,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
LGA50630,0,0,0,8,4,21,20,26,13,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,6,0,0,0,0,4,3,0,0,8,0,4,3,0,0,0,0,0,11,0,0,4,3,0,0,0,0,9,0,0,0,4,0,7,4,0,10,0,0,7,0,0,5,0,0,11,0,0,8,4,5,3,0,0,15,0,0,0,3,6,3,0,0,12,0,0,4,5,5,8,0,0,17,0,0,0,3,6,0,0,0,3,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,4,20,27,30,36,9,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,3,6,4,5,14,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,6,0,0,10,0,0,5,0,0,0,0,0,8,0,0,0,0,0,5,0,0,7,0,0,4,0,4,0,0,0,9,0,0,0,0,0,4,0,0,3,0,0,6,0,5,3,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,19,18,4,5,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
