POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA54410,0,93,0,94,0,10,0,10,0,20,0,24,0,8,0,8,0,17,0,17,0,12,0,12,0,40,0,36,0,23,0,24,0,12,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,8,0,8,0,37,0,37,0,26,0,26,0,64,0,69,0,3,0,3,0,3,0,3,0,20,0,20,15,396,0,411
LGA54480,0,174,6,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,8,0,8,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,24,0,24,0,24,0,3,0,3,0,0,0,0,0,0,0,0,0,11,0,11,5,256,6,267
LGA54550,0,410,5,412,0,0,0,0,3,27,0,30,0,8,0,8,0,30,0,35,0,26,0,24,7,45,0,49,0,21,0,21,0,48,0,55,0,0,0,0,0,11,0,11,0,4,0,4,0,32,0,32,0,7,0,7,7,40,0,47,0,61,0,61,4,57,0,58,0,0,0,0,0,33,0,32,0,40,3,47,31,903,7,945
LGA54620,0,205,0,210,0,239,0,243,0,13,0,13,0,8,0,8,4,40,0,38,0,13,0,13,0,17,0,20,0,25,0,23,0,18,0,18,0,0,0,0,0,0,0,0,0,9,0,9,0,4,0,4,0,13,0,17,0,26,0,34,0,24,0,24,0,28,0,30,0,0,0,0,0,7,0,7,0,14,0,15,15,715,6,727
LGA54690,0,85,0,85,0,3,0,3,0,0,0,0,0,6,0,6,0,7,0,7,0,19,0,17,0,10,0,12,0,8,0,8,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,0,26,0,13,0,13,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,187,0,190
LGA54760,0,231,0,231,0,3,0,3,0,4,0,4,0,4,0,4,0,17,0,17,0,14,0,14,0,10,0,10,0,12,0,12,0,12,0,12,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,4,25,0,29,3,31,0,36,0,3,0,3,0,0,0,0,0,9,0,9,0,8,0,8,5,391,0,394
LGA54830,7,380,4,392,18,1066,9,1082,57,3536,16,3609,10,633,0,639,42,2514,7,2566,11,477,0,485,24,1032,0,1060,19,691,0,712,24,953,5,976,0,40,0,40,0,55,0,55,0,181,0,186,6,386,0,390,8,392,0,408,33,1088,4,1123,37,1203,0,1234,29,993,6,1031,4,132,0,136,10,415,0,422,29,947,3,980,353,17124,47,17533
LGA54900,0,366,4,369,0,8,0,8,0,4,0,8,0,5,0,5,0,24,0,34,0,53,0,53,0,43,0,47,0,29,0,28,4,45,0,49,0,0,0,0,0,12,0,12,0,0,0,0,0,4,0,4,0,8,0,8,0,29,0,29,0,57,0,57,3,48,0,51,0,4,0,4,0,18,0,18,0,20,0,24,14,775,0,796
LGA54970,5,4,0,10,55,2500,4,2561,0,49,0,49,0,14,0,14,3,82,0,83,0,21,0,21,0,7,0,11,6,128,0,132,0,39,0,36,0,3,0,3,0,0,0,0,0,5,0,5,0,20,0,20,4,61,0,72,17,36,0,54,12,19,0,28,7,22,5,38,0,5,0,8,0,9,0,12,4,58,0,66,116,3080,8,3209
LGA55040,6,18,0,17,64,1948,10,2025,10,367,0,374,5,11,0,15,15,118,0,134,0,13,0,13,0,12,0,17,0,78,0,77,6,66,0,68,5,0,0,3,0,0,0,0,0,32,0,33,3,9,0,12,3,74,0,80,7,41,0,46,9,43,0,53,9,31,0,40,4,4,0,10,0,29,0,25,0,69,0,74,140,2975,7,3130
