POW_LGA_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
LGA50080,80,3,9,17,21,3,17,0,6,162,4,0,0,0,0,0,0,0,0,5,35,4,3,12,23,9,12,0,0,104,9,0,5,4,3,7,0,0,0,29,110,9,13,18,26,19,13,0,3,209,18,5,4,0,3,3,0,0,0,45,143,13,17,17,52,30,25,0,4,318,57,9,11,23,82,86,67,3,4,349,48,3,4,9,6,12,0,0,3,88,6,0,0,0,5,0,3,0,0,22,18,0,6,3,12,0,4,0,0,35,18,3,5,0,8,0,3,0,0,37,67,10,17,13,28,8,9,0,5,149,26,0,3,0,11,16,15,0,0,71,123,15,10,24,39,21,4,0,5,241,175,19,24,31,38,35,22,0,10,349,305,53,58,94,192,142,81,4,13,948,16,3,0,3,5,7,0,0,0,39,41,3,0,10,26,21,11,0,0,115,28,0,8,13,20,14,6,0,3,101
LGA50210,36,5,4,6,14,15,25,0,0,112,19,8,3,9,21,17,11,0,7,91,102,22,19,29,69,56,34,0,0,333,29,0,3,8,5,8,0,0,0,51,153,24,43,56,141,132,46,0,5,595,48,12,13,24,52,40,9,0,0,194,222,38,47,111,205,126,94,0,7,845,53,16,24,58,202,134,94,4,10,598,99,16,21,33,126,86,54,0,6,444,13,0,3,8,17,11,4,0,0,56,27,6,8,8,19,14,9,0,0,76,38,4,9,5,13,6,0,0,0,71,70,11,19,29,47,56,18,0,4,250,64,15,16,17,68,46,47,0,5,269,133,27,23,42,70,70,15,0,0,383,356,62,96,139,214,166,67,0,8,1104,457,89,128,242,538,429,173,6,9,2066,25,0,3,6,16,13,7,0,0,80,90,23,15,21,65,64,24,0,3,302,86,23,35,41,136,99,55,0,23,495
LGA50250,0,3,0,5,0,3,8,0,0,20,636,118,187,252,557,431,159,5,50,2395,12,0,5,0,9,13,5,0,0,46,6,4,0,6,7,9,4,0,0,41,138,33,48,60,165,140,48,0,4,639,21,3,5,3,11,9,4,0,4,57,5,0,0,4,10,11,6,0,0,37,62,19,19,36,79,82,84,0,0,385,29,6,16,7,15,18,7,4,0,103,0,0,0,0,0,6,0,0,0,9,0,0,0,4,0,0,0,0,0,8,12,4,0,0,23,27,19,0,0,83,19,9,3,8,24,19,9,0,0,89,34,8,12,16,20,31,28,0,0,138,15,3,3,7,11,13,3,0,0,62,16,3,4,10,11,10,7,0,0,60,12,0,3,5,12,20,8,0,0,63,0,0,0,0,3,0,0,0,0,6,0,4,0,4,15,6,0,0,0,35,19,7,9,17,49,41,17,3,14,170
LGA50280,52,10,11,10,12,18,50,0,49,211,0,0,0,0,3,3,0,0,0,8,37,14,11,25,46,38,54,0,3,224,3,0,0,0,0,0,0,0,0,8,29,5,15,18,15,11,5,0,4,101,4,0,5,0,4,0,5,0,0,23,57,11,9,20,24,32,14,0,5,178,66,10,20,26,49,81,64,0,4,323,17,0,3,0,4,0,3,0,0,36,6,0,0,0,0,3,0,0,0,10,8,0,4,4,0,0,0,0,0,18,12,7,0,3,3,0,5,0,0,33,30,4,12,10,19,6,6,0,0,88,22,5,6,4,12,16,7,0,8,75,24,0,3,10,7,6,0,0,0,53,60,9,15,15,22,9,5,0,0,141,57,15,14,18,26,22,19,0,4,179,20,0,0,3,5,8,0,0,0,33,22,5,0,0,7,15,5,0,0,58,34,3,4,7,12,9,12,0,4,84
LGA50350,0,0,0,0,0,0,0,0,0,4,12,0,8,12,23,7,3,0,0,65,182,46,38,79,194,153,46,4,8,744,4,0,0,3,7,0,0,0,0,23,57,13,20,29,62,58,25,0,0,270,46,12,14,22,41,40,13,0,0,182,39,0,7,15,26,17,20,0,0,127,17,11,10,15,36,25,22,0,4,135,28,12,20,16,15,17,18,0,0,118,4,4,0,0,0,0,0,0,0,15,3,0,0,4,0,3,0,0,0,13,15,3,10,7,7,9,4,0,0,55,39,3,12,14,19,10,7,0,0,95,14,5,3,0,11,11,8,0,0,56,18,5,4,3,15,20,3,0,0,67,56,16,14,12,19,14,0,0,0,129,63,5,14,31,56,48,49,0,0,274,5,3,0,0,0,6,0,0,0,21,28,6,5,20,31,26,9,0,0,129,49,19,15,14,56,35,25,0,8,226
LGA50420,0,0,0,4,4,11,8,0,0,34,25,11,11,16,34,30,17,0,4,152,186,53,49,81,127,134,93,0,9,723,24,3,0,8,12,9,3,0,0,67,164,40,47,60,147,155,60,0,5,676,53,12,14,7,37,44,16,0,3,184,278,66,83,111,218,189,162,0,11,1122,108,31,43,60,200,207,228,0,19,908,90,24,22,22,68,57,48,0,6,340,9,6,3,9,10,14,6,0,0,62,34,8,15,10,20,20,7,0,0,114,39,5,10,5,16,12,8,0,0,94,124,26,48,41,66,67,52,0,4,430,74,17,8,21,41,63,48,0,5,278,150,22,21,22,64,48,18,0,5,346,243,35,56,68,102,73,37,0,5,632,360,117,113,153,382,328,265,0,15,1739,36,6,9,12,19,19,22,0,0,114,158,29,41,53,125,119,85,0,13,615,108,35,47,57,108,99,91,8,27,579
LGA50490,11,0,0,10,12,8,8,0,0,49,364,102,144,253,459,351,168,5,20,1865,236,63,71,109,262,223,109,0,4,1085,44,3,6,17,64,38,11,0,0,181,288,59,79,130,321,317,124,3,18,1331,235,72,68,113,281,250,125,9,7,1158,358,88,121,231,514,406,313,0,20,2056,132,48,50,87,272,302,259,0,11,1162,948,222,313,415,1016,722,526,11,45,4219,33,3,19,13,29,37,29,0,0,165,51,7,7,18,29,35,15,0,3,152,66,16,17,24,69,52,29,0,0,279,197,60,71,127,263,234,148,0,17,1108,139,46,49,87,151,169,164,0,12,823,282,56,72,88,177,148,84,0,0,909,128,42,56,61,112,86,49,0,4,530,400,98,117,174,460,413,232,5,35,1927,35,6,8,14,19,21,15,0,0,128,122,29,45,56,140,131,75,0,8,599,202,43,80,129,279,224,164,0,57,1178
LGA50560,12,6,0,3,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,9,6,0,0,0,4,3,5,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8
LGA50630,4,0,0,0,0,0,3,0,0,6,117,22,32,34,82,63,12,0,9,368,15,3,9,11,14,5,0,0,0,55,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,4,0,0,29,5,0,5,0,10,5,0,0,0,17,0,0,0,0,0,0,0,0,0,4,3,0,4,4,7,4,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,8,0,0,0,0,0,0,0,0,12,4,0,0,0,0,3,0,0,0,9,9,0,0,0,0,0,0,0,0,16,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,6,0,3,0,3,23
LGA50770,21,3,6,3,9,0,0,0,4,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,3,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
