POW_LGA_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
LGA50080,24,10,14,14,6,14,11,8,27,136,2026,3091,2267,2438,1834,1632,915,1810,233,16248
LGA50210,11,32,28,23,13,20,12,12,55,203,1962,4553,2990,3268,2258,2319,1289,2235,330,21189
LGA50250,0,4,39,7,6,0,33,22,34,146,748,1428,4630,458,653,156,3852,1481,323,13727
LGA50280,18,5,9,3,6,4,0,5,3,56,1174,1040,959,794,611,626,250,940,91,6483
LGA50350,7,8,13,3,0,5,8,0,20,63,711,850,1482,657,809,404,612,775,117,6420
LGA50420,14,30,35,15,14,19,11,21,51,214,2435,3876,3527,3246,2254,2536,1248,2156,314,21593
LGA50490,33,38,61,32,26,35,50,23,119,419,6088,7640,6489,4873,6607,3486,6525,3449,829,45984
LGA50560,0,0,0,0,0,0,0,0,0,8,172,53,47,36,46,22,32,63,13,490
LGA50630,0,0,11,0,0,0,8,0,8,36,177,245,703,83,129,23,821,185,53,2411
LGA50770,5,0,0,0,0,0,0,0,0,8,276,56,48,45,69,34,41,87,4,666
LGA50840,4,0,12,0,0,0,5,3,0,17,345,288,410,195,196,140,312,285,39,2199
LGA50910,5,0,0,0,0,0,0,0,0,5,136,39,44,49,38,18,46,58,0,421
LGA50980,8,13,5,13,13,0,5,7,40,120,1104,1881,994,1189,1020,571,310,749,171,7995
LGA51080,4,0,0,0,0,0,0,0,0,0,198,17,17,13,28,3,26,55,0,361
LGA51120,0,0,0,0,0,0,0,0,0,0,150,39,70,27,40,12,37,50,7,432
LGA51190,9,23,34,19,16,18,8,24,59,210,2261,4786,3743,3343,3575,2368,1747,2745,361,24932
LGA51260,24,17,23,27,7,14,10,24,22,166,2165,2691,2384,2232,1705,1824,705,2020,231,15954
LGA51310,10,23,15,13,9,3,0,11,19,98,1676,4866,1170,2357,1950,847,193,758,172,13993
LGA51330,51,59,94,40,47,41,45,37,155,561,7641,8393,10147,4992,8188,6135,8161,6331,1100,61088
LGA51400,8,3,4,3,0,0,10,0,9,45,414,602,505,379,287,259,234,503,54,3240
LGA51470,4,0,0,0,0,0,0,0,0,7,90,22,33,17,25,13,44,34,5,287
LGA51540,10,0,0,0,0,5,3,4,12,38,456,315,287,285,276,187,189,378,49,2420
LGA51610,0,0,5,0,0,0,0,0,0,4,134,19,46,12,29,3,39,53,0,323
LGA51680,5,4,3,0,6,0,4,0,8,24,304,181,306,94,178,74,166,223,27,1549
LGA51710,4,0,0,0,0,0,0,0,0,9,116,114,146,157,94,15,80,110,15,854
LGA51750,8,10,3,10,5,8,0,0,18,57,863,1900,598,1023,652,1134,128,451,92,6847
LGA51820,35,48,94,51,35,38,30,45,122,500,6210,7609,10524,5039,6113,4015,4618,5026,876,50040
