SA3_CODE_2021,C11_Neg_Ni_inc_1PF_1C,C11_Neg_Ni_inc_1PF_2C,C11_Neg_Ni_inc_1PF_3C,C11_Neg_Ni_inc_1PF_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_Tot,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_Tot,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_Tot,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_Tot,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_Tot,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_Tot,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_Tot,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_Tot,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_Tot,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_Tot,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_Tot,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_Tot,C11_4000more_1PF_1C,C11_4000more_1PF_2C,C11_4000more_1PF_3C,C11_4000more_1PF_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_Tot,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_1PF_1C,C16_Neg_Ni_inc_1PF_2C,C16_Neg_Ni_inc_1PF_3C,C16_Neg_Ni_inc_1PF_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_Tot,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_Tot,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_Tot,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_Tot,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_Tot,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_Tot,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_Tot,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_Tot,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_Tot,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_Tot,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_Tot,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_Tot,C16_4000more_1PF_1C,C16_4000more_1PF_2C,C16_4000more_1PF_3C,C16_4000more_1PF_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_Tot,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_1PF_1C,C21_Neg_Ni_inc_1PF_2C,C21_Neg_Ni_inc_1PF_3C,C21_Neg_Ni_inc_1PF_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_1PF_1C,C21_1_149_1PF_2C,C21_1_149_1PF_3C,C21_1_149_1PF_4mC,C21_1_149_Tot,C21_150_299_1PF_1C,C21_150_299_1PF_2C,C21_150_299_1PF_3C,C21_150_299_1PF_4mC,C21_150_299_Tot,C21_300_399_1PF_1C,C21_300_399_1PF_2C,C21_300_399_1PF_3C,C21_300_399_1PF_4mC,C21_300_399_Tot,C21_400_499_1PF_1C,C21_400_499_1PF_2C,C21_400_499_1PF_3C,C21_400_499_1PF_4mC,C21_400_499_Tot,C21_500_649_1PF_1C,C21_500_649_1PF_2C,C21_500_649_1PF_3C,C21_500_649_1PF_4mC,C21_500_649_Tot
50101,16,3,0,0,21,15,5,5,0,25,33,12,9,0,55,74,44,13,4,128,142,105,24,6,274,36,23,7,0,60,123,96,23,12,255,111,55,16,0,182,123,65,14,3,208,55,20,12,0,87,18,7,5,3,29,4,15,4,0,22,7,3,0,0,18,0,0,0,0,0,80,61,25,6,165,22,10,0,4,36,849,513,166,43,1572,18,18,0,0,35,7,11,5,0,18,33,14,4,0,59,49,35,5,5,88,74,39,15,4,136,118,84,28,3,239,96,78,26,7,201,116,65,18,10,202,192,129,44,11,375,96,38,21,0,152,46,33,3,3,87,11,7,3,0,26,10,11,4,3,28,10,3,0,0,13,88,58,23,8,175,14,9,4,6,26,970,623,201,62,1852,11,5,0,0,24,3,0,0,0,4,16,13,0,0,26,26,16,3,0,40,47,30,6,0,90,82,57,22,3,161
50102,20,11,0,0,36,16,18,10,0,54,95,42,10,5,153,164,77,31,6,275,258,238,77,31,604,83,35,17,3,140,271,165,73,26,533,207,104,37,20,368,342,157,54,23,576,193,107,29,4,325,68,27,9,6,104,77,36,11,0,122,28,9,0,0,42,7,0,0,0,8,143,131,68,21,357,57,26,15,7,109,2026,1201,440,154,3822,33,30,9,0,80,15,14,7,4,37,76,44,14,11,141,89,65,13,6,178,203,99,21,11,331,270,195,57,20,545,263,163,78,40,541,253,115,48,21,434,415,221,52,31,712,217,121,36,20,392,131,66,29,5,228,54,26,0,0,85,43,28,4,0,72,20,11,4,0,34,173,123,57,26,383,46,31,4,6,78,2297,1344,435,201,4274,32,18,7,3,59,19,6,0,3,25,38,19,3,0,62,80,39,11,4,139,123,73,22,5,232,224,137,55,18,435
50103,3,5,3,0,10,5,0,0,0,12,21,14,3,0,29,50,18,7,3,82,76,55,13,4,143,21,12,4,6,43,51,36,11,7,105,51,16,7,0,75,67,24,10,7,116,12,9,4,0,31,12,11,0,0,22,5,6,0,0,18,0,0,0,0,4,0,0,0,0,0,26,14,13,5,60,9,6,3,0,23,414,234,74,39,754,7,4,0,0,17,5,0,3,0,3,20,9,6,0,34,41,11,3,0,57,42,16,6,0,61,35,38,15,0,88,58,21,13,9,95,53,27,4,0,85,69,26,8,4,110,22,13,0,4,49,24,4,0,0,30,8,4,0,5,15,8,4,0,0,9,0,0,0,0,4,33,24,18,4,72,9,0,4,0,16,424,205,80,27,733,3,0,0,0,6,3,0,0,0,8,11,0,0,0,8,16,8,3,0,26,26,18,5,0,50,35,14,16,0,62
50201,41,7,5,0,57,35,15,9,3,60,99,51,16,6,168,176,67,19,11,280,279,201,96,19,599,82,41,22,11,151,263,150,67,33,513,198,113,45,18,375,266,140,63,24,490,142,74,28,7,254,81,25,6,0,112,52,25,5,4,82,24,13,5,3,41,4,0,0,0,4,125,121,51,26,321,69,22,14,12,111,1935,1063,440,177,3617,62,28,11,0,104,26,16,3,4,51,87,42,9,9,138,114,67,23,6,215,193,75,30,16,311,263,188,62,21,544,226,163,67,37,494,229,117,58,22,436,400,184,70,29,687,209,125,30,12,375,118,65,12,4,204,38,29,11,5,80,42,37,7,0,84,11,6,0,0,29,168,120,58,29,379,53,28,8,0,87,2241,1309,473,194,4217,51,22,9,5,84,19,13,4,0,35,34,20,5,4,65,80,43,11,7,137,141,68,29,12,248,260,195,61,18,537
50301,24,25,15,0,56,12,10,0,0,22,32,17,3,0,48,31,17,6,0,55,49,28,8,0,88,20,7,3,0,33,73,29,15,0,114,71,27,21,0,129,165,84,13,3,271,119,56,16,0,194,53,16,11,0,87,123,92,41,11,262,48,25,13,5,96,8,17,5,0,31,93,82,28,17,212,15,3,0,0,14,931,541,199,38,1714,42,31,6,0,83,14,9,3,0,27,21,5,0,0,32,21,9,0,0,33,28,14,0,0,45,57,12,4,0,79,67,18,9,4,99,67,42,8,4,118,134,71,36,6,247,129,66,15,3,213,106,48,15,6,170,37,31,4,0,79,66,73,27,4,159,78,41,20,0,141,99,93,37,8,234,12,9,0,0,15,988,584,177,37,1783,38,15,5,0,58,17,4,5,0,24,16,6,0,0,25,20,8,4,0,25,28,9,10,0,46,42,20,5,0,67
50302,50,22,0,0,72,9,10,0,0,19,46,13,0,0,65,67,23,0,0,88,92,38,9,4,144,58,4,4,3,65,138,44,18,0,198,144,46,12,0,199,270,97,18,3,396,182,74,15,3,272,85,36,8,0,123,161,71,14,0,252,57,15,7,0,83,9,6,5,0,14,120,82,18,9,221,23,4,4,0,36,1507,586,130,29,2254,51,21,6,0,79,17,15,0,0,34,47,7,3,0,58,48,9,3,0,64,73,20,6,0,99,87,34,13,0,136,126,48,8,0,184,136,38,3,0,183,270,126,18,4,419,199,75,21,0,296,161,80,13,0,260,70,19,7,0,101,91,46,15,0,151,63,30,4,4,94,120,64,33,3,220,21,7,0,0,25,1574,659,170,18,2411,49,23,7,5,76,15,7,0,0,19,22,5,3,0,31,42,10,0,6,60,70,7,6,0,77,82,34,8,0,130
50401,30,15,3,3,52,21,13,0,0,36,82,44,9,3,131,104,38,9,4,156,180,116,26,7,329,74,24,9,0,108,221,87,36,19,356,209,84,19,8,320,444,148,36,14,644,195,103,21,6,321,112,45,4,3,168,89,52,18,3,166,39,20,0,3,62,3,5,10,0,13,156,95,49,14,318,60,15,3,4,86,2027,898,245,98,3265,49,16,11,0,71,17,11,0,0,31,59,29,5,0,90,58,41,9,6,108,110,56,4,0,180,159,76,25,9,270,181,69,36,6,297,191,77,25,6,302,432,162,38,16,641,229,105,27,8,369,156,64,14,3,241,80,27,11,4,124,57,36,10,0,108,24,23,9,0,60,158,96,33,16,303,34,17,0,0,55,1996,908,263,78,3246,51,16,5,0,72,8,9,0,0,20,27,12,6,3,49,41,33,5,0,88,89,41,11,0,142,140,58,16,4,215
50402,8,0,3,0,15,14,0,0,0,14,33,9,0,0,45,48,22,6,0,79,78,55,31,12,165,29,13,7,0,63,92,53,25,14,174,89,39,14,3,153,177,78,40,9,301,90,40,13,3,153,44,22,8,0,78,36,31,12,3,82,15,14,4,0,35,7,10,3,0,16,77,60,31,17,182,20,11,0,3,42,864,468,199,66,1598,14,15,4,3,35,9,0,0,0,11,25,16,3,3,46,19,15,6,4,46,36,29,13,7,77,62,46,17,5,127,76,40,14,5,142,95,46,20,3,166,167,91,26,8,298,125,49,20,3,198,84,43,14,3,143,35,16,0,0,54,17,15,6,0,42,10,17,4,0,29,94,67,33,16,211,22,8,0,0,29,905,503,181,52,1645,20,11,0,0,29,0,0,0,0,8,22,12,0,0,32,14,14,3,0,33,53,15,5,3,76,50,35,12,0,105
50403,30,21,11,0,69,37,32,5,5,74,91,41,18,5,155,166,72,37,21,294,221,194,79,35,534,105,39,11,11,169,286,156,64,37,550,237,127,51,21,433,483,248,78,37,836,268,156,38,9,465,113,74,15,0,207,84,48,9,11,156,29,30,9,4,74,4,3,6,0,12,174,155,63,37,431,69,33,27,16,140,2393,1433,521,251,4601,57,47,15,7,127,45,15,5,0,62,98,59,19,6,180,96,76,43,14,231,181,106,30,18,337,247,218,69,33,562,254,129,67,35,486,323,158,55,35,574,622,346,115,41,1124,399,212,53,23,678,237,121,26,5,392,114,59,11,3,190,60,59,14,9,145,28,18,8,4,55,236,146,72,54,502,59,22,14,13,104,3047,1790,615,306,5755,65,39,10,12,125,31,16,6,3,48,54,24,8,0,88,75,43,20,13,156,124,63,30,17,236,259,153,62,26,504
50501,42,19,6,0,70,35,22,5,3,61,76,42,16,4,136,141,59,15,4,226,260,156,50,6,464,93,33,9,0,141,275,170,53,28,520,299,169,46,9,526,625,294,92,21,1028,340,257,60,13,668,219,104,28,8,357,177,124,27,3,331,64,48,21,0,135,11,20,8,0,45,264,227,90,28,607,43,20,12,0,77,2968,1747,535,142,5386,52,31,15,6,99,22,25,0,0,47,59,29,11,4,103,65,61,16,0,136,129,67,26,7,231,199,115,38,12,360,238,128,38,24,431,310,132,39,14,497,573,334,77,23,1003,411,207,58,12,695,296,192,49,5,540,130,94,18,4,250,82,80,29,6,195,58,39,18,4,121,235,202,69,15,515,36,25,4,8,76,2900,1769,496,128,5301,33,25,12,4,69,29,9,5,0,39,29,14,7,0,48,65,35,8,5,115,111,61,16,3,187,175,109,22,4,304
