SA3_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
50101,0,0,27,268,233,24,15,4,0,546,30,31,15,14,7,4,105,4119,6779,2746,2806,1149,385,17982,3991,7204,2830,2996,1199,427,18648,763,410,99,64,14,0,1347,120,117,34,22,6,0,307,886,528,133,86,22,0,1649,26,27,5,3,0,0,68,0,0,0,0,0,0,0,5,9,0,0,0,0,18,0,0,0,0,0,0,0,14,10,3,3,0,0,29,48,49,11,4,0,0,114,195,96,9,15,7,4,318,11,0,3,0,0,0,17,4,9,0,3,0,5,16,206,103,17,19,4,4,358,25,30,4,12,5,0,73,5150,7912,2992,3118,1232,433,20841
50102,0,0,30,219,107,19,9,5,0,362,60,50,13,6,4,7,135,8655,13232,5634,5626,2367,1013,36528,7524,13197,5398,5579,2406,1069,35163,1940,858,215,88,31,20,3158,185,176,50,33,11,6,450,2123,1037,260,126,41,24,3611,360,141,35,15,6,0,558,65,31,8,4,0,0,104,8,4,0,0,0,0,15,12,17,0,0,0,0,32,5,3,0,0,0,0,11,458,195,43,19,8,8,724,218,116,10,7,4,0,361,12,7,4,0,0,0,20,12,11,5,0,0,0,31,245,130,18,8,3,0,408,44,17,12,3,5,0,77,10384,14575,5725,5734,2465,1099,39978
50103,0,0,23,31,39,9,7,7,0,85,20,23,8,4,3,0,52,2395,3567,998,995,465,217,8636,2287,3693,1013,977,472,205,8653,235,51,11,6,0,0,305,4,0,0,6,0,0,5,237,53,11,14,0,0,318,37,8,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,40,8,0,0,0,0,53,20,14,5,4,0,0,42,4,10,0,0,0,0,17,3,5,0,0,0,0,7,28,27,3,8,4,0,69,31,15,4,7,0,0,53,2625,3804,1031,997,478,210,9142
50201,3,0,11,243,134,14,6,4,0,398,36,29,11,6,4,0,79,9085,14207,5174,4812,1975,946,36195,7948,13897,5312,5080,2171,1025,35441,2223,1237,180,67,22,10,3736,518,430,77,47,9,3,1085,2737,1665,256,113,31,13,4824,290,108,16,14,0,0,431,62,106,16,9,0,0,189,77,101,17,7,0,0,197,46,88,14,8,0,0,155,20,17,6,0,0,0,39,487,423,77,31,4,0,1017,258,109,4,7,0,0,387,11,5,0,0,4,0,16,9,0,0,0,0,0,8,273,115,6,10,0,6,415,24,16,0,0,0,0,45,11472,16118,5655,5231,2217,1047,41734
50301,0,0,7,5,0,0,0,0,0,9,25,7,5,5,3,0,45,5687,7566,3429,4259,2036,514,23486,2495,5631,2827,4113,1930,466,17461,693,521,222,155,53,18,1663,647,613,291,179,58,8,1793,1346,1126,509,338,111,23,3456,614,430,108,61,15,0,1224,862,434,81,32,5,0,1411,701,587,106,50,9,0,1461,194,156,26,20,0,0,399,6,4,4,5,0,0,17,2382,1610,329,164,39,0,4513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,5,7,3,0,0,0,0,18,6236,8372,3664,4614,2074,493,25459
50302,3,4,93,49,39,12,11,3,4,114,68,44,17,13,6,0,145,13857,14709,5710,4750,1487,351,40858,3357,5908,3048,3762,1192,264,17529,1236,890,357,246,60,8,2795,1682,1947,783,456,87,18,4975,2920,2832,1144,700,153,31,7773,1802,1099,276,125,28,4,3336,3012,1938,471,190,35,11,5654,3719,2619,579,198,38,7,7167,2464,2338,617,209,36,9,5677,8,4,6,0,0,0,18,11009,7996,1946,730,135,31,21855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,8,8,0,0,75,27,24,8,8,0,0,70,51,15,0,5,0,0,73,17360,16780,6153,5207,1482,323,47305
50401,0,0,17,8,0,0,0,0,0,16,29,27,7,9,9,0,87,8478,10903,5084,4378,1502,715,31064,5480,8753,4495,4114,1327,581,24758,2022,1254,523,325,79,47,4245,941,754,276,154,33,18,2173,2957,2011,803,480,113,62,6421,890,477,107,47,11,0,1529,352,183,42,13,0,0,594,291,114,34,3,0,0,444,146,96,24,10,0,0,269,14,0,4,0,0,0,22,1691,868,214,74,13,0,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,9,4,3,3,0,0,0,9,21,11,3,5,0,0,35,10151,11645,5513,4676,1452,641,34084
50402,4,0,11,18,8,3,0,4,0,40,8,11,5,9,4,0,29,2972,5174,2321,2398,994,477,14337,2850,5385,2431,2355,1053,439,14514,474,161,47,14,4,7,705,25,15,0,0,0,0,41,493,170,44,19,8,7,741,6,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,5,0,18,13,10,6,0,5,0,31,10,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,4,13,0,4,4,0,0,19,4,7,3,5,0,0,16,3372,5572,2485,2382,1065,446,15316
50403,0,0,26,140,99,13,10,5,5,269,39,31,12,12,4,5,99,7961,13379,7814,8102,3330,1910,42499,7767,13879,8643,8917,3788,2255,45253,1708,1054,397,252,82,34,3527,386,284,106,51,14,8,849,2095,1342,503,303,91,42,4374,217,103,30,13,4,0,362,209,109,30,10,0,0,357,56,33,4,6,0,0,100,37,18,0,0,0,0,53,32,18,4,8,0,0,63,546,287,66,31,4,3,936,133,67,0,0,0,0,201,4,0,0,0,0,0,10,10,11,8,0,0,0,27,146,75,11,3,0,3,234,28,15,21,9,0,0,68,10579,15599,9243,9259,3884,2301,50874
50501,0,0,23,103,50,6,9,0,0,176,21,17,7,11,0,0,62,9265,18312,9563,11313,4204,1262,53917,7609,17967,9248,11193,4003,1183,51198,1763,1214,386,211,50,5,3628,472,471,181,121,22,16,1286,2236,1683,567,332,74,25,4915,291,140,24,10,0,0,464,242,170,39,10,3,0,469,224,183,46,10,0,0,471,0,0,0,0,0,0,0,41,21,3,6,4,4,83,804,516,114,37,11,4,1483,66,28,0,0,0,0,97,0,0,0,0,0,0,0,4,8,0,6,0,0,21,75,38,5,8,0,0,120,19,8,4,0,0,0,32,10739,20216,9934,11566,4082,1215,57751
