SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
50101,1464,2936,109,112,229,1824,1879,3702,197,421,619,284,353,635,32,42,78,513,816,1332,1257,1394,2654,24753,26100,50855,2071,1755,3823,28081,29249,57332
50102,2406,4619,188,234,419,2884,3216,6102,284,600,887,454,512,967,115,169,281,853,1281,2133,2863,2984,5846,46384,48344,94732,4024,2949,6976,53271,54277,107549
50103,679,1403,69,67,138,935,904,1843,94,143,237,113,122,235,22,23,40,229,288,508,650,734,1381,10262,10339,20596,1001,887,1886,11913,11960,23863
50201,3648,7147,265,313,574,4503,4749,9248,443,772,1216,736,784,1518,125,236,366,1304,1792,3095,3444,3616,7062,44945,48985,93925,3592,3055,6648,51981,55656,107641
50301,2166,4167,127,137,269,2355,2625,4980,297,563,865,494,606,1100,75,144,222,866,1313,2184,1123,1429,2547,32305,33981,66291,1482,1416,2898,34910,36826,71735
50302,1629,3198,148,137,287,2083,2300,4386,356,911,1269,347,448,796,69,93,164,772,1452,2226,1737,2459,4196,49648,50065,99710,3731,2882,6616,55116,55406,110530
50401,1752,3372,127,127,253,2147,2479,4621,295,733,1028,341,409,752,59,111,176,695,1253,1949,1972,2581,4555,37570,38264,75838,2243,1831,4070,41785,42676,84462
50402,1067,2067,93,83,181,1285,1388,2668,127,210,334,178,207,389,46,95,137,351,512,870,1003,1020,2026,18532,19131,37663,3107,999,4105,22642,21150,43792
50403,1806,3575,126,144,272,2339,2611,4950,287,568,847,311,342,656,77,91,171,675,1001,1678,3290,3417,6705,66262,67633,133895,4121,3606,7726,73673,74656,148324
50501,3195,6291,145,172,315,3747,4133,7877,414,899,1318,550,731,1282,81,115,193,1045,1745,2794,2843,3380,6224,73588,75386,148971,3075,2369,5446,79506,81135,160641
50502,4982,9041,288,341,625,5251,6752,12003,893,1783,2678,1042,1392,2429,159,248,412,2094,3423,5514,4460,5827,10283,90992,96269,187265,5585,5009,10603,101037,107105,208149
50503,3019,5817,173,232,409,3570,4209,7781,402,901,1297,528,548,1077,88,147,240,1018,1596,2616,4303,4898,9196,92886,96829,189716,5336,4260,9594,102525,105987,208506
50601,1231,2433,92,108,193,1590,1700,3289,158,267,419,216,242,464,53,70,117,427,579,1006,2157,2220,4373,41692,42999,84691,2756,2359,5123,46605,47578,94184
50602,1047,2023,79,116,196,1323,1551,2880,205,412,613,247,316,559,52,91,147,504,819,1318,1543,1744,3282,33842,33132,66972,2789,2267,5052,38174,37143,75312
