SA3_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
50101,0,4,79,12,0,4,18,19,58,102,76,27,12,5,23,364,4,3,8,9,9,22,22,21,4,0,5,4,103,8,5,8,11,17,40,29,32,6,9,9,9,179,22,13,17,34,50,137,181,142,43,25,17,37,727,237,115,87,186,240,851,1296,1656,678,517,318,314,6499
50102,3,10,173,23,11,15,32,60,184,183,122,40,23,13,41,740,7,0,9,13,21,47,43,20,11,9,0,12,201,30,23,29,34,47,123,91,82,24,11,4,22,510,63,37,52,86,140,407,355,259,84,44,28,86,1635,434,226,215,392,640,2294,3061,3048,1103,746,486,653,13299
50103,0,0,27,4,0,0,9,13,24,20,8,3,3,4,3,90,0,3,3,3,3,11,9,3,0,0,0,0,38,10,0,5,10,17,17,12,9,6,0,0,3,91,12,3,10,28,39,63,35,27,10,4,5,9,251,134,71,50,126,170,508,396,441,163,159,91,131,2433
50201,3,11,153,21,4,7,32,45,151,191,146,40,26,26,44,726,5,3,0,11,13,49,40,50,11,11,4,11,210,28,24,9,32,50,120,98,81,19,19,17,35,539,57,34,24,79,119,359,358,309,82,55,52,101,1638,434,193,176,350,514,1899,2666,3232,1212,886,584,722,12865
50301,18,5,70,11,0,4,0,4,4,11,30,19,22,60,13,179,13,8,0,4,5,7,12,27,13,22,45,22,158,18,0,0,0,9,8,13,18,9,8,24,17,115,38,4,5,4,14,35,37,75,44,57,151,58,522,385,63,58,84,114,299,266,615,445,979,2753,460,6531
50302,5,0,72,13,3,6,6,12,35,48,62,40,39,46,11,319,11,9,5,12,0,22,22,46,25,31,23,9,204,17,10,6,9,20,25,20,31,17,21,22,17,209,44,17,15,28,38,90,101,140,89,102,96,46,806,397,121,88,147,250,726,897,1517,1201,1676,1916,405,9334
50401,0,0,81,17,4,7,12,22,65,83,87,36,26,12,21,397,9,10,0,10,15,30,35,45,5,9,8,9,191,25,11,12,17,24,68,53,72,24,37,10,22,376,58,28,23,38,64,181,183,224,78,75,33,56,1047,432,133,122,224,309,1085,1618,2576,1262,1062,546,506,9878
50402,3,4,65,13,4,0,6,13,58,68,62,32,15,9,23,301,3,3,0,6,10,23,30,26,9,5,0,6,120,20,11,7,13,21,46,39,62,8,12,10,23,261,36,14,11,25,40,131,144,159,63,39,31,52,748,236,83,86,142,226,675,1065,1686,828,640,391,351,6417
50403,14,12,272,46,13,11,13,53,208,282,342,116,63,24,69,1238,21,5,8,17,26,87,94,84,29,28,7,29,438,55,26,19,36,63,185,196,211,60,50,26,60,979,129,46,37,78,160,532,630,712,229,155,68,165,2924,691,251,211,371,648,2796,4811,6950,2871,1791,1072,1229,23685
50501,12,9,204,32,8,8,21,49,82,163,212,112,52,36,38,816,25,11,3,14,26,63,78,98,56,28,28,28,477,52,16,13,31,35,122,113,127,58,31,32,62,699,119,42,28,76,109,294,394,497,249,133,108,144,2199,1040,330,270,453,647,2020,3023,5909,3512,2987,2026,1285,23504
