SA3_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
50101,1844,1090,2932,1965,1300,3262,2216,1585,3790,1209,1567,2770,1399,2099,3490,1755,2888,4642,3055,529,3585,3538,602,4140,3992,827,4821,386,1471,1859,528,1988,2520,760,2525,3284,322,1877,2202,333,2042,2382,379,2184,2565,656,1399,2049,773,1568,2341,850,1636,2484,1090,100,1191,1328,135,1472,1532,215,1750,1682,1000,2678,1824,1185,3011,2028,1427,3455,154,87,242,200,114,314,257,164,422,10392,9105,19495,11896,11035,22928,13766,13450,27214
50102,2954,1580,4530,2677,1675,4351,2832,1902,4734,2598,3429,6027,2485,3921,6415,2686,4656,7342,7994,1192,9182,7405,1273,8681,7798,1522,9323,705,3100,3802,833,3786,4618,1072,4631,5700,839,4481,5315,786,4303,5091,877,4480,5359,1126,2812,3934,1228,2998,4224,1210,2840,4054,4397,458,4855,4284,397,4677,4750,686,5430,3747,2331,6081,3617,2401,6022,3943,2713,6648,383,222,609,480,249,731,550,299,849,24732,19597,44334,23802,21011,44808,25717,23722,49439
50103,1355,729,2081,1285,727,2008,1344,828,2175,477,750,1224,418,794,1215,453,890,1346,1177,233,1413,1218,238,1456,1288,298,1590,142,723,868,164,709,876,213,842,1056,159,848,1009,142,831,967,141,845,982,223,510,732,229,547,776,213,478,691,830,66,895,927,59,991,979,126,1104,978,658,1637,804,667,1474,933,737,1668,103,65,172,110,51,166,110,77,184,5445,4581,10026,5304,4615,9927,5683,5117,10802
50201,2045,1129,3174,2084,1361,3443,2426,1800,4220,1760,2480,4246,1814,3178,4998,2147,3807,5961,5901,930,6835,6348,1017,7367,6837,1408,8240,730,2787,3519,928,3448,4370,1216,4674,5890,629,3362,3997,717,3483,4199,740,3699,4434,963,2461,3426,1139,2678,3813,1191,2838,4029,3215,323,3542,3567,449,4019,4207,732,4937,2582,1371,3954,2618,1632,4248,2932,1792,4721,351,167,513,417,237,654,505,257,759,18180,15017,33200,19634,17484,37121,22193,21005,43190
50301,3705,1615,5325,3862,1709,5576,4399,2287,6687,6714,5875,12592,6707,6464,13167,7647,7412,15059,1355,387,1745,1249,376,1623,1273,398,1674,894,1566,2456,1033,1628,2665,1284,2195,3481,833,2649,3481,824,2435,3260,863,2566,3430,1102,1393,2492,1016,1295,2318,1026,1367,2386,392,37,430,354,41,400,490,68,557,845,301,1148,801,328,1124,908,380,1292,253,151,406,303,202,502,309,237,548,16096,13988,30078,16149,14479,30626,18203,16907,35109
50302,4699,2711,7408,5046,3117,8163,5870,3802,9670,10380,9311,19690,10487,10175,20665,12707,12754,25457,4126,1022,5149,3986,1124,5106,4098,1367,5465,1626,2650,4269,1830,3196,5030,2218,4350,6571,1936,4865,6805,1870,4411,6285,2044,4755,6798,1584,1976,3562,1629,2190,3816,1654,2217,3869,1150,118,1266,1118,121,1240,1606,212,1817,1933,955,2889,2082,1259,3340,2357,1494,3849,384,229,615,434,330,757,484,348,834,27814,23832,51645,28479,25924,54407,33033,31306,64338
50401,2604,1531,4134,2720,1761,4487,3087,2242,5328,4187,4562,8752,4371,5131,9502,5379,6390,11773,5344,1020,6366,5042,997,6039,4841,1196,6038,1289,2562,3849,1416,2970,4387,1601,3517,5117,1614,4640,6248,1514,4195,5707,1602,4241,5841,1355,2100,3455,1375,2034,3412,1354,1918,3273,2252,290,2544,1998,295,2293,2256,343,2598,2173,1204,3381,2183,1240,3423,2266,1316,3586,388,201,588,383,266,657,392,294,681,21204,18114,39320,21003,18896,39905,22780,21451,44234
50402,1491,719,2213,1455,754,2203,1551,960,2512,1607,1950,3563,1485,2142,3622,1727,2425,4154,2889,493,3384,2756,527,3282,2972,608,3581,519,1372,1893,544,1490,2030,597,1780,2375,639,2459,3098,521,2106,2634,550,2091,2636,630,1169,1799,588,1080,1674,570,1049,1614,1383,145,1526,1313,154,1468,1413,201,1609,1067,582,1653,1072,616,1691,1029,632,1662,156,117,274,215,132,342,230,161,394,10392,9002,19400,9949,9000,18948,10638,9898,20535
50403,3501,1818,5320,3806,2360,6165,4504,3064,7563,3077,3730,6806,3693,4907,8599,4741,6446,11188,7864,1346,9209,9136,1589,10721,10578,2085,12661,1463,3736,5198,1915,5338,7255,2566,7342,9908,1828,6495,8320,2082,6977,9054,2379,7677,10060,1732,3228,4961,2175,3900,6072,2277,4262,6536,4267,563,4832,5198,636,5833,6537,958,7494,3386,2047,5435,3878,2531,6417,4676,3017,7695,492,315,807,619,406,1025,810,561,1368,27613,23284,50895,32501,28643,61144,39057,35409,74467
50501,7134,2937,10069,6797,3281,10076,7544,3940,11484,8616,9572,18185,8294,10283,18577,9091,12163,21262,12034,1771,13801,10864,1682,12545,10822,1923,12744,2424,5798,8223,2486,5879,8361,2845,6778,9617,2947,11006,13956,2459,9439,11900,2500,9226,11721,3110,5232,8345,2949,4825,7772,2587,4230,6818,3238,342,3578,2908,280,3185,3206,384,3590,4045,1863,5906,3772,1755,5530,3878,1788,5668,585,389,974,729,449,1176,692,498,1191,44131,38906,83034,41257,37867,79124,43172,40930,84100
