SA3_CODE_2021,C21_M_40_44_Em_Tot,C21_M_40_44_Unem_Look_FT,C21_M_40_44_Unem_Look_PT,C21_M_40_44_Unem_Tot,C21_M_40_44_Tot_LF,C21_M_40_44_Not_LF,C21_M_40_44_LF_NS,C21_M_40_44_Tot,C21_M_45_49_Em_FT,C21_M_45_49_Em_PT,C21_M_45_49_Em_AFW,C21_M_45_49_Em_Hrs_NS,C21_M_45_49_Em_Tot,C21_M_45_49_Unem_Look_FT,C21_M_45_49_Unem_Look_PT,C21_M_45_49_Unem_Tot,C21_M_45_49_Tot_LF,C21_M_45_49_Not_LF,C21_M_45_49_LF_NS,C21_M_45_49_Tot,C21_M_50_54_Em_FT,C21_M_50_54_Em_PT,C21_M_50_54_Em_AFW,C21_M_50_54_Em_Hrs_NS,C21_M_50_54_Em_Tot,C21_M_50_54_Unem_Look_FT,C21_M_50_54_Unem_Look_PT,C21_M_50_54_Unem_Tot,C21_M_50_54_Tot_LF,C21_M_50_54_Not_LF,C21_M_50_54_LF_NS,C21_M_50_54_Tot,C21_M_55_59_Em_FT,C21_M_55_59_Em_PT,C21_M_55_59_Em_AFW,C21_M_55_59_Em_Hrs_NS,C21_M_55_59_Em_Tot,C21_M_55_59_Unem_Look_FT,C21_M_55_59_Unem_Look_PT,C21_M_55_59_Unem_Tot,C21_M_55_59_Tot_LF,C21_M_55_59_Not_LF,C21_M_55_59_LF_NS,C21_M_55_59_Tot,C21_M_60_64_Em_FT,C21_M_60_64_Em_PT,C21_M_60_64_Em_AFW,C21_M_60_64_Em_Hrs_NS,C21_M_60_64_Em_Tot,C21_M_60_64_Unem_Look_FT,C21_M_60_64_Unem_Look_PT,C21_M_60_64_Unem_Tot,C21_M_60_64_Tot_LF,C21_M_60_64_Not_LF,C21_M_60_64_LF_NS,C21_M_60_64_Tot,C21_M_65_69_Em_FT,C21_M_65_69_Em_PT,C21_M_65_69_Em_AFW,C21_M_65_69_Em_Hrs_NS,C21_M_65_69_Em_Tot,C21_M_65_69_Unem_Look_FT,C21_M_65_69_Unem_Look_PT,C21_M_65_69_Unem_Tot,C21_M_65_69_Tot_LF,C21_M_65_69_Not_LF,C21_M_65_69_LF_NS,C21_M_65_69_Tot,C21_M_70_74_Em_FT,C21_M_70_74_Em_PT,C21_M_70_74_Em_AFW,C21_M_70_74_Em_Hrs_NS,C21_M_70_74_Em_Tot,C21_M_70_74_Unem_Look_FT,C21_M_70_74_Unem_Look_PT,C21_M_70_74_Unem_Tot,C21_M_70_74_Tot_LF,C21_M_70_74_Not_LF,C21_M_70_74_LF_NS,C21_M_70_74_Tot,C21_M_75over_Em_FT,C21_M_75over_Em_PT,C21_M_75over_Em_AFW,C21_M_75over_Em_Hrs_NS,C21_M_75over_Em_Tot,C21_M_75over_Unem_Lo_ft_wor,C21_M_75over_Unem_Lo_pt_wor,C21_M_75over_Unempl_Tot,C21_M_75over_Tot_LF,C21_M_75over_N_lab_forc,C21_M_75over_LF_NS,C21_M_75over_Tot,C21_M_Tot_Em_FT,C21_M_Tot_Em_PT,C21_M_Tot_Em_AFW,C21_M_Tot_Em_Hrs_NS,C21_M_Tot_Em_Tot,C21_M_Tot_Unem_Look_FT,C21_M_Tot_Unem_Look_PT,C21_M_Tot_Unem_Tot,C21_M_Tot_Tot_labo_for,C21_M_Tot_Not_LF,C21_M_Tot_LF_NS,C21_M_Tot_Tot,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Not_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Not_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Not_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Not_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Not_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Not_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Not_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Not_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot
50101,1598,28,8,39,1637,117,157,1914,1291,251,103,24,1664,28,15,43,1708,136,184,2027,1097,281,101,27,1501,28,8,32,1541,187,176,1911,902,320,99,16,1337,20,8,30,1372,260,121,1747,689,396,90,10,1193,18,16,35,1218,495,115,1829,298,298,48,6,658,0,12,10,668,1066,94,1826,115,181,22,7,326,0,4,3,331,1373,110,1818,50,87,18,7,163,0,4,4,168,2000,182,2350,9100,3513,907,247,13766,273,170,445,14203,6532,1713,22448,152,436,43,26,657,32,43,77,740,444,47,1225,306,229,21,16,564,30,12,40,606,182,44,838,379,312,37,7,736,15,24,46,781,273,59,1114,309,467,81,17,874,24,23,52,926,390,65,1377,328,629,62,17,1039,19,41,59,1096,439,80,1619,454,693,56,15,1224,22,45,67,1286,312,73,1665,481,643,46,22,1191,14,22,39,1229,241,57,1535,519,569,64,16,1172,17,13,25,1201,258,66,1530
50102,2689,87,18,108,2792,333,260,3381,2257,274,128,48,2711,74,14,86,2795,340,272,3402,2340,285,172,36,2828,78,21,101,2930,381,256,3576,2055,323,195,42,2615,76,23,99,2716,537,249,3501,1523,431,178,19,2151,68,25,92,2242,1049,212,3501,560,376,70,3,1016,19,14,34,1054,1876,172,3101,154,194,29,15,389,6,6,8,401,2276,187,2863,60,122,20,17,216,0,3,3,221,3191,329,3738,19252,4582,1401,491,25717,925,404,1330,27052,12510,2939,42497,472,1044,70,55,1642,109,104,211,1851,1119,137,3109,1018,602,89,35,1749,92,60,148,1898,597,156,2647,932,678,111,15,1732,63,51,112,1852,861,141,2853,683,867,108,39,1693,50,64,115,1806,1002,155,2958,739,1184,109,24,2051,47,69,113,2169,940,167,3276,1060,1398,106,38,2607,64,74,136,2740,776,166,3677,1164,1197,116,34,2514,57,44,95,2615,617,164,3395,1093,1155,141,31,2418,32,30,58,2478,708,143,3333
50103,490,11,3,11,505,58,65,624,444,84,40,4,583,20,0,20,596,70,74,740,503,79,37,17,638,17,4,22,659,97,94,854,498,123,47,12,672,24,7,29,706,169,67,939,413,159,50,11,627,17,12,30,654,258,72,983,227,138,33,5,408,10,8,13,419,508,77,1007,96,93,15,9,218,0,5,3,217,612,62,895,69,58,6,15,149,0,0,0,149,912,107,1168,4042,1157,334,144,5683,165,88,248,5927,3102,845,9879,70,204,13,10,294,15,12,22,315,209,14,537,131,100,17,4,256,14,7,25,271,95,8,375,135,95,19,8,251,0,11,13,259,148,20,425,101,211,21,0,327,9,9,22,350,156,20,528,173,265,25,9,470,3,13,17,486,191,22,709,193,323,25,9,553,12,10,27,580,179,24,784,273,314,38,10,638,12,16,24,662,166,28,850,283,310,39,13,646,6,8,16,661,180,17,858
50201,2087,92,23,113,2197,250,267,2715,1883,286,158,49,2378,95,17,109,2489,341,264,3089,1958,303,138,31,2437,106,15,118,2554,393,272,3225,1871,370,172,32,2443,82,39,117,2563,626,243,3428,1262,422,180,37,1900,89,38,131,2022,1115,190,3332,506,330,73,17,931,36,20,55,985,2331,193,3500,129,206,22,10,363,7,13,26,386,3094,193,3666,43,124,11,14,188,4,4,5,199,5121,479,5801,15662,4646,1372,507,22193,1173,517,1689,23882,15493,3136,42513,287,971,57,31,1349,108,105,215,1560,961,136,2655,739,587,67,32,1417,113,52,161,1578,547,124,2249,653,463,66,19,1204,54,57,113,1315,776,122,2209,445,604,70,12,1122,44,65,109,1234,844,119,2197,600,773,76,32,1480,61,67,123,1604,779,142,2529,752,972,71,25,1813,62,79,144,1955,670,139,2766,935,942,90,34,2008,70,42,113,2123,604,126,2850,916,862,96,32,1903,47,45,91,1995,717,129,2849
50301,1695,26,0,27,1721,102,86,1907,1709,194,40,15,1954,50,8,59,2013,137,74,2225,1877,260,37,14,2194,49,7,59,2248,188,88,2522,1474,294,49,6,1830,53,16,68,1896,250,87,2230,1031,384,32,13,1460,30,8,44,1502,470,70,2042,492,441,30,5,974,18,9,29,1006,806,75,1888,237,335,24,6,597,6,15,20,619,1020,73,1713,121,273,17,10,424,3,5,8,428,2593,200,3218,12277,5242,515,158,18203,413,432,852,19044,8246,1214,28511,84,807,66,16,974,13,117,132,1105,1520,88,2712,598,945,81,24,1651,30,95,126,1778,677,115,2574,888,322,53,13,1270,33,26,55,1329,302,101,1737,532,317,69,6,926,16,15,30,959,389,81,1434,400,525,89,16,1027,17,24,40,1067,548,74,1693,567,914,68,31,1577,16,25,48,1622,659,90,2375,693,934,58,16,1702,16,29,47,1750,591,99,2434,803,861,63,22,1753,20,28,48,1799,567,92,2466
50302,3509,87,21,115,3622,250,308,4182,2443,373,70,20,2909,71,13,87,2992,262,241,3493,2179,367,87,25,2657,96,24,118,2774,321,233,3331,1860,395,63,17,2336,110,22,130,2469,403,213,3088,1231,456,72,15,1775,79,24,102,1879,712,181,2771,524,432,35,10,999,22,24,49,1043,1145,167,2358,183,274,19,0,476,6,8,21,498,1431,130,2054,72,155,9,5,244,5,7,12,251,2313,300,2861,24127,7546,945,416,33033,943,571,1522,34551,9382,3509,47440,142,712,49,24,925,31,101,131,1056,855,115,2030,1588,1350,131,37,3099,91,104,194,3293,697,394,4387,3253,984,168,46,4446,122,62,181,4627,680,615,5921,2216,836,200,22,3270,85,60,146,3418,710,435,4567,1294,939,147,20,2398,44,42,93,2489,822,232,3540,1137,1043,108,19,2303,36,47,79,2383,592,216,3192,1200,904,73,22,2199,37,36,74,2273,470,184,2929,1149,726,105,14,1995,26,27,54,2044,481,169,2695
50401,2466,66,12,79,2553,204,166,2916,1839,316,58,24,2237,81,19,97,2336,255,159,2746,1719,297,59,22,2104,76,16,89,2192,304,126,2624,1477,342,69,27,1914,92,23,116,2032,349,125,2505,1036,356,60,14,1465,57,31,91,1558,601,116,2271,427,265,29,4,721,21,22,43,764,1160,76,2004,122,166,12,10,303,0,9,8,311,1439,79,1827,36,84,3,5,124,0,0,3,129,2500,216,2845,16558,5199,667,353,22780,811,431,1249,24024,8705,1892,34620,222,684,28,26,968,41,87,127,1092,820,79,1992,1059,749,64,34,1912,70,74,144,2063,449,117,2630,1497,611,90,26,2226,71,57,127,2362,619,170,3145,1233,701,176,19,2129,45,50,92,2223,659,143,3024,984,893,109,35,2025,39,34,74,2098,686,119,2901,955,922,80,23,1987,29,35,64,2054,515,118,2688,1027,865,61,38,2000,36,34,72,2069,429,99,2593,1015,703,85,21,1824,21,31,50,1870,460,110,2442
50402,998,24,8,36,1031,329,96,1463,911,124,34,30,1102,26,5,35,1135,286,77,1500,1020,162,59,11,1263,26,9,41,1301,263,110,1676,988,172,84,18,1255,29,3,31,1291,249,105,1642,667,203,82,19,972,24,20,46,1012,403,78,1497,277,189,43,9,508,11,15,21,527,715,56,1293,84,98,8,4,191,0,6,8,203,908,38,1158,30,70,6,7,102,0,4,4,114,1387,141,1639,7800,2101,535,201,10638,317,206,522,11157,6573,1053,18784,158,553,22,30,758,50,55,104,862,508,74,1444,402,299,25,18,741,42,29,64,807,177,50,1032,352,178,38,8,581,19,5,27,609,204,40,854,243,269,49,8,567,11,22,29,596,294,39,928,327,433,51,16,830,12,26,36,865,360,63,1287,484,599,47,12,1146,24,22,46,1194,319,74,1588,591,603,55,18,1265,16,21,32,1298,307,73,1676,592,547,59,18,1222,20,17,42,1261,262,58,1577
50403,4261,108,14,127,4386,336,300,5017,3220,450,122,50,3845,121,15,140,3982,391,315,4684,3141,463,154,55,3817,117,26,140,3961,443,298,4697,2692,471,153,36,3354,94,35,123,3483,596,245,4321,1746,479,116,27,2365,100,35,128,2491,951,178,3632,724,372,57,9,1164,26,26,46,1213,1527,122,2862,169,197,18,10,393,8,4,12,410,1704,98,2208,60,115,7,7,190,0,5,4,192,2586,238,3017,29246,7611,1404,790,39057,1412,725,2134,41186,12433,3286,56904,492,1223,82,70,1864,134,147,279,2143,1447,180,3771,1442,811,68,74,2389,108,83,190,2585,718,175,3479,1457,708,145,34,2346,58,63,125,2467,921,161,3550,1107,1027,141,39,2318,53,89,141,2455,1128,184,3767,1200,1282,126,39,2649,63,87,148,2795,1136,193,4125,1466,1454,120,65,3101,54,77,134,3238,893,197,4326,1570,1194,121,49,2937,61,69,131,3069,738,182,3984,1346,955,117,41,2465,38,40,78,2543,754,158,3453
50501,4557,95,13,109,4665,265,230,5166,4194,496,154,46,4896,113,21,131,5027,280,251,5554,4259,505,163,42,4975,104,18,120,5097,316,262,5677,3570,611,213,43,4440,117,19,134,4572,520,222,5311,2627,829,178,29,3662,118,49,166,3825,1125,170,5120,964,757,129,13,1860,32,34,70,1927,2632,132,4693,231,423,32,3,688,5,12,14,709,3314,129,4152,52,179,20,3,253,0,4,7,262,4303,228,4792,31823,9264,1612,470,43172,1235,920,2155,45320,16197,2545,64062,592,2623,122,83,3421,107,276,383,3804,2009,159,5965,2084,1744,167,67,4055,122,126,250,4308,668,176,5142,1928,800,154,48,2931,68,73,135,3064,703,142,3912,1245,1297,256,34,2839,53,80,125,2965,1105,144,4219,1291,2016,209,35,3546,31,89,114,3664,1362,135,5165,1827,2621,189,49,4683,67,118,183,4870,1217,171,6264,2382,2604,179,59,5219,58,78,133,5358,1034,162,6553,2519,2287,256,58,5121,54,70,120,5244,970,166,6382
