SA3_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
50101,786,732,781,1511,1136,1143,2280,1818,1803,3615,113,153,267,181,162,348,263,239,500,122,118,231,171,192,363,252,252,503,108,123,237,157,153,305,223,232,461,96,128,216,161,147,307,189,205,389,93,123,216,127,156,286,186,214,398,526,648,1173,797,809,1609,1104,1145,2252,426,525,947,463,629,1097,720,736,1452,276,492,774,424,651,1072,520,814,1332,20649,21398,42045,24994,25876,50875,28080,29249,57332
50102,1130,1412,1506,2915,1957,1947,3903,2863,2858,5715,224,273,496,287,340,629,410,452,857,226,241,463,297,327,627,391,400,794,175,215,390,268,318,583,387,403,788,179,219,403,244,260,507,297,323,622,178,185,361,226,291,517,320,324,649,980,1131,2118,1326,1538,2863,1808,1909,3713,712,910,1626,860,1036,1898,1079,1312,2385,489,849,1334,676,1108,1791,857,1285,2133,47409,46975,94384,50804,51837,102642,53276,54279,107549
50103,312,492,432,922,728,627,1357,895,789,1685,68,59,123,105,92,194,150,155,300,70,65,132,95,103,199,129,144,271,52,60,111,113,80,188,121,93,217,52,54,113,82,68,148,114,84,202,62,57,117,64,62,127,81,85,173,306,288,598,462,397,858,599,564,1159,193,207,399,241,280,526,341,338,680,130,220,346,171,276,449,226,286,508,10905,10768,21674,11371,11439,22813,11911,11949,23863
50201,1661,2256,2163,4420,2708,2803,5507,3666,3793,7461,365,385,755,481,483,960,586,602,1189,326,398,722,452,457,911,572,609,1182,331,311,641,419,457,879,537,564,1100,286,284,571,431,422,849,498,524,1020,272,282,557,358,401,761,480,498,979,1592,1654,3245,2145,2218,4357,2665,2793,5461,1111,1267,2381,1310,1524,2837,1836,1951,3783,693,1044,1731,1031,1384,2418,1301,1794,3095,40868,42426,83294,47152,49589,96738,51979,55660,107641
50301,763,1142,1164,2304,1442,1504,2946,1713,1928,3643,188,206,392,216,286,505,327,354,682,155,186,338,231,197,418,287,304,593,149,177,319,212,227,444,301,312,617,170,198,369,166,233,395,252,302,553,133,196,327,185,201,388,249,280,526,787,961,1748,1009,1146,2155,1424,1551,2969,643,894,1527,665,915,1583,929,1080,2009,581,1267,1844,674,1273,1952,865,1314,2184,30983,33150,64138,32922,34709,67637,34905,36829,71735
50302,746,1046,1179,2226,1423,1330,2758,2054,2010,4067,165,221,388,217,228,445,304,301,602,184,245,428,213,232,447,268,256,526,158,182,338,182,232,419,237,272,512,155,179,329,170,241,411,219,208,421,140,196,334,173,215,392,243,242,481,798,1025,1818,961,1148,2116,1268,1278,2544,620,966,1586,671,931,1608,817,1025,1847,546,1214,1767,666,1336,2010,778,1452,2226,46745,45466,92215,50684,50986,101670,55115,55410,110530
50401,793,1220,1363,2583,1360,1502,2863,1827,2005,3834,201,260,466,240,275,510,297,350,646,206,221,433,239,251,491,273,285,554,202,244,442,193,271,468,272,277,549,192,219,411,203,250,451,209,234,445,175,203,379,169,209,380,199,256,451,978,1154,2127,1057,1249,2306,1252,1397,2650,654,900,1557,740,939,1683,894,1079,1971,554,1074,1623,638,1166,1809,698,1249,1949,38235,38106,76338,39944,40501,80443,41790,42676,84462
50402,497,642,683,1329,907,896,1809,1158,1222,2381,106,88,184,137,151,288,206,198,402,110,107,216,149,111,262,175,188,363,110,100,206,115,133,246,167,149,320,86,88,170,107,102,213,128,153,286,55,83,140,84,99,186,132,152,281,463,457,922,596,595,1192,801,849,1652,302,352,656,352,405,759,474,540,1018,185,355,537,281,396,681,356,514,870,20733,19677,40415,21855,20182,42035,22643,21152,43792
50403,939,1142,1235,2373,1566,1664,3229,2208,2399,4604,197,191,387,232,256,488,336,350,687,169,196,363,240,244,489,321,339,659,145,160,304,216,221,435,260,304,565,140,164,302,182,236,419,260,280,541,111,120,230,186,199,386,255,270,524,759,829,1586,1066,1154,2216,1437,1536,2979,535,695,1226,670,753,1424,905,1067,1973,342,583,921,489,796,1279,678,997,1678,51337,51799,103138,63803,64736,128540,73672,74650,148324
50501,1655,1825,1918,3738,2657,2587,5248,4152,4320,8473,275,345,616,359,423,782,580,629,1214,281,324,598,338,369,704,554,559,1116,258,300,563,325,317,642,518,504,1024,231,290,519,275,307,582,431,426,859,240,306,547,231,333,561,367,393,756,1284,1564,2847,1528,1748,3274,2455,2517,4968,922,1266,2182,992,1392,2391,1290,1621,2909,667,1309,1974,866,1536,2405,1044,1750,2794,75375,77049,152421,76680,78045,154728,79502,81136,160641
