SA3_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
50101,27,70,14,30,141,10,17,5,4,31,4,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,9,22,115,501,85,218,923
50102,8,40,18,14,77,0,8,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,8,21,58,206,1301,212,479,2201
50103,3,4,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,27,162,40,60,285
50201,11,63,15,29,127,0,12,3,5,15,0,3,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,34,3,15,54,237,1403,238,572,2447
50301,14,47,34,26,116,12,50,26,13,96,13,29,15,10,64,14,23,14,0,53,0,16,9,6,26,13,37,17,14,81,0,4,3,4,10,78,308,165,107,653
50302,21,140,50,47,255,17,66,36,33,150,14,44,18,12,87,5,23,7,6,44,3,12,8,5,30,4,8,3,4,25,3,13,8,10,37,105,717,220,317,1363
50401,19,93,34,49,196,4,19,0,11,39,3,0,0,4,7,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,5,19,11,10,47,136,793,186,413,1527
50402,6,30,10,9,60,0,4,6,7,9,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,4,4,17,59,227,63,124,472
50403,47,135,20,51,252,11,27,12,5,54,0,4,0,0,5,0,4,0,6,10,0,0,0,0,0,0,0,4,0,0,7,50,8,23,91,288,1586,279,627,2785
50501,63,213,83,82,452,26,63,25,28,139,7,20,9,9,48,5,5,5,0,16,0,8,0,0,10,6,0,3,0,9,4,24,5,14,46,255,1003,312,435,2011
50502,47,201,89,77,412,18,71,33,39,161,14,28,11,16,65,6,14,6,11,35,3,4,4,7,18,4,4,3,9,19,13,47,11,44,112,304,1825,526,1016,3669
50503,83,242,59,107,496,11,49,12,19,91,0,5,5,11,27,3,3,3,0,8,0,0,0,0,0,0,0,0,0,3,11,66,13,45,139,467,2302,471,946,4179
50601,23,82,23,20,145,6,7,0,7,18,0,4,0,3,5,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,30,6,12,51,174,1079,170,404,1826
50602,16,73,33,46,163,4,26,7,23,58,0,14,3,0,21,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,3,15,41,109,684,194,459,1440
50603,41,89,44,37,212,10,22,8,10,55,3,11,5,3,18,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,16,10,10,39,197,653,231,350,1427
50604,22,89,20,49,191,0,11,11,9,27,0,5,0,5,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,11,43,10,19,83,232,1215,247,569,2258
50605,28,58,16,27,123,3,9,0,0,22,0,4,0,6,10,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,9,19,0,6,30,91,482,79,197,846
50606,9,24,0,0,36,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,41,251,23,55,363
50607,4,44,16,21,87,3,18,10,9,37,0,7,7,7,22,0,5,3,3,11,0,0,0,5,3,0,3,0,0,6,0,8,0,10,18,47,295,101,191,629
50701,35,186,42,63,331,7,31,19,10,63,0,5,3,8,13,0,3,0,0,3,0,9,0,0,9,0,0,0,0,3,5,34,0,13,55,196,1142,263,462,2063
50702,12,61,11,15,99,6,21,17,13,56,5,6,6,10,26,0,8,7,0,17,0,3,0,0,3,0,8,0,0,6,0,12,5,6,20,51,299,106,172,629
50703,3,22,5,12,41,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8,34,99,634,84,261,1076
50704,54,107,47,49,261,27,66,30,17,135,6,18,12,7,44,8,10,6,0,22,0,3,10,5,15,0,8,0,6,16,3,12,7,7,37,168,645,234,324,1373
50705,21,95,22,46,187,5,13,3,8,29,0,3,0,0,6,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,9,47,4,22,80,328,1752,286,612,2981
50901,4,24,5,4,37,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,36,109,608,115,238,1072
50902,0,7,0,5,15,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,26,83,390,42,161,682
50903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,30,135,19,42,222
51001,6,32,0,4,44,6,16,0,12,31,4,13,3,3,25,0,3,7,0,4,0,0,0,3,3,0,0,0,0,3,4,56,7,28,90,109,904,81,369,1458
51002,3,27,0,9,35,0,13,3,0,17,0,0,0,0,6,0,0,0,0,3,0,3,0,0,5,0,4,0,0,8,0,21,3,11,33,49,321,50,123,539
51003,4,15,4,6,34,3,9,7,3,17,6,6,0,8,14,5,7,0,0,10,0,7,0,0,7,0,5,0,0,9,0,22,0,14,39,44,250,42,109,451
51101,0,0,4,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,13,36,149,20,67,270
51102,0,3,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,14,5,96,19,45,174
51103,6,18,4,5,34,0,8,0,4,7,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,27,60,469,51,160,732
51104,0,10,0,4,16,0,3,0,0,3,0,3,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,16,4,9,33,127,691,110,226,1154
