SA3_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
50101,122,40,6,91,1145,49,31,176,222,128,35,22,75,736,43,47,145,203,176,81,46,73,814,5630,2616,7329,4439,1574,413,205,1650,23859
50102,280,100,44,170,1909,60,53,291,348,216,124,71,154,1312,44,42,185,288,245,135,115,231,1285,10382,4583,12952,8323,3343,1140,666,2923,44325
50103,74,26,13,66,564,12,15,74,89,69,26,14,37,338,11,17,49,65,48,30,29,34,286,2150,944,2708,2003,922,280,156,884,10042
50201,316,100,43,235,2793,106,97,496,513,333,105,72,228,1951,81,78,343,438,288,120,92,358,1794,10236,4892,14071,8736,3492,1095,612,3161,46298
50301,135,43,16,87,1551,91,65,326,336,137,25,23,75,1080,110,70,279,348,221,78,60,151,1314,10319,2863,8853,5360,1495,311,152,1464,30813
50302,104,37,15,95,1278,138,84,287,249,115,37,32,84,1025,169,106,341,351,192,83,72,144,1452,23072,5836,9959,4322,1218,317,190,3176,48092
50401,157,50,34,105,1397,59,77,276,280,150,65,55,106,1079,75,79,270,282,192,90,99,159,1249,12924,4964,9343,4396,1576,484,405,1989,36095
50402,99,18,21,70,849,30,29,134,143,95,42,29,51,540,25,27,99,106,72,39,33,111,514,4574,1921,5231,3109,1201,340,201,1013,17590
50403,181,81,61,111,1536,51,65,283,261,200,63,53,99,1067,44,66,217,227,153,79,66,156,997,17333,7896,16313,8680,3396,1156,854,3452,59069
50501,259,55,24,131,2517,99,110,505,459,223,76,33,120,1621,89,119,439,423,285,116,87,188,1750,17832,7444,23171,11321,3307,770,382,2383,66606
50502,376,96,66,248,3735,209,205,824,865,422,144,94,244,3012,212,210,842,845,502,241,200,372,3425,31638,11728,23892,11514,3780,1184,861,5195,89795
50503,296,91,61,169,2464,64,124,463,483,252,114,73,172,1751,40,97,389,345,255,111,114,236,1592,23740,10723,24796,12769,4809,1573,1089,4109,83602
50601,128,44,43,75,1011,35,36,165,160,106,56,37,93,686,22,36,114,119,94,48,54,90,581,10127,4979,10338,5492,2346,795,571,2173,36821
50602,92,32,23,71,832,54,43,187,184,100,31,25,95,720,57,56,159,173,127,70,57,126,819,13183,4321,6588,3113,1205,404,286,2361,31450
50603,169,46,40,121,1500,78,68,289,308,169,60,42,149,1165,89,57,246,287,188,95,83,340,1385,13740,5242,11334,5535,1872,562,428,2514,41222
50604,203,69,49,125,1633,68,57,301,282,172,74,50,133,1141,48,65,224,254,186,81,111,197,1156,14263,6632,13613,7487,3020,1082,840,3112,50054
50605,128,44,26,68,1070,48,47,224,247,127,47,21,88,832,44,66,156,175,123,70,33,85,750,6319,2746,7337,4181,1606,486,258,1238,24174
50606,33,16,9,24,267,9,15,41,60,30,6,9,21,186,5,5,29,41,17,15,11,7,138,3342,1462,3554,2053,794,250,184,598,12239
50607,80,10,19,75,781,64,40,180,147,69,17,18,77,596,44,51,163,157,102,36,37,192,794,7538,2354,4818,2325,695,162,141,1225,19254
50701,188,44,34,95,1399,39,75,287,283,161,49,40,122,1051,49,60,247,258,183,66,62,175,1097,15280,6394,13687,6743,2293,604,382,2396,47774
50702,60,16,8,51,738,36,47,156,154,70,33,9,49,551,44,37,148,167,84,33,35,123,668,6415,2141,4604,2277,688,181,107,1226,17638
50703,42,27,13,37,403,10,20,64,82,45,20,15,13,281,7,17,57,59,31,23,25,23,236,5056,2568,4517,2447,1081,408,273,1015,17364
50704,178,43,22,117,2047,114,97,496,435,259,72,30,99,1605,124,129,548,516,322,136,86,241,2102,14010,5216,14671,7374,2178,511,270,1986,46216
50705,234,63,34,168,1939,54,67,354,353,228,72,50,159,1329,46,79,238,249,212,84,73,243,1225,14066,6442,15721,9289,3692,1134,659,3307,54306
50901,161,48,40,117,1348,43,38,211,259,160,63,53,104,935,50,50,165,227,181,78,59,131,935,5984,2517,7160,4773,2054,622,469,2083,25658
50902,169,49,25,174,1158,32,36,132,175,153,62,36,112,736,21,25,106,143,126,77,66,116,686,4596,2011,5787,4424,2000,668,421,2594,22507
50903,61,23,4,45,352,15,7,61,82,56,21,11,39,304,10,5,47,60,54,27,24,39,268,1464,642,2000,1628,746,230,132,898,7726
51001,16,17,25,42,193,11,0,6,15,13,12,19,21,89,6,5,10,5,8,5,12,35,81,4165,1527,2275,1524,833,415,471,2565,13786
51002,8,4,3,6,45,4,3,4,3,4,6,0,9,33,0,0,4,3,7,0,5,6,23,2466,990,1574,973,508,199,107,1452,8268
51003,4,4,6,12,48,3,0,4,5,6,3,0,6,29,0,0,0,7,0,0,4,0,10,2667,1100,2284,1309,502,160,113,1607,9732
51101,63,17,8,41,330,4,9,32,51,51,15,15,27,206,8,3,26,44,44,25,20,23,190,1355,596,1701,1177,551,176,110,679,6340
51102,14,5,6,20,124,0,0,14,14,9,0,4,15,61,0,4,13,9,7,0,7,7,55,1107,334,870,513,218,86,57,589,3763
51103,40,17,17,32,234,13,18,28,32,30,11,19,28,173,7,20,20,20,20,20,23,26,154,3676,1624,2986,1986,985,357,248,1918,13779
51104,164,54,35,122,989,27,26,119,159,112,49,34,92,617,21,30,83,129,116,63,61,114,620,4791,2126,5716,4009,1739,597,434,2623,22030
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
59999,0,0,0,13,26,0,0,0,4,0,0,0,10,15,0,0,0,0,0,0,0,12,16,734,203,417,264,108,47,40,1222,3030
