SA3_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
50101,345,306,648,326,302,631,455,479,936,1315,1154,2466,1569,1386,2953,1665,1482,3147,388,418,807,405,403,805,489,452,945,376,385,763,481,486,968,443,434,874,2075,1959,4039,2455,2276,4731,2605,2375,4979,690,599,1289,1060,978,2039,1263,1145,2404,243,298,537,326,347,677,395,439,838,318,273,596,362,371,729,355,365,723,1253,1166,2419,1748,1690,3440,2012,1950,3968,58,77,128,51,82,128,73,43,120,29,85,114,39,86,122,42,114,149,149,73,215,139,79,221,196,100,295,110,303,414,117,270,386,185,381,568,0,7,12,5,4,9,3,8,5,352,534,888,346,525,870,499,644,1147,47,96,143,54,106,162,53,132,184,36,83,120,43,134,171,48,156,205,8,30,39,7,33,40,16,42,58,78,179,256,90,272,356,92,357,454,0,3,3,0,0,0,0,4,4,171,385,561,195,538,736,215,684,897,523,918,1440,540,1065,1607,715,1333,2048,17,26
50102,771,743,1508,698,606,1298,918,867,1788,3097,2919,6020,3350,3190,6539,3286,2949,6232,922,902,1824,843,840,1682,845,817,1667,554,530,1086,553,494,1047,625,536,1163,4575,4351,8926,4742,4527,9275,4768,4308,9076,1816,1730,3546,2450,2406,4860,2538,2471,5012,467,488,958,660,691,1350,748,795,1550,517,461,979,564,564,1129,593,636,1228,2800,2680,5488,3680,3665,7346,3878,3908,7789,222,226,445,167,190,352,193,200,398,64,172,236,77,191,268,98,253,346,415,252,666,328,179,504,442,243,687,227,451,675,195,476,672,299,645,940,17,7,23,8,8,15,11,0,8,932,1114,2042,768,1042,1811,1029,1346,2379,126,291,419,125,330,459,132,333,469,56,222,275,97,285,382,89,287,379,24,88,114,44,98,142,46,98,149,192,411,611,182,513,697,224,553,770,0,5,8,0,6,6,0,4,4,408,1017,1425,445,1238,1683,491,1278,1774,1337,2133,3470,1213,2283,3491,1525,2627,4155,39,57
50103,153,159,316,130,106,236,162,165,324,815,758,1575,598,603,1197,605,563,1167,243,246,493,267,285,548,243,224,463,35,33,64,24,42,67,44,43,87,1094,1039,2132,891,926,1819,889,822,1715,512,430,943,568,515,1082,537,504,1041,79,88,170,128,152,280,111,150,264,46,55,98,65,53,121,44,65,112,631,578,1212,762,718,1482,695,719,1412,45,51,93,17,23,36,23,14,34,13,26,33,8,17,20,8,31,41,57,47,114,49,41,87,77,48,128,51,129,180,30,90,122,38,130,168,0,7,5,3,0,6,0,0,0,169,258,427,111,162,276,143,232,373,12,32,50,13,30,37,13,33,46,5,38,40,12,26,38,16,34,45,3,8,13,3,9,20,0,12,12,27,87,107,22,92,115,26,72,101,0,0,0,0,0,0,0,0,0,43,157,206,55,153,211,51,152,204,214,420,630,165,317,486,196,382,581,20,10
50201,544,530,1073,543,504,1052,790,781,1571,2294,2153,4448,2719,2558,5280,2729,2782,5509,655,684,1336,642,700,1338,694,708,1402,660,640,1299,688,676,1365,749,714,1461,3607,3473,7082,4047,3932,7979,4177,4211,8391,1121,1080,2203,1636,1524,3161,1999,1849,3853,405,399,802,540,604,1144,610,689,1304,564,596,1160,753,805,1554,800,803,1600,2091,2075,4163,2934,2930,5859,3410,3348,6758,179,208,392,173,208,382,189,225,414,45,160,204,62,199,263,84,251,335,296,148,447,280,168,447,375,229,603,180,342,519,168,322,489,277,598,872,6,5,10,7,3,11,5,0,10,707,862,1568,690,898,1584,934,1304,2235,262,458,719,401,618,1018,361,724,1085,65,194,258,105,324,431,110,353,461,38,68,104,64,123,192,73,140,213,128,347,476,154,443,597,215,485,700,0,6,7,3,3,7,5,5,5,496,1072,1559,731,1507,2242,761,1701,2465,1199,1927,3131,1422,2406,3829,1699,3007,4706,35,68
50301,459,446,905,437,380,819,587,535,1115,1585,1379,2969,1857,1708,3558,1902,1770,3666,461,495,953,431,444,872,389,453,848,838,863,1707,794,821,1615,739,629,1369,2887,2742,5630,3084,2970,6048,3031,2856,5884,381,398,774,647,567,1212,929,804,1728,428,590,1019,451,589,1041,526,653,1178,1416,1500,2918,1899,1801,3704,1862,1738,3601,2220,2489,4711,2997,2957,5959,3320,3191,6509,107,91,200,81,46,133,90,73,162,67,78,144,47,58,102,52,97,150,72,47,117,71,43,111,81,47,133,86,197,281,80,151,237,117,226,342,3,4,12,0,4,4,0,4,4,335,417,752,280,310,586,337,449,787,2362,2352,4711,2483,2414,4894,2344,2485,4824,573,542,1114,744,671,1409,641,617,1260,160,161,320,185,167,347,206,211,422,325,538,868,371,532,903,381,585,964,18,11,26,7,17,28,7,5,11,3432,3605,7037,3792,3798,7582,3575,3906,7481,3766,4020,7790,4064,4107,8174,3914,4356,8276,35,50
50302,505,514,1020,539,482,1016,867,703,1570,1672,1594,3271,2215,2006,4222,2533,2457,4996,541,476,1021,490,449,938,426,390,814,311,336,644,288,332,609,292,343,632,2523,2405,4933,2987,2789,5778,3250,3192,6450,635,589,1222,966,996,1957,1515,1360,2871,437,400,839,520,432,947,534,483,1016,415,565,980,466,674,1141,501,638,1146,1487,1559,3040,1946,2101,4045,2552,2485,5037,253,229,487,219,231,449,267,294,556,302,344,649,396,530,920,418,587,1006,167,101,266,97,97,195,167,134,305,369,444,815,313,455,772,433,664,1095,8,10,18,3,5,6,5,4,8,1102,1133,2232,1035,1313,2346,1286,1686,2975,1548,1960,3504,1597,1820,3414,1609,2162,3771,798,796,1594,1025,991,2012,1097,1222,2320,160,250,410,168,237,412,252,334,584,852,1015,1868,859,1052,1913,956,1247,2211,14,12,22,18,15,26,10,13,18,3366,4038,7406,3664,4117,7785,3919,4980,8902,4466,5169,9640,4702,5432,10134,5210,6671,11885,197,207
50401,520,470,986,449,414,859,769,686,1459,1534,1493,3030,1828,1581,3412,1878,1698,3576,654,640,1300,815,808,1624,762,739,1505,317,314,633,331,329,660,280,316,598,2511,2447,4955,2978,2722,5697,2930,2762,5687,898,762,1664,1023,994,2021,1243,1067,2309,622,607,1231,652,653,1305,745,688,1433,297,291,587,370,364,734,402,378,785,1817,1659,3475,2047,2007,4058,2394,2143,4533,240,197,433,219,162,379,201,175,378,205,229,436,224,265,482,214,307,523,194,102,302,168,104,276,181,107,293,322,425,742,248,372,621,332,511,844,11,14,24,9,7,20,3,4,6,965,966,1934,868,906,1778,937,1107,2046,778,958,1734,930,977,1910,830,979,1807,312,325,636,385,436,818,423,492,914,98,141,238,130,157,289,156,182,336,358,578,934,402,616,1012,454,701,1154,4,12,16,9,13,20,8,4,14,1542,2016,3558,1857,2196,4051,1876,2354,4228,2509,2981,5490,2721,3106,5822,2820,3463,6286,119,87
50402,288,261,547,253,217,469,343,300,646,1289,1069,2359,1190,1111,2300,1146,1045,2190,230,236,464,247,206,450,229,215,444,317,348,663,336,340,674,325,311,634,1837,1654,3489,1771,1658,3425,1699,1570,3273,484,488,965,646,674,1323,698,680,1376,335,358,691,323,271,600,242,231,469,477,434,914,487,464,955,585,509,1095,1290,1281,2570,1467,1408,2873,1524,1420,2939,114,122,236,77,56,134,76,77,154,23,46,65,28,72,98,37,83,119,191,80,271,136,57,187,172,85,255,97,186,280,62,158,226,122,216,342,10,6,18,0,0,4,0,4,3,438,427,867,303,347,651,414,463,873,239,374,612,231,334,562,217,352,569,45,113,158,60,110,169,67,146,211,38,58,97,62,67,125,47,71,115,108,211,320,122,249,374,131,272,400,0,4,9,11,0,10,0,0,0,430,761,1196,486,765,1248,464,835,1299,874,1196,2067,787,1108,1898,875,1299,2173,26,28
50403,817,792,1611,848,855,1697,1592,1403,2999,3197,2881,6079,4035,3665,7698,5130,4709,9837,985,896,1885,1154,1086,2235,1183,1164,2349,1007,899,1906,1074,983,2058,1046,966,2015,5187,4681,9868,6261,5735,11995,7381,6857,14236,1955,1832,3785,2600,2429,5026,3109,2843,5955,746,843,1585,1071,1015,2091,1174,1143,2316,883,830,1712,1172,1001,2176,1262,1150,2414,3575,3504,7074,4842,4448,9290,5550,5154,10699,284,248,533,325,296,620,324,346,676,113,220,327,179,259,442,249,476,723,403,223,631,341,222,561,487,302,783,350,472,820,337,598,935,519,909,1427,9,13,19,14,17,32,8,7,14,1156,1180,2339,1196,1390,2585,1583,2038,3622,686,906,1594,940,1342,2282,1063,1407,2463,140,252,395,295,499,799,371,593,963,100,168,264,164,244,407,195,305,504,299,526,830,405,709,1114,466,862,1329,3,12,13,11,16,22,9,4,15,1227,1863,3095,1814,2798,4614,2096,3181,5274,2388,3040,5429,3013,4189,7206,3691,5231,8921,64,89
50501,1099,1014,2112,1008,878,1887,1386,1258,2640,4707,4427,9135,5012,4686,9701,5084,4654,9738,1252,1167,2418,1343,1318,2660,1208,1188,2398,968,975,1945,980,1016,2000,951,951,1898,6922,6576,13497,7334,7025,14359,7247,6813,14060,2500,2330,4834,3048,2816,5861,3594,3258,6855,1254,1211,2472,1225,1258,2483,1260,1283,2546,1562,1578,3139,1612,1538,3153,1538,1500,3036,5319,5127,10441,5885,5612,11499,6392,6053,12442,452,344,795,307,295,603,334,317,656,135,207,337,122,227,344,158,289,445,632,258,898,489,190,677,596,235,832,398,605,1008,354,519,874,426,681,1107,20,9,33,8,8,20,0,0,6,1638,1422,3062,1280,1239,2520,1519,1523,3044,2169,2797,4972,2183,2434,4614,1814,2210,4023,313,570,882,535,695,1228,530,654,1187,238,345,583,273,387,657,299,375,676,634,1010,1644,597,1054,1656,592,1117,1712,18,21,38,9,19,33,9,5,16,3374,4739,8112,3594,4588,8183,3241,4365,7606,5014,6163,11177,4877,5832,10706,4770,5896,10662,102,99
