SA3_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
50101,39,41,44,1800,1816,1733,566,658,761,275,350,360,1333,1565,1867,0.8,0.8,0.7,1085,1296,1477,2.5,2.5,2.5
50102,37,39,41,1733,1733,1616,597,643,745,260,300,300,1615,1695,1962,0.8,0.7,0.7,1342,1396,1550,2.6,2.5,2.5
50103,44,47,49,1343,1430,1387,486,566,655,160,210,250,1151,1364,1613,0.8,0.7,0.7,915,1094,1236,2.4,2.3,2.3
50201,42,43,45,1950,1826,1733,492,553,630,270,320,300,1263,1437,1664,0.7,0.7,0.7,992,1169,1286,2.4,2.4,2.4
50301,40,40,42,2900,3000,3293,817,926,1122,400,475,450,2727,3387,3945,0.8,0.8,0.8,2109,2358,2790,2.6,2.6,2.6
50302,34,35,36,2265,2167,2167,893,973,1155,360,400,390,2418,2485,2945,0.9,0.9,0.9,1702,1906,2093,2.1,2.2,2.1
50401,37,38,39,1950,1999,1855,655,728,868,300,350,340,1621,1875,2236,0.8,0.8,0.8,1288,1507,1737,2.4,2.4,2.3
50402,40,42,43,1800,1950,1950,633,682,806,300,350,330,1734,1896,2219,0.8,0.8,0.7,1468,1590,1838,2.7,2.6,2.6
50403,34,34,35,1950,2000,1842,658,721,844,320,360,340,1660,1826,2116,0.8,0.8,0.8,1457,1643,1858,2.8,2.8,2.8
50501,38,40,41,2000,2100,2080,718,776,907,370,420,400,2036,2229,2529,0.7,0.7,0.7,1780,1957,2166,2.8,2.8,2.7
50502,36,37,38,2000,2000,1950,682,761,904,320,360,350,1755,1983,2313,0.8,0.8,0.8,1345,1558,1784,2.4,2.4,2.4
50503,32,33,35,2110,2058,1898,656,708,816,350,380,350,1691,1874,2147,0.8,0.8,0.8,1514,1695,1892,2.9,2.9,2.8
50601,34,33,35,1842,1950,1750,621,698,815,295,330,305,1533,1719,2061,0.8,0.8,0.8,1309,1497,1774,2.7,2.7,2.8
50602,34,34,36,2038,2000,1842,699,761,948,315,360,350,1694,1855,2259,0.8,0.8,0.8,1346,1522,1758,2.3,2.4,2.3
50603,34,35,36,1931,1950,1820,582,605,760,330,370,350,1706,1780,2125,0.8,0.8,0.8,1384,1524,1800,2.7,2.8,2.7
50604,33,34,36,1800,1800,1733,623,636,727,310,350,330,1561,1656,1930,0.8,0.8,0.8,1371,1482,1656,2.8,2.9,2.8
50605,38,39,40,1955,2000,1907,681,732,835,330,380,370,1778,1932,2215,0.7,0.7,0.7,1521,1661,1866,2.7,2.7,2.6
50606,35,32,34,2167,2136,1971,666,773,909,330,390,380,1762,1949,2241,0.8,0.8,0.8,1638,1858,2096,3,3,3
50607,36,37,39,2167,2173,2200,779,838,1009,340,380,360,2263,2385,2761,0.8,0.8,0.8,1605,1780,2004,2.3,2.3,2.2
50701,34,35,36,2000,2058,1950,689,761,919,330,381,370,1805,2028,2340,0.8,0.8,0.8,1540,1745,1988,2.7,2.7,2.6
50702,41,42,43,2167,2167,2167,713,810,988,320,370,379,1997,2272,2694,0.8,0.8,0.8,1389,1677,1955,2.3,2.3,2.3
50703,32,32,33,1777,1813,1724,605,684,812,260,330,315,1451,1669,1996,0.8,0.8,0.8,1252,1471,1716,2.7,2.7,2.7
50704,40,41,42,2100,2167,2200,695,757,909,355,410,400,2141,2286,2654,0.8,0.7,0.7,1634,1846,2104,2.6,2.6,2.6
50705,34,34,36,2000,1950,1733,620,682,786,300,350,330,1657,1812,2077,0.7,0.7,0.7,1410,1555,1724,2.7,2.7,2.6
50901,41,44,45,1400,1500,1490,514,613,709,200,250,280,1202,1451,1723,0.8,0.8,0.7,961,1178,1323,2.4,2.4,2.4
50902,42,45,47,1300,1408,1425,531,617,709,155,210,231,1247,1498,1759,0.8,0.7,0.7,991,1199,1349,2.4,2.4,2.3
50903,41,44,46,1083,1109,1105,550,672,774,150,200,200,1211,1554,1858,0.8,0.7,0.7,961,1220,1372,2.4,2.3,2.3
51001,30,32,33,2383,2383,2167,667,748,864,140,200,200,1497,1759,1950,1.1,1,1,1438,1592,1762,2.9,2.8,2.8
51002,32,32,33,1950,2500,1480,1608,1554,1604,115,180,180,2881,2854,3164,1,0.9,0.9,2775,2476,2764,2.9,2.8,2.7
51003,33,33,33,2817,2600,2000,1650,1763,1618,92,180,220,2916,2936,3426,1,0.9,0.9,2799,2569,3114,2.9,2.8,2.8
51101,38,40,42,1517,1625,1517,594,682,817,200,250,260,1421,1694,2014,0.8,0.8,0.7,1159,1345,1538,2.5,2.5,2.4
51102,38,38,39,1733,1783,1733,629,717,852,173,225,240,1442,1687,1998,0.9,0.9,0.9,1161,1337,1552,2.4,2.4,2.4
51103,31,33,35,1842,1733,1517,896,938,1154,230,260,280,2144,2260,2663,0.9,0.8,0.8,1872,1980,2200,2.7,2.6,2.5
51104,38,40,42,1583,1690,1517,599,655,766,212,250,250,1385,1585,1908,0.8,0.8,0.7,1128,1277,1455,2.5,2.5,2.4
59797,36,40,40,0,0,1733,10766,2654,2123,0,0,0,0,0,1375,0,0,0.7,0,0,2250,0,0,1.7
59999,40,41,40,0,0,0,490,434,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
