SA3_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
50101,292,82,250,330,25,35,61,1104,1145,2252,539,323,858,12,10,24,57,69,126,100,313,409,12,16,32,720,736,1452,301,172,476,6,6,12,45,47,92,166,567,732,8,18,24,520,814,1332,11852,11934,23788,706,821,1530,1900,2682,4587,553,1779,2329,7439,6651,14079,22448,23859,46314
50102,449,157,557,716,46,40,86,1808,1909,3713,765,512,1280,25,15,37,94,125,217,159,627,787,34,25,59,1079,1312,2385,511,237,746,12,5,23,48,72,122,251,930,1184,34,28,61,857,1285,2133,20959,20882,41840,1521,1757,3276,3822,4808,8635,1010,3461,4470,15185,13410,28599,42497,44325,86826
50103,163,42,144,190,44,18,64,599,564,1159,234,147,376,10,3,15,35,30,67,50,151,203,16,10,22,341,338,680,133,45,180,6,4,5,12,23,31,71,205,273,11,10,20,226,286,508,5030,5038,10070,334,409,747,983,1089,2075,300,835,1139,3225,2669,5898,9879,10042,19922
50201,684,227,711,941,59,35,95,2665,2793,5461,1342,896,2239,35,31,73,171,204,380,242,794,1031,44,25,65,1836,1951,3783,772,405,1180,22,11,26,66,117,188,422,1251,1665,20,19,38,1301,1794,3095,21266,21502,42772,1590,1975,3560,4251,5693,9937,1386,4283,5671,14021,12845,26869,42513,46298,88811
50301,337,85,346,434,66,92,155,1424,1551,2969,723,513,1237,15,19,27,76,116,192,81,395,471,39,38,78,929,1080,2009,562,291,849,24,7,26,36,122,164,227,838,1065,20,55,70,865,1314,2184,15219,15504,30724,505,635,1136,1550,2552,4102,567,2179,2741,10671,9950,20625,28511,30813,59324
50302,492,86,323,411,155,103,259,1268,1278,2544,485,325,811,22,23,38,104,133,236,101,448,546,102,101,202,817,1025,1847,404,216,620,17,13,27,60,98,158,221,1006,1228,75,126,197,778,1452,2226,18879,18664,37551,1432,1338,2771,3728,4706,8440,648,2666,3313,22752,20710,43464,47440,48092,95536
50401,442,108,398,506,90,62,156,1252,1397,2650,594,392,980,20,19,37,100,151,251,129,483,604,53,39,90,894,1079,1971,397,206,601,10,5,16,49,107,152,207,910,1112,39,35,75,698,1249,1949,15349,15327,30678,1026,1312,2340,2864,4055,6921,724,2788,3514,14659,12606,27268,34620,36095,70713
50402,221,44,213,260,27,15,50,801,849,1652,336,217,553,7,8,14,53,59,110,68,250,315,10,15,28,474,540,1018,208,103,312,9,7,15,32,41,75,96,350,437,12,5,21,356,514,870,9217,8663,17879,638,598,1233,1541,1914,3448,385,1336,1721,7008,5083,12095,18784,17590,36378
50403,454,102,420,520,63,37,102,1437,1536,2979,628,424,1049,25,10,35,101,137,232,131,487,615,25,18,41,905,1067,1973,419,204,621,12,9,18,45,79,122,178,695,873,20,16,35,678,997,1678,27438,27676,55119,1979,2441,4421,3916,5983,9897,836,3125,3966,22728,19835,42571,56904,59069,115971
50501,566,179,635,816,45,49,93,2455,2517,4968,1003,675,1677,27,21,45,84,187,281,159,695,849,23,39,65,1290,1621,2909,630,379,1010,24,13,35,59,117,178,324,1199,1527,14,34,47,1044,1750,2794,35561,35823,71382,1547,1971,3515,3965,6160,10126,1192,4182,5379,21790,18472,40265,64062,66606,130669
