SA3_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
50101,2055,15158,311,20391,0,0,4,100,0,106,236,19,25,47,5,328,61,16,14,72,0,170,534,134,135,283,20,1102,6587,2475,1971,12475,347,23856,246,11,39,11,0,300,219,23,32,97,6,380,595,140,142,963,34,1871,50,32,9,79,0,178,34,12,0,13,0,62,175,11,20,26,0,233,1182,428,360,3248,66,5285,490,193,91,923,22,1722,77,0,5,0,0,85,3,0,0,4,0,16,6,0,3,17,0,28,33,11,10,36,3,90,164,60,21,10,4,273,366,192,95,53,16,727,138,40,31,102,3,307,63,10,11,19,4,106,5,0,0,4,0,9,1341,527,400,2929,69,5275,20,0,5,4,0,35,293,54,40,9,3,401,72,20,14,81,0,183,42,5,0,3,0,56,70,3,0,0,0,77,208,43,29,139,6,425,1545,311,320,457,27,2657,100,29,31,312,3438,3904,12034,4352,3433,26906,4142,50875,477,2878,2529,15937
50102,3383,31715,629,40931,6,25,13,331,5,373,708,26,40,66,5,851,104,33,17,102,0,267,1081,277,217,481,20,2074,11002,4342,3462,24990,676,44473,1234,7,90,11,15,1359,218,42,22,150,4,435,899,275,212,1844,51,3284,108,62,28,234,4,442,49,19,13,29,0,106,677,36,27,42,7,788,2086,745,606,6149,125,9713,1830,751,336,3470,85,6476,205,0,9,6,3,225,62,4,4,10,3,81,21,7,4,26,0,58,30,19,9,38,0,96,1120,122,80,40,33,1397,712,311,167,75,16,1285,457,85,66,264,8,873,125,14,19,39,3,195,36,0,6,5,0,50,2365,867,757,5375,126,9493,35,7,0,9,0,58,971,50,52,17,3,1096,174,23,16,99,0,312,77,4,3,5,0,97,98,11,6,0,0,113,401,101,66,300,6,882,3174,483,461,804,51,4966,263,68,66,680,7010,8080,24795,7891,5996,55492,8473,102642,903,4783,3733,31971
50103,722,7005,156,9108,0,8,0,41,3,56,88,0,8,18,3,119,35,9,4,46,0,93,236,76,40,94,9,456,2858,998,737,5641,187,10423,93,0,19,0,4,117,64,3,6,31,6,107,231,76,68,404,20,799,37,6,6,25,0,74,27,0,0,6,0,39,41,0,12,7,5,60,381,156,114,1335,35,2023,429,161,72,665,39,1361,6,0,4,0,0,12,7,0,0,0,0,17,123,7,11,69,3,208,14,6,8,5,0,34,41,22,16,11,0,95,137,40,41,11,6,233,79,16,7,24,0,130,21,0,0,3,0,23,4,0,0,0,0,4,589,233,166,1274,46,2307,4,3,0,3,0,11,38,7,11,3,0,51,18,6,0,14,0,46,0,4,0,0,0,8,12,0,0,0,0,16,111,27,4,52,5,197,500,108,89,177,14,889,48,16,17,172,1769,2018,5231,1828,1285,12301,2170,22813,202,1024,858,6843
50201,3583,26208,546,35587,0,11,3,234,0,257,627,24,45,106,18,825,167,54,27,115,4,363,1093,264,158,361,21,1901,16317,4402,3453,21059,643,45870,929,19,114,17,18,1100,294,27,28,140,4,496,1041,251,213,1602,45,3147,93,42,17,114,0,275,100,19,3,27,0,147,704,42,33,38,3,821,2901,666,533,5191,140,9432,868,387,179,1532,36,3007,112,10,6,0,0,134,13,8,0,12,0,30,21,0,6,20,0,50,94,34,9,65,0,203,1089,92,82,30,17,1310,826,260,197,77,13,1377,343,51,45,165,3,611,128,16,15,31,0,194,95,16,0,0,0,113,3395,919,768,4598,130,9810,26,6,8,6,3,49,899,45,46,24,3,1015,216,18,18,121,3,382,94,3,0,10,0,113,84,0,17,0,0,109,663,97,84,202,29,1064,3581,519,465,680,59,5303,286,60,53,525,5914,6832,30135,7633,5915,45823,7229,96738,1017,5098,4198,28226
50301,2773,14132,179,20972,0,8,8,43,0,56,4541,139,252,133,23,5088,220,72,50,233,12,580,717,163,98,192,6,1178,8522,2961,2350,12845,249,26921,176,3,35,0,3,219,501,46,44,109,3,708,960,187,177,996,28,2347,318,139,62,398,7,927,105,21,23,33,0,176,1201,82,64,51,8,1414,2052,708,526,4791,77,8155,1035,416,204,1197,20,2870,126,7,21,5,0,153,58,5,10,42,0,119,72,11,16,63,0,165,29,11,3,17,4,69,46,13,9,0,0,65,348,141,92,31,3,611,411,74,48,95,8,635,190,18,14,27,5,261,11,0,0,0,0,12,2313,750,579,3877,63,7587,64,5,10,3,0,90,739,73,75,21,3,913,197,18,35,42,6,299,258,35,14,6,0,316,195,0,28,5,0,220,333,88,54,180,16,670,4684,584,627,629,36,6567,134,28,22,153,3617,3948,24993,5864,4736,27876,4168,67637,634,3590,3226,14538
50302,3085,15580,258,23863,7,7,4,112,4,132,6161,188,251,162,37,6796,410,107,53,329,5,903,886,233,149,382,14,1667,11724,3917,2722,13257,326,31951,759,18,83,4,10,864,862,72,40,151,11,1135,1405,304,234,1220,24,3186,719,218,88,502,16,1543,207,27,15,40,7,306,3115,94,74,49,11,3345,4180,958,671,5342,95,11238,3685,823,396,2073,85,7062,1077,4,13,3,10,1106,90,7,21,23,0,136,386,53,35,122,4,600,92,33,21,51,3,195,257,22,13,18,0,303,655,166,125,36,0,991,818,110,90,215,9,1235,349,28,31,48,0,448,40,3,3,0,0,52,3259,886,612,3815,73,8652,331,22,19,27,0,405,614,51,63,13,4,750,578,31,28,70,8,715,340,24,22,11,3,399,1197,20,29,21,11,1279,508,104,47,235,9,894,11310,808,707,853,86,13764,361,56,31,210,9517,10174,47284,7839,5629,30533,10381,101670,1046,4883,3810,16573
50401,2432,13231,366,20242,8,20,11,175,3,208,4590,89,148,107,53,4992,402,83,51,236,5,782,780,206,125,295,13,1412,9122,2932,2168,10805,372,25407,1158,12,79,13,9,1270,438,39,22,89,4,597,891,205,167,930,28,2217,476,128,47,220,6,881,157,25,22,36,0,239,3019,125,75,67,24,3311,2846,719,506,3570,81,7717,3371,868,393,2019,81,6732,253,3,7,3,0,272,104,15,14,6,5,144,280,51,28,83,0,443,163,34,12,63,0,271,627,35,50,8,7,735,529,175,105,29,12,855,806,83,70,171,16,1142,213,14,18,30,0,276,72,10,0,0,0,82,2226,671,487,2815,77,6266,525,33,18,29,13,621,420,36,54,11,4,523,292,26,7,48,0,372,331,17,26,22,0,386,2390,24,47,9,22,2494,297,69,47,179,0,595,8916,721,613,734,101,11093,355,36,38,234,4514,5176,39010,6319,4554,25003,5560,80443,1249,3734,2985,13654
50402,1695,10461,203,14970,0,8,4,106,5,127,265,19,35,56,10,376,157,30,28,122,6,338,576,133,90,220,9,1030,6701,2125,1607,8304,225,18966,327,17,25,17,3,382,167,24,19,70,3,278,558,149,101,685,25,1512,75,27,9,60,12,182,59,9,9,21,0,93,312,39,14,25,4,399,1113,372,259,2268,45,4051,688,249,115,817,20,1889,13,0,3,0,0,13,15,0,4,8,0,24,17,6,3,10,0,41,33,15,5,17,0,68,232,25,23,3,8,291,346,137,55,35,4,577,282,53,20,85,0,452,60,15,6,19,3,103,25,0,0,0,0,25,1320,467,366,2145,43,4338,38,7,0,4,0,45,229,25,18,8,3,276,63,14,6,29,4,113,16,8,10,0,0,34,50,0,8,0,0,54,247,66,31,122,5,473,1571,298,265,347,22,2497,113,38,35,172,3911,4268,12627,3845,2790,18364,4408,42035,361,2440,1959,10777
50403,4593,26667,574,39148,12,38,28,501,8,597,3240,67,132,148,23,3607,731,157,78,419,13,1394,1174,341,188,501,18,2215,16739,4984,4150,19207,622,45702,2637,38,153,36,26,2887,494,47,32,136,10,718,1294,335,255,1517,55,3442,260,125,56,269,12,724,213,34,15,46,0,310,5023,117,102,111,24,5377,3234,929,690,5013,132,9998,2422,852,454,2738,80,6541,130,0,14,5,0,153,107,27,6,24,0,167,335,51,37,89,7,516,184,57,40,78,3,367,1716,148,114,40,31,2048,1297,399,256,102,19,2063,820,126,88,245,17,1292,161,13,11,29,0,215,126,15,15,5,4,161,3938,984,808,4274,103,10103,420,38,16,24,12,503,1164,97,81,30,10,1381,516,33,31,89,5,669,417,39,16,26,4,499,2704,46,62,25,24,2859,463,94,95,222,11,889,14556,1027,837,1045,170,17635,647,87,40,431,7988,9193,56276,9850,7794,45090,9533,128540,2715,6428,5354,28047
50501,6084,30656,455,45991,5,19,8,106,4,146,3130,111,151,172,32,3595,497,168,77,374,8,1116,2097,424,248,613,27,3409,35575,6674,5473,22601,654,70982,735,19,123,15,0,903,792,74,69,238,12,1190,2525,410,357,1787,38,5128,571,177,82,348,19,1198,284,47,28,49,7,414,2280,120,71,104,18,2590,8436,1361,1053,7229,174,18252,2720,941,467,2468,58,6658,153,8,12,3,0,180,115,23,3,31,5,175,348,87,39,194,3,674,165,39,29,89,0,329,756,80,54,26,12,920,1550,438,279,98,14,2386,1246,128,133,257,18,1783,313,21,34,31,0,403,77,3,0,5,3,88,8074,1399,1096,5804,130,16497,267,39,6,12,0,331,3390,137,133,30,17,3708,484,59,48,136,8,721,181,35,25,23,0,268,462,3,39,13,4,530,1645,139,125,326,15,2246,9858,1073,1096,1089,95,13209,439,58,60,403,5490,6444,72112,12520,9982,53229,6874,154728,1895,8314,6937,31324
