SA3_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
50101,33,27,5,0,69,41,36,7,3,93,236,202,66,23,533,285,302,122,25,732,273,412,140,36,858,271,339,130,34,772,319,483,181,28,1003,253,390,148,39,835,357,512,201,53,1117,22,22,9,0,51,2126,2741,1017,248,6135
50102,54,37,20,14,121,96,60,18,9,186,416,259,132,59,874,479,510,209,74,1273,568,762,281,91,1698,473,705,255,70,1498,685,990,366,87,2126,570,782,318,104,1775,630,795,361,129,1909,31,34,13,5,88,4093,4966,1996,644,11703
50103,20,9,5,0,31,28,19,12,6,64,98,93,46,17,250,100,111,51,14,281,123,141,48,24,330,92,118,48,9,278,106,129,70,10,315,68,84,47,16,215,113,142,68,46,375,7,0,3,3,13,774,869,406,153,2199
50201,68,46,20,4,135,101,59,28,18,209,435,264,114,44,845,406,405,155,67,1030,513,500,239,87,1337,415,518,169,46,1143,612,804,289,80,1783,576,836,303,76,1790,712,889,382,146,2126,35,33,12,3,81,3946,4407,1726,576,10656
50301,18,12,3,0,46,11,20,12,0,51,99,63,14,0,187,124,116,34,9,280,174,177,63,9,420,157,175,65,21,411,372,441,143,16,970,1469,2751,1330,215,5764,237,397,204,64,903,17,15,8,3,40,2742,4206,1878,337,9167
50302,32,20,4,0,62,56,28,5,0,93,252,143,38,6,434,322,197,49,6,574,423,335,72,12,847,340,332,66,16,746,681,795,159,19,1651,1623,2368,682,97,4765,319,321,119,27,784,14,23,9,0,43,4129,4598,1217,179,10123
50401,50,49,8,10,117,84,57,20,6,177,413,271,78,29,783,431,354,96,43,925,550,501,119,38,1204,455,468,127,29,1079,753,895,214,40,1906,736,1098,253,77,2167,385,345,118,39,895,19,31,6,5,55,3955,4112,1081,318,9460
50402,16,19,0,0,36,24,17,5,0,44,160,107,35,9,310,169,161,74,27,434,247,268,88,23,625,223,248,91,27,587,349,442,157,23,977,362,538,202,67,1166,299,360,149,57,861,15,10,3,0,32,1887,2183,811,234,5118
50403,96,88,25,26,229,138,125,62,33,365,726,690,248,137,1803,904,1024,343,152,2421,1127,1394,440,154,3115,959,1152,347,122,2585,1207,1403,459,154,3225,939,1308,479,156,2883,858,998,465,235,2565,54,58,24,20,157,7124,8353,2945,1236,19656
50501,63,42,19,12,125,88,53,25,4,173,472,303,119,31,922,583,599,211,52,1450,886,1035,332,79,2327,956,1176,346,57,2538,1565,2455,683,130,4833,1945,3670,1164,235,7013,879,1229,499,115,2724,63,72,19,10,152,7587,10702,3420,719,22425
50502,134,101,43,25,302,216,161,45,37,460,885,575,198,107,1767,1031,837,238,79,2188,1231,1087,303,88,2709,943,991,287,58,2277,1601,2062,501,78,4248,2196,3750,1081,182,7213,794,938,317,115,2163,71,54,14,13,158,9322,10721,3095,833,23971
50503,137,119,42,24,323,176,171,75,49,478,910,911,317,179,2314,1191,1380,520,187,3281,1544,1833,626,198,4206,1330,1774,529,177,3813,1750,2500,737,220,5200,1369,2280,819,236,4701,1240,1654,742,297,3933,94,90,22,22,229,9936,12820,4498,1654,28906
50601,59,53,23,20,152,104,76,35,15,236,498,447,167,88,1201,598,724,231,104,1656,711,887,282,128,2004,558,743,212,67,1584,709,1040,310,105,2163,555,808,312,110,1782,462,622,280,115,1473,30,21,4,9,70,4349,5489,1883,774,12495
50602,53,38,11,13,112,93,53,15,15,174,323,209,76,33,640,338,282,78,29,723,443,375,103,30,947,349,336,66,35,779,585,551,147,39,1324,609,789,199,50,1644,292,275,90,38,687,15,13,6,4,43,3166,2956,814,294,7229
50603,75,50,26,6,165,115,101,29,26,271,533,444,126,72,1176,599,614,162,61,1434,662,770,244,70,1740,510,689,187,34,1424,764,1110,343,70,2284,775,1318,436,98,2622,436,544,212,88,1278,15,22,4,0,41,4628,5770,1792,545,12738
50604,117,98,66,28,308,188,161,84,51,489,771,712,263,168,1919,815,885,327,177,2201,941,1073,405,157,2572,732,918,265,100,2010,888,1169,420,137,2613,653,1099,402,136,2296,597,773,311,156,1837,45,41,13,13,117,5892,7049,2631,1175,16749
50605,18,18,0,7,46,45,32,10,8,91,226,178,67,30,502,256,312,105,29,706,388,425,167,46,1021,318,431,160,45,957,474,685,265,56,1479,493,707,282,75,1558,341,361,169,62,927,22,25,0,0,52,2610,3191,1249,357,7406
50606,15,10,4,4,33,32,14,10,3,49,114,112,50,29,306,176,250,108,53,589,239,296,126,52,717,209,267,84,40,595,241,338,126,51,753,217,306,126,59,708,218,298,150,64,728,10,17,4,4,34,1496,1918,796,360,4567
50607,16,11,8,0,29,23,17,3,5,43,109,50,16,5,189,116,94,32,0,238,189,147,35,9,379,148,128,48,12,334,314,335,76,16,741,682,1024,290,37,2035,152,177,67,19,415,10,14,4,0,27,1786,2022,582,98,4491
50701,63,45,13,8,131,82,73,22,9,187,460,359,97,39,950,586,560,164,52,1376,812,969,290,81,2150,757,931,244,56,1991,1136,1492,405,77,3109,1042,1580,548,116,3277,583,730,299,83,1694,42,32,9,0,81,5655,6826,2101,534,15118
50702,21,10,0,5,34,25,13,7,0,41,101,43,11,5,167,111,84,21,0,217,160,146,46,14,370,171,166,39,3,380,284,353,95,16,746,539,786,253,38,1611,161,197,66,18,442,9,7,6,0,18,1597,1822,539,106,4068
50703,38,30,8,8,79,52,30,15,11,105,240,205,75,33,549,336,337,113,46,828,352,378,169,44,938,281,324,118,39,757,355,429,137,43,962,184,287,109,45,626,261,343,150,67,816,15,8,8,0,28,2137,2399,900,339,5783
50704,53,37,7,4,102,76,47,10,8,142,295,211,64,13,579,367,322,98,23,811,513,525,158,39,1233,477,657,176,25,1330,951,1252,385,62,2648,1552,2798,967,191,5505,436,625,241,50,1362,22,23,6,4,55,4828,6562,2129,423,13938
50705,69,49,17,8,144,113,83,30,24,248,481,365,142,83,1072,643,703,319,133,1808,841,999,397,148,2382,722,878,321,109,2032,1039,1346,524,162,3063,828,1292,480,136,2742,915,1167,549,215,2842,52,46,22,4,124,5783,6982,2841,1038,16640
50901,47,24,14,5,90,70,39,21,16,153,262,243,120,41,668,296,326,139,66,823,287,420,141,53,902,262,323,124,45,745,290,373,138,57,851,229,292,136,43,695,298,340,189,78,909,14,10,8,6,47,2110,2417,1051,415,5994
50902,36,17,14,9,74,49,27,13,10,104,202,157,105,39,501,190,232,115,51,596,247,248,124,47,673,202,228,113,34,573,256,314,130,31,742,218,246,118,35,612,356,428,204,75,1071,26,13,12,7,49,1845,1949,963,342,5091
50903,14,8,10,5,32,10,8,5,0,32,71,66,31,17,184,67,100,43,19,227,76,98,47,15,239,73,73,47,7,197,90,94,45,15,248,65,92,43,10,209,105,131,98,27,358,3,7,6,0,16,601,690,385,112,1786
51001,63,40,25,17,151,42,36,28,17,123,89,70,52,40,249,66,75,45,23,208,128,101,54,21,311,121,116,32,18,286,158,234,93,24,507,144,193,89,17,453,138,176,94,64,466,31,28,10,11,77,1081,1143,564,273,3070
51002,13,14,11,3,33,13,8,7,7,41,25,22,11,7,70,50,31,17,14,107,86,75,33,20,209,84,89,49,20,237,150,195,103,44,492,278,353,147,50,822,81,117,61,31,289,9,18,8,3,31,809,928,447,210,2389
51003,3,4,3,0,9,7,3,0,0,13,29,21,13,4,68,66,56,15,14,151,106,123,67,17,307,90,131,62,23,305,201,316,149,34,697,360,599,273,76,1309,133,178,72,30,412,11,13,0,0,21,1024,1443,657,192,3316
51101,4,0,6,5,12,14,5,0,3,23,59,40,17,7,130,60,73,35,16,181,79,96,43,9,234,50,75,31,8,170,71,115,52,14,253,68,101,26,10,204,85,119,59,28,290,7,5,0,0,19,523,640,276,100,1546
51102,0,8,6,3,13,6,8,4,4,26,28,19,6,0,60,34,38,17,3,89,44,50,12,3,108,32,56,13,4,108,31,65,19,6,120,41,42,15,0,94,45,78,25,10,150,4,6,0,0,8,276,363,127,38,805
51103,17,14,5,10,41,32,13,9,5,54,80,55,17,16,167,99,102,34,14,247,178,188,67,25,463,151,172,72,32,423,284,348,141,47,812,351,432,191,61,1036,177,175,111,61,520,12,22,10,6,43,1408,1537,657,280,3878
51104,27,26,12,3,67,35,23,12,10,85,154,135,60,23,380,232,192,76,42,545,252,309,128,46,730,208,265,117,32,616,301,354,156,43,851,250,301,127,36,719,323,377,167,54,926,19,14,0,3,38,1834,2022,872,307,5032
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
