SA3_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
50101,13,10,26,1446,1382,2829,91,99,191,1550,1491,3047,78,36,114,2854,2670,5524,166,159,326,3098,2865,5964,24,8,31,1244,1161,2404,60,50,111,1328,1219,2552,18,8,25,804,781,1590,77,49,123,899,838,1735,35,26,54,2075,2329,4405,188,141,331,2298,2496,4788,46,50,95,2792,3069,5858,240,172,408,3078,3291,6361,63,76,141,2614,2846,5456,177,144,321,2854,3066,5916,96,73,168,2362,2503,4865,153,118,272,2611,2694,5308,107,83,190,1496,1620,3116,92,79,173,1695,1782,3476,107,194,306,801,916,1713,47,56,102,955,1166,2118,93,241,337,167,217,384,18,30,53,278,488,774,672,813,1490,18662,19483,38147,1313,1101,2414,20647,21397,42045,16,4,20,1568,1449,3020,118,106,232,1702,1559,3267,110,45,151,3387,3238,6625,259,246,513,3756,3529,7290,33,15,46,1336,1248,2584,106,92,199,1475,1355,2828,21,10,36,843,870,1710,67,77,148,931,957,1891,43,31,75,2323,2641,4968,246,231
50102,34,27,61,3150,2891,6039,262,270,536,3446,3188,6632,188,98,282,6344,6173,12518,402,400,801,6934,6671,13602,77,33,108,3201,2915,6114,208,165,376,3486,3113,6597,60,33,97,2499,2463,4961,250,151,402,2809,2647,5456,75,80,151,5300,5420,10718,585,313,893,5960,5813,11768,106,93,197,5953,6505,12457,529,359,887,6588,6957,13549,189,176,362,6264,6227,12495,485,326,807,6938,6729,13663,300,264,561,5041,5104,10146,341,245,583,5682,5613,11291,289,231,513,2904,2990,5896,177,147,328,3370,3368,6736,297,437,740,1288,1466,2752,110,141,249,1695,2044,3743,185,458,641,260,335,592,48,55,96,493,848,1334,1801,1923,3718,42202,42490,84695,3401,2563,5963,47404,46976,94384,48,17,64,3170,2989,6160,233,209,442,3451,3215,6670,268,130,394,6588,6515,13106,470,428,900,7326,7073,14400,112,53,167,3145,2964,6114,260,247,507,3517,3264,6782,83,43,125,2426,2333,4763,218,192,409,2727,2568,5302,122,96,215,5293,5847,11133,621,479
50103,3,0,5,629,605,1229,32,31,58,664,636,1291,49,25,73,1520,1471,2991,55,49,102,1624,1545,3166,17,12,26,603,507,1113,25,17,45,645,536,1181,3,13,21,355,360,717,22,6,30,380,379,763,8,12,23,815,900,1713,52,38,88,875,950,1829,28,25,51,1245,1409,2654,58,56,115,1331,1490,2823,70,59,131,1590,1600,3190,89,51,137,1749,1710,3463,91,71,164,1627,1592,3223,79,57,138,1797,1720,3523,77,68,147,1091,971,2058,46,37,89,1214,1076,2294,82,101,183,389,382,767,23,13,40,494,496,993,41,114,157,68,97,166,11,13,20,120,224,346,479,502,981,9936,9892,19822,493,374,863,10908,10768,21674,11,3,12,537,521,1058,50,53,106,598,577,1174,41,29,73,1315,1335,2649,119,120,229,1475,1484,2953,23,7,31,627,519,1144,42,37,79,692,563,1255,10,9,24,378,347,726,36,36,75,424,392,824,19,25,46,813,868,1671,78,83
50201,34,17,51,2427,2268,4700,266,225,489,2727,2510,5238,162,90,253,4858,4747,9598,347,354,697,5367,5191,10554,63,46,102,2595,2478,5070,187,133,320,2845,2657,5498,32,36,69,2004,2092,4094,177,121,294,2213,2249,4457,84,59,142,3701,4088,7792,323,255,579,4108,4402,8519,115,109,221,4405,4885,9294,390,300,686,4910,5294,10196,179,166,346,4715,5257,9970,372,272,642,5266,5695,10952,369,277,640,4560,5172,9733,355,281,632,5284,5730,11008,403,278,686,4117,4242,8359,253,216,468,4773,4736,9514,400,482,880,2111,2205,4317,195,238,430,2706,2925,5629,212,470,683,399,466,865,72,111,190,683,1047,1731,2052,2033,4080,35893,37893,73786,2925,2499,5423,40870,42425,83294,38,30,70,2640,2514,5156,178,166,344,2856,2710,5570,263,126,388,5502,5428,10926,338,336,675,6103,5890,11993,96,54,150,2662,2688,5343,178,152,328,2936,2894,5820,72,49,127,2350,2322,4676,169,155,326,2591,2526,5128,120,84,205,4420,4946,9367,429,350
50301,16,9,20,1481,1469,2946,78,75,151,1575,1553,3115,57,38,93,4050,4063,8104,216,182,397,4323,4283,8598,30,25,57,2440,2576,5021,152,111,263,2622,2712,5330,17,18,33,2631,2428,5056,185,132,312,2833,2578,5407,35,23,59,2907,2936,5834,288,212,496,3230,3171,6395,45,37,85,3183,3836,7022,229,189,420,3457,4062,7522,50,58,108,4161,4638,8800,214,195,414,4425,4891,9320,55,59,115,3580,3838,7418,238,187,425,3873,4084,7957,78,95,169,2427,2486,4913,147,125,275,2652,2706,5359,137,248,386,1201,1498,2700,88,107,194,1426,1853,3282,177,518,694,340,614,950,64,139,204,581,1271,1844,695,1115,1813,28393,30382,58773,1892,1659,3550,30980,33156,64138,19,11,26,1455,1355,2810,76,62,136,1550,1428,2972,84,52,134,4534,4326,8865,215,163,373,4833,4541,9371,32,19,58,2559,2643,5207,96,105,202,2687,2767,5467,24,24,54,2692,2379,5073,141,136,283,2857,2539,5409,37,35,72,3139,3155,6294,309,288
50302,19,12,28,2270,2143,4415,243,190,438,2532,2345,4886,64,48,114,3344,3307,6653,257,217,478,3665,3572,7241,31,7,40,1730,1886,3613,166,126,292,1927,2019,3953,32,17,43,3671,3966,7640,474,407,881,4177,4390,8563,59,49,112,9887,9338,19225,1449,1101,2551,11395,10488,21888,88,80,162,6621,6177,12804,768,473,1241,7477,6730,14202,125,111,235,5429,5122,10548,503,390,890,6057,5623,11677,175,173,354,4318,4077,8393,454,318,773,4947,4568,9519,195,242,436,2212,2115,4332,188,166,350,2595,2523,5121,272,527,796,1011,1318,2333,137,141,276,1420,1986,3406,229,658,886,267,447,705,56,120,175,552,1225,1767,1284,1916,3207,40762,39894,80659,4697,3655,8352,46743,45465,92215,21,20,34,2442,2310,4748,239,187,425,2702,2517,5213,99,53,145,3966,3820,7788,268,233,500,4333,4106,8435,30,32,66,1702,1915,3614,139,165,307,1871,2112,3982,45,34,80,3251,3707,6958,427,482,911,3723,4223,7940,76,72,138,11075,10908,21991,1578,1480
50401,32,13,41,2272,2142,4414,202,156,365,2506,2311,4824,91,44,137,3616,3496,7114,210,190,404,3917,3730,7649,27,19,46,1988,1882,3871,118,89,207,2133,1990,4127,37,28,69,2624,2479,5105,203,122,325,2864,2629,5492,62,55,119,5924,5783,11711,530,332,863,6516,6170,12691,100,90,192,5370,5237,10609,363,260,623,5833,5587,11416,134,178,312,4640,4646,9285,323,213,537,5097,5037,10134,198,169,363,4005,4211,8219,227,191,418,4430,4571,9002,214,266,481,2393,2566,4957,142,109,252,2749,2941,5693,288,508,797,1235,1429,2671,106,117,221,1629,2054,3686,250,591,837,284,398,679,26,82,105,560,1071,1623,1436,1960,3394,34352,34275,68630,2450,1875,4320,38238,38110,76338,31,15,47,2348,2187,4533,135,145,285,2514,2347,4865,149,71,213,3895,3680,7572,214,182,396,4258,3933,8183,34,20,60,1910,1833,3748,104,101,209,2048,1954,4012,39,32,68,2420,2255,4677,180,159,335,2639,2446,5080,66,76,137,6481,6624,13112,496,467
50402,16,11,23,1063,989,2061,79,84,157,1158,1084,2239,60,37,95,2645,2434,5078,158,146,310,2863,2617,5482,38,10,54,1442,1356,2797,115,80,191,1595,1446,3042,35,15,48,1105,961,2066,308,51,361,1448,1027,2479,34,27,64,1542,1668,3213,658,89,742,2234,1784,4019,33,36,69,2358,2696,5051,543,144,684,2934,2876,5807,65,59,125,2826,3052,5874,314,147,456,3205,3258,6456,88,95,184,2436,2584,5019,190,128,320,2714,2807,5521,105,91,191,1429,1458,2884,99,75,181,1633,1624,3259,118,148,264,598,597,1197,52,65,112,768,810,1576,67,167,242,98,145,241,15,41,56,180,353,537,664,698,1359,17545,17933,35482,2526,1047,3578,20735,19678,40415,15,10,22,1058,949,2008,68,56,117,1141,1015,2153,103,48,147,2449,2388,4836,130,121,256,2682,2557,5238,29,19,48,1310,1195,2499,104,75,178,1443,1289,2724,31,12,46,1051,942,1992,312,67,377,1394,1021,2412,55,32,86,1827,1920,3750,812,114
50403,54,27,84,3684,3435,7121,284,264,544,4022,3726,7745,251,120,371,7463,6971,14436,455,422,877,8169,7513,15688,83,50,131,3694,3515,7210,234,205,434,4011,3770,7780,46,38,85,3263,3234,6496,224,205,432,3533,3477,7010,93,90,179,6406,6796,13201,433,441,874,6932,7327,14248,121,134,257,7218,7831,15049,508,488,1002,7847,8453,16299,164,189,351,6647,6867,13514,436,385,816,7247,7441,14684,279,244,523,4567,4613,9184,291,258,548,5137,5115,10255,247,255,506,2384,2438,4821,171,190,366,2802,2883,5694,223,371,589,965,1012,1981,99,135,239,1287,1518,2810,151,308,453,149,184,328,45,94,134,345,586,921,1713,1822,3535,46446,46897,93341,3178,3083,6262,51337,51802,103138,73,41,109,4599,4374,8969,321,322,642,4993,4737,9725,414,184,598,8527,8089,16620,553,532,1084,9494,8805,18297,138,65,206,4159,3848,8011,258,233,489,4555,4146,8696,89,53,140,4093,4118,8212,319,370,688,4501,4541,9037,145,126,274,9047,9507,18557,737,838
50501,56,30,88,4435,4303,8742,220,199,420,4711,4532,9250,291,138,430,9803,9339,19140,314,331,637,10408,9808,20206,90,69,155,5978,5718,11696,207,186,392,6275,5973,12242,71,27,101,5360,4919,10278,274,198,470,5705,5144,10848,70,76,148,7724,7727,15452,477,324,798,8271,8127,16399,83,96,181,9986,10968,20959,490,355,852,10559,11419,21995,114,170,284,11025,12395,23417,488,371,863,11627,12936,24564,239,257,494,9541,9703,19249,378,294,672,10158,10254,20417,229,243,473,4377,4321,8698,163,162,321,4769,4726,9497,314,512,823,1765,2162,3927,126,156,274,2205,2830,5028,233,634,866,373,525,898,63,151,210,669,1310,1974,1806,2246,4052,70374,72079,142456,3195,2722,5914,75375,77047,152421,56,26,83,4288,4101,8394,169,140,309,4513,4267,8781,335,181,518,9998,9584,19582,328,348,680,10661,10113,20773,128,91,219,5228,4904,10132,218,179,398,5574,5174,10746,91,47,137,4885,4444,9329,223,179,409,5199,4670,9875,145,110,252,8186,8011,16201,505,365
