SA3_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
50101,0,0,3,6,5,9,15,8,0,0,6,10,61,3,4,8,3,0,11,11,0,0,0,0,4,41,17,32,37,28,13,22,30,6,0,0,3,10,205,36,61,54,34,27,48,49,12,0,4,9,17,343,7,33,97,58,35,88,117,10,0,6,0,11,459,3,5,53,22,9,33,49,18,3,0,4,4,200,3,5,41,60,52,87,170,26,9,0,3,13,477,3,6,38,39,54,106,145,47,4,0,0,18,447,0,0,26,34,36,85,152,59,7,0,0,21,421,4,0,12,18,26,69,189,62,6,0,4,12,400,4,0,18,27,28,85,201,114,5,0,7,21,518,0,0,8,7,15,36,102,73,7,0,0,13,262,0,0,3,7,5,12,69,69,12,0,7,11,203,4,0,3,9,0,9,37,53,7,0,12,0,131,0,0,0,0,4,0,6,15,3,0,3,0,33,0,0,22,35,32
50102,4,6,16,12,9,15,15,11,0,0,0,7,91,16,19,18,10,5,13,12,3,0,0,0,8,98,68,91,61,48,32,63,38,11,0,0,5,29,439,86,150,123,95,46,73,63,8,0,0,3,25,678,12,46,98,144,110,182,153,20,0,0,0,15,792,4,17,126,58,32,51,28,11,0,0,0,7,338,9,21,66,137,103,209,202,56,3,0,4,23,820,14,13,51,96,91,192,208,46,0,5,5,12,726,6,4,40,63,84,201,287,77,10,0,3,12,799,7,0,29,58,68,135,248,108,15,4,10,16,702,0,11,29,71,76,203,373,217,20,12,11,26,1054,0,0,19,29,34,88,175,146,20,7,6,6,520,6,9,13,37,23,98,189,219,59,27,24,18,714,6,4,6,10,10,45,119,129,25,12,5,7,380,0,0,0,0,4,15,40,53,9,3,0,4,140,5,15,46,47,45
50103,0,0,10,3,0,4,0,0,0,0,0,4,27,3,4,4,5,3,4,0,0,0,0,0,0,26,9,16,39,24,5,10,7,0,0,0,0,3,110,13,49,66,38,14,9,10,0,0,0,3,12,209,8,15,58,68,22,27,13,0,0,0,0,6,204,4,3,34,21,5,11,6,0,0,0,0,7,99,6,19,49,56,23,35,14,4,0,0,3,5,216,9,3,34,45,23,28,11,4,0,3,3,3,163,8,6,30,36,22,33,10,0,0,0,0,8,155,8,3,15,22,15,11,9,6,0,0,3,7,101,4,6,23,29,20,23,20,9,0,0,0,6,143,0,4,13,7,9,5,17,0,0,0,0,0,62,3,0,6,0,10,3,9,4,0,0,0,4,44,0,0,7,3,9,4,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,20,24,15
50201,0,3,3,9,13,21,27,14,0,0,3,10,112,8,8,13,17,8,18,25,13,0,0,0,3,108,31,53,78,68,47,78,52,15,3,0,0,18,444,57,94,125,121,82,149,106,24,3,0,5,35,797,20,19,112,124,134,263,209,42,3,0,0,12,934,3,5,74,86,59,90,83,16,0,0,7,7,438,13,17,50,102,106,254,234,72,3,0,3,27,876,5,8,52,76,81,222,234,77,8,3,0,13,786,6,3,25,40,75,172,266,87,11,3,0,15,686,4,0,9,30,42,135,246,111,12,0,5,12,618,0,3,14,27,52,138,366,182,28,5,6,14,829,0,0,5,10,19,70,175,133,12,5,5,7,436,0,0,7,12,15,76,173,166,30,13,11,7,507,3,0,5,3,7,18,91,112,23,11,5,3,278,4,0,0,3,0,3,19,38,13,6,5,3,94,0,3,17,59,45
50301,0,3,6,15,7,13,25,51,35,13,26,3,198,9,11,6,3,9,10,18,26,9,0,0,5,106,24,42,24,21,8,23,22,25,12,4,3,9,226,31,62,35,26,22,16,24,32,10,0,11,13,290,7,12,33,33,28,67,49,45,18,6,4,18,331,8,3,19,14,5,10,14,20,13,3,7,3,120,3,8,17,26,32,66,63,42,21,9,12,7,308,0,5,15,22,20,54,64,78,35,21,13,11,337,0,0,15,11,22,65,80,96,56,15,33,8,398,5,6,13,17,18,42,77,99,54,17,18,6,367,0,0,12,10,23,52,78,152,106,39,73,12,557,0,0,0,9,16,29,56,100,76,28,49,18,376,3,0,7,8,12,23,65,122,123,95,432,18,916,0,0,0,0,19,18,30,76,98,77,192,16,528,0,0,0,3,0,4,6,26,44,45,215,3,362,4,0,13,18,27
50302,3,12,17,16,16,27,61,81,59,18,33,30,380,28,24,18,15,10,24,17,29,17,9,4,13,205,112,155,100,71,40,70,49,44,15,7,8,36,720,113,286,102,67,48,72,57,44,24,5,10,41,868,20,61,95,110,88,135,106,82,28,13,12,29,785,10,11,64,29,14,39,49,40,6,5,5,14,284,14,21,60,81,68,189,223,127,68,34,17,28,948,8,11,37,85,84,226,290,203,103,26,27,30,1141,9,6,22,55,79,226,347,316,148,53,34,25,1330,0,0,19,39,44,154,332,338,163,49,42,23,1206,5,4,20,45,49,191,426,627,345,126,109,54,2002,0,6,8,17,32,72,249,437,253,81,56,21,1236,0,0,5,27,25,64,217,505,575,337,507,62,2331,3,0,5,9,16,26,103,337,359,197,175,15,1238,0,0,4,0,0,10,26,124,233,179,202,7,795,6,14,21,39,22
50401,8,6,11,7,8,22,44,21,16,3,0,16,161,17,9,4,14,5,12,18,5,4,0,0,0,95,66,102,52,49,36,45,55,29,4,0,4,18,457,98,163,89,73,32,38,65,38,0,4,6,34,640,26,50,71,86,49,103,153,81,15,0,4,30,671,4,3,68,40,16,41,55,35,3,0,0,11,282,12,22,60,95,71,132,250,102,13,4,4,21,789,3,10,44,75,63,157,293,159,26,3,8,17,852,3,4,22,69,62,158,282,220,28,3,5,18,879,3,3,16,43,41,102,278,204,24,0,3,14,723,5,0,9,41,42,107,352,349,51,11,8,18,998,0,6,13,20,19,40,217,275,61,8,4,3,667,3,7,7,13,16,28,132,242,66,21,9,11,554,0,0,0,4,13,12,49,160,71,15,7,3,346,0,0,0,0,0,9,19,56,24,13,17,5,134,6,8,27,29,29
50402,0,0,4,0,0,0,4,7,0,0,0,3,21,3,0,6,0,0,0,3,0,0,0,0,3,17,11,25,11,3,10,10,15,8,0,0,4,13,108,30,50,31,13,14,5,32,15,0,0,3,5,181,4,9,27,19,11,28,50,30,3,0,0,3,180,6,4,28,6,6,9,20,14,3,0,0,0,86,5,4,20,27,10,27,56,23,3,0,0,9,182,4,0,6,20,14,23,43,33,9,0,0,3,156,4,3,12,12,13,19,59,47,7,0,0,3,178,3,0,0,7,7,22,51,49,9,3,6,0,147,0,0,3,10,15,16,63,69,21,5,0,0,219,0,0,7,4,9,15,38,38,13,0,0,4,121,0,0,0,0,4,10,27,28,18,5,7,4,99,0,0,0,0,5,6,9,29,30,7,4,0,80,0,0,0,0,0,0,4,3,11,0,0,0,18,0,0,3,11,4
50403,5,5,8,9,3,0,21,29,4,0,0,16,104,11,16,6,12,0,3,23,18,3,0,0,12,98,62,74,49,20,12,26,27,29,4,0,0,28,342,73,134,71,45,20,29,53,40,4,6,8,20,504,12,44,68,53,21,53,135,108,9,0,7,24,525,7,8,87,42,12,14,43,38,4,0,0,6,263,9,22,49,71,47,85,226,152,13,3,5,21,694,10,5,32,48,33,62,227,182,20,6,3,12,637,4,9,27,44,43,66,248,262,27,9,8,15,753,7,4,11,23,36,39,213,223,34,0,4,13,612,6,4,14,27,19,46,259,386,50,11,3,22,858,0,0,8,16,25,35,156,250,51,13,8,8,564,0,0,7,9,10,20,70,194,63,19,5,7,412,4,0,6,0,3,9,43,147,41,13,6,0,269,0,3,0,4,0,3,10,41,22,7,13,3,111,3,5,31,34,26
50501,0,3,4,4,4,8,13,56,22,6,8,11,135,3,5,0,0,8,4,20,31,6,4,0,4,87,27,24,32,11,6,17,34,43,7,0,3,6,213,21,50,40,34,9,27,47,72,11,0,4,18,323,6,15,37,41,25,32,145,118,17,0,7,11,469,0,8,36,23,7,13,53,46,10,6,3,7,214,4,8,21,40,19,47,200,200,37,4,7,11,603,0,4,23,24,22,49,190,257,45,20,8,13,664,0,0,11,22,18,53,208,389,47,22,11,7,786,0,4,6,13,10,28,180,422,60,22,8,19,777,3,6,9,22,23,46,270,642,180,48,38,9,1305,0,0,7,8,17,34,141,470,133,43,21,13,884,5,0,3,4,9,23,91,342,218,105,149,12,950,0,0,5,10,9,16,49,182,143,68,60,13,548,0,0,4,0,5,0,17,66,63,35,48,5,239,3,7,17,12,19
