SA3_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
50101,24,8,5,19,11,4,8,9,0,86,24,7,9,25,32,24,32,14,0,167,0,0,0,0,0,0,0,0,0,0,3,4,10,18,24,36,33,21,8,151,56,24,20,35,20,38,28,14,3,239,70,42,40,59,127,166,155,92,35,788,20,6,5,10,13,29,12,8,0,91,11,12,16,14,20,28,13,21,17,151,143,77,58,129,206,320,333,234,101,1604,320,172,154,177,212,181,138,40,15,1413,7,4,0,11,3,9,8,0,0,42,3918,1848,1650,2875,3513,3716,3625,1904,735,23776,16,3,47,17,9,8,7,3,0,119,57,25,48,43,17,10,7,0,0,208,3,0,3,0,12,4,8,0,0,32,3,0,4,4,0,0,0,0,0,8,12,9,32,4,3,5,0,0,0,62,35,8,24,40,19,18,13,4,0,161,46,15,58,42,18,20,13,4,0,221,5374,2283,3015,3402,2516,2063,1207,423,161,20448
50102,175,85,62,66,64,39,32,15,0,545,39,30,10,37,61,46,52,33,9,317,4,0,3,3,0,0,0,0,0,16,51,22,31,39,96,103,69,33,20,456,197,81,107,105,105,66,52,26,7,738,217,101,95,158,271,370,352,149,42,1768,12,12,15,20,38,70,41,28,15,241,58,24,41,43,50,37,41,31,11,334,282,192,175,280,412,588,617,315,113,2973,829,391,427,480,477,433,243,93,28,3408,32,26,21,27,23,29,11,7,0,172,9418,5361,4925,6625,8412,8392,6766,3511,1315,54715,103,19,105,94,33,15,10,0,0,376,134,41,130,84,53,18,6,0,0,468,10,5,6,9,3,7,7,0,0,45,0,0,3,0,0,0,0,0,0,5,35,10,49,25,0,6,0,0,0,129,45,47,60,62,79,38,29,5,0,375,81,62,113,86,86,39,30,5,0,505,9309,5387,5645,4800,4268,3271,1732,611,209,35224
50103,9,8,0,4,5,9,3,0,0,43,10,3,0,3,7,17,14,0,0,65,0,0,0,0,0,0,0,0,0,0,3,6,3,7,20,20,25,10,0,82,9,11,4,0,7,22,7,4,0,76,32,7,9,27,51,79,83,45,13,342,0,0,0,0,9,11,3,4,0,24,19,17,16,10,20,26,23,19,0,151,77,54,25,61,113,196,192,104,29,847,130,63,42,67,84,91,78,30,10,584,0,0,0,0,4,9,4,5,0,22,1658,844,688,1083,1727,2122,1982,973,314,11400,6,5,0,9,3,0,0,0,0,29,18,12,19,12,7,7,0,0,0,71,4,4,3,0,6,3,3,0,0,20,0,4,0,0,4,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,9,10,8,24,26,18,15,0,0,112,7,7,12,24,30,18,15,0,0,126,1985,970,909,1110,1193,1195,711,206,49,8326
50201,110,59,57,55,40,42,28,9,7,404,83,30,26,47,53,79,59,35,14,422,4,0,4,3,4,0,0,0,0,23,49,36,21,58,84,90,109,56,40,537,188,104,101,92,108,103,72,43,13,820,139,129,79,162,284,412,577,354,107,2239,17,13,10,12,28,48,62,52,14,248,24,14,11,14,13,16,30,22,4,151,227,172,124,203,305,515,594,420,149,2704,687,423,369,418,432,361,293,128,23,3138,12,5,7,11,23,23,16,6,0,108,7774,4902,4028,5302,7173,7853,8752,5355,1763,52907,99,37,114,98,29,7,5,0,0,396,81,22,69,77,29,20,3,0,0,298,8,8,0,3,13,9,16,6,0,60,4,0,0,4,0,0,0,0,0,17,23,17,68,15,3,3,3,0,0,137,29,39,50,60,71,42,31,6,0,333,66,59,121,77,81,50,34,6,0,484,7887,4845,4820,4229,3876,3160,2179,1077,314,32399
50301,5,6,4,9,4,0,6,0,5,29,44,23,8,25,35,35,30,24,9,229,12,0,3,17,5,6,0,0,0,42,39,51,36,35,48,49,34,26,15,339,66,46,35,46,34,40,34,7,3,305,121,143,74,116,200,226,225,150,105,1369,3,0,0,0,7,5,9,6,9,38,14,5,8,6,6,4,0,3,0,41,300,288,115,175,366,346,345,248,131,2316,228,237,116,158,181,158,111,48,13,1255,9,5,9,10,8,3,7,10,3,56,6375,4697,2315,3476,5424,4632,4095,2675,1377,35065,133,131,125,101,112,47,47,17,4,720,181,119,162,126,51,29,10,0,0,680,42,40,16,24,49,39,36,40,19,301,0,0,4,0,0,0,0,0,0,3,15,14,10,17,15,11,4,0,0,77,35,53,27,36,43,44,16,8,4,266,50,70,37,49,56,54,22,13,4,351,4452,4735,3319,2804,2916,2509,1516,597,290,23140
50302,4,18,9,7,4,6,5,0,3,62,41,12,48,43,43,35,33,14,17,291,19,5,17,12,7,3,0,0,0,68,40,62,94,83,62,65,39,17,21,472,49,51,112,68,49,36,36,12,5,425,79,75,212,153,191,197,148,80,40,1180,11,3,9,10,4,15,16,12,0,86,7,9,23,12,13,7,8,7,4,78,144,134,204,189,269,273,246,126,82,1664,358,339,662,371,273,251,146,57,25,2483,3,0,6,9,14,3,12,7,0,59,5573,3935,7314,5841,5824,5174,3993,2554,1464,41671,459,301,1082,467,92,63,28,14,0,2512,310,212,517,260,123,69,37,14,3,1547,68,51,80,51,66,76,66,20,7,480,0,4,0,0,0,0,0,0,0,5,29,48,112,30,8,7,0,3,0,235,37,50,110,73,59,47,35,12,5,428,65,99,219,103,66,56,32,18,5,674,5476,5384,11274,6141,4294,3365,1740,534,198,38409
50401,32,13,14,30,15,22,17,11,0,166,19,11,16,29,33,37,42,26,21,236,25,11,22,25,9,0,7,4,0,111,45,22,54,69,51,78,56,29,15,419,84,55,92,78,75,76,66,17,5,545,54,42,81,88,124,202,179,125,47,938,16,16,17,12,22,35,33,32,20,191,20,23,20,11,18,20,12,14,8,134,77,78,111,120,156,240,248,126,71,1227,392,329,428,367,294,306,173,74,21,2399,9,19,8,18,15,19,11,9,5,114,6110,3801,4880,5201,5302,5359,4599,2943,1255,39456,404,176,663,366,99,56,34,13,4,1809,580,325,507,323,188,93,51,25,10,2114,78,46,45,58,73,101,89,34,7,522,4,4,0,4,0,0,0,0,0,9,81,91,212,55,15,25,13,0,0,487,41,35,81,76,61,44,30,11,0,375,125,131,295,132,73,62,43,11,3,877,4409,3537,5936,4206,3247,2273,1148,457,220,25426
50402,36,21,15,16,27,11,8,5,0,134,22,7,12,20,22,27,33,16,7,160,0,0,0,3,0,0,4,0,0,7,13,8,13,20,39,54,34,20,6,213,55,35,19,32,37,43,32,17,4,265,64,38,26,55,117,125,151,65,26,661,3,0,9,11,9,21,21,16,8,86,34,17,7,20,34,19,17,22,6,180,91,74,37,70,140,163,209,114,23,932,325,206,155,206,241,204,153,56,9,1560,9,4,7,10,7,11,15,4,0,72,3034,2195,1445,2106,3352,3247,2834,1393,490,20098,25,9,38,21,19,5,10,6,0,128,15,18,16,15,14,14,0,0,0,91,5,0,0,9,7,6,9,0,0,34,0,6,3,0,4,0,0,0,0,11,9,5,10,6,3,0,0,0,0,34,29,17,27,43,34,19,15,8,6,191,37,19,40,49,42,19,19,8,6,238,3588,2184,2107,2138,2212,1760,1043,365,90,15484
50403,107,88,72,70,56,46,28,6,0,469,53,28,17,45,56,49,31,11,9,314,55,13,17,36,22,4,0,0,0,155,155,115,107,164,165,132,77,43,7,963,518,259,271,323,216,171,91,32,14,1887,190,131,116,205,333,376,241,133,35,1769,44,46,25,29,63,47,35,25,7,335,93,42,57,56,24,31,23,14,6,336,234,182,179,236,286,338,265,127,44,1890,1242,778,789,777,730,443,210,78,24,5067,30,28,22,27,28,24,20,7,0,189,12581,7993,7620,9147,9971,7921,5329,2593,829,63989,743,253,937,574,172,78,44,17,3,2816,1227,673,786,578,391,222,90,21,3,3993,35,12,20,22,36,22,14,6,0,172,9,7,3,3,5,0,0,0,0,24,328,133,545,161,39,35,20,3,3,1269,64,53,88,97,110,57,31,8,0,516,397,200,641,259,157,95,48,14,4,1815,10027,6533,7731,5583,4858,3038,1389,469,112,39746
50501,100,56,42,46,44,51,41,11,5,401,73,43,31,57,92,71,91,27,24,511,42,56,44,28,31,50,13,15,0,272,114,86,67,118,196,189,115,64,24,979,387,306,230,228,282,222,149,43,15,1853,309,255,169,337,603,734,563,287,112,3370,16,20,15,15,25,34,31,21,10,189,29,17,8,15,25,24,27,13,5,163,631,450,233,489,605,796,711,287,121,4325,1035,640,570,666,722,519,345,116,21,4633,21,15,9,22,25,39,21,7,3,149,14941,10334,7094,10469,14097,13569,10067,4302,1778,86657,231,173,206,195,140,118,64,10,7,1148,229,288,258,170,152,106,67,22,4,1300,21,18,15,24,27,35,26,11,3,180,0,0,0,0,0,0,0,0,0,0,38,29,69,27,23,22,16,0,0,223,63,67,104,85,102,81,63,18,13,593,95,104,170,113,131,99,84,22,12,815,11849,8007,7899,7987,7096,5231,2476,793,317,51653
