SA3_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
50101,0,11,118,254,210,143,141,59,8,935,16,23,61,79,51,40,32,8,0,304,36,128,513,770,802,774,738,333,78,4178,20,101,390,431,389,378,297,112,34,2149,19,44,161,308,273,184,135,66,14,1214,39,88,428,652,608,638,478,250,72,3258,23,41,305,640,607,597,571,226,48,3060,87,146,613,868,916,735,581,243,54,4252,50,87,418,588,604,487,384,130,20,2763,28,57,190,255,204,156,121,48,12,1068,42,123,420,487,423,266,174,38,9,1981,8,11,14,0,4,0,0,0,5,46,6,12,36,98,86,63,56,19,9,389,250,139,568,715,706,545,552,398,218,4091,614,1021,4223,6142,5883,5021,4259,1939,582,29681
50102,7,39,152,208,221,175,124,37,6,977,30,80,178,194,113,82,41,11,5,730,152,573,1820,2045,1985,1846,1341,577,117,10452,39,179,587,536,463,492,346,154,36,2838,64,93,204,283,273,242,133,54,25,1371,107,276,893,1036,927,1043,715,302,87,5381,87,159,598,902,1107,962,677,245,59,4793,200,423,1379,1536,1401,1156,725,241,52,7101,203,376,816,1091,1066,878,519,141,30,5116,60,120,231,182,143,114,83,48,12,994,102,232,671,597,534,370,246,90,10,2862,15,17,17,8,11,19,9,5,0,104,13,41,111,131,166,128,71,28,3,687,420,410,1060,1084,1156,1049,1001,722,456,7366,1503,3004,8722,9832,9551,8556,6044,2652,893,50756
50103,0,9,34,47,74,63,54,10,5,297,3,7,15,23,14,19,23,3,0,111,21,78,247,270,342,427,377,152,27,1946,7,35,105,87,78,118,97,52,16,595,33,31,117,147,145,141,87,32,0,735,13,33,108,164,171,238,238,92,19,1062,19,28,99,182,232,252,263,63,12,1147,34,60,197,242,247,241,205,71,17,1323,36,41,118,195,194,252,178,57,3,1076,14,17,55,69,49,65,47,23,0,345,15,42,101,118,100,89,52,27,8,545,9,0,3,0,0,0,0,5,0,22,3,4,11,13,31,35,31,10,6,147,137,81,181,270,369,369,350,277,82,2120,351,480,1385,1832,2047,2309,2014,872,193,11480
50201,0,62,118,187,138,149,135,51,9,852,23,96,169,167,109,99,63,17,0,743,145,430,1408,1555,1637,1883,1798,944,235,10034,55,145,485,434,506,505,465,306,68,2965,27,58,137,217,212,157,108,66,16,995,85,250,731,752,832,950,757,376,106,4839,56,166,577,779,904,856,745,317,87,4486,152,349,987,1300,1407,1317,1079,590,95,7277,141,383,907,1035,964,977,630,209,37,5284,56,135,189,159,140,114,125,61,27,1008,109,275,712,639,593,447,363,165,27,3323,30,13,16,10,9,11,12,0,0,99,12,28,70,109,132,121,74,55,19,621,400,433,956,1099,1139,994,1102,1096,716,7931,1297,2812,7478,8445,8709,8575,7455,4238,1441,50461
50301,12,443,528,442,494,530,408,244,66,3164,4,49,93,160,171,138,47,21,4,683,28,270,693,816,953,840,664,356,135,4749,5,71,289,226,299,256,187,88,45,1472,4,39,108,116,121,101,68,63,25,639,34,279,1129,1188,1508,1447,1032,655,263,7538,27,55,262,377,559,733,851,493,171,3523,114,571,1192,1860,2543,1714,1077,586,187,9845,64,403,843,1029,1343,1043,948,490,160,6327,56,214,372,311,301,189,139,107,37,1729,28,73,122,138,148,112,97,46,22,789,3,8,9,0,7,0,9,0,4,40,17,35,77,83,121,84,80,65,19,575,204,224,440,409,414,383,371,378,297,3125,596,2723,6158,7155,8984,7574,5990,3589,1428,44200
50302,5,450,1224,889,636,495,331,118,30,4181,10,176,726,775,387,235,74,11,0,2402,35,429,2848,2262,1318,1084,735,334,112,9153,13,142,793,602,427,389,296,111,39,2811,5,70,254,207,146,111,63,34,7,903,38,456,2907,1859,1341,1153,745,375,158,9026,20,124,755,741,782,846,851,324,112,4561,139,949,4303,3907,2692,1937,1020,373,120,15452,68,678,2936,2367,1586,1272,928,303,71,10207,96,503,1383,907,484,312,217,72,10,3983,51,294,843,543,352,254,163,66,25,2594,7,22,21,16,14,4,9,5,0,100,11,86,226,234,177,130,78,26,19,989,161,641,2084,1285,886,774,713,494,378,7413,660,5015,21296,16601,11240,9004,6237,2653,1072,73773
50401,6,147,478,458,341,219,139,57,8,1851,16,102,362,487,275,126,47,14,0,1422,44,292,1608,1462,1067,1045,935,444,116,7021,24,88,593,514,364,269,218,129,44,2239,0,37,184,151,114,82,49,13,10,639,19,292,1295,990,632,585,418,177,53,4462,12,122,654,678,711,636,483,221,51,3567,104,490,2089,2293,1660,1151,699,277,59,8826,85,364,1316,1290,986,747,555,148,33,5527,59,265,762,598,352,212,126,45,10,2430,34,223,694,558,374,270,181,65,14,2414,7,12,11,10,3,11,6,6,0,64,11,44,131,179,151,93,74,34,13,722,180,294,929,836,663,584,474,465,277,4712,593,2768,11104,10513,7698,6044,4391,2098,691,45890
50402,0,49,96,164,185,131,87,41,6,762,3,33,61,78,86,59,35,6,0,365,56,179,656,700,793,824,710,316,59,4300,7,60,210,182,200,185,161,73,17,1101,9,36,86,103,134,104,67,30,5,574,17,94,357,405,402,451,322,160,42,2252,14,44,259,327,449,415,379,172,38,2100,66,155,399,639,691,602,378,148,38,3111,60,132,320,438,471,443,327,100,11,2306,34,77,145,173,135,110,97,29,5,798,43,105,227,199,207,141,82,40,12,1053,8,0,4,9,8,3,5,0,0,28,7,12,40,73,80,61,40,30,9,349,135,145,422,437,437,422,298,282,189,2766,468,1115,3274,3919,4283,3951,2991,1435,431,21862
50403,10,181,450,445,328,212,139,35,9,1796,28,120,546,654,311,155,47,5,0,1875,170,665,2843,2791,2441,2152,1258,503,104,12929,81,251,809,651,511,439,289,136,21,3190,19,80,250,231,210,136,83,38,5,1051,57,554,1696,1439,1138,828,468,171,61,6415,50,237,1131,1110,1050,855,460,173,37,5115,260,759,2818,3449,2327,1585,711,278,61,12250,183,600,1867,1901,1522,1066,534,152,15,7845,119,282,557,490,255,152,109,28,10,2005,155,437,1322,1156,701,474,225,86,12,4568,42,28,31,9,13,9,16,6,0,151,16,42,237,300,194,165,87,29,4,1070,491,598,1679,1536,1337,972,699,550,357,8225,1693,4831,16234,16153,12341,9198,5124,2206,691,68477
50501,4,240,487,697,699,522,338,122,19,3134,36,152,344,619,554,383,137,21,0,2253,121,542,2145,2792,2873,3065,2589,987,221,15326,65,235,1099,1291,1123,935,656,224,54,5679,13,69,208,329,261,197,103,34,13,1212,76,574,1774,1888,1966,1845,1079,387,93,9686,89,274,1113,1688,1969,1830,1357,456,96,8876,295,788,2079,3814,3987,3119,2131,702,165,17083,189,672,1442,1926,1831,1465,1004,274,36,8843,176,386,603,667,429,265,187,63,19,2795,116,319,737,813,788,604,386,149,23,3951,38,19,10,5,8,14,17,3,0,109,22,64,121,228,243,183,132,58,11,1070,296,354,931,1111,1101,941,822,614,453,6627,1536,4699,13089,17868,17823,15375,10947,4088,1207,86636
