SA3_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
50101,313,125,142,208,186,200,170,62,28,1444,6,5,5,0,4,3,9,3,4,40,2655,1326,1077,2029,2898,3438,3954,2467,937,20772,39,12,34,33,20,9,8,0,0,163,52,18,48,37,39,20,6,0,0,229,5,0,4,5,4,7,3,0,3,32,0,3,0,6,0,0,0,0,0,9,19,6,44,16,6,0,0,0,0,92,16,6,19,36,22,16,17,4,0,136,41,10,64,58,24,23,15,4,0,239,7270,3144,3663,4778,4161,3364,2787,909,262,30339,877,375,578,737,746,616,578,313,133,4956,11018,4932,5544,7816,8001,7556,7420,3702,1332,57332
50102,789,359,383,460,463,409,334,144,27,3365,26,20,23,16,18,26,19,9,0,155,6606,3690,3169,4924,6460,7459,7244,4222,1408,45187,117,31,101,134,45,14,11,13,0,465,206,61,131,163,58,43,20,4,0,694,5,4,0,3,4,3,13,8,0,40,3,0,0,0,3,3,0,0,0,9,41,3,64,45,9,4,0,0,0,156,39,40,72,72,64,53,22,13,4,375,81,39,136,119,69,61,26,13,4,544,12321,7116,7587,6953,6283,5543,3718,1305,377,51203,1300,901,1182,1200,1250,1100,876,525,340,8667,20733,11881,12419,13649,14325,14330,11985,6102,2133,107549
50103,126,47,45,77,92,106,101,39,21,656,3,0,0,0,0,3,4,3,0,18,1134,523,460,765,1195,1778,1879,1150,379,9259,7,5,5,5,7,0,0,0,0,24,42,5,26,23,10,8,3,0,0,128,0,3,0,0,4,3,0,0,0,9,0,0,0,0,0,0,6,0,0,6,0,0,7,3,0,0,0,0,0,9,3,8,9,17,26,31,6,7,0,110,10,8,14,16,26,31,9,8,0,122,2385,1352,1271,1445,1571,1738,1401,489,86,11749,355,208,206,293,369,388,358,187,44,2407,3941,2098,2006,2569,3216,3989,3684,1843,508,23863
50201,674,363,336,434,432,402,370,163,33,3211,23,4,17,12,11,17,8,14,3,103,5684,3728,2772,4011,5663,7351,9095,6360,1971,46632,130,55,119,135,49,23,13,4,4,529,107,33,56,87,47,41,20,7,0,393,3,0,3,8,0,8,8,11,0,46,0,5,0,0,0,0,0,0,0,3,36,8,72,30,7,4,6,0,0,163,60,47,92,78,58,57,44,19,0,446,96,59,168,113,65,55,44,19,0,615,11438,6526,6754,6291,5992,5673,4681,2064,627,50053,1253,816,926,1060,1141,1026,941,762,490,8404,18829,11296,10886,11904,13147,14327,14903,9248,3095,107641
50301,277,189,140,187,203,174,186,67,8,1430,0,3,0,5,3,9,6,8,3,43,5046,4303,1865,2919,4894,4687,4298,3360,1473,32862,153,163,127,143,150,79,45,26,10,899,175,120,125,169,91,54,17,7,3,757,39,36,18,28,52,49,42,42,20,328,0,3,0,0,0,0,0,0,0,3,17,12,18,17,14,4,6,3,0,105,49,36,32,57,46,39,32,11,7,304,68,53,48,75,59,49,36,15,7,411,6157,5784,4025,3694,4062,3369,2492,1120,420,31117,624,582,501,465,467,461,456,346,244,4140,12411,11171,6900,7729,9973,8870,7515,4980,2184,71735
50302,330,307,553,485,302,275,202,79,28,2557,0,8,8,5,6,6,6,7,4,55,4837,3525,5500,5386,5362,5458,4616,2772,1667,39117,562,286,1056,763,151,70,53,9,0,2942,329,212,514,436,169,81,67,20,12,1855,93,46,94,87,64,83,86,41,15,600,0,0,0,0,4,0,0,0,0,9,23,15,87,45,13,8,10,4,0,201,41,62,141,99,66,69,43,17,4,546,60,81,231,146,80,73,51,29,4,753,7885,6813,13461,9160,6086,4692,3097,1042,274,52514,805,904,2164,1430,995,805,638,384,226,8351,14993,12269,24325,18480,13375,11574,8897,4386,2226,110530
50401,421,241,385,379,324,246,254,102,24,2377,6,7,16,14,11,12,16,7,0,98,5240,3323,3724,4414,4770,4944,4891,3207,1363,35883,442,161,494,528,112,70,51,13,4,1882,640,339,474,383,227,159,86,34,10,2362,70,54,49,57,59,85,112,43,8,533,0,0,0,0,0,3,0,0,0,4,98,49,187,87,17,13,27,0,0,474,30,47,78,91,63,58,32,12,6,409,126,95,263,173,76,77,56,18,6,893,6257,4103,7226,6015,4431,3361,2172,876,303,34751,734,512,952,843,667,549,428,300,207,5195,13748,8849,13689,12929,10831,9712,8133,4621,1949,84462
50402,296,196,156,208,240,203,163,73,31,1559,34,9,20,21,10,17,17,4,0,125,2251,1562,1142,1587,2463,2860,2805,1714,543,16928,33,10,28,34,16,21,5,6,0,152,24,20,21,17,13,14,8,0,0,122,5,6,7,8,4,6,7,3,0,50,0,0,0,0,3,0,0,0,0,4,8,5,12,5,0,4,0,0,0,46,22,19,17,38,36,30,20,10,5,195,29,30,26,48,43,35,20,13,5,248,4578,2820,2696,2816,2856,2633,1788,709,211,21109,442,497,958,935,744,571,324,207,112,4785,7415,4959,4921,5532,6223,6220,4995,2668,870,43792
50403,1397,785,830,954,792,589,327,129,29,5828,24,20,24,13,30,36,20,11,0,174,11268,6998,6472,8151,9012,8597,6324,3362,1088,61274,1408,380,938,1260,371,177,100,24,3,4650,1931,887,1097,939,592,386,145,68,11,6058,23,14,20,21,31,21,14,8,0,157,4,0,0,0,0,0,0,0,0,5,872,150,809,655,78,74,59,12,0,2702,57,57,110,108,105,72,28,13,3,563,932,209,915,768,179,146,90,23,7,3271,14421,8599,11038,8821,7082,5383,2786,996,273,59408,1849,1126,1682,1569,1344,983,611,381,263,9816,32349,18584,22634,22281,19239,16210,10400,4950,1678,148324
50501,956,614,442,691,737,616,472,167,45,4733,14,10,11,14,25,31,32,3,10,139,11708,7993,5070,8202,11082,12431,11507,5627,1955,75580,281,164,216,281,172,156,107,36,9,1415,270,195,216,262,169,157,119,33,9,1432,31,19,19,25,30,36,35,16,0,209,0,0,0,0,4,0,0,0,0,0,44,20,48,30,30,21,17,3,3,222,52,58,64,96,75,93,71,20,3,533,93,74,116,125,110,117,88,23,9,756,16334,9980,9606,11084,9765,7670,5298,1652,562,71950,1098,809,949,1116,1190,995,791,438,231,7619,29972,19371,16389,21444,22833,21801,18157,7877,2794,160641
