SA3_CODE_2021,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Not_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Not_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Not_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Not_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75over_Em_FT,C11_F_75over_Em_PT,C11_F_75over_Em_AFW,C11_F_75over_Em_Hrs_NS,C11_F_75over_Em_Tot,C11_F_75over_Unem_Lo_ft_wo,C11_F_75over_Unem_Lo_pt_wor,C11_F_75over_Unemp_Tot,C11_F_75over_Tot_lab_for,C11_F_75over_N_lab_forc,C11_F_75over_LF_NS,C11_F_75over_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_Tot_Tot_labo_for,C11_F_Tot_Not_LF,C11_F_Tot_LF_NS,C11_F_Tot_Tot,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Not_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Not_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Not_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Not_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Not_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Not_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Not_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Not_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Not_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Not_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot
50101,323,502,69,15,908,12,13,29,937,435,54,1432,158,298,47,7,499,7,7,15,516,681,70,1269,34,92,10,4,140,0,3,3,138,820,39,999,10,33,11,3,58,0,0,3,55,677,46,781,8,22,3,3,39,0,0,0,39,1501,122,1663,3466,4925,557,154,9105,202,249,452,9560,6660,827,17042,111,511,43,18,687,17,58,74,760,509,82,1356,314,318,24,21,681,32,21,55,733,159,69,961,388,327,63,9,789,21,29,47,832,247,89,1172,410,627,86,15,1146,20,36,56,1195,439,99,1737,381,769,63,18,1240,29,35,71,1310,394,96,1806,524,863,41,20,1448,25,35,63,1511,322,136,1968,582,775,44,23,1424,17,32,47,1468,262,113,1848,521,628,50,16,1219,35,22,55,1273,271,101,1645,449,630,48,16,1142,25,19,48,1192,435,130,1756,210,506,52,4,775,25,26,50,829,767,114,1713,68,217,34,3,335,0,12,6
50102,757,892,115,25,1791,21,22,38,1830,1000,125,2949,315,591,72,14,991,10,12,20,1016,1519,124,2660,70,170,22,13,265,0,0,3,269,1499,97,1864,17,69,6,3,96,0,0,0,97,1313,98,1506,5,30,6,10,56,0,4,4,59,2432,398,2889,8318,9870,1078,339,19597,545,534,1081,20684,14376,2062,37123,258,1167,48,42,1519,71,190,262,1775,1275,212,3269,864,706,68,35,1677,123,73,198,1874,521,168,2566,1001,736,111,35,1887,84,88,174,2066,818,214,3096,751,1072,144,34,1999,89,123,217,2213,910,202,3324,707,1230,105,28,2066,68,87,159,2226,798,205,3225,968,1369,69,30,2429,99,98,195,2627,683,203,3504,1190,1410,94,41,2731,97,66,163,2894,637,240,3765,1122,1232,102,34,2490,81,70,149,2638,722,208,3579,897,1134,141,32,2195,66,71,130,2332,1033,243,3605,445,775,77,18,1309,25,49,71,1382,1507,220,3105,112,337,28,7,485,4,11,15
50103,217,309,27,11,562,12,8,20,583,276,27,893,107,214,35,13,370,0,8,8,373,430,34,839,40,93,11,4,150,0,0,0,158,467,21,648,12,28,5,4,43,0,0,0,43,367,18,432,5,15,4,0,24,0,0,0,24,634,64,717,1739,2475,274,87,4581,91,109,198,4780,3499,320,8597,64,170,4,8,248,8,4,10,260,265,39,565,117,95,9,5,224,17,12,20,246,116,32,396,127,96,14,4,241,18,11,23,265,128,41,432,114,176,27,8,324,14,9,26,343,162,35,541,148,224,15,10,390,8,9,19,411,137,41,588,213,276,22,9,515,12,16,26,544,133,44,728,248,308,24,18,594,19,13,32,628,142,75,850,274,319,31,7,636,9,15,25,664,188,59,918,265,300,46,14,623,13,19,34,652,224,82,960,163,265,38,5,463,14,13,23,492,425,73,986,69,122,20,4,212,0,0,0
50201,568,738,93,22,1420,30,36,68,1487,1096,125,2708,295,540,64,18,912,14,24,36,954,1923,135,3016,52,195,24,6,278,0,4,5,287,2179,122,2584,17,65,3,10,90,0,0,0,88,1931,139,2163,5,16,3,0,26,0,0,3,28,3355,581,3965,6250,7717,777,274,15017,609,575,1184,16204,16373,2151,34726,151,1008,45,29,1241,128,245,371,1610,1151,131,2888,681,775,58,30,1547,152,86,244,1791,595,145,2530,751,610,105,30,1492,106,83,194,1684,754,165,2601,591,809,115,28,1544,85,103,182,1727,911,144,2789,609,899,68,19,1600,73,112,183,1781,795,138,2710,891,1008,62,38,1994,109,107,216,2206,685,182,3076,1091,999,75,38,2198,105,92,193,2392,655,178,3224,1051,1003,103,25,2182,132,66,196,2370,688,186,3249,830,900,92,34,1855,73,62,136,1994,1066,207,3268,378,727,66,16,1195,50,55,108,1299,1822,190,3310,91,328,31,7,455,3,10,12
50301,634,716,73,17,1446,8,22,29,1472,585,103,2157,381,497,64,7,949,7,14,15,961,880,76,1926,123,306,17,8,454,4,3,9,459,1018,69,1541,28,124,9,5,175,0,0,3,178,921,67,1164,7,55,6,3,80,0,0,3,80,2688,353,3121,5743,7330,717,196,13988,186,401,583,14570,11341,1418,27326,14,820,41,41,922,10,188,203,1119,1560,94,2773,446,955,51,36,1493,49,140,187,1680,734,129,2542,833,351,51,20,1254,42,54,98,1348,318,144,1808,655,382,96,18,1148,32,33,60,1207,337,127,1673,456,623,71,15,1166,24,49,76,1237,418,72,1726,626,835,42,25,1524,23,56,83,1602,512,103,2218,837,995,32,17,1877,36,56,97,1972,557,130,2661,771,846,39,9,1669,30,41,75,1744,538,120,2398,654,774,47,12,1489,19,24,49,1537,594,133,2263,362,591,43,13,1008,7,21,35,1044,844,103,1992,173,381,24,7,577,4,12,15
50302,855,665,88,20,1623,18,24,37,1663,611,189,2460,482,503,70,13,1067,7,15,17,1080,890,141,2116,107,206,25,5,342,0,3,3,339,899,96,1340,20,65,10,0,99,0,0,0,99,984,93,1179,9,36,9,5,61,0,0,0,61,2726,418,3204,13450,8960,1173,239,23832,501,507,1007,24839,11408,3300,39547,64,678,39,24,802,19,174,199,1001,950,162,2112,1183,1412,61,52,2716,100,187,289,3010,756,462,4225,3248,1319,135,64,4761,155,151,304,5067,697,760,6520,2720,1191,260,43,4215,145,116,258,4472,817,649,5937,1456,1160,195,36,2845,99,76,174,3016,762,373,4151,1211,1059,78,23,2370,96,75,169,2538,617,286,3434,1230,938,58,28,2252,74,62,135,2385,503,227,3111,1182,854,53,14,2109,42,41,84,2199,483,218,2896,960,727,61,16,1764,38,47,84,1850,667,221,2734,526,602,60,21,1202,20,31,54,1254,980,194,2427,195,394,35,16,634,4,11,10
50401,845,646,81,24,1600,23,27,48,1653,673,89,2416,408,543,57,14,1022,13,13,25,1046,1006,105,2157,108,185,18,4,316,0,3,8,319,1189,65,1580,18,44,3,0,68,0,0,0,68,1211,91,1363,4,28,5,0,39,0,6,6,39,2773,315,3129,9384,7581,874,284,18114,391,450,842,18952,11485,1624,32062,96,694,24,19,829,28,171,208,1035,837,89,1959,790,891,42,45,1754,89,104,195,1949,356,139,2443,1615,731,114,47,2505,109,98,210,2715,542,207,3462,1427,939,189,35,2594,94,80,169,2763,732,213,3705,1015,967,117,14,2112,68,80,156,2261,646,158,3072,1000,943,60,30,2033,77,72,153,2185,518,136,2842,1007,808,40,17,1875,66,66,130,2002,458,151,2616,991,747,52,31,1814,57,43,101,1916,448,143,2504,805,666,60,9,1547,53,32,85,1630,654,141,2431,534,605,46,18,1194,19,38,54,1253,952,120,2321,167,271,21,14,484,5,10,12
50402,463,439,49,19,974,13,6,18,993,372,65,1427,225,369,41,6,645,6,12,14,661,645,69,1377,66,140,12,0,220,0,0,0,227,677,40,939,11,34,0,3,47,0,0,0,47,586,49,683,6,6,3,0,11,0,0,0,11,1012,135,1158,3923,4467,449,167,9002,203,211,417,9421,5727,835,15979,85,494,16,7,598,19,84,106,700,526,62,1288,320,335,33,14,706,44,37,84,796,170,59,1021,394,245,33,8,677,26,29,56,727,199,52,987,312,302,51,12,678,23,24,46,726,301,58,1082,303,414,39,7,762,29,29,59,820,292,64,1172,414,518,32,15,986,25,31,58,1047,267,64,1380,621,562,35,13,1235,42,22,62,1297,259,78,1639,608,530,34,17,1192,31,27,58,1250,282,85,1616,483,514,40,6,1053,21,31,51,1099,333,54,1494,273,374,33,14,689,15,15,28,722,558,65,1339,76,205,11,3,302,0,4,4
50403,920,724,87,36,1760,13,25,36,1796,828,128,2754,462,490,62,13,1024,12,18,35,1060,1161,139,2359,87,186,22,10,304,0,4,4,309,1233,114,1653,12,65,7,5,94,0,0,0,96,1034,108,1235,9,16,0,4,33,0,0,0,35,1808,264,2100,11570,10138,1101,478,23284,599,697,1298,24580,13806,2178,40561,238,1387,52,36,1710,144,323,469,2173,1782,189,4142,1461,1360,101,66,2984,222,169,399,3375,868,290,4541,1993,1170,211,59,3428,169,131,303,3728,1206,303,5240,1621,1380,207,42,3246,141,133,272,3516,1421,301,5234,1452,1408,129,43,3027,127,126,253,3285,1188,260,4731,1632,1567,100,57,3356,123,131,258,3615,1026,286,4927,1781,1471,91,64,3409,135,82,215,3629,837,230,4700,1716,1182,88,38,3016,92,84,171,3189,871,255,4315,1234,991,87,27,2336,79,69,144,2478,1031,214,3730,600,713,69,17,1397,45,44,88,1491,1220,172,2879,183,295,28,7,514,3,3,6
50501,1781,1868,195,48,3892,39,37,79,3971,1419,136,5523,884,1321,153,19,2383,18,29,47,2430,2163,134,4730,176,409,47,10,643,0,14,14,656,2059,91,2803,15,101,0,0,117,4,0,4,122,1694,102,1918,11,25,3,3,41,0,0,0,42,3667,423,4135,16742,19716,1920,526,38906,625,970,1595,40498,20073,2137,62712,224,2204,80,48,2558,78,457,539,3096,1935,147,5173,1493,1917,109,62,3585,136,171,304,3891,626,162,4673,1864,927,164,39,2999,110,95,206,3198,620,162,3983,1440,1432,307,41,3224,83,125,207,3433,920,146,4501,1281,2017,193,32,3526,83,156,237,3760,1121,172,5061,1698,2391,115,47,4252,100,169,273,4525,996,181,5700,2250,2406,120,49,4829,115,133,250,5075,879,184,6145,2237,2237,164,47,4687,107,117,226,4907,954,182,6044,1930,2021,153,37,4140,76,87,166,4301,1243,207,5757,1016,1519,119,35,2679,44,66,105,2788,2047,180,5018,289,691,62,5,1056,8,21,23
