SA3_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
50101,1049,479,616,762,717,721,569,354,175,5449,10561,4725,5521,7273,6903,6625,5480,2705,1072,50875,80,33,75,133,117,85,64,7,4,595,580,313,197,495,983,1401,1845,1268,442,7524,0,0,0,0,0,0,0,0,0,0,94,59,42,75,105,112,107,70,13,673,0,0,0,0,0,0,0,0,0,0,1318,615,549,943,1193,1152,1060,592,236,7644,45,17,10,29,30,25,44,26,8,227,20,13,11,24,21,26,14,7,0,125,74,59,27,54,59,54,54,15,7,401,11,11,4,5,12,5,4,4,3,55,14,4,6,20,21,28,20,17,4,139,0,0,0,0,0,0,0,0,0,0,13,11,9,16,23,43,39,17,9,177,41,27,25,24,28,34,33,22,6,237,43,23,15,39,63,118,157,87,25,577,0,0,0,5,11,8,17,7,4,43,20,3,10,20,14,20,26,18,11,140,59,44,35,70,145,217,362,257,131,1327
50102,1874,1141,1370,1369,1439,1325,1036,614,255,10430,21070,12086,12446,13241,14458,13154,9629,4757,1791,102642,91,42,111,151,155,104,77,10,0,758,1003,728,530,1062,2069,2726,2978,1859,651,13602,0,0,0,0,0,0,0,0,0,0,431,191,144,273,280,234,240,97,33,1922,0,0,0,0,0,0,0,0,0,0,3514,1957,1681,2431,2731,2809,2328,1224,429,19107,57,17,15,36,35,50,73,58,18,351,45,23,24,34,46,62,46,29,4,298,76,50,68,81,87,98,107,71,18,664,117,71,33,56,57,46,31,21,5,432,13,11,15,19,40,47,53,46,12,243,14,0,3,8,0,0,0,0,0,26,45,18,25,38,64,98,84,38,18,420,150,65,49,95,80,102,75,52,10,675,161,63,60,119,174,241,281,161,40,1302,14,11,8,20,24,39,40,27,6,186,50,32,30,46,40,47,46,38,9,334,107,83,69,131,248,435,511,370,129,2085
50103,430,226,224,260,402,453,361,201,85,2635,4127,2073,1888,2526,3418,3851,3095,1384,449,22813,12,5,16,22,32,43,30,8,0,167,203,136,92,182,425,693,818,571,180,3301,0,0,0,0,0,0,0,0,0,0,64,8,23,25,39,56,53,24,10,314,4,0,0,0,0,0,0,0,0,9,579,268,228,367,491,603,553,265,94,3445,7,0,0,0,4,3,8,12,0,29,3,5,0,8,3,24,20,17,16,92,21,11,9,20,16,30,26,17,12,152,3,9,3,3,4,3,10,0,0,30,8,3,0,5,7,9,9,8,4,49,0,0,0,0,0,0,0,0,0,0,14,12,4,5,20,21,21,18,4,123,15,3,10,11,9,20,14,4,3,85,19,7,17,13,21,50,61,44,12,243,0,0,0,0,4,7,7,0,3,20,27,7,18,15,20,28,22,23,11,169,25,12,12,34,39,122,156,103,25,515
50201,1488,963,1034,1101,1196,1176,1120,735,326,9135,17558,10949,10361,11111,12582,12390,12174,7192,2418,96738,119,80,99,204,197,148,101,21,6,969,1076,873,551,998,2033,2955,4161,3255,1060,16969,0,0,0,0,0,0,0,0,0,0,451,250,152,254,232,236,271,195,57,2095,5,0,0,0,0,3,7,4,0,22,2649,1737,1287,1696,2074,2502,2556,1537,449,16481,28,9,15,20,11,26,38,41,3,195,32,24,32,23,59,40,62,29,7,309,131,86,75,100,113,119,156,73,24,880,81,51,47,36,30,36,47,14,5,354,28,19,11,32,38,60,74,40,17,316,5,0,0,6,0,0,0,0,0,17,38,36,25,31,78,108,110,90,28,538,250,130,100,141,150,135,93,58,11,1073,87,57,62,82,169,278,455,325,114,1615,3,4,0,6,13,34,61,52,19,193,21,6,4,16,20,13,29,25,8,139,104,77,60,114,184,365,614,445,147,2117
50301,1003,901,846,685,879,779,621,364,239,6325,12338,10878,6968,7428,9633,8240,6458,3743,1952,67637,152,128,191,236,198,129,121,62,9,1220,1430,1259,408,851,1714,1705,1813,1666,729,11573,0,0,0,0,0,0,0,0,0,0,91,83,57,76,68,62,74,45,22,570,0,0,0,0,0,0,0,0,0,0,2621,2218,1002,1346,2167,1921,1419,930,381,14007,38,21,10,27,30,28,27,19,3,204,194,159,83,107,155,162,135,67,50,1111,12,8,0,11,11,3,8,13,6,62,3,0,0,4,3,0,4,0,0,20,17,19,3,16,42,30,28,20,15,189,10,12,8,11,15,5,3,4,0,64,40,34,13,42,42,52,31,34,10,306,51,54,29,52,33,28,26,9,5,292,64,57,36,63,129,186,180,162,79,961,0,0,0,5,9,0,4,3,4,25,5,3,3,5,3,5,5,0,4,33,186,185,76,120,265,319,347,308,154,1966
50302,1399,1559,3690,2002,1435,1286,849,493,304,13023,13646,11924,25188,15585,12247,10418,6925,3723,2010,101670,416,396,1305,1076,466,306,301,99,28,4390,789,555,610,859,1308,1468,1498,885,406,8379,0,0,0,0,0,0,0,0,0,0,89,102,156,153,110,80,78,38,21,819,0,0,0,0,0,0,0,0,0,0,2893,2075,3331,2991,2731,2646,1979,1257,899,20806,61,25,18,53,39,30,21,16,10,279,324,145,244,291,275,292,232,161,152,2103,19,14,32,38,32,50,21,15,3,219,0,4,8,3,9,12,4,4,0,51,27,23,18,36,50,45,25,19,12,251,10,8,22,13,4,4,0,0,0,65,43,47,92,79,68,68,46,25,12,481,73,71,131,105,69,53,47,21,11,574,63,44,124,123,135,141,165,78,41,915,6,9,4,4,16,3,16,10,0,68,12,17,22,16,12,5,13,5,0,97,98,72,111,138,201,282,261,167,78,1400
50401,1037,767,1393,1117,970,837,612,415,278,7445,13047,9092,14212,11909,10384,9224,6781,3991,1809,80443,239,266,504,515,487,467,331,120,46,2971,476,360,354,547,892,1122,1242,956,395,6338,0,0,0,0,0,0,0,0,0,0,132,85,118,109,93,99,113,48,16,816,0,0,0,0,0,0,0,0,0,4,3528,2245,2327,2678,2751,2668,2327,1514,646,20687,29,18,17,23,25,37,65,32,14,256,274,161,161,260,242,200,210,134,68,1707,25,20,18,34,36,40,31,16,16,231,9,16,4,12,18,20,19,6,3,112,9,10,16,23,26,29,30,28,6,185,40,9,13,27,9,14,6,3,0,115,49,31,64,46,57,74,57,47,29,458,94,50,87,70,60,75,67,27,7,537,49,30,57,70,81,126,166,96,49,718,11,3,4,12,7,16,28,19,15,117,13,9,28,5,8,14,15,8,11,116,62,35,53,99,121,164,238,170,70,1011
50402,627,671,1061,985,865,617,461,183,96,5571,7394,5142,4762,5384,6595,5730,4394,1955,681,42035,53,29,40,79,80,81,34,12,0,399,396,336,197,331,753,1067,1091,763,237,5168,0,0,0,0,0,0,0,0,0,0,164,84,72,86,126,112,102,56,19,820,34,36,54,15,20,8,4,0,0,174,1024,702,493,701,953,1007,914,475,146,6419,23,18,11,21,30,21,19,22,0,160,13,13,9,13,33,27,25,9,6,142,32,24,11,35,40,49,64,34,20,298,28,16,6,23,16,18,19,10,0,137,6,5,0,6,21,15,24,17,4,99,8,0,0,3,0,0,0,0,0,18,22,22,27,27,29,50,47,25,11,261,56,29,27,35,38,34,20,6,5,252,30,16,18,31,54,84,132,80,22,470,0,0,0,4,11,13,14,13,6,60,20,24,14,13,19,20,20,21,4,151,57,24,25,37,71,119,142,109,35,620
50403,2444,1631,2100,1862,1636,1210,801,467,307,12464,28026,17742,20400,18701,17794,13044,7908,3640,1279,128540,522,364,477,751,631,516,323,86,23,3685,1630,1107,834,1296,2203,2563,2122,1337,417,13508,0,0,0,0,0,0,0,0,0,0,568,316,336,366,362,279,181,91,36,2539,3,3,0,5,0,0,0,6,0,13,5861,3694,3384,4157,4144,3655,2510,1193,423,29017,57,63,33,48,92,45,38,26,6,411,244,170,185,226,230,197,154,65,18,1473,105,59,62,77,84,74,72,46,14,578,79,44,54,58,37,57,24,13,0,378,39,15,19,30,52,30,47,16,13,265,79,28,26,48,40,14,0,0,0,242,177,120,110,138,154,153,114,49,17,1037,607,290,301,358,269,228,139,44,17,2259,142,71,95,140,211,316,259,162,42,1434,16,14,19,18,30,51,36,28,14,233,85,57,51,59,52,39,19,8,9,376,152,139,107,160,225,265,274,145,43,1512
50501,1979,1467,1399,1498,1609,1536,959,471,267,11183,29557,20621,17317,20808,23532,20946,13866,5666,2405,154728,153,136,203,345,329,238,221,57,16,1692,2072,1757,871,1735,3418,4277,4405,2333,809,21670,0,0,0,0,0,0,0,0,0,4,490,327,202,295,442,347,321,150,49,2617,5,0,0,5,0,0,0,0,6,11,6549,4145,2770,4206,4725,4964,4124,1871,651,34002,81,65,28,50,70,83,115,57,14,567,216,173,126,197,266,276,198,90,38,1581,33,38,25,38,55,70,58,22,18,365,95,64,56,45,47,42,39,19,3,408,52,23,24,35,56,65,71,42,8,380,62,34,38,40,19,53,23,3,5,279,133,95,56,126,165,198,148,90,38,1055,346,242,178,237,249,244,178,68,14,1765,160,152,89,175,355,544,569,316,116,2473,14,6,7,6,14,32,35,18,4,136,20,14,11,19,17,19,29,14,6,151,405,233,130,286,423,564,698,361,132,3236
