SA3_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
50101,4,0,12,9,9,58,274,210,64,114,37,8,802,4,0,5,30,23,109,78,27,7,16,13,3,320,4,0,3,12,26,139,270,138,58,64,17,15,750,0,0,3,5,6,25,48,22,10,19,6,3,147,0,0,7,12,28,95,97,18,37,8,0,14,318,0,0,22,69,41,92,45,5,14,6,5,4,309,3,0,4,5,6,7,12,3,3,3,0,10,65,0,0,0,5,0,12,17,9,7,13,0,0,64,39,5,81,545,290,397,166,36,12,10,12,49,1655,0,0,0,7,3,9,0,0,0,0,0,435,458,63,7,138,697,438,954,1014,466,211,257,100,538,4881,3,0,9,3,9,31,143,120,86,127,70,95,702,0,0,0,14,6,67,90,30,19,15,6,29,283,4,3,7,20,25,172,501,290,143,150,38,111,1462,4,0,0,6,9,25,64,36,31,25,6,21,227,5,6,4,20,51
50102,16,0,6,6,17,90,430,541,248,474,166,45,2040,4,0,3,31,34,108,77,45,13,28,13,10,367,0,0,9,11,32,210,568,330,185,249,26,28,1654,3,0,8,4,9,31,73,68,39,71,15,15,326,3,0,7,41,58,242,373,62,229,39,6,39,1098,0,3,41,150,127,185,92,18,12,5,0,18,660,3,0,9,21,16,26,41,7,21,11,0,15,167,0,0,0,0,0,18,31,19,15,20,5,8,117,47,5,186,1249,482,591,174,31,25,26,19,111,2952,3,0,6,23,9,18,10,5,5,0,0,844,927,81,13,272,1536,778,1530,1873,1131,796,920,257,1122,10309,14,0,6,9,6,51,249,332,230,458,213,201,1752,3,0,3,4,7,54,89,56,26,24,11,31,309,9,3,4,7,15,195,972,640,544,603,120,250,3383,3,0,0,0,0,34,124,80,76,115,28,55,512,8,0,9,21,66
50103,11,0,16,22,14,54,151,112,32,55,14,13,493,7,0,9,24,28,74,49,13,6,15,0,7,227,3,0,8,9,24,86,160,49,30,42,3,3,410,0,0,0,3,4,21,25,20,0,3,0,3,83,5,0,0,25,30,69,52,8,36,3,0,23,247,0,9,16,47,48,53,31,0,0,0,0,5,224,0,0,5,7,3,15,10,0,4,0,0,0,50,0,0,0,5,0,11,8,5,4,6,0,4,43,13,3,61,419,135,164,51,13,3,3,3,35,899,0,0,0,7,8,5,0,3,0,0,0,261,276,31,12,113,574,286,549,534,222,119,120,29,355,2947,3,0,0,12,7,30,89,83,42,44,20,38,363,0,0,0,7,9,24,31,11,13,8,5,8,123,6,0,8,12,20,105,259,95,70,63,13,57,703,0,0,0,0,3,14,32,18,8,16,0,9,112,0,0,11,12,20
50201,8,0,9,4,12,65,299,329,166,315,126,11,1340,3,0,9,22,31,104,86,41,12,16,11,6,341,6,0,4,16,21,197,350,193,130,153,31,18,1115,4,0,0,10,6,32,60,41,20,38,6,11,234,3,0,3,30,67,223,295,51,222,30,9,33,972,7,4,41,153,111,181,85,15,17,5,8,28,648,0,0,6,23,8,27,46,6,29,3,4,4,149,3,0,0,5,0,8,16,22,5,17,8,10,101,98,15,240,1890,889,1128,339,48,47,18,32,153,4889,4,0,6,39,10,20,3,0,0,0,0,953,1034,130,15,322,2187,1154,1981,1582,745,655,595,230,1230,10828,5,0,0,6,5,31,185,231,170,307,155,125,1227,0,0,0,8,9,57,86,36,22,29,7,33,285,0,3,3,8,15,147,566,439,318,373,75,164,2113,6,0,0,6,0,27,75,70,41,68,29,34,348,0,5,10,18,43
50301,6,0,0,5,0,17,81,166,105,277,357,15,1027,0,0,3,15,16,41,69,45,28,58,58,0,340,3,0,0,0,5,58,117,115,99,202,112,11,725,0,0,0,0,5,12,20,18,17,36,38,5,150,0,0,5,4,14,45,112,32,233,107,57,26,643,5,7,21,36,29,93,122,48,71,76,47,20,570,0,0,0,0,3,13,13,3,12,6,7,0,64,0,0,0,8,0,0,0,4,3,15,12,6,49,63,9,71,242,166,441,361,125,86,118,136,61,1869,0,0,0,3,3,3,7,0,0,3,5,514,543,76,16,102,317,251,733,899,569,645,900,819,647,5976,5,0,0,0,0,9,32,59,91,275,658,120,1251,0,0,0,9,4,22,42,32,27,58,74,24,293,3,0,0,8,9,36,188,174,356,944,669,214,2604,4,0,0,3,0,5,21,21,46,99,107,30,344,11,0,0,12,9
50302,11,0,4,4,4,64,448,699,424,1059,985,23,3723,8,0,8,38,56,166,107,33,26,56,26,0,529,10,0,0,3,19,169,386,241,193,330,127,10,1491,0,0,0,8,8,10,51,36,31,61,58,7,265,11,0,10,20,61,192,272,69,371,92,48,14,1159,7,10,39,64,67,114,89,24,45,30,24,9,512,0,0,6,0,9,19,23,10,20,10,0,3,106,0,0,0,0,0,12,14,22,12,40,24,9,133,73,3,86,470,185,342,200,56,39,37,30,59,1580,0,0,4,8,3,9,0,3,0,0,3,953,993,111,15,157,619,412,1102,1593,1183,1164,1716,1318,1086,10485,0,0,0,4,7,28,107,133,102,352,534,119,1398,0,0,0,4,12,37,60,42,31,61,38,16,307,4,3,0,6,12,86,275,284,428,840,399,121,2461,0,0,0,3,0,11,44,40,62,108,94,31,405,5,3,3,12,27
50401,8,0,4,0,4,77,432,515,328,593,279,17,2256,9,0,11,20,44,102,77,20,12,19,8,9,326,6,0,3,8,18,206,370,224,103,160,30,5,1138,0,0,0,0,5,20,55,44,27,35,14,9,223,4,0,6,25,71,229,265,39,135,30,12,26,841,4,3,38,118,79,138,87,16,17,6,0,14,515,3,0,3,7,5,18,18,9,3,0,3,7,74,0,0,0,0,0,11,19,10,6,17,11,3,80,55,3,130,940,364,480,103,19,15,3,14,81,2198,0,0,8,31,6,13,3,3,0,0,0,648,721,77,8,193,1160,607,1288,1434,896,640,868,374,810,8366,4,0,5,6,4,46,229,256,198,335,241,157,1484,3,0,0,11,15,60,93,56,20,36,13,46,343,6,0,8,9,13,170,620,459,324,469,148,146,2361,0,0,0,0,8,30,80,74,61,107,39,32,444,5,6,12,28,84
50402,0,0,5,3,9,30,173,236,119,195,77,19,859,0,0,0,8,18,36,74,24,14,13,3,0,197,3,0,0,9,13,82,207,139,71,91,11,8,635,0,0,0,0,5,10,31,27,18,12,6,3,109,4,0,8,9,21,115,161,20,98,20,6,20,481,3,0,19,53,42,83,47,14,21,13,0,15,309,0,0,0,5,5,13,17,4,12,0,0,5,60,3,0,0,0,0,3,9,18,3,5,8,3,50,24,7,78,498,214,310,97,25,12,8,3,32,1308,4,0,0,15,0,6,3,0,0,0,0,353,384,36,6,111,608,323,695,820,491,369,367,115,452,4394,4,3,0,5,0,15,92,149,119,241,146,110,876,0,0,0,8,4,34,50,25,23,29,9,14,192,0,0,0,3,9,100,382,280,243,302,89,130,1545,0,0,0,0,8,12,54,49,29,39,24,25,237,0,0,4,11,14
50403,14,0,6,6,8,94,630,765,366,466,150,47,2555,0,0,8,21,19,96,55,31,20,12,9,5,278,3,0,0,7,21,207,478,285,124,137,15,21,1302,0,0,0,0,5,39,67,66,25,28,22,14,266,10,3,4,38,81,298,310,50,154,41,15,37,1028,4,0,27,101,87,117,65,6,0,10,3,8,439,3,0,4,11,14,27,36,7,8,3,0,10,128,3,0,0,4,5,13,26,23,10,21,0,6,111,61,15,131,916,302,412,123,28,16,18,14,71,2100,4,0,0,24,7,12,4,0,0,0,0,776,833,102,23,187,1134,552,1318,1791,1266,721,733,227,987,9039,10,0,6,6,11,68,475,578,401,551,317,247,2670,0,0,4,14,23,91,150,56,43,26,23,43,476,7,7,3,13,35,299,1254,756,506,585,155,271,3882,0,0,0,0,9,29,156,126,84,124,36,60,631,12,6,16,28,100
50501,10,0,0,6,17,78,548,910,522,878,392,34,3395,3,0,14,40,61,204,219,91,31,48,25,16,738,6,0,0,16,24,247,791,502,259,385,73,31,2337,4,0,0,5,14,38,117,97,34,88,21,20,446,7,0,3,33,89,361,516,95,416,79,31,57,1695,0,3,38,180,151,305,202,46,44,30,6,28,1031,6,0,0,24,17,53,48,13,28,11,0,5,203,0,0,4,5,3,20,41,38,17,31,13,8,190,110,16,235,1204,660,1044,408,84,42,48,22,133,4003,3,0,9,32,11,23,12,4,10,5,0,1152,1249,150,25,309,1539,1050,2376,2892,1877,1412,1594,582,1491,15287,11,3,8,7,13,48,337,583,544,1148,937,437,4078,0,0,0,10,19,96,206,120,85,97,52,62,747,7,3,11,10,21,259,1547,1526,1239,1910,588,612,7737,0,0,3,0,0,39,203,158,176,243,109,95,1034,13,13,13,17,53
