SA3_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
50101,1091,8,16,25,75,87,159,32,159,196,17,22,35,732,781,1511,418,362,782,8,10,16,39,46,84,48,209,250,17,20,33,526,648,1173,308,193,503,6,5,9,19,28,51,77,283,361,13,9,20,426,525,947,162,63,229,4,0,7,3,23,27,100,393,494,3,14,17,276,492,774,8643,8805,17452,411,575,983,1251,1730,2978,354,1354,1707,5336,4580,9917,15996,17042,33034,3,5,5,0,0,0,0,0,0,0,0,0,1468,1349,2814,1475,1356,2828,24,63,84,6,7,16,0,0,0,0,0,0,905,887,1793,932,961,1891,210,330,546,16,27,41,3,15,17,3,4,6,919,804,1719,1155,1172,2331,622,955,1577,25,50,77,28,47,69,0,6,10,784,682,1458,1458,1737,3193,957,1084,2038,56,90,145,43,85,133,5,13,17,591,533,1121,1649,1806,3455,1162,1196,2358,71,113,187,120,200,326,3,14,12,492,445,935,1848,1968,3816,1101,1123,2226,100
50102,1993,34,30,62,138,147,282,78,401,485,66,29,98,1412,1506,2915,744,567,1311,20,24,44,76,91,164,106,433,543,33,21,56,980,1131,2118,514,305,816,20,5,25,21,52,75,125,535,663,37,17,54,712,910,1626,281,118,400,9,10,15,18,20,35,168,686,857,15,16,31,489,849,1334,18978,18868,37845,1201,1378,2585,3005,3515,6528,716,2856,3572,13124,10506,23622,37029,37123,74151,0,8,13,0,3,3,0,0,0,0,0,0,3517,3251,6769,3519,3269,6782,112,221,332,6,21,30,0,3,5,0,5,5,2612,2318,4932,2731,2566,5302,686,1076,1763,39,81,120,22,51,66,0,3,4,2154,1885,4042,2904,3096,6005,1435,1806,3237,108,140,251,69,132,204,4,12,12,1506,1235,2742,3123,3324,6447,1865,1978,3844,130,188,318,170,201,369,0,4,8,1057,856,1916,3223,3225,6450,2009,2162,4172,169,219,389,244,339,586,9,21,29,852,760,1616,3281,3504,6787,2251,2305,4562,209
50103,655,20,11,25,54,45,95,19,84,109,24,12,35,492,432,922,228,140,371,7,4,14,26,23,43,28,116,140,18,11,25,306,288,598,135,78,213,3,0,6,12,8,19,30,116,150,15,0,21,193,207,399,70,25,97,3,0,3,7,6,16,37,181,221,6,7,7,130,220,346,4697,4740,9438,295,289,592,818,878,1695,200,734,932,2607,1955,4564,8620,8597,17211,0,0,0,0,0,0,0,0,0,0,0,0,685,565,1254,687,565,1255,25,33,59,0,0,0,0,0,0,0,0,0,403,359,761,426,396,824,84,145,234,8,9,18,0,3,4,0,0,0,356,269,629,451,432,881,220,297,518,8,19,35,3,21,22,0,0,0,222,207,426,455,541,1000,293,340,632,24,26,52,24,32,55,0,0,0,182,188,371,526,588,1108,405,444,850,22,26,52,52,58,112,0,10,10,216,186,398,695,728,1421,435,510,947,35
50201,3169,76,43,115,250,212,462,128,458,587,58,26,84,2256,2163,4420,1238,948,2188,27,18,49,135,107,245,159,561,719,35,16,52,1592,1654,3245,820,521,1342,15,5,23,76,60,133,185,658,844,17,13,37,1111,1267,2381,402,220,620,9,3,10,32,44,77,230,763,991,11,14,31,693,1044,1731,17306,17632,34944,1130,1325,2453,3018,3672,6687,976,3252,4228,10352,8842,19193,32775,34726,67502,5,5,7,0,3,4,0,0,5,0,0,0,2923,2882,5801,2934,2888,5820,95,185,277,8,18,27,4,10,13,0,4,3,2494,2318,4807,2595,2530,5128,542,874,1419,34,95,130,17,50,72,0,7,8,1778,1573,3352,2376,2601,4974,1159,1397,2565,90,162,252,64,125,184,3,8,8,1283,1091,2379,2595,2789,5380,1288,1565,2853,126,182,310,134,198,329,3,16,17,892,750,1635,2446,2710,5154,1696,1831,3529,169,217,388,206,363,572,12,26,35,797,635,1435,2879,3076,5960,1795,1868,3664,203
50301,1624,18,25,42,115,156,270,39,207,245,66,59,121,1142,1164,2304,617,473,1091,7,10,23,61,115,171,67,313,371,31,56,86,787,961,1748,467,305,775,17,6,22,32,86,112,95,441,539,31,49,79,643,894,1527,336,191,529,7,3,7,25,50,80,197,978,1175,13,43,55,581,1267,1844,13100,13552,26656,404,524,925,1329,2182,3519,511,2364,2880,9744,8701,18448,25097,27326,52423,6,3,12,0,0,0,0,0,0,0,0,0,2688,2767,5454,2692,2773,5467,17,30,47,0,0,3,8,3,8,4,3,5,2834,2506,5342,2867,2542,5409,196,332,528,0,16,17,13,16,32,0,0,0,1768,1450,3211,1973,1808,3788,664,890,1555,18,27,49,19,36,58,0,0,0,807,714,1519,1513,1673,3185,1043,1257,2300,36,31,69,49,74,115,0,8,6,484,360,844,1614,1726,3339,1454,1717,3169,40,63,106,73,146,213,3,19,29,294,277,576,1868,2218,4084,1838,2054,3895,50
50302,1131,34,35,69,181,201,386,64,284,350,168,124,290,1046,1179,2226,482,390,878,29,14,47,84,110,191,88,399,490,113,104,216,798,1025,1818,366,233,601,23,12,32,54,82,139,107,544,651,71,93,163,620,966,1586,286,145,432,6,3,16,27,47,77,189,873,1066,45,141,183,546,1214,1767,15595,15404,31002,1131,1056,2184,3232,3572,6795,645,2687,3336,19946,16826,36769,40541,39547,80087,8,19,25,3,4,8,4,0,0,0,3,3,1856,2093,3948,1869,2112,3982,153,261,416,5,11,15,0,6,3,9,3,12,3551,3949,7506,3718,4225,7940,926,1437,2365,36,63,100,15,73,90,3,3,13,5362,4946,10300,6351,6520,12866,2440,2683,5119,89,117,204,142,188,332,8,4,17,3703,2949,6656,6380,5937,12318,2341,2348,4685,94,115,208,195,262,457,6,12,16,1910,1419,3323,4542,4151,8696,2007,2007,4020,124,141,260,197,354,551,6,10,22,1115,918,2034,3451,3434,6888,1865,1793,3662,164
50401,1622,32,37,70,151,210,357,71,324,394,90,49,136,1220,1363,2583,675,497,1167,34,19,54,92,130,224,113,482,596,62,25,87,978,1154,2127,445,273,724,15,7,22,51,72,122,117,518,632,26,25,50,654,900,1557,298,152,455,8,9,18,28,40,67,193,843,1035,26,28,53,554,1074,1623,14494,14414,28905,923,1031,1954,2600,3380,5982,676,2863,3541,13118,10379,23492,31807,32062,63870,3,9,10,0,0,0,0,0,3,0,0,0,2054,1951,3997,2055,1959,4012,85,202,285,6,16,22,4,10,9,5,4,4,2546,2217,4761,2638,2443,5080,672,1071,1742,37,62,99,21,39,63,0,0,5,2624,2287,4908,3353,3462,6820,1688,1965,3650,65,89,156,103,131,241,5,3,3,1830,1511,3341,3684,3705,7391,1793,1850,3644,103,95,198,134,217,353,3,22,24,1081,885,1960,3109,3072,6180,1703,1678,3381,124,140,261,212,311,521,7,20,28,847,696,1540,2892,2842,5729,1565,1483,3050,138
50402,917,14,22,33,73,76,149,33,167,197,19,19,32,642,683,1329,333,248,585,13,11,24,52,55,100,56,144,195,10,5,14,463,457,922,221,116,336,4,0,7,22,36,56,55,193,248,8,11,15,302,352,656,109,45,155,0,0,4,15,17,32,59,285,343,8,4,11,185,355,537,8556,8243,16800,528,558,1089,1259,1653,2913,309,1145,1454,6057,4375,10433,16714,15979,32694,6,0,10,0,0,5,0,0,0,0,0,0,1428,1287,2717,1441,1288,2724,86,53,144,5,4,8,0,4,4,0,0,0,1305,950,2258,1395,1021,2412,333,322,657,16,20,32,7,9,18,5,3,5,985,627,1615,1343,987,2324,572,585,1158,33,50,84,25,36,58,0,4,5,730,408,1140,1358,1082,2439,696,716,1412,52,54,104,64,70,133,0,9,11,527,324,849,1334,1172,2504,869,880,1745,72,73,149,91,126,214,10,8,15,454,300,754,1493,1380,2880,1058,1031,2091,86
50403,1592,31,21,57,124,170,284,57,303,358,52,30,82,1142,1235,2373,546,386,932,14,14,24,79,98,175,87,313,404,42,9,54,759,829,1586,399,220,619,6,7,14,29,55,85,92,394,485,13,15,24,535,695,1226,189,98,292,6,5,12,14,20,33,125,443,563,9,12,21,342,583,921,19632,20073,39706,1103,1494,2594,2825,3982,6807,617,2303,2915,14967,12707,27679,39144,40561,79703,15,14,26,5,0,5,0,3,4,6,0,5,4537,4126,8662,4551,4142,8696,193,484,684,9,41,47,5,12,14,0,0,6,4289,4008,8293,4497,4541,9037,1317,2171,3487,64,118,185,32,82,112,7,4,11,3285,2865,6153,4705,5240,9950,2760,3100,5861,128,187,314,121,225,348,3,17,22,2209,1704,3911,5224,5234,10456,2848,2973,5823,161,244,396,199,291,490,6,30,35,1352,1194,2538,4558,4731,9293,2910,3018,5932,225,326,553,334,582,918,14,49,63,998,949,1953,4490,4927,9411,2939,2895,5834,222
50501,2720,36,34,73,128,237,360,99,424,521,28,34,60,1825,1918,3738,1018,822,1839,27,29,58,80,127,204,136,569,702,21,18,42,1284,1564,2847,696,463,1155,20,10,25,35,91,125,152,686,844,12,15,29,922,1266,2182,396,208,608,9,4,14,21,47,68,232,1014,1247,13,32,36,667,1309,1974,33557,34122,67676,1284,1649,2930,3433,5406,8842,1020,3783,4799,20963,17749,38712,60255,62712,122963,5,15,21,0,0,4,3,0,0,5,0,5,5562,5160,10719,5573,5173,10746,77,166,250,6,15,14,0,3,7,0,0,4,5114,4487,9603,5199,4673,9875,682,1062,1738,33,58,86,27,47,75,0,0,4,3620,2814,6432,4360,3983,8342,2075,2724,4795,108,126,237,95,124,221,5,6,9,2203,1523,3723,4478,4501,8975,3076,3546,6621,109,203,313,184,277,466,12,18,30,1254,1013,2266,4634,5061,9694,3844,4214,8058,187,239,430,312,463,779,8,28,36,1061,756,1819,5418,5700,11122,4310,4387,8701,229
