SA3_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
50101,34,33,45,82,59,55,112,58,103,160,56,122,175,91,200,289,0,4,7,4,0,4,0,3,8,75,125,203,93,167,258,152,254,412,1540,1414,2952,2129,2090,4220,2041,1761,3800,5814,5897,11709,7290,7596,14883,7988,8154,16143
50102,98,55,96,152,105,118,224,104,222,328,127,256,385,209,326,528,3,7,5,5,4,9,3,5,10,152,281,432,182,357,536,316,445,760,4103,3429,7530,4504,4139,8642,4040,2981,7025,13744,13618,27364,15023,15569,30591,15452,15142,30594
50103,32,17,18,29,27,27,57,17,24,45,12,37,47,26,50,77,0,0,0,0,3,3,4,0,4,41,42,78,28,59,86,56,74,135,675,594,1274,1074,1130,2206,1007,890,1905,2812,2830,5639,3052,3261,6312,3010,3063,6064
50201,108,63,127,192,97,141,238,78,184,264,118,325,440,209,365,575,4,4,7,10,3,11,8,0,8,121,262,383,192,454,647,317,507,816,3568,3287,6852,3725,3537,7259,3670,3141,6815,11129,11555,22683,12858,13768,26627,14070,14990,29061
50301,84,44,44,85,70,73,140,82,151,237,87,169,254,133,205,342,0,0,0,6,4,9,5,3,3,114,207,326,133,218,349,205,283,484,2118,2022,4139,2069,2051,4116,1396,1379,2776,11568,11931,23497,12782,12680,25456,12451,12605,25056
50302,403,250,339,594,196,268,471,231,349,576,262,474,734,346,487,835,6,4,7,0,10,7,7,9,11,426,556,987,517,819,1334,549,765,1315,4827,3921,8752,5100,4792,9891,3661,2816,6473,14239,14129,28371,15789,16408,32203,16090,16641,32725
50401,213,125,124,250,141,126,267,136,210,345,187,263,452,243,342,587,0,8,7,8,8,12,3,5,9,253,307,563,322,396,719,385,471,857,2913,2442,5356,2739,2750,5484,2158,1785,3944,10523,10301,20823,11249,11392,22640,11460,11305,22771
50402,59,30,46,80,42,62,108,42,106,153,49,107,155,82,155,245,0,0,0,3,0,3,0,0,4,74,135,209,82,154,237,129,226,353,2779,1340,4118,3180,1255,4435,3079,972,4053,7135,5865,12997,7536,5806,13335,7652,5787,13440
50403,153,155,197,350,232,269,492,129,314,446,232,482,712,401,635,1040,7,11,15,7,8,22,7,0,8,193,420,610,395,686,1083,639,910,1541,3958,3812,7771,4649,4969,9617,3923,3501,7422,16117,16257,32369,20006,20877,40881,22774,23055,45831
50501,204,104,144,250,159,181,335,209,345,553,223,398,616,384,576,963,3,6,8,9,7,10,5,3,7,320,449,767,334,544,882,544,758,1305,3918,3633,7549,3491,3211,6706,2856,2201,5058,22591,22953,45543,22935,23105,46034,23196,22972,46168
