SA3_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
50101,13450,127,269,392,13844,8631,1389,23859,445,750,96,40,1334,81,78,161,1491,948,108,2552,785,397,50,30,1261,79,21,106,1370,246,124,1735,999,464,87,29,1580,67,30,105,1678,352,141,2175,1108,623,143,49,1924,59,30,97,2016,443,159,2617,1293,812,160,40,2299,65,40,105,2407,533,185,3118,1475,906,136,33,2558,49,54,108,2666,399,183,3247,1412,824,122,53,2406,43,28,73,2477,362,155,2987,1392,780,117,36,2323,44,17,61,2385,393,145,2925,983,746,137,23,1891,48,22,71,1959,663,128,2744,558,542,119,12,1227,24,16,42,1274,1145,143,2563,154,227,43,10,430,0,8,15,439,1437,79,1966,43,86,14,9,156,0,0,3,155,1270,86,1511,16,68,11,13,112,0,3,3,117,2555,222,2891,10661,7226,1231,377,19495,567,371,939,20436,10744,1853,33034,313,911,74,47,1348,77,111,183,1537,1119,175,2828,804,486,60,35,1380,86,35,121,1504,264,129,1891
50102,23722,518,741,1260,24975,16900,2445,44325,1314,1710,141,136,3296,266,207,476,3769,2498,333,6597,2717,903,191,100,3909,260,86,350,4257,862,340,5456,2871,917,211,80,4089,181,67,250,4338,1086,372,5798,2794,1073,223,103,4197,138,87,218,4417,1201,360,5974,2951,1393,206,96,4651,124,75,203,4856,1164,369,6393,3550,1645,253,121,5568,134,91,223,5787,982,388,7159,3669,1424,245,111,5440,123,53,174,5619,904,379,6900,3449,1433,295,84,5264,99,38,134,5401,1001,366,6768,2586,1156,274,67,4086,71,35,101,4191,1453,290,5938,1389,937,180,47,2554,55,33,90,2643,2434,277,5357,356,390,68,26,848,13,10,22,868,2751,198,3819,90,155,20,8,274,0,0,8,281,2442,194,2915,31,89,19,20,160,0,4,3,164,4252,659,5075,27773,13238,2331,987,44334,1472,785,2254,46588,23031,4533,74151,764,1953,93,83,2896,240,387,631,3521,2827,437,6782,2291,1077,128,91,3588,377,138,518,4101,842,357,5302
50103,5117,93,101,191,5309,3968,761,10042,208,330,34,23,589,41,25,61,657,497,30,1181,360,146,31,13,556,38,10,51,605,132,26,763,405,127,32,18,588,21,11,29,619,175,51,843,405,256,33,15,715,19,16,39,749,194,41,987,564,340,45,34,985,24,19,40,1031,239,49,1310,685,388,58,32,1161,35,15,50,1208,244,55,1511,804,413,73,24,1308,25,20,47,1356,265,77,1699,845,415,79,23,1365,30,17,46,1409,296,57,1767,670,444,85,20,1216,35,11,50,1266,461,75,1804,420,385,72,21,904,12,12,23,926,730,61,1723,175,186,29,12,400,0,4,3,404,916,56,1373,52,81,12,5,149,0,0,0,152,719,45,922,32,42,8,10,89,0,0,0,89,1140,109,1339,5637,3543,603,249,10026,282,157,443,10469,6015,726,17211,196,291,18,12,521,32,20,48,570,600,82,1255,337,155,17,15,516,45,18,65,582,166,70,824
50201,21005,672,846,1515,22518,21130,2648,46298,854,1595,102,82,2643,277,230,504,3144,2034,318,5498,1882,929,152,102,3062,280,68,344,3412,736,307,4457,1977,650,159,86,2873,202,71,274,3138,923,280,4344,1716,769,154,69,2701,151,74,218,2919,978,276,4174,2161,962,188,87,3396,149,74,220,3616,959,324,4900,2438,1177,161,66,3851,139,95,231,4080,874,345,5299,2690,1162,221,68,4144,148,52,202,4343,879,304,5523,2504,1097,232,84,3913,112,61,170,4083,1034,309,5427,1908,977,241,62,3185,96,47,141,3331,1565,327,5216,1139,902,155,40,2237,70,50,122,2360,3131,291,5786,306,448,62,18,836,7,16,26,857,3956,280,5101,74,178,19,11,286,3,0,5,291,3853,275,4420,15,58,8,5,89,0,3,3,86,6280,990,7354,19661,10909,1856,773,33200,1634,836,2467,35664,27214,4626,67502,501,1711,72,52,2341,329,462,791,3130,2405,290,5820,1809,1291,115,75,3282,445,166,609,3893,917,315,5128
50301,16907,246,540,792,17697,11912,1200,30813,195,1470,119,37,1819,37,244,278,2105,3004,226,5330,1276,1811,186,59,3327,82,221,299,3627,1490,281,5407,1877,606,99,31,2614,70,58,129,2737,582,248,3571,1396,488,114,22,2013,42,23,63,2080,540,207,2824,1459,655,132,35,2281,39,30,72,2352,655,178,3187,2054,1070,101,59,3282,58,39,95,3378,763,204,4337,2374,1110,118,49,3645,55,42,92,3738,710,178,4628,2475,1069,105,44,3692,51,30,83,3779,693,215,4697,1975,977,130,34,3121,35,25,63,3181,787,214,4188,1283,840,119,31,2273,30,28,54,2333,1259,181,3767,489,635,47,25,1190,7,3,8,1201,1707,147,3054,156,323,25,12,521,3,7,9,524,1640,140,2304,51,206,20,14,295,0,6,4,300,4282,542,5123,17064,11263,1308,447,30078,511,745,1256,31337,18122,2965,52423,63,1474,78,63,1683,36,375,414,2097,3197,175,5467,932,1969,103,77,3080,123,309,435,3520,1634,257,5409
50302,31306,590,757,1347,32651,12788,2650,48092,307,1207,87,50,1647,50,195,245,1898,1790,270,3953,3197,2415,232,96,5948,189,244,435,6384,1315,862,8563,7077,1816,321,109,9331,261,123,382,9713,1152,1413,12271,5601,1333,317,69,7316,187,86,272,7589,987,1035,9612,4092,1238,247,56,5634,118,58,182,5814,1029,621,7459,3582,1360,202,58,5199,114,57,178,5380,806,560,6742,3307,1198,177,44,4722,106,48,155,4882,695,430,6007,3172,979,182,50,4383,88,39,127,4515,754,402,5673,2371,970,181,46,3564,72,37,110,3680,992,442,5111,1438,840,144,32,2456,39,38,73,2533,1538,334,4408,454,438,54,12,951,9,11,16,966,1685,242,2893,92,204,22,3,321,3,7,7,330,1726,172,2226,28,116,8,14,166,0,0,5,164,4300,703,5172,34724,14121,2172,626,51645,1246,947,2194,53841,18775,7479,80087,142,1172,51,36,1400,45,344,389,1790,1901,287,3982,2267,2507,125,96,5002,236,385,624,5627,1460,861,7940
50401,21451,456,662,1124,22576,11968,1554,36095,533,1127,61,67,1788,101,171,275,2062,1866,196,4127,2388,1402,127,105,4036,199,137,334,4368,821,304,5492,3672,1067,165,94,4995,181,93,271,5266,824,429,6524,3338,1062,262,69,4735,118,79,201,4936,851,379,6167,3161,1145,190,92,4589,115,46,158,4752,872,290,5913,2923,1172,159,87,4342,104,57,158,4500,739,273,5514,2840,1118,141,87,4186,98,45,145,4326,660,243,5237,2638,942,175,49,3802,77,48,125,3925,712,265,4903,2214,911,158,48,3329,89,41,126,3457,1030,205,4696,1311,883,137,41,2367,50,33,82,2453,1648,207,4305,381,395,40,14,836,11,11,14,851,2085,166,3104,77,134,6,4,218,0,8,8,224,2193,168,2583,18,65,9,7,93,0,3,3,97,4700,514,5312,25497,11420,1625,780,39320,1143,757,1893,41213,19009,3652,63870,244,1184,45,37,1510,114,363,478,1989,1850,173,4012,1691,1695,73,98,3558,251,225,470,4031,747,294,5080
50402,9898,185,273,454,10355,6399,839,17590,507,936,45,56,1545,106,107,217,1758,1128,156,3042,1058,515,57,42,1672,108,46,153,1831,527,121,2479,918,259,67,31,1271,46,12,57,1332,524,106,1963,833,333,79,25,1273,38,30,64,1337,644,73,2060,1142,530,94,41,1804,42,29,65,1869,614,141,2619,1506,741,88,42,2375,49,27,72,2452,562,173,3182,1718,733,117,31,2601,38,26,66,2667,475,159,3300,1648,684,116,43,2493,41,23,63,2558,460,141,3159,1305,592,103,38,2040,29,13,37,2080,570,135,2794,832,582,92,23,1533,29,27,51,1582,1025,125,2729,258,279,28,12,579,5,6,9,588,1251,100,1933,38,90,9,8,146,0,0,0,149,1102,80,1329,17,30,6,4,55,0,0,0,55,1842,214,2118,11784,6297,906,411,19400,523,331,855,20248,10710,1732,32694,242,843,38,30,1147,82,190,270,1416,1189,118,2724,858,570,65,33,1534,152,61,216,1745,546,121,2412
50403,35409,898,1165,2066,37472,18987,2604,59069,1275,2094,141,142,3657,280,262,542,4202,3188,390,7780,3360,1356,164,184,5062,292,140,435,5497,1114,399,7010,3921,1027,259,120,5322,167,89,255,5574,1152,392,7120,3562,1302,239,102,5209,141,97,242,5449,1302,382,7131,3957,1606,231,132,5920,159,103,261,6185,1325,433,7944,4344,1792,253,140,6533,137,102,239,6770,1138,444,8351,4389,1503,264,126,6283,133,80,209,6496,1001,387,7887,3583,1262,256,105,5205,96,54,144,5358,1073,373,6798,2676,1031,165,63,3944,59,29,91,4030,1250,283,5563,1504,802,133,50,2490,52,38,89,2581,1833,281,4691,447,406,42,22,923,10,14,20,940,2167,213,3319,80,139,20,4,242,6,0,5,245,1929,201,2373,35,56,3,14,104,0,3,3,109,3173,452,3731,33125,14376,2177,1215,50895,1537,1005,2536,53433,21635,4635,79703,722,2389,91,73,3273,350,656,1004,4281,4010,407,8696,3410,2359,186,149,6100,622,305,930,7026,1416,592,9037
50501,40930,545,1175,1721,42648,22088,1869,66606,1688,4434,241,187,6544,286,580,863,7408,4502,334,12242,4865,3114,350,173,8500,347,236,582,9082,1333,435,10848,4804,1297,303,112,6521,212,103,313,6832,1006,395,8226,4202,1654,378,93,6328,147,92,240,6570,1282,324,8172,5096,2436,378,114,8025,104,97,198,8223,1555,336,10108,6246,3084,341,137,9804,146,125,274,10084,1403,394,11884,6989,3023,366,133,10515,163,89,251,10770,1255,376,12394,6931,2744,477,134,10288,148,85,234,10519,1268,380,12168,5436,2451,418,98,8400,129,51,183,8587,1939,325,10847,3178,2177,341,63,5761,88,57,146,5913,3359,296,9569,750,888,123,34,1793,15,23,41,1830,3745,179,5755,111,273,16,4,410,3,9,13,421,3130,190,3738,32,92,9,15,148,0,5,5,150,6193,660,7008,50341,27664,3738,1290,83034,1783,1554,3342,86380,31963,4626,122963,760,3820,157,83,4820,253,963,1213,6033,4389,326,10746,3512,3495,198,138,7350,464,377,846,8196,1325,353,9875
