SA3_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
50101,0,0,0,0,5,0,22,0,7,34,5,54,10,21,87,4,32,9,25,70,3,31,10,18,67,16,118,16,27,177,33,216,27,37,316,11,49,11,15,83,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,8,0,23,3,4,32,79,550,91,161,879,0,6,0,0,3,0,3,0,4,9,0,36,9,14,60,10,33,4,11,65,4,16,0,17,40,11,38,6,22,80,12,118,26,43,199,48,242,36,58,384,6,39,6,10,68,0,3,0,0,6,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,16,90,539,109,189,931,0,6,0,0,10,0,0,0,4,6,4,16,3,14,28,5,26,9,13,48,0,13,0,4,24,5,27,3,22,61,18,95,9,41,161,46,214,41,83,389
50102,0,11,0,10,20,3,66,4,14,93,17,105,14,37,173,17,92,27,58,194,8,101,14,37,160,29,307,38,82,454,54,343,56,70,531,23,121,21,37,203,0,16,0,4,18,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,28,4,18,49,161,1194,178,362,1900,0,15,0,0,13,0,4,0,5,12,6,76,16,31,123,15,87,10,22,136,14,69,19,34,134,19,176,34,59,285,59,453,61,127,703,83,349,75,81,583,8,29,9,9,47,0,4,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,8,8,44,209,1285,225,377,2099,0,6,0,0,10,0,4,0,6,11,6,28,8,25,69,11,85,9,36,130,13,53,9,39,115,20,184,24,85,303,63,492,60,153,766,84,379,69,105,640
50103,0,5,6,5,9,0,6,3,6,17,5,42,15,14,77,8,58,3,6,75,0,34,0,3,48,8,43,4,8,65,5,23,0,4,36,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,33,221,36,51,337,0,0,0,0,3,0,0,0,0,3,4,27,5,21,47,0,25,4,6,37,0,13,3,7,28,7,35,10,5,59,9,54,8,10,80,9,14,0,3,23,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,29,187,30,53,302,0,3,0,0,7,0,0,0,0,0,0,6,4,4,12,3,18,0,3,29,4,20,4,4,34,8,25,9,9,49,4,63,12,17,97,5,24,4,8,43
50201,4,0,0,4,9,0,20,9,12,32,4,54,3,25,88,7,78,18,35,147,11,116,20,44,191,38,363,52,114,566,73,435,60,94,664,30,143,20,27,216,5,6,8,3,19,0,5,0,0,3,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,21,3,13,37,177,1248,184,369,1984,0,3,0,0,7,0,0,0,0,0,5,28,5,12,49,8,47,16,31,96,0,37,6,31,77,9,148,30,50,238,67,487,64,151,770,96,424,90,125,733,20,45,15,11,90,3,9,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,16,5,17,40,217,1246,231,436,2128,0,0,0,4,4,0,0,0,0,5,0,16,8,20,34,14,37,6,23,84,10,45,5,43,105,23,193,32,97,352,72,554,86,186,899,98,441,71,149,754
50301,0,0,0,4,4,0,3,0,4,8,5,5,9,9,23,3,8,4,5,20,0,9,0,7,17,4,17,7,14,34,4,26,13,7,52,12,38,16,19,88,10,41,24,15,81,7,13,7,4,34,3,19,3,6,33,0,13,3,3,19,4,4,0,0,15,3,10,15,4,34,5,9,4,0,15,59,211,111,103,481,0,0,0,0,6,0,0,0,0,3,0,10,0,5,21,0,12,0,5,14,0,0,0,7,16,0,6,0,0,14,0,14,13,13,39,0,34,21,15,73,8,37,24,11,79,17,27,23,6,71,5,22,19,4,45,5,21,16,6,43,5,4,6,9,26,12,23,5,3,46,0,3,3,0,15,62,223,136,93,509,0,4,0,0,4,0,0,0,0,0,0,11,0,4,8,0,10,0,6,15,0,6,0,0,10,0,11,11,7,25,0,25,6,15,46,3,47,25,16,98
50302,0,0,3,5,13,0,26,3,14,49,4,23,15,20,60,0,25,12,24,50,4,18,4,10,32,5,32,10,12,61,9,75,22,30,139,9,108,33,44,196,10,64,28,31,136,3,27,14,11,54,4,13,12,0,24,0,8,6,4,17,0,5,0,4,8,0,5,6,4,13,0,13,4,10,28,48,443,166,226,883,0,0,0,5,5,0,3,5,3,8,6,23,8,15,43,4,18,4,11,39,0,13,0,16,32,0,34,5,15,58,3,70,17,37,120,9,118,25,62,214,12,97,47,45,204,7,44,26,30,106,5,30,15,11,57,3,8,3,4,22,4,9,4,4,17,3,9,3,0,15,0,9,12,4,26,48,480,180,257,965,0,3,0,0,8,0,6,0,0,3,0,14,0,20,26,5,22,8,8,40,3,14,0,5,29,0,36,13,33,92,6,108,19,47,175,17,203,59,86,371
50401,5,8,3,8,20,0,39,8,8,54,15,57,10,17,102,14,53,8,45,118,9,36,6,35,82,8,69,17,47,137,23,223,60,103,412,43,199,49,100,388,6,30,5,17,52,0,7,0,0,10,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,27,7,6,47,119,762,169,388,1437,0,5,0,3,12,0,9,0,0,5,4,38,9,22,74,3,41,10,26,80,6,37,7,28,74,8,49,9,31,83,21,121,37,62,245,32,253,73,127,488,25,91,31,38,184,9,19,9,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,9,15,38,103,687,191,362,1339,0,3,0,0,7,0,0,0,3,9,4,25,3,18,49,13,42,10,23,80,10,34,7,28,73,11,80,9,47,150,23,195,36,98,358,40,268,71,128,511
50402,0,3,0,5,8,0,11,0,0,8,5,22,0,6,34,4,11,4,10,29,5,12,3,8,27,0,37,0,14,52,6,75,17,27,134,19,77,8,17,127,0,19,3,7,26,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,13,53,270,43,110,468,0,5,0,0,4,0,0,0,3,3,0,8,5,4,22,8,11,3,9,30,0,0,5,12,11,3,28,7,6,40,9,49,15,22,92,21,98,16,34,162,17,24,6,8,57,3,9,0,3,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,16,58,245,54,103,467,0,0,0,0,3,0,0,0,0,0,0,0,0,7,10,5,10,4,8,28,0,10,0,0,10,5,23,5,11,39,8,61,17,37,121,27,72,18,32,157
50403,0,8,0,11,25,0,58,6,14,76,28,91,16,23,153,11,75,20,44,143,11,41,13,19,81,14,106,13,34,165,35,282,49,104,475,70,344,55,107,578,11,52,5,14,84,3,11,0,0,13,0,0,0,0,5,0,5,0,0,5,0,4,0,0,4,0,0,0,0,3,9,45,10,20,79,191,1114,188,394,1886,0,3,0,3,9,0,4,6,3,17,6,52,13,26,100,25,86,7,32,148,13,36,9,24,83,16,71,13,28,133,42,244,46,72,399,100,561,115,190,965,38,128,38,55,266,5,14,0,5,25,3,6,0,4,12,0,3,0,0,4,0,5,0,0,5,0,5,0,0,5,6,25,3,26,61,249,1245,262,471,2228,0,3,0,0,9,0,6,0,3,10,0,32,9,30,68,8,73,8,34,127,10,60,8,14,94,15,126,21,68,224,59,476,88,166,791,122,596,108,219,1053
50501,0,0,4,0,4,0,8,5,9,27,7,24,0,15,48,7,22,5,19,57,7,19,3,11,43,9,33,10,26,76,25,226,64,114,432,85,395,126,193,797,15,86,35,26,162,8,28,4,13,46,3,13,4,6,20,0,4,0,0,8,0,0,0,0,3,0,5,3,0,14,0,19,8,4,33,178,896,265,438,1769,0,0,0,0,3,0,5,0,0,8,0,10,7,7,27,5,23,7,6,43,5,11,5,8,27,0,17,4,9,29,5,88,23,38,153,67,435,127,179,810,68,187,78,93,413,21,40,14,17,90,6,24,6,9,46,5,5,3,0,16,0,3,0,0,9,0,6,0,0,10,4,14,0,12,38,196,860,277,391,1720,0,3,0,0,0,0,0,0,0,0,0,10,0,3,18,8,24,6,3,38,5,18,3,11,30,5,30,8,18,56,19,144,39,59,272,105,446,131,192,870
