SA3_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
50101,8,7,5,3,19,5,4,0,0,8,4,6,0,4,15,4,8,3,0,16,11,6,9,0,27,49,30,12,7,99,62,63,18,8,157,66,119,39,9,244,295,352,158,44,849,270,377,126,37,815,200,253,83,31,567,142,226,82,27,475,120,158,71,19,367,41,63,29,3,143,281,415,173,55,925,18,30,10,3,54,1586,2120,823,248,4784,4,9,6,0,17,3,0,0,0,11,13,0,0,6,17,5,0,5,0,4,18,11,5,0,36,24,20,14,6,56,49,39,13,10,108,73,64,30,17,181,315,311,119,35,782,330,422,158,44,947,260,385,155,22,820,203,281,95,26,612,194,261,116,12,589,124,204,51,19,398,341,441,223,57,1063,16,18,4,4,46,1968,2474,991,251,5690,12,11,0,0,26,4,0,0,0,0,0,0,0,0,0,8,0,0,0,6,6,4,0,6,16,10,9,0,6,23
50102,18,21,10,5,51,5,4,0,0,15,13,14,0,5,35,9,6,8,6,21,16,19,8,7,43,64,37,10,3,115,90,61,32,16,197,152,134,52,23,362,530,620,253,101,1495,616,771,300,120,1806,513,582,209,60,1372,542,800,323,94,1753,467,633,231,56,1391,160,186,65,26,439,606,746,337,134,1823,46,60,23,10,139,3849,4684,1871,657,11058,13,7,0,0,28,13,5,4,0,25,14,10,4,0,35,10,4,5,0,17,34,31,8,5,79,30,30,19,8,89,106,61,24,9,199,161,97,40,15,314,517,503,200,67,1283,601,736,270,108,1711,635,804,341,95,1877,423,643,218,59,1333,512,621,262,58,1457,331,492,193,54,1078,660,821,364,154,2004,38,45,14,7,103,4087,4914,1970,657,11630,13,7,3,0,21,6,0,0,0,7,9,0,6,0,12,6,4,0,0,5,21,16,0,0,32,32,13,9,3,51
50103,4,3,0,0,15,4,0,0,0,3,7,4,0,0,16,8,6,7,0,19,10,8,7,3,28,31,15,6,5,68,37,36,11,11,94,61,62,21,13,155,140,170,98,46,452,105,178,87,22,389,85,97,41,10,238,61,89,36,14,203,53,69,15,8,141,19,15,6,0,39,123,168,85,39,414,11,18,3,3,34,759,940,428,181,2312,0,0,0,0,5,0,5,0,0,7,3,0,0,0,3,5,0,0,0,9,15,15,5,0,24,13,7,5,0,26,30,24,10,4,71,30,28,22,9,97,117,127,56,34,336,115,137,68,20,346,82,122,51,32,284,69,88,32,19,214,65,72,38,15,198,55,51,25,3,131,120,168,69,35,391,10,12,5,0,27,736,865,393,173,2166,3,3,0,0,9,0,3,0,0,3,0,0,0,0,5,5,0,0,0,5,0,3,0,0,10,7,3,0,0,16
50201,10,12,0,0,20,4,9,3,0,20,12,12,5,3,28,11,13,0,5,27,26,11,9,5,47,62,47,32,11,151,89,59,31,17,197,138,122,47,16,320,396,457,182,77,1114,406,586,203,65,1265,353,423,143,57,967,375,552,218,57,1202,356,426,121,37,936,111,133,63,19,326,628,680,294,111,1713,46,49,14,9,116,3000,3588,1363,491,8450,27,11,6,3,40,9,10,0,0,21,10,9,3,0,19,13,9,5,0,23,42,25,17,8,87,51,37,11,3,97,97,56,18,6,176,146,94,42,25,309,501,406,163,59,1135,448,523,180,68,1218,515,587,256,88,1448,364,495,174,50,1076,420,520,187,57,1183,299,525,178,59,1060,694,783,321,153,1947,36,40,8,0,90,3671,4116,1566,590,9933,13,18,3,0,32,5,0,0,0,5,3,4,0,0,6,10,6,0,0,15,19,5,0,3,30,38,16,9,3,76
50301,16,18,3,0,42,4,4,0,0,10,5,5,3,0,11,5,4,0,0,9,11,11,4,0,26,6,16,3,0,30,30,18,3,0,55,43,29,12,4,87,147,109,41,15,311,158,178,71,15,421,174,173,61,12,415,356,778,380,107,1620,477,888,369,77,1797,472,862,433,94,1858,386,575,298,84,1340,12,32,9,0,52,2297,3696,1684,406,8083,15,17,9,0,38,3,3,0,0,7,3,5,0,0,6,3,8,0,0,14,7,7,0,0,16,17,22,3,3,46,32,16,7,5,56,25,29,15,0,68,125,104,34,11,274,119,135,52,16,327,168,220,82,23,492,196,208,71,14,495,382,607,280,46,1308,966,1885,955,184,3992,365,596,296,71,1324,21,30,23,4,76,2444,3890,1833,376,8543,16,9,4,0,35,9,3,4,0,15,4,0,0,0,8,4,3,0,0,12,12,9,5,0,18,15,9,0,0,21
50302,21,12,0,0,41,8,7,3,0,18,14,6,0,0,24,10,6,0,0,19,27,12,4,0,42,43,22,11,0,76,66,37,8,3,115,105,71,17,5,199,316,194,56,20,584,316,272,86,15,682,271,263,72,13,620,569,736,228,38,1576,585,790,227,37,1635,449,592,190,27,1261,420,407,154,37,1020,25,27,4,4,52,3245,3447,1064,202,7958,28,19,6,0,52,6,7,5,0,16,9,8,3,0,22,7,4,0,0,12,36,16,4,0,51,31,21,6,0,55,59,27,11,0,101,121,52,21,0,198,275,199,45,8,533,344,255,84,11,686,438,398,100,8,948,315,342,86,11,748,641,708,188,23,1558,991,1422,442,62,2928,469,440,170,33,1109,26,18,3,0,54,3806,3941,1162,168,9069,12,5,3,0,24,0,0,0,0,4,7,9,0,0,18,8,4,0,0,10,12,12,3,0,26,31,10,7,0,48
50401,20,10,6,0,33,3,3,4,3,15,19,14,6,4,49,17,8,3,3,28,28,13,3,4,50,76,38,15,17,147,101,97,25,10,235,150,137,52,19,367,511,475,145,47,1178,471,529,157,38,1193,435,463,119,39,1055,401,478,180,31,1094,426,502,155,25,1113,185,240,66,19,508,435,456,172,68,1134,28,44,20,8,97,3309,3510,1141,338,8290,17,29,7,4,58,6,14,3,0,22,22,13,5,0,37,12,5,5,0,21,28,16,10,9,59,46,27,10,11,88,100,58,15,11,185,141,102,36,25,303,466,423,110,46,1042,530,448,133,53,1164,557,584,151,33,1324,403,473,116,35,1023,549,601,157,35,1332,421,557,169,34,1186,404,429,130,47,1008,22,20,11,4,59,3730,3787,1067,334,8915,20,4,6,3,35,0,6,3,0,8,3,6,0,0,13,4,0,5,0,11,10,12,7,0,31,27,19,8,0,52
50402,3,0,0,0,7,6,0,0,0,6,4,7,4,0,11,7,6,0,0,14,16,5,4,0,20,26,9,8,3,50,41,35,9,4,84,64,51,19,3,143,191,225,112,32,561,248,309,137,45,744,242,263,96,28,625,223,350,139,51,758,239,310,113,36,700,95,143,55,22,317,316,301,174,70,859,19,35,9,10,77,1725,2056,886,299,4965,7,5,0,4,21,6,9,0,0,10,7,5,0,0,15,9,4,0,0,18,11,5,3,0,26,9,12,0,0,29,34,12,4,3,60,56,36,11,4,107,209,181,58,31,473,217,301,109,29,656,265,330,126,36,756,201,254,104,28,590,269,289,107,31,699,215,310,127,41,687,275,351,139,60,827,12,18,11,3,45,1806,2123,817,270,5019,8,6,0,0,14,0,0,0,0,0,5,0,0,0,7,0,0,0,0,3,3,3,0,0,7,12,3,3,0,23
50403,24,26,5,11,61,14,11,7,0,27,23,27,11,5,68,12,18,12,10,53,18,30,9,8,69,67,67,29,31,190,123,102,57,31,313,209,253,98,33,597,722,850,324,138,2033,801,1064,363,139,2358,676,800,259,92,1826,541,841,306,85,1770,503,686,240,74,1511,187,287,92,48,614,720,882,387,172,2162,52,71,32,19,166,4685,6009,2238,887,13820,43,32,13,0,85,10,10,3,0,30,20,10,8,8,42,14,11,4,0,36,42,31,23,26,115,74,66,34,19,190,145,100,53,27,321,205,229,76,45,558,839,878,291,121,2134,973,1130,401,145,2654,1024,1233,433,132,2818,696,838,280,89,1906,706,925,325,94,2050,436,651,254,66,1411,785,966,371,190,2310,48,64,28,18,159,6065,7178,2590,979,16816,19,17,14,9,54,7,3,0,0,9,9,11,5,3,28,8,18,3,3,33,28,27,12,8,78,39,41,12,17,109
50501,29,26,10,9,69,9,10,3,4,26,25,19,3,0,48,14,13,8,0,36,15,16,0,0,39,59,40,19,9,127,103,82,26,12,222,185,169,46,29,429,736,808,274,77,1891,1009,1324,422,123,2878,1020,1343,396,80,2845,1101,1938,674,150,3862,1254,1955,638,106,3959,619,905,330,77,1941,1166,1592,698,192,3641,73,70,36,12,192,7419,10322,3601,874,22214,33,23,9,6,67,6,8,5,3,25,17,13,0,0,37,9,13,5,4,29,46,22,5,3,72,51,43,8,10,106,86,54,17,7,166,144,104,33,13,290,642,549,187,50,1423,796,1015,321,75,2210,1044,1440,481,99,3069,938,1401,433,92,2858,1302,1996,649,119,4064,1191,2248,789,174,4405,1105,1476,575,136,3289,55,86,25,5,176,7464,10490,3542,792,22286,18,16,4,0,44,8,0,0,0,12,10,3,5,0,19,10,7,0,0,21,25,21,0,0,46,21,16,0,0,40
