SA3_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
50605,9,5,12,20,89,236,65,7,10,11,461,4,0,4,4,5,8,71,210,89,15,8,8,425,0,0,0,3,4,8,34,110,50,7,6,4,233,0,0,0,4,4,5,37,100,73,15,5,5,251,0,0,4,0,4,4,13,63,62,26,16,5,197,0,0,6,8,9,4,30,117,70,23,9,28,300,0,0,4,0,3,0,7,3,0,0,0,14,36,18,20,147,139,109,169,704,1400,550,115,62,158,3579
50606,0,4,4,6,27,96,24,9,8,6,179,0,0,0,0,0,4,27,88,27,3,4,3,165,0,0,0,5,3,6,8,35,10,3,0,0,72,0,0,0,0,0,0,7,45,24,6,6,3,94,0,0,0,0,0,4,3,29,16,11,3,4,67,0,0,0,0,3,3,19,64,22,6,5,3,127,0,0,0,0,0,0,0,5,0,0,0,3,11,5,5,17,32,38,60,228,615,172,45,30,55,1301
50607,20,16,18,47,237,288,106,30,41,11,819,0,0,7,11,12,33,175,306,142,65,50,22,821,0,0,10,8,4,17,79,153,94,31,31,3,433,0,0,4,3,14,12,68,139,154,83,71,15,557,0,0,0,4,0,14,45,116,137,144,248,10,727,3,0,6,14,4,19,74,128,70,44,55,23,440,0,0,9,3,7,6,7,5,9,0,0,25,73,38,63,327,246,161,446,1423,1702,905,460,547,208,6524
50701,14,23,23,69,280,670,238,36,17,31,1392,0,0,13,18,24,45,219,647,292,54,21,33,1369,0,0,7,15,0,24,87,330,156,44,8,16,698,0,0,8,9,6,20,70,350,270,94,32,20,882,3,0,9,10,6,16,31,218,205,85,77,17,667,0,6,12,18,8,36,94,312,216,52,28,38,815,0,0,22,12,11,6,8,23,9,3,0,50,141,69,86,535,491,385,716,1861,4067,1756,430,225,351,10972
50702,11,4,7,35,80,168,102,43,34,12,508,0,0,5,10,6,29,71,177,136,65,54,21,579,0,0,4,0,4,6,24,48,69,48,33,4,245,0,0,0,0,4,7,14,80,112,78,80,13,395,6,0,5,3,8,10,12,46,97,114,246,10,549,4,0,10,11,10,12,22,64,114,53,71,15,398,0,3,21,0,3,4,9,6,3,0,13,26,80,70,90,489,240,167,345,598,994,775,471,612,198,5047
50703,5,9,23,58,191,233,17,0,5,14,558,0,0,6,5,7,22,112,201,26,3,0,10,395,0,0,0,4,4,23,50,116,26,0,4,5,237,0,0,0,0,3,24,50,120,28,0,3,5,233,0,0,5,7,3,4,20,57,25,8,4,8,141,0,0,5,4,13,37,91,138,30,0,5,21,339,3,4,9,7,4,4,6,12,0,0,0,19,68,35,33,238,296,248,578,1167,1368,189,21,28,163,4347
50704,14,18,22,38,136,356,207,77,38,21,921,5,0,8,10,16,38,108,340,252,93,70,28,969,0,0,0,10,0,12,53,157,163,76,52,10,545,0,0,3,7,3,8,78,219,254,129,106,18,813,0,0,9,6,9,9,22,129,240,206,377,20,1017,0,0,11,11,7,10,37,164,153,89,82,23,590,0,0,15,9,0,9,6,10,0,4,5,27,81,41,50,453,320,195,378,1082,2253,1601,784,799,268,8238
50705,8,17,41,150,500,627,100,12,8,33,1500,4,0,6,14,21,103,328,613,112,18,14,28,1274,0,0,0,9,14,54,140,343,75,10,3,8,662,0,0,5,5,8,46,132,349,129,24,12,17,724,0,0,3,10,3,27,69,205,100,44,16,13,486,0,0,12,24,17,91,259,532,126,25,9,58,1146,3,0,13,13,4,15,37,21,6,3,6,52,178,51,60,390,505,516,1453,3504,4232,823,161,96,399,12188
50901,31,59,46,78,220,175,37,4,7,59,718,6,5,18,36,41,57,139,165,36,0,10,33,555,0,0,14,11,9,24,72,82,19,4,3,16,272,3,4,13,10,19,22,52,90,32,9,5,15,284,6,5,6,8,10,21,37,50,33,8,16,21,224,0,9,20,24,25,43,85,106,31,4,3,25,370,4,3,30,20,8,5,3,4,5,0,0,37,116,84,95,595,720,470,754,1405,1114,251,41,65,371,5969
50902,42,50,48,97,101,68,7,4,10,80,536,13,13,29,41,49,69,99,58,14,3,4,60,453,9,0,14,20,13,32,41,37,3,0,3,21,192,4,0,20,16,20,46,56,42,20,0,0,37,254,5,0,14,14,11,18,34,21,17,5,3,29,169,11,3,19,30,17,44,52,52,10,5,0,17,268,9,3,19,11,0,5,13,5,0,0,4,29,95,124,118,565,563,413,704,696,440,94,28,45,421,4213
