SA3_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
50101,4,5,10,0,0,0,3,0,3,0,3,3,1322,1216,2538,1323,1225,2552,40,72,109,0,9,10,0,0,3,0,0,0,860,757,1620,895,838,1735,224,365,592,12,16,33,8,16,21,0,0,0,809,706,1523,1061,1114,2175,555,742,1290,29,35,64,23,56,74,0,8,8,630,541,1169,1236,1377,2617,870,979,1845,44,87,127,73,113,188,0,0,3,514,442,957,1504,1619,3118,957,1022,1979,76,96,174,120,212,332,3,12,16,422,324,750,1577,1665,3247,918,963,1874,65,93,159,169,244,414,7,23,32,295,214,509,1453,1535,2987,955,988,1941,60,85,139,200,274,475,9,32,40,176,147,322,1397,1530,2925,882,964,1845,41,61,102,216,280,492,13,38,54,158,85,250,1318,1432,2744,986,900,1887,32,38,69,180,196,378,25,82,110,62,47,110,1297,1269,2563,775,693,1465,19,23,40,119,149,267,25,104,130,28,34,62,964,999,1966,603,497
50102,10,6,17,0,0,6,0,3,3,0,0,4,3474,3090,6573,3487,3109,6597,130,293,425,11,29,42,0,8,6,0,4,3,2661,2315,4980,2809,2647,5456,702,1080,1788,37,83,120,25,58,75,0,0,0,2178,1631,3812,2942,2853,5798,1398,1615,3010,99,142,240,106,121,225,3,7,16,1412,1070,2488,3016,2958,5974,1818,2019,3839,131,170,300,181,256,434,0,12,17,979,817,1798,3113,3276,6393,2172,2301,4469,181,249,435,324,458,791,3,31,40,797,632,1424,3484,3677,7159,2224,2224,4446,191,187,384,455,552,1005,28,56,83,612,367,980,3504,3395,6900,2307,2244,4549,155,185,339,541,590,1133,31,92,122,399,223,623,3432,3333,6768,2066,2071,4131,154,125,277,493,507,1001,46,108,161,228,134,358,2987,2949,5938,2003,1865,3871,96,85,184,405,435,837,49,189,235,135,89,229,2698,2660,5357,1519,1259,2774,62,49,114,230,218,451,72,282,351,78,50,126,1958,1864,3819,1094,898
50103,0,0,3,0,0,0,0,0,0,0,0,0,649,534,1180,646,537,1181,21,44,60,0,7,8,0,0,0,0,0,0,366,330,691,385,375,763,103,161,265,5,8,12,6,11,14,0,0,0,306,251,557,413,425,843,219,290,507,10,19,32,5,17,26,0,0,0,218,202,420,457,528,987,335,430,761,25,30,54,31,47,77,0,6,9,215,194,407,605,709,1310,428,499,926,25,47,68,57,82,143,6,6,12,210,151,361,726,784,1511,508,540,1053,54,48,102,82,118,205,0,25,30,201,108,306,847,850,1699,572,556,1129,41,50,93,133,150,286,9,21,32,147,77,228,904,858,1767,581,631,1203,34,33,66,170,147,316,15,33,46,121,49,163,915,893,1804,611,609,1223,46,21,65,134,124,261,31,54,85,59,25,85,877,839,1723,518,453,970,21,16,40,108,84,194,25,83,104,54,11,69,731,648,1373,373,282
50201,5,15,19,3,5,8,0,4,3,4,3,3,2826,2638,5465,2838,2655,5498,104,213,321,9,34,39,4,4,8,5,3,5,2086,2001,4086,2208,2249,4457,471,733,1206,39,74,111,12,44,57,5,7,7,1609,1350,2960,2137,2209,4344,874,1157,2024,64,108,169,55,123,183,0,0,4,989,798,1793,1982,2197,4174,1307,1478,2783,104,150,254,146,235,383,6,20,20,809,650,1455,2373,2529,4900,1494,1669,3161,145,207,353,254,380,635,19,26,46,625,484,1110,2536,2766,5299,1611,1699,3310,164,196,360,380,548,926,12,35,52,499,368,873,2674,2850,5523,1661,1815,3480,132,154,290,438,568,1005,21,77,94,328,228,563,2581,2849,5427,1690,1791,3484,114,149,263,442,520,956,36,123,156,232,130,367,2510,2708,5216,1985,2152,4133,124,111,237,474,487,962,63,198,265,125,71,200,2771,3016,5786,1907,1797,3699,107,67,170,307,347,658,108,325,431,95,42,137,2519,2584,5101,1747,1424
50301,3,0,3,3,0,3,0,0,0,0,0,0,2618,2709,5324,2619,2712,5330,18,52,70,0,6,7,0,0,0,0,0,3,2805,2512,5323,2835,2574,5407,188,328,516,5,9,19,11,8,22,0,0,0,1637,1385,3021,1836,1737,3571,580,787,1365,11,17,29,26,41,61,0,5,5,771,586,1356,1387,1434,2824,993,1278,2265,27,27,58,49,95,142,0,6,6,427,287,711,1494,1693,3187,1490,1844,3333,41,73,115,84,174,254,4,17,22,349,265,617,1966,2375,4337,1668,1854,3525,49,98,150,158,230,384,3,28,34,308,224,539,2194,2434,4628,1684,1785,3471,62,88,150,215,341,550,14,45,59,254,207,458,2233,2466,4697,1527,1552,3077,54,73,137,205,332,536,26,60,89,209,145,352,2030,2157,4188,1427,1344,2765,54,49,106,201,347,545,29,105,136,133,84,220,1847,1926,3767,1201,1040,2241,27,34,65,158,231,382,37,155,191,90,82,173,1513,1541,3054,902,728
50302,6,17,19,0,3,5,0,4,4,0,0,4,1918,2005,3923,1927,2030,3953,126,292,418,10,14,25,4,10,13,10,3,7,4029,4062,8097,4175,4387,8563,1007,1413,2424,43,58,101,37,60,93,4,7,12,5266,4385,9649,6356,5921,12271,1894,2080,3974,70,86,153,126,166,292,0,4,0,2952,2237,5185,5043,4567,9612,2027,2060,4087,102,117,218,222,260,479,0,8,16,1562,1099,2659,3917,3540,7459,1991,1906,3903,121,125,247,294,380,676,13,19,31,1132,756,1892,3550,3192,6742,1647,1681,3325,133,145,278,399,441,837,10,42,51,889,625,1517,3082,2929,6007,1611,1509,3122,169,149,321,484,497,985,26,64,94,683,473,1154,2974,2695,5673,1422,1321,2748,154,133,289,534,549,1083,31,98,133,511,348,861,2654,2460,5111,1281,1141,2424,134,97,234,479,476,955,49,155,204,356,238,591,2291,2116,4408,857,680,1529,96,63,154,304,283,592,46,186,231,257,130,384,1552,1340,2893,597,533
50401,0,7,7,0,3,6,0,0,0,0,0,0,2129,1979,4115,2137,1992,4127,104,266,366,7,19,22,4,3,16,0,0,0,2751,2339,5086,2862,2630,5492,736,1116,1849,38,45,84,21,35,59,3,5,10,2578,1938,4523,3378,3145,6524,1390,1589,2974,55,94,147,78,123,199,4,5,3,1618,1227,2843,3135,3024,6167,1682,1703,3389,93,115,214,172,244,416,3,11,14,1054,826,1879,3007,2901,5913,1605,1544,3153,113,151,261,251,323,576,14,26,34,841,641,1482,2822,2688,5514,1472,1482,2956,136,137,276,326,446,776,10,39,51,690,484,1172,2640,2593,5237,1411,1381,2788,118,134,254,397,494,891,22,84,106,511,351,860,2459,2442,4903,1374,1466,2838,114,118,228,409,490,904,25,106,132,359,232,591,2282,2416,4696,1371,1303,2672,99,85,184,395,454,853,49,178,224,232,139,368,2146,2157,4305,1065,885,1949,57,53,110,214,308,524,48,250,292,147,85,228,1529,1580,3104,877,745
50402,9,0,10,0,0,0,0,0,3,0,0,0,1582,1443,3029,1596,1444,3042,81,68,149,0,6,3,0,0,0,0,0,3,1365,959,2321,1443,1032,2479,260,293,558,10,25,36,12,19,29,0,0,0,818,511,1336,1104,854,1963,451,493,946,44,31,75,30,38,67,0,3,5,606,364,971,1129,928,2060,746,813,1562,49,56,106,62,103,164,3,3,5,476,312,791,1336,1287,2619,1001,1014,2006,70,99,164,134,184,319,0,19,17,393,287,673,1594,1588,3182,1066,1112,2177,90,103,189,160,254,418,11,24,30,296,187,482,1622,1676,3300,1071,1070,2138,85,71,156,205,275,480,8,43,47,217,119,333,1582,1577,3159,939,977,1916,52,65,116,214,235,451,23,61,88,137,78,216,1364,1427,2794,1005,957,1960,55,46,102,175,225,399,34,96,128,89,55,141,1355,1377,2729,761,626,1390,41,33,69,111,143,259,32,110,148,46,28,73,988,939,1933,510,411
50403,4,25,34,0,0,4,4,0,4,0,0,0,3999,3742,7741,4010,3771,7780,172,410,582,14,26,42,5,11,9,8,0,9,3343,3023,6360,3533,3479,7010,1004,1491,2493,49,88,137,32,53,87,5,6,9,2481,1910,4389,3569,3550,7120,1714,2232,3948,79,123,207,88,151,241,6,11,16,1467,1248,2722,3358,3767,7131,2423,2622,5039,114,212,325,175,330,503,6,18,29,1103,943,2047,3816,4125,7944,2583,2788,5372,181,246,430,342,545,888,20,46,57,911,700,1610,4025,4326,8351,2651,2607,5257,180,228,405,431,636,1062,14,60,80,626,456,1085,3902,3984,7887,2234,2222,4459,141,202,341,498,609,1102,31,102,132,441,316,758,3346,3453,6798,1954,1779,3734,143,126,271,425,553,979,42,139,183,234,166,398,2808,2754,5563,1647,1465,3107,98,119,218,355,460,825,67,219,282,165,96,260,2335,2359,4691,1226,1008,2238,52,71,124,239,295,528,59,248,307,92,34,127,1666,1653,3319,883,713
50501,9,7,14,0,0,0,3,0,5,0,0,0,6267,5957,12221,6275,5965,12242,93,216,304,0,14,18,6,9,20,3,0,10,5598,4906,10501,5709,5142,10848,730,1236,1965,36,61,89,29,45,74,3,4,7,3524,2568,6089,4319,3912,8226,1955,2533,4490,82,103,180,92,169,261,3,13,13,1828,1399,3232,3956,4219,8172,3315,3734,7047,114,155,272,212,337,550,3,22,31,1294,913,2213,4945,5165,10108,4044,4540,8593,195,292,484,442,638,1076,8,52,66,925,736,1668,5620,6264,11884,4440,4867,9305,212,286,494,552,822,1370,34,72,103,616,513,1127,5841,6553,12394,4561,4741,9300,215,273,488,557,937,1494,45,120,161,401,318,720,5786,6382,12168,4240,4141,8385,177,181,353,574,839,1412,88,198,282,250,161,409,5324,5523,10847,4038,3450,7487,112,152,258,456,728,1183,101,290,390,130,117,250,4836,4730,9569,2489,1969,4461,54,68,123,250,393,643,101,314,416,53,55,107,2954,2803,5755,1529,1194
