SA3_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
50101,36,112,336,397,225,142,54,28,8,1329,3,5,0,0,4,4,3,5,0,22,0,5,26,37,35,29,15,0,3,154,262,155,381,468,447,389,310,357,164,2945,525,904,3144,4179,3689,2914,1782,1003,317,18444,4,22,149,236,129,93,73,27,11,741,15,7,47,47,41,25,17,0,0,204,31,167,540,718,708,662,549,265,62,3692,21,104,364,435,401,355,206,87,20,1992,9,45,200,296,190,150,88,50,10,1023,28,51,333,510,470,485,355,163,50,2439,16,44,297,549,493,550,325,133,24,2422,62,149,583,782,682,502,422,143,33,3360,46,110,350,490,412,371,229,67,24,2096,12,44,163,192,136,102,68,24,19,762,20,110,435,425,338,183,128,32,15,1694,4,4,4,3,3,4,9,6,4,51,0,8,31,53,46,31,30,10,3,210,328,177,485,628,630,636,528,423,281,4123,595,1026,3993,5370,4671,4143,3033,1432,546,24809
50102,95,295,534,544,350,213,94,37,5,2168,8,3,10,9,5,7,3,0,0,49,3,16,57,95,73,46,28,10,7,333,643,492,1093,1210,1137,974,788,799,385,7534,1423,2999,7470,8218,7851,5706,2959,1576,563,38763,6,53,186,206,199,129,71,26,4,883,29,70,170,142,86,38,15,13,0,555,172,677,1879,1998,1968,1640,1074,373,101,9877,59,205,617,487,492,442,287,130,29,2751,28,69,208,274,253,181,109,46,5,1170,48,187,762,831,886,973,477,212,52,4430,29,108,573,884,968,866,430,152,30,4049,160,467,1332,1355,1302,900,496,155,42,6210,154,259,733,847,804,660,301,73,14,3856,48,86,187,161,126,93,75,37,4,814,83,261,637,578,441,289,179,45,24,2535,16,12,20,11,15,12,22,17,4,130,3,15,82,110,116,88,37,15,5,469,726,485,1198,1231,1303,1201,1132,835,435,8546,1573,2952,8583,9122,8970,7514,4699,2121,758,46287
50103,22,37,72,115,83,59,38,5,0,419,0,3,0,0,4,4,3,0,0,15,3,0,12,16,14,21,12,3,0,77,99,46,114,174,244,239,211,150,67,1345,242,395,959,1586,1849,1799,1042,366,110,8360,0,10,25,60,48,60,27,7,4,237,3,10,16,15,21,21,13,0,0,95,11,82,200,290,381,410,301,113,22,1807,13,43,86,62,91,107,97,37,3,542,15,32,103,124,131,107,76,21,5,623,4,15,105,127,181,256,165,64,14,933,5,16,106,179,209,262,179,41,7,1014,24,62,167,201,183,227,158,41,6,1072,23,43,83,155,192,192,118,26,0,840,8,15,27,47,36,54,39,8,0,232,21,40,97,127,97,72,40,13,4,499,4,3,6,0,5,8,6,3,5,30,0,3,9,11,18,12,18,3,4,85,183,96,195,248,372,400,373,280,121,2256,309,464,1221,1642,1963,2193,1609,671,191,10261
50201,88,277,486,448,371,282,208,70,18,2248,4,5,11,0,4,5,9,3,0,41,9,14,46,68,72,51,41,25,8,335,610,401,747,919,886,1016,1081,1162,529,7354,1211,2228,5035,6039,6215,5442,4507,2716,845,34240,4,48,146,151,135,112,92,25,17,718,43,88,136,139,84,64,31,10,4,587,104,450,1388,1520,1660,1540,1441,785,203,9098,51,197,532,467,561,414,419,285,68,2995,26,46,161,199,167,115,109,47,10,880,40,187,557,617,743,764,553,278,69,3811,34,127,490,708,766,760,426,230,53,3597,112,334,967,1153,1184,939,842,395,76,6003,116,319,743,772,763,651,412,132,26,3947,40,106,161,125,109,96,82,73,14,805,105,283,654,550,470,367,273,99,23,2832,13,15,4,10,9,19,36,31,8,146,8,20,71,74,104,67,60,30,7,436,472,389,874,923,1053,1062,1175,1054,547,7549,1157,2617,6883,7411,7811,6965,5956,3473,1139,43409
50301,21,67,137,142,132,100,43,34,12,682,4,6,3,0,0,3,5,3,3,32,4,31,59,74,88,78,54,31,15,429,364,341,528,468,518,497,403,406,394,3918,543,2352,5416,6518,7839,6260,3847,2130,1018,35923,5,441,563,422,507,459,311,125,62,2894,4,32,99,136,171,94,16,3,0,563,17,356,751,722,893,728,498,290,113,4358,4,98,286,240,307,229,147,78,36,1414,0,47,110,103,112,72,60,53,14,574,7,250,924,1085,1440,1216,879,522,236,6562,7,59,247,363,642,867,662,312,119,3267,50,520,1133,1687,2154,1291,839,372,149,8199,50,342,818,934,1184,989,742,304,117,5477,22,181,330,260,229,185,144,65,23,1429,26,48,142,123,139,104,74,41,18,719,12,21,6,3,3,0,7,9,3,68,5,39,62,93,111,89,54,41,12,501,248,286,606,476,609,546,462,381,266,3874,466,2721,6064,6639,8496,6877,4890,2587,1152,39903
50302,37,323,684,378,273,174,55,28,17,1978,8,21,6,17,4,11,4,7,0,76,0,56,178,129,110,66,37,11,5,598,396,949,2690,1357,1012,1015,632,672,533,9259,673,5012,18406,11619,8934,6652,3074,1664,902,56938,3,297,1091,697,557,369,197,69,23,3300,8,93,719,556,279,136,45,10,0,1844,23,480,2772,1766,1102,951,570,260,90,8011,13,173,948,512,422,323,191,109,32,2717,5,45,250,169,115,75,46,28,3,731,12,443,2341,1414,1102,959,509,256,99,7149,11,120,709,626,732,868,528,203,80,3869,60,825,4462,3088,2199,1378,710,255,92,13065,33,604,2700,1786,1273,1085,641,180,39,8347,53,468,1260,659,398,239,138,35,16,3270,41,277,919,430,334,197,113,36,21,2368,21,33,35,12,15,19,10,9,9,158,12,63,215,171,143,93,59,26,12,783,371,954,3165,1594,1157,1037,846,647,483,10246,663,4863,21572,13484,9825,7728,4602,2114,1007,65861
50401,49,270,566,413,281,213,96,36,8,1940,7,6,6,13,4,11,10,6,0,60,0,24,125,100,81,55,20,14,3,427,412,446,1004,794,802,748,666,645,354,5870,730,2973,9360,7713,6180,4914,2758,1513,635,36785,3,113,467,404,267,165,85,26,12,1544,17,75,409,379,208,83,28,0,0,1199,40,386,1688,1349,1152,1071,771,389,102,6944,25,160,659,438,329,278,216,132,26,2260,6,26,152,159,92,56,25,17,0,537,22,247,1084,766,595,505,278,126,38,3668,18,84,522,662,621,573,321,132,45,2984,76,484,2324,1889,1346,879,482,169,65,7719,62,303,1253,1136,761,726,334,79,18,4657,32,208,664,454,298,149,68,30,7,1916,51,213,670,475,324,237,163,48,15,2192,10,13,24,7,15,17,19,25,6,138,10,21,133,116,87,70,41,17,11,498,276,359,1060,824,754,725,663,609,536,5804,640,2705,11101,9050,6847,5541,3477,1803,885,42049
50402,34,103,166,205,150,103,47,24,5,841,5,0,0,0,0,0,0,0,0,7,0,9,27,35,43,33,26,9,0,184,325,403,777,772,583,502,354,266,117,4109,628,1296,2777,3924,4079,3416,1869,802,244,19033,6,31,76,160,160,119,69,23,9,661,18,26,62,78,76,45,21,7,0,329,50,239,570,679,821,790,643,235,47,4074,18,80,187,187,193,200,145,61,9,1086,12,23,71,118,125,90,35,21,5,496,14,91,247,308,422,415,274,122,23,1917,7,45,196,332,440,442,279,103,17,1866,38,147,409,547,654,509,326,92,25,2742,32,112,298,349,434,372,246,61,14,1914,13,84,114,144,122,105,67,25,4,682,32,85,221,168,179,110,91,26,13,927,7,0,4,9,3,5,8,6,0,41,3,18,33,45,67,27,23,12,8,228,238,405,976,860,746,502,439,277,158,4603,476,1383,3466,3986,4447,3735,2670,1066,333,21561
50403,110,329,649,660,412,256,91,23,9,2530,9,7,5,10,7,10,4,0,0,53,5,21,80,128,109,68,21,13,8,449,824,596,1106,1384,1248,921,792,559,319,7748,1512,3425,8664,9532,8064,5284,2684,1219,446,40826,0,140,388,331,252,158,71,16,3,1363,39,132,492,388,210,90,26,3,0,1376,128,806,2486,2344,2351,1745,926,356,70,11219,54,276,748,560,516,370,278,115,17,2936,21,68,217,218,165,105,57,22,9,880,43,330,1177,1016,876,630,295,134,35,4529,30,179,822,903,876,672,290,104,21,3899,162,703,2719,2434,1811,1093,485,179,31,9604,123,505,1459,1417,1100,705,321,71,13,5717,64,232,487,323,211,131,74,16,8,1549,149,408,1130,815,586,358,154,54,8,3662,19,14,27,27,20,17,16,29,0,174,7,46,197,159,140,93,48,21,3,717,706,768,1669,1591,1479,1083,841,629,390,9167,1546,4618,14025,12519,10592,7241,3893,1736,616,56790
50501,136,484,749,912,769,477,183,68,24,3798,13,12,7,11,13,12,11,4,5,88,9,32,100,132,158,124,45,24,11,634,790,594,953,1082,1255,1100,770,843,434,7822,1770,5389,11729,15792,16619,12355,5176,2397,855,72078,9,258,482,639,580,447,241,68,13,2740,32,130,384,560,479,232,68,8,0,1893,112,798,2148,2697,3122,3064,1946,655,176,14717,77,420,1227,1167,1207,922,535,223,41,5810,11,73,256,285,252,141,63,28,15,1120,59,533,1468,1709,1957,1526,757,268,88,8363,46,270,975,1578,1832,1774,874,258,83,7681,186,760,2411,3568,3623,2575,1524,428,137,15220,185,594,1422,1701,1565,1254,634,122,44,7515,110,338,561,511,334,232,166,54,23,2330,117,328,773,762,824,551,314,75,23,3789,23,18,12,13,22,20,18,22,8,162,6,49,116,155,214,129,90,44,13,812,548,451,943,1082,1089,1051,838,591,411,7008,1520,5015,13173,16432,17100,13930,8063,2836,1065,79139
