SA3_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
50101,51,88,1332,50256,3130,357,55,3543,3531,57332
50102,147,282,2133,92765,7510,824,101,8439,6349,107549
50103,45,33,508,20901,1040,133,14,1191,1768,23863
50201,140,419,3095,94318,6576,566,68,7207,6114,107641
50301,199,210,2184,58567,9748,772,94,10609,2557,71735
50302,667,160,2226,77482,23947,2787,260,26993,6050,110530
50401,528,175,1949,59632,17765,3322,232,21312,3516,84462
50402,87,136,870,36855,2820,257,28,3104,3834,43792
50403,306,180,1678,105946,30583,4746,368,35695,6679,148324
50501,331,168,2794,138390,16180,1487,169,17830,4420,160641
50502,1439,365,5514,140207,49865,8268,592,58730,9208,208149
50503,407,268,2616,155783,37753,6386,388,44531,8187,208506
50601,134,114,1006,66921,20153,2276,309,22739,4528,94184
50602,278,160,1318,48899,18979,2619,263,21859,4548,75312
50603,368,318,2191,52839,36492,5416,418,42327,3973,99139
50604,313,236,1869,73536,38522,7009,470,46002,6840,126376
50605,138,89,1292,48865,6771,743,99,7617,2274,58762
50606,22,13,249,26955,3296,296,40,3628,1660,32242
50607,147,207,1233,32350,8117,889,109,9117,1988,43448
50701,515,163,1782,85716,22338,2972,283,25591,4518,115824
50702,322,128,1107,32872,4211,577,46,4835,2207,39910
50703,40,21,416,32453,8980,909,146,10036,3374,45867
50704,470,277,3363,80696,19714,2205,170,22086,3347,106127
50705,111,306,2083,116738,10449,1022,134,11606,7340,135678
50901,75,156,1644,53100,3606,630,40,4277,4503,61880
50902,54,158,1196,47076,2509,285,69,2856,6002,55937
50903,20,68,471,16411,875,76,17,968,1983,19357
51001,32,33,139,22253,6791,672,201,7658,5177,35092
51002,11,4,39,16293,4181,333,55,4569,4580,25443
51003,6,5,19,20757,3487,234,60,3779,5055,29594
51101,4,18,315,13572,750,53,8,809,1591,15970
51102,11,13,90,7157,831,175,22,1028,1353,9537
51103,25,36,236,27246,5391,410,80,5881,5133,38267
51104,54,193,1108,44652,3490,352,53,3896,6437,54981
59797,0,0,0,232,59,3,0,68,219,514
59999,0,18,30,4079,497,56,9,562,3411,8055
