SA3_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
50101,485,2612,2903,5521,48,59,106,3137,3438,6576,322,278,598,3507,3775,7273,75,102,176,3025,3135,6156,319,253,576,3419,3490,6903,103,121,229,2770,3074,5840,286,274,565,3159,3469,6625,166,145,308,2353,2369,4721,224,226,453,2743,2740,5480,129,210,341,1008,1071,2085,127,155,279,1264,1436,2705,135,279,413,244,298,541,48,77,118,427,654,1072,874,1026,1901,21986,22830,44821,2130,2019,4146,24990,25875,50875,15,17,31,1404,1384,2791,103,88,187,1522,1489,3016,175,77,257,3678,3553,7228,247,275,523,4100,3905,8006,57,37,97,1476,1335,2814,86,82,165,1619,1454,3074,35,16,56,912,772,1678,54,61,118,1001,849,1856,53,50,96,2374,2589,4968,271,202,471,2698,2841,5544,60,69,131,3216,3871,7088,340,255,599,3616,4195,7816,77,88,171,3490,3749,7232,371,231,601,3938,4068,8001,128,129,256,3212,3653,6864,238,200,443,3578,3982,7556,211,194,410,3222,3394,6613,203,197,404,3636,3785,7420,240,303,541,1475
50102,1094,6036,6422,12446,130,126,256,5731,6110,11844,654,494,1143,6515,6730,13241,203,206,411,6269,6609,12878,639,538,1174,7111,7353,14458,321,310,631,5547,5877,11424,577,527,1105,6445,6714,13154,408,358,766,3955,4035,7988,455,427,880,4818,4820,9629,360,522,882,1593,1769,3360,239,284,513,2192,2575,4757,276,542,815,325,433,759,75,143,220,676,1118,1791,2319,2405,4724,44049,45483,89529,4441,3946,8390,50809,51834,102642,45,30,76,2964,2740,5703,158,160,325,3167,2930,6104,437,208,643,6812,6451,13261,369,348,716,7618,7007,14629,174,81,255,2996,3044,6044,174,166,342,3344,3291,6638,100,80,177,2385,2319,4700,216,152,365,2701,2551,5246,155,145,298,5293,5838,11134,622,365,986,6070,6348,12419,134,157,293,5923,6454,12378,655,326,974,6712,6937,13649,205,243,445,6124,6745,12863,652,363,1013,6981,7351,14325,366,370,736,6123,6608,12732,517,349,867,7006,7327,14330,485,492,975,5100,5220,10324,371,310,680,5956,6022,11985,483,576,1060,2213
50103,169,910,976,1888,32,25,57,1072,1180,2258,115,102,217,1219,1307,2526,51,58,109,1452,1543,2989,154,165,317,1657,1766,3418,91,82,168,1634,1695,3333,177,173,345,1902,1950,3851,100,74,173,1382,1259,2642,148,127,279,1630,1460,3095,82,124,213,547,462,1004,72,94,169,701,680,1384,54,117,174,102,105,210,23,48,67,179,270,449,511,566,1076,9853,9834,19687,1013,1042,2048,11377,11442,22813,12,6,17,520,524,1048,34,19,57,566,549,1116,74,39,114,1275,1204,2474,123,115,234,1472,1358,2822,28,25,50,547,548,1096,42,59,105,617,632,1248,18,10,29,420,338,756,38,29,64,476,377,851,21,29,53,868,924,1792,93,67,162,982,1020,2006,27,34,61,1068,1214,2280,116,113,228,1211,1361,2569,49,61,110,1364,1420,2782,186,138,327,1599,1619,3216,82,99,183,1704,1816,3520,139,142,287,1925,2057,3989,105,123,234,1648,1553,3201,142,111,247,1895,1787,3684,139,158,297,727
50201,786,4969,5380,10361,124,128,254,4754,5268,10016,452,385,839,5330,5781,11111,191,246,442,5414,5804,11220,504,423,927,6109,6473,12582,326,388,711,5019,5711,10732,471,483,950,5816,6582,12390,514,435,947,4972,5354,10328,461,441,903,5947,6230,12174,552,648,1196,2627,2774,5401,280,319,597,3459,3741,7192,349,640,990,565,630,1192,111,116,233,1025,1386,2418,2650,2829,5476,40921,43441,84359,3577,3326,6900,47148,49596,96738,57,33,91,2637,2650,5283,175,121,295,2869,2804,5672,407,198,610,5841,5973,11811,353,389,737,6601,6560,13159,156,86,242,2700,2719,5418,152,165,323,3008,2970,5986,100,63,166,2329,2461,4783,188,161,352,2617,2685,5306,154,137,286,4587,5252,9840,435,321,761,5176,5710,10886,164,173,340,4961,5743,10706,528,336,860,5653,6252,11904,228,289,513,5541,6198,11741,547,352,896,6316,6839,13147,385,433,813,5936,6791,12726,444,344,791,6765,7568,14327,611,651,1260,6174,6770,12948,388,315,694,7173,7736,14903,732,788,1521,3506
50301,598,3485,3478,6968,27,34,63,3208,3700,6910,241,208,452,3476,3942,7428,52,43,97,4211,4734,8952,313,274,586,4576,5051,9633,69,98,167,3626,3885,7511,290,274,564,3985,4257,8240,116,117,232,2770,3000,5766,219,235,457,3105,3352,6458,141,253,395,1401,1613,3014,141,191,332,1683,2057,3743,219,532,746,397,605,1001,60,141,204,676,1278,1952,830,1225,2045,29995,31403,61395,2102,2082,4192,32927,34710,67637,13,9,32,1454,1374,2832,51,32,86,1518,1415,2941,121,64,184,4642,4402,9046,117,124,240,4880,4590,9464,38,38,74,2838,2838,5678,90,108,201,2966,2984,5947,25,29,60,2505,2452,4956,93,112,210,2623,2593,5224,43,54,103,3223,3199,6425,213,159,380,3479,3412,6900,57,42,93,3343,3974,7323,185,131,313,3585,4147,7729,61,54,118,4514,5029,9536,175,143,321,4750,5226,9973,92,105,199,4005,4337,8338,175,156,331,4272,4598,8870,138,137,277,3288,3606,6896,172,170,347,3598,3913,7515,226,322,545,2002
50302,3062,12729,12460,25188,70,75,147,7091,6789,13881,830,722,1555,7991,7586,15585,129,111,239,5500,5417,10916,611,480,1088,6240,6008,12247,176,185,358,4588,4525,9118,503,448,947,5267,5158,10418,275,261,532,2892,2806,5696,374,319,694,3541,3386,6925,329,533,859,1127,1348,2479,181,201,384,1637,2082,3723,291,743,1031,304,460,761,74,134,209,669,1337,2010,1526,2124,3648,43946,44004,87950,5219,4856,10070,50691,50984,101670,21,13,35,2593,2391,4986,101,100,195,2715,2504,5222,154,74,234,4632,4574,9205,168,166,331,4954,4814,9772,44,40,85,1951,2043,3991,68,84,156,2063,2167,4225,43,63,112,3371,3986,7359,288,284,576,3702,4333,8043,111,98,209,10926,11395,22322,1035,763,1792,12072,12256,24325,85,89,171,8890,8292,17186,668,447,1122,9643,8828,18480,119,131,259,6213,6125,12333,483,293,786,6815,6549,13375,150,208,358,5296,5245,10540,412,271,676,5858,5724,11574,270,294,562,3857,3940,7796,288,251,541,4415,4485,8897,368,534,907,1567
50401,962,7043,7167,14212,96,95,193,5483,5483,10964,421,339,755,6000,5917,11909,138,155,294,4782,4626,9409,349,332,682,5269,5113,10384,207,225,436,3951,4226,8175,316,297,613,4474,4748,9224,230,295,527,2801,2960,5764,231,262,487,3262,3517,6781,314,519,831,1330,1476,2806,149,200,354,1793,2195,3991,270,627,897,290,362,654,81,173,255,641,1162,1809,1576,2129,3704,35698,35705,71409,2668,2661,5331,39942,40495,80443,42,22,68,2444,2312,4753,104,99,197,2590,2433,5021,201,91,288,4155,3890,8048,223,163,390,4579,4144,8733,77,48,128,1838,1742,3576,86,76,158,2001,1866,3865,52,51,102,2357,2278,4635,141,100,242,2550,2429,4982,113,116,227,6252,6486,12740,408,318,724,6773,6920,13689,109,121,233,5992,6039,12039,367,295,665,6468,6455,12929,180,167,345,4900,5073,9972,295,221,513,5375,5461,10831,215,275,492,4293,4487,8785,268,174,439,4776,4936,9712,287,361,648,3375,3794,7167,166,144,308,3828,4299,8133,396,600,994,1624
50402,927,2694,2066,4762,41,44,85,2101,2370,4467,688,142,832,2830,2556,5384,45,79,126,2823,2980,5798,475,192,672,3343,3251,6595,100,86,187,2512,2596,5102,293,151,445,2905,2833,5730,138,123,256,1871,1910,3780,185,176,358,2194,2209,4394,152,175,324,707,754,1464,94,72,163,953,1001,1955,99,200,297,149,158,308,35,50,79,283,408,681,798,834,1637,17858,18144,35999,3193,1205,4398,21849,20183,42035,18,13,32,1054,1004,2058,49,35,89,1121,1052,2177,152,65,218,2444,2325,4772,135,117,249,2731,2507,5232,64,47,117,1226,1163,2389,81,53,130,1371,1263,2630,26,20,45,1070,936,2006,230,47,280,1326,1003,2331,64,45,110,1926,1995,3922,777,118,892,2767,2158,4921,52,54,106,2147,2436,4584,730,109,845,2929,2599,5532,70,68,135,2603,2860,5459,503,122,625,3176,3050,6223,105,102,209,2717,2855,5567,320,119,439,3142,3076,6220,134,155,294,2165,2286,4450,148,98,248,2447,2539,4995,185,238,421,1007
50403,1575,9929,10471,20400,138,162,303,8251,8746,17000,655,750,1405,9044,9658,18701,233,225,459,7877,8143,16018,674,638,1310,8784,9006,17794,275,353,626,5652,5822,11470,504,441,943,6431,6616,13044,331,332,665,3213,3384,6596,315,327,649,3859,4043,7908,274,420,692,1281,1267,2548,180,227,403,1735,1914,3640,171,321,487,230,277,501,91,203,290,492,801,1279,2282,2278,4560,56916,57580,114500,4604,4875,9483,63802,64733,128540,116,56,171,5330,4956,10286,256,247,500,5702,5259,10956,623,278,900,9911,9573,19484,528,483,1009,11062,10334,21396,213,120,331,4464,4130,8598,203,191,394,4880,4441,9326,138,86,223,4330,4229,8554,237,244,474,4705,4559,9260,202,164,372,9919,10982,20900,692,668,1365,10813,11814,22634,187,213,403,10218,10431,20649,687,541,1226,11092,11185,22281,263,303,566,8484,9096,17579,634,456,1090,9381,9855,19239,386,457,839,7104,7492,14600,448,316,764,7938,8265,16210,435,507,942,4412,4592,9007,221,235,459,5068,5334,10400,442,661,1103,1771
50501,865,8836,8486,17317,100,130,234,9405,10185,19589,551,450,995,10056,10765,20808,151,192,338,10681,11529,22212,516,471,985,11348,12192,23532,228,286,508,9429,10017,19448,523,469,990,10180,10772,20946,371,337,710,6224,6229,12451,338,367,715,6933,6933,13866,327,592,920,2060,2340,4403,134,205,340,2521,3137,5666,318,826,1143,473,592,1062,71,123,193,862,1541,2405,2246,2814,5060,70858,71937,142798,3577,3294,6870,76681,78045,154728,55,31,88,4267,4027,8298,93,104,198,4415,4162,8584,496,241,733,10263,9840,20100,265,291,548,11024,10372,21390,154,115,267,5064,4727,9787,146,111,259,5364,4953,10317,125,76,196,4519,4030,8550,182,121,304,4826,4227,9052,149,113,266,7575,7856,15430,393,301,700,8117,8270,16389,111,141,254,9820,10551,20379,519,297,812,10450,10989,21444,167,173,343,10531,11139,21671,528,294,820,11226,11606,22833,234,321,558,9767,10748,20515,434,296,730,10435,11365,21801,430,506,929,8133,8540,16669,287,271,561,8850,9317,18157,508,766,1274,3094
