SA3_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
50101,0,3,63,73,45,51,33,12,5,290,8,14,20,28,19,14,3,0,0,101,31,106,368,544,566,498,324,136,37,2609,22,120,261,339,342,230,126,76,11,1531,4,23,165,149,106,73,57,30,0,605,0,6,41,85,70,56,41,17,3,318,7,3,32,76,106,130,70,26,3,453,14,23,126,205,178,165,106,30,10,858,3,14,46,73,66,63,36,23,3,329,3,11,38,44,36,23,16,5,0,179,9,29,134,178,96,51,15,20,0,534,0,3,0,0,0,4,0,0,0,9,0,0,12,14,15,19,12,0,3,80,150,95,214,268,238,214,144,147,51,1521,253,449,1525,2088,1882,1585,987,520,127,9422,4,8,76,118,74,63,62,21,7,428,10,6,33,27,30,14,11,0,0,136,31,155,496,672,681,645,540,253,58,3524,19,98,335,394,375,342,194,85,20,1869,7,20,122,204,140,106,68,40,10,717
50102,3,13,64,84,89,65,36,5,0,360,32,53,116,58,40,14,5,0,0,320,133,692,1669,1845,1863,1334,692,245,60,8532,73,292,487,391,520,395,212,79,15,2465,20,52,129,131,174,102,54,19,3,677,3,11,101,149,195,116,56,29,6,657,0,7,79,117,171,195,76,20,4,674,18,81,238,361,333,251,107,31,10,1443,19,41,97,129,132,121,48,29,3,624,8,28,48,33,32,24,19,3,0,188,25,69,181,191,143,99,49,19,4,771,4,0,0,5,3,3,0,0,0,21,3,7,33,58,45,34,18,4,4,203,367,308,698,727,681,556,394,321,147,4191,720,1638,3933,4295,4418,3315,1756,814,245,21141,0,22,66,84,96,80,62,23,0,428,22,67,123,93,51,25,8,9,0,396,158,637,1735,1876,1877,1599,1040,359,85,9363,60,187,564,442,452,427,283,130,29,2578,19,39,125,173,167,151,97,39,7,814
50103,0,5,11,14,17,26,12,0,0,92,5,3,10,16,11,12,0,0,0,60,33,67,145,268,373,340,227,66,13,1541,12,34,60,71,100,95,69,22,5,467,9,26,45,80,90,71,39,13,4,378,0,4,11,33,26,38,17,4,0,132,0,4,15,30,58,72,34,3,0,214,4,7,23,68,52,71,47,9,3,285,0,0,17,27,24,37,25,9,0,140,0,0,7,14,17,26,9,4,0,83,7,7,23,44,38,23,15,3,0,161,0,0,0,0,0,0,0,0,0,4,3,0,0,9,6,14,11,3,0,46,59,31,59,93,148,136,115,69,20,734,130,199,421,760,981,953,619,204,54,4329,0,0,9,22,23,40,19,7,0,122,3,7,14,10,9,13,4,0,0,54,13,74,195,273,363,395,290,115,20,1736,13,41,76,59,80,104,93,35,3,514,8,20,55,75,94,86,62,24,10,429
50201,3,15,34,43,50,44,34,15,4,237,26,61,100,58,51,25,8,5,0,332,91,386,922,1234,1369,1252,1068,484,89,6894,66,201,342,405,426,355,400,207,36,2440,8,17,106,103,82,77,75,30,5,506,10,3,62,89,132,111,64,29,5,514,0,8,49,75,128,158,94,57,8,580,25,58,156,233,262,279,249,105,14,1385,9,41,97,98,112,119,77,40,6,608,14,14,31,30,31,33,30,13,3,198,19,50,155,144,152,90,79,24,8,728,0,0,0,0,4,0,3,0,0,20,5,7,26,47,52,34,32,19,8,231,340,236,434,523,512,551,538,505,211,3842,620,1108,2529,3084,3364,3127,2751,1538,403,18522,0,18,51,56,57,63,70,12,13,345,32,74,98,101,62,42,24,5,4,435,96,425,1314,1435,1607,1490,1400,746,184,8695,50,190,501,433,542,400,417,279,67,2876,23,27,89,118,115,81,100,43,13,609
50301,0,87,216,175,310,265,163,73,26,1315,7,33,125,67,88,38,14,0,0,376,18,218,538,564,795,668,395,208,77,3475,12,92,148,148,194,190,122,69,22,992,0,20,72,68,61,49,63,37,13,379,3,54,233,379,475,382,294,152,42,2015,0,12,48,57,126,142,98,46,15,546,15,214,524,797,960,667,389,148,68,3770,12,126,267,351,439,404,251,102,35,1974,11,63,111,51,67,57,23,11,5,395,8,22,58,37,46,34,14,10,0,230,4,3,0,0,0,0,0,3,0,15,5,10,26,28,35,25,17,12,7,158,217,200,305,256,264,266,205,156,97,1970,314,1157,2668,2984,3847,3188,2043,1023,402,17622,0,181,279,213,296,289,218,86,39,1597,7,25,79,97,105,65,12,3,0,394,12,294,633,593,777,681,480,270,101,3846,6,66,196,169,219,182,118,75,32,1062,3,23,51,61,62,52,49,47,9,364
50302,0,102,549,395,312,233,95,29,5,1717,13,97,587,307,171,66,17,0,0,1254,23,439,2035,1247,1102,865,404,173,63,6362,18,209,622,357,331,290,159,63,23,2073,0,26,140,91,67,49,42,10,4,436,0,73,525,398,305,183,97,37,10,1630,0,26,151,146,192,207,88,21,10,849,17,357,1647,1245,885,578,239,88,26,5088,17,183,780,593,480,419,176,56,17,2723,22,194,471,232,159,111,41,17,0,1239,10,122,318,171,137,82,24,9,3,880,0,5,5,5,0,5,0,0,0,35,0,30,89,54,57,36,14,7,7,293,229,511,1545,826,574,561,314,271,139,4974,357,2380,9455,6087,4782,3676,1716,785,310,29555,0,124,561,378,319,235,152,47,15,1837,5,74,556,431,204,92,30,0,0,1396,21,391,2310,1472,998,895,547,230,76,6935,13,118,698,359,332,285,172,108,30,2117,3,25,132,100,72,52,37,21,3,455
50401,0,36,177,184,132,86,35,10,4,667,15,64,383,229,117,47,8,0,0,855,42,393,1257,1157,1112,1032,579,272,88,5935,23,157,393,318,274,276,209,97,26,1779,10,23,79,74,63,40,22,11,0,310,0,40,190,157,111,99,37,25,3,664,3,23,104,129,154,105,79,32,12,627,12,214,780,624,442,316,147,52,16,2602,16,89,312,344,233,191,76,25,5,1298,15,92,216,172,88,74,19,8,8,684,13,98,236,186,121,90,51,23,6,822,0,4,3,9,0,3,4,0,0,20,0,10,56,41,51,30,7,13,0,208,231,268,606,457,446,399,319,273,119,3121,368,1521,4778,4068,3348,2783,1603,832,294,19607,0,41,204,186,159,95,57,19,3,762,14,60,300,296,169,56,11,0,0,909,37,354,1504,1224,1084,1008,723,352,87,6389,21,128,562,382,294,266,210,132,21,2024,0,17,78,94,66,44,22,16,0,346
50402,0,8,27,72,88,74,44,11,0,334,19,25,62,61,49,27,7,0,0,253,48,193,420,688,848,742,449,149,29,3568,23,83,127,152,194,185,106,44,6,927,3,20,42,66,54,44,19,13,0,252,0,13,21,51,63,49,34,12,0,254,0,3,22,55,81,112,65,23,5,368,3,34,73,186,224,168,80,30,3,810,14,36,47,90,110,98,63,22,10,488,12,24,40,40,48,41,16,6,0,223,8,25,46,59,56,38,18,16,0,265,0,0,0,0,0,0,0,0,0,0,0,3,12,24,27,27,18,7,0,118,186,334,671,589,381,272,180,119,31,2769,325,801,1616,2127,2218,1884,1098,460,102,10632,0,16,38,53,91,82,52,21,3,357,15,23,47,55,58,28,13,0,0,256,43,226,528,640,781,763,629,221,42,3873,20,70,176,161,182,196,147,55,11,1016,5,15,32,62,71,58,27,19,0,287
50403,0,20,80,111,90,70,22,11,3,408,31,87,276,182,102,37,8,0,0,726,114,591,1455,1893,1840,1260,596,208,40,8002,51,225,376,403,396,321,175,57,8,2023,4,31,93,109,88,52,31,5,0,417,0,29,118,127,112,78,42,19,3,528,6,18,99,101,127,112,69,23,9,559,33,156,492,542,508,279,106,44,12,2171,15,84,231,260,201,174,74,16,7,1060,33,66,153,82,53,55,15,5,0,468,20,60,212,222,185,114,49,15,0,889,3,5,3,5,4,3,3,3,0,28,3,11,41,87,81,41,14,10,0,282,429,308,562,703,679,471,375,248,105,3879,744,1693,4197,4838,4465,3076,1581,656,188,21451,0,52,173,148,128,91,48,16,0,651,27,102,368,310,153,59,12,3,0,1035,122,750,2318,2185,2234,1664,880,317,66,10528,51,250,677,503,485,356,269,115,17,2728,12,25,116,131,102,72,45,18,10,532
50501,0,92,189,316,341,267,104,34,3,1350,56,129,371,404,276,129,18,0,0,1387,129,773,1717,2573,3318,2862,1262,416,119,13165,107,490,805,1036,1077,837,349,143,30,4878,14,57,158,163,159,88,42,19,5,698,7,91,232,339,364,223,101,34,12,1396,6,39,146,285,381,400,193,74,15,1549,50,313,752,1281,1375,1168,429,128,36,5532,61,195,374,413,415,361,154,42,8,2023,42,143,220,171,96,112,45,11,4,835,16,102,222,271,284,158,70,29,7,1167,8,8,0,3,5,4,0,3,0,30,0,21,51,62,97,72,27,17,5,364,422,360,568,611,679,597,371,339,146,4084,919,2805,5811,7936,8864,7279,3170,1292,388,38464,9,108,205,308,319,301,182,48,9,1490,31,120,321,444,361,177,53,8,0,1510,109,750,1995,2517,2990,2960,1889,618,153,13976,71,377,1115,1051,1124,892,521,221,41,5414,6,38,173,171,176,116,56,28,15,765
