SA3_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
50101,121,80,22,7,230,132,98,24,3,253,285,144,55,15,496,125,84,20,3,234,84,58,17,6,161,41,21,4,0,69,19,11,11,0,39,17,18,3,0,34,88,74,34,9,192,14,10,0,0,22,1111,705,218,47,2085
50102,197,168,61,18,448,328,136,51,26,544,582,299,92,35,1009,312,152,48,18,535,216,132,39,11,398,96,44,18,10,167,74,50,19,3,142,37,24,10,0,78,193,144,61,28,417,40,16,0,3,65,2586,1465,499,207,4762
50103,50,28,8,0,88,70,18,3,7,90,84,50,12,5,149,39,24,9,0,74,22,18,0,0,44,13,3,0,0,13,8,9,0,0,17,10,4,3,0,10,52,22,8,0,78,8,0,3,0,12,447,209,71,26,744
50201,244,169,77,28,511,328,138,75,38,578,589,292,94,45,1010,314,160,39,22,537,202,125,42,13,378,93,56,16,13,184,78,58,13,10,155,54,41,13,5,116,190,126,60,26,409,45,22,5,3,69,2728,1548,539,239,5062
50301,33,22,4,0,59,81,39,8,4,129,160,86,24,3,276,137,79,21,0,242,119,91,17,0,228,76,31,7,0,111,59,51,21,0,130,147,119,40,11,322,73,78,23,4,180,5,4,0,0,9,1039,668,194,38,1938
50302,123,39,7,8,174,153,50,9,0,210,331,139,20,3,497,286,140,23,8,455,250,105,19,0,372,91,35,6,0,128,121,55,15,0,189,173,108,29,7,313,116,64,26,3,217,8,10,0,0,21,1923,831,181,28,2967
50401,173,75,30,8,282,226,79,30,9,339,435,200,42,10,697,307,142,33,10,489,228,109,24,5,368,128,35,10,5,181,98,62,12,0,177,52,37,11,4,104,128,82,32,10,258,26,12,0,0,35,2162,1001,267,94,3519
50402,62,29,13,0,109,97,42,15,15,156,176,98,39,7,324,132,69,12,3,218,122,53,23,4,199,53,21,8,3,89,51,27,13,3,95,27,24,8,0,59,71,65,11,12,166,16,5,0,0,25,967,527,162,52,1709
50403,283,159,89,41,575,390,222,69,41,722,827,457,147,59,1491,522,285,94,34,929,399,244,64,28,734,187,108,35,11,348,121,91,30,15,262,70,45,20,4,142,184,167,76,38,466,45,38,10,5,91,3642,2163,767,335,6910
50501,163,123,30,6,332,272,135,48,8,459,670,387,87,24,1174,497,279,65,20,869,409,258,70,16,754,174,101,27,8,303,187,151,26,4,368,126,138,31,4,298,221,193,84,13,510,26,16,11,0,48,3175,2017,550,125,5869
50502,364,161,45,18,587,547,191,64,18,829,1078,435,100,26,1644,723,354,67,30,1174,583,268,65,12,924,256,109,26,4,397,194,131,31,12,363,171,149,48,5,371,277,228,69,30,602,62,27,6,7,100,5093,2439,612,212,8347
50503,403,288,109,45,837,547,289,102,61,998,1129,638,189,96,2047,779,436,116,43,1375,520,371,85,42,1018,221,150,52,27,448,173,155,37,27,400,77,86,33,19,212,304,279,106,60,748,66,34,11,12,122,5101,3279,1023,505,9903
50601,169,123,50,27,367,249,112,51,38,459,561,258,96,41,959,339,160,40,26,571,211,131,29,15,389,99,48,10,9,167,60,54,24,10,143,26,46,10,9,89,127,91,57,10,283,41,23,5,0,68,2349,1283,456,229,4319
50602,119,71,21,8,223,190,52,13,10,267,359,134,33,8,527,232,100,27,6,360,192,85,19,0,295,84,30,10,5,128,77,43,11,3,137,64,36,12,0,108,71,74,25,13,177,32,8,0,0,40,1719,749,205,75,2748
50603,124,67,26,8,224,192,79,25,9,306,378,209,66,23,680,243,160,25,11,436,215,115,33,5,370,100,52,18,5,170,75,71,14,0,169,55,57,8,8,131,128,101,52,14,292,23,9,3,4,39,1842,1073,324,123,3365
50604,240,132,57,33,454,346,117,56,24,544,640,324,115,38,1119,402,196,51,15,672,295,166,47,14,530,127,66,32,9,239,96,101,32,7,237,38,41,17,12,108,169,132,44,35,381,48,26,3,7,86,2958,1624,593,252,5425
50605,72,60,25,12,165,109,59,29,0,197,295,148,42,25,512,202,97,32,18,342,144,101,27,3,281,70,38,5,5,123,63,40,14,3,121,43,29,7,0,80,104,66,31,10,219,18,11,3,0,24,1300,757,245,106,2415
50606,49,33,22,9,110,47,42,28,11,122,137,76,27,11,253,63,50,14,7,140,63,29,7,6,110,28,19,9,4,58,17,27,4,0,47,19,7,3,4,26,34,29,15,8,85,17,0,0,6,20,583,382,152,66,1179
50607,57,15,8,3,80,63,19,3,5,88,162,47,14,8,230,133,55,3,0,192,101,40,10,0,155,36,20,0,0,58,37,26,3,0,72,60,41,4,0,111,59,33,12,0,111,16,0,3,0,18,857,357,87,24,1329
50701,202,98,26,13,351,286,143,46,21,493,565,312,89,27,985,410,245,62,14,732,310,181,41,17,553,146,72,23,6,246,114,114,23,3,253,56,69,19,4,148,167,146,57,22,385,34,11,10,3,53,2749,1625,452,144,4971
50702,70,16,4,0,94,102,21,7,3,132,163,77,21,5,265,133,80,17,0,234,98,46,5,6,157,49,17,0,0,69,52,26,9,0,87,62,40,3,0,100,61,45,20,3,128,10,0,6,0,15,961,444,108,23,1538
50703,102,66,31,15,213,139,71,20,19,248,287,123,58,26,496,177,78,24,13,297,98,56,9,4,178,39,27,4,0,77,31,26,4,0,66,16,13,3,5,36,77,48,31,13,169,25,12,4,0,39,1250,652,252,126,2287
50704,131,61,12,4,212,178,79,17,4,284,417,176,56,8,662,314,149,25,4,495,301,154,33,3,494,110,71,22,0,203,124,92,20,6,244,124,116,20,5,265,116,106,55,10,290,25,10,3,0,45,2172,1166,326,70,3737
50705,252,228,92,32,608,380,204,97,33,712,692,425,144,65,1315,442,302,86,21,859,272,189,52,24,541,143,85,29,11,269,100,86,32,12,226,56,56,19,9,138,211,159,70,41,482,71,33,12,0,113,3280,2170,808,294,6551
50901,111,85,29,19,240,152,63,20,17,250,293,143,41,23,499,132,98,36,7,277,88,40,16,7,152,35,17,4,0,58,26,17,3,0,55,16,5,5,0,26,88,74,23,17,201,25,8,4,3,36,1241,708,235,111,2293
50902,83,43,22,15,163,128,58,23,15,225,214,99,36,15,369,112,56,13,18,194,77,30,12,0,119,35,14,3,0,56,33,6,0,0,43,23,11,6,0,39,85,51,23,14,170,38,13,7,3,65,1047,488,191,108,1833
50903,27,26,12,4,66,49,6,10,4,66,69,23,11,5,108,29,11,9,3,56,29,14,0,0,44,16,0,4,0,18,9,4,0,0,18,6,6,0,0,12,29,15,12,8,62,11,0,0,4,10,338,138,71,33,586
51001,73,53,23,15,156,73,38,24,16,153,135,73,31,24,266,71,64,25,6,163,60,42,15,12,129,21,9,0,3,40,26,12,4,0,37,15,8,0,0,25,60,47,44,32,184,51,33,10,9,104,878,521,261,166,1827
51002,22,12,3,4,40,15,9,5,4,35,42,31,16,11,98,55,34,12,0,105,46,20,4,5,79,16,4,0,0,28,31,15,8,4,51,21,13,5,0,37,8,15,16,4,41,18,9,3,0,30,359,206,94,36,693
51003,18,8,0,0,27,15,9,8,3,34,46,21,10,4,79,48,36,14,7,102,47,32,4,0,80,14,4,4,0,23,30,24,3,0,60,16,22,8,0,45,17,15,5,0,42,5,3,0,0,13,300,196,78,32,603
51101,25,7,3,0,36,41,12,8,4,61,46,28,5,9,90,26,14,9,3,54,34,9,4,4,48,13,4,0,0,20,7,4,0,0,16,3,5,0,0,11,36,16,6,0,61,9,0,3,0,17,311,150,50,31,547
51102,16,3,3,0,26,17,10,0,0,32,32,20,6,3,56,22,8,3,0,29,19,0,0,0,23,14,3,0,0,16,7,0,0,0,5,0,0,0,0,4,15,9,4,3,31,7,3,0,0,12,178,88,36,14,311
51103,66,23,10,6,107,71,23,10,9,116,108,62,23,12,210,88,51,18,7,166,92,41,15,4,147,46,8,3,4,62,55,13,6,7,82,35,24,7,0,67,34,49,22,10,116,35,12,4,10,59,763,395,141,90,1385
51104,103,63,30,9,208,138,63,21,23,245,220,117,50,27,410,150,92,21,8,271,94,48,12,9,170,52,24,4,3,87,37,27,5,7,79,20,14,0,0,34,97,60,30,6,196,29,9,6,5,47,1215,674,252,132,2277
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
