SA3_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
50101,19,4,0,6,23,96,24,10,0,133,206,17,312,672,21,14,9,0,40,25,7,32,104,6812,6099,2040,116,15066,5150,623,1872,22716
50102,17,12,3,15,42,113,21,15,4,156,245,7,364,770,16,16,0,0,33,44,0,22,101,11939,11624,4629,336,28531,10384,1065,2335,42309
50103,6,3,0,0,13,23,12,0,0,36,28,4,84,152,10,4,3,0,20,31,0,34,87,3335,2189,731,69,6326,2625,189,910,10060
50201,0,9,0,12,20,102,12,14,3,132,273,4,134,548,14,0,7,0,21,24,0,15,59,13452,10582,4930,349,29308,11472,957,1857,43597
50301,0,0,3,0,5,0,0,0,0,0,0,3,5,9,0,3,0,0,8,7,0,6,22,6960,9153,1917,220,18258,6236,964,902,26355
50302,37,25,8,9,82,19,10,7,0,37,27,8,432,504,15,8,7,0,26,51,0,33,106,13148,10105,2948,574,26775,17360,3164,3047,50349
50401,4,4,0,0,8,0,0,0,0,4,4,0,33,42,7,9,0,0,14,21,5,8,47,9059,9411,3447,485,22405,10151,1526,1259,35348
50402,6,3,0,0,8,0,3,0,0,9,13,0,13,34,0,3,6,0,5,4,0,3,18,4779,5080,1645,129,11638,3372,311,553,15867
50403,13,10,0,5,27,62,9,12,3,87,146,3,475,709,17,17,3,3,37,28,3,43,111,12194,19414,6666,630,38902,10579,1394,2283,53156
50501,11,4,5,0,23,32,4,0,3,43,75,5,132,251,8,0,0,0,12,19,0,22,48,17279,22313,5750,458,45800,10739,1210,1338,59093
50502,5,3,0,0,8,27,3,0,0,29,22,3,96,153,16,7,0,3,25,32,3,18,78,21055,23824,8156,1046,54082,24984,3542,3431,86042
50503,11,0,0,0,15,36,8,8,0,50,123,6,61,241,10,10,0,0,17,24,0,17,53,16964,28612,9567,755,55904,13590,1532,2216,73237
50601,13,3,0,3,20,49,0,11,0,64,164,7,76,312,10,8,3,0,18,11,0,9,43,7808,12367,4163,406,24740,6955,853,1409,33956
50602,8,5,0,0,10,5,4,0,0,8,20,0,37,62,9,8,3,0,16,26,0,20,68,8156,7188,2692,615,18647,10168,2131,1738,32679
50603,14,5,3,8,19,7,7,0,0,19,14,3,24,62,4,10,8,0,23,30,4,13,71,8365,12646,3257,582,24845,7950,1917,1216,35928
50604,34,24,3,5,68,45,11,7,3,61,108,8,66,247,3,6,3,0,16,23,0,15,56,9640,16545,5213,601,31996,9334,1346,1696,44372
50605,31,3,0,0,36,47,19,12,0,75,88,5,94,262,11,3,0,0,17,0,0,4,29,6251,7341,2355,215,16165,4623,466,690,21938
