SA3_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
50101,3054,478,286,3816,1843,1201,182,51,3275,44,34,75,3353,382,263,3998,1989,1171,168,44,3373,48,32,80,3449,368,290,4110,1808,1064,183,42,3095,38,33,70,3162,447,283,3888,1442,1017,199,28,2684,32,40,72,2757,651,227,3630,1008,1086,203,25,2325,29,39,67,2391,1328,207,3929,407,640,91,9,1149,4,19,24,1171,2450,188,3802,149,320,48,10,527,0,5,9,538,2860,223,3615,63,140,24,19,242,0,0,0,248,4411,386,5042,13933,11061,1791,426,27214,400,440,833,28050,15165,3102,46314
50102,5454,1026,370,6851,3341,1625,205,83,5249,118,90,210,5457,924,411,6793,3572,1587,226,88,5468,119,69,190,5660,873,423,6954,3693,1571,292,66,5628,125,77,203,5832,1107,431,7372,3116,1473,344,64,5003,120,62,179,5183,1535,413,7131,2171,1369,324,35,3895,112,80,191,4090,2725,383,7198,734,849,129,24,1734,27,30,56,1790,4138,336,6263,192,372,39,21,618,3,9,14,637,4751,337,5715,76,189,32,22,316,0,9,9,324,7092,818,8235,29110,16742,2741,847,49439,1445,1141,2590,52029,29408,5383,86826
50103,970,188,96,1262,634,299,46,18,993,24,11,35,1031,153,125,1308,722,360,66,13,1163,25,7,32,1192,180,125,1499,778,386,69,26,1252,29,15,37,1297,254,174,1720,792,449,89,19,1348,38,16,59,1406,435,128,1969,613,471,95,18,1189,32,21,53,1244,621,154,2024,298,309,59,15,678,6,5,17,702,1159,145,2000,130,170,27,12,334,0,5,3,343,1228,117,1685,99,101,6,18,227,0,0,0,232,1899,224,2355,6064,3840,647,248,10802,263,181,442,11241,7075,1610,19922
50201,4644,1077,449,6170,2622,1290,197,78,4190,161,88,245,4434,896,405,5736,3070,1373,239,93,4770,164,89,251,5018,929,454,6404,3165,1389,260,55,4874,183,72,258,5130,1189,424,6745,2911,1468,325,54,4763,146,98,243,5003,1719,401,7124,1847,1364,310,55,3577,132,112,247,3825,3033,342,7206,687,755,120,28,1589,39,41,84,1672,5431,338,7443,155,358,29,12,562,10,21,31,592,6511,364,7461,50,173,21,27,268,4,7,9,279,10874,1193,12346,24125,15656,2561,852,43190,1848,1359,3206,46404,36622,5785,88811
50301,2985,520,159,3660,2202,994,80,38,3312,49,42,88,3405,519,145,4068,2685,1099,73,32,3891,89,52,147,4035,567,126,4725,2876,1259,95,34,4268,81,36,122,4388,697,162,5245,2256,1073,113,19,3462,66,47,110,3577,860,151,4587,1466,1061,90,14,2645,48,43,86,2732,1410,148,4282,668,878,69,13,1624,17,22,35,1661,2060,156,3875,304,566,45,9,921,6,20,23,951,2538,154,3643,147,419,32,25,630,3,8,6,633,6019,507,7165,19128,14355,1280,336,35109,659,975,1639,36747,20163,2420,59324
50302,8910,949,613,10474,4531,1705,187,64,6482,155,97,256,6735,776,484,8001,3934,1480,125,36,5572,138,48,185,5761,724,379,6864,3609,1337,146,46,5140,158,68,221,5360,783,364,6513,3040,1230,157,33,4459,165,60,227,4688,1041,341,6063,1911,1198,153,26,3291,104,65,171,3454,1763,286,5509,792,917,92,19,1819,30,35,66,1878,2641,320,4834,246,503,27,6,780,10,16,25,802,3024,233,4067,89,245,19,12,362,8,9,19,375,5593,651,6612,40617,20661,2277,782,64338,1536,1334,2863,67205,22168,6164,95536
50401,5931,841,356,7126,3116,1398,141,70,4725,116,78,191,4914,623,273,5804,3079,1210,113,49,4454,136,90,223,4677,650,271,5602,2863,1068,121,41,4090,119,56,174,4262,743,225,5228,2405,1089,151,41,3688,129,55,191,3878,933,208,5020,1653,1009,122,20,2799,91,71,166,2966,1538,189,4694,648,645,58,5,1365,25,36,64,1431,2722,147,4297,181,293,28,8,510,0,9,16,521,3168,141,3834,47,136,13,6,201,0,0,0,206,5838,520,6568,27122,14805,1683,624,44234,1270,1094,2366,46597,20675,3440,70713
50402,1956,649,143,2742,1308,587,84,20,1997,37,22,66,2061,571,148,2788,1475,623,63,42,2199,56,32,83,2291,503,135,2932,1677,694,128,29,2524,44,37,81,2605,525,157,3289,1536,696,145,28,2406,43,33,69,2480,602,146,3225,1008,646,132,25,1811,48,39,81,1893,944,145,2992,387,422,58,10,880,14,17,31,911,1589,108,2616,107,198,11,4,325,0,14,12,332,1964,82,2381,39,108,10,5,166,0,4,9,167,3011,351,3538,12112,7013,1079,328,20535,494,481,979,21517,12969,1895,36378
50403,9784,1675,614,12071,5518,2220,273,133,8141,174,108,285,8427,1289,485,10205,5256,1988,240,94,7574,201,97,296,7870,1274,521,9668,5136,1888,306,104,7436,195,83,276,7717,1381,475,9573,4282,1771,271,69,6391,153,85,238,6629,1725,400,8755,2658,1421,233,48,4361,148,90,232,4595,2543,316,7451,1010,834,102,24,1965,39,33,75,2040,3528,223,5796,223,345,35,13,619,8,10,16,635,3738,232,4604,72,177,18,14,279,0,5,6,282,5797,541,6626,46013,24003,3113,1338,74467,2314,1889,4202,78663,31417,5889,115971
50501,9244,1096,386,10731,5876,2797,297,82,9054,149,126,276,9331,1035,353,10715,6512,2808,243,78,9643,176,116,288,9925,965,375,11264,6756,2668,322,77,9832,167,81,252,10081,1105,385,11570,5571,2709,446,76,8808,163,87,244,9051,1714,351,11118,3834,2686,376,54,6958,157,105,261,7214,3171,302,10687,1356,1605,221,31,3205,44,64,104,3307,6133,241,9683,317,768,61,15,1147,5,19,24,1175,7041,259,8473,67,270,21,14,380,5,10,11,390,9663,616,10672,48875,30641,3696,878,84100,1779,2091,3871,87970,38281,4415,130669
