SA3_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
50101,0,0,15,42,48,46,47,12,3,218,0,3,15,42,35,36,19,3,0,153,0,21,256,401,297,260,150,47,9,1444,0,26,117,198,205,245,164,72,16,1048,87,269,811,1030,976,715,385,208,44,4531,24,20,45,24,25,13,6,0,0,160,3,4,28,50,37,31,32,13,0,198,110,301,886,1103,1043,754,426,222,44,4891,0,9,41,38,45,41,46,27,8,257,132,93,200,249,212,203,137,131,51,1414,253,449,1525,2088,1882,1585,987,520,127,9422,0,0,31,63,65,57,94,24,5,339,0,4,24,55,47,50,29,9,0,212,0,22,311,482,397,356,261,77,23,1936,0,16,176,261,288,279,268,124,22,1436,65,310,962,1256,1124,962,643,303,74,5704,37,22,38,48,26,25,10,3,0,204,6,10,40,75,60,51,60,26,12,346,101,341,1035,1377,1213,1042,718,324,86,6247,0,3,15,18,27,12,27,15,6,121
50102,0,3,52,87,121,86,42,6,0,408,0,3,26,75,86,62,16,5,4,283,0,75,487,570,537,377,164,53,8,2262,9,82,263,397,492,401,193,68,10,1929,361,1091,2290,2353,2421,1769,951,457,148,11846,67,72,57,59,37,25,15,7,0,335,21,23,62,89,78,79,41,14,0,410,447,1190,2410,2498,2533,1877,1010,479,150,12590,8,35,107,82,101,95,70,37,12,548,252,255,585,579,544,408,270,169,59,3119,720,1638,3933,4295,4418,3315,1756,814,245,21141,0,4,64,141,138,109,73,13,6,548,0,0,41,85,88,96,36,15,0,350,0,71,532,632,533,510,252,92,19,2641,10,88,333,469,600,515,337,96,26,2469,251,922,2366,2358,2387,1933,1228,450,106,11994,113,104,85,46,53,34,21,4,0,458,21,33,90,115,117,120,116,43,6,667,386,1064,2540,2518,2561,2089,1360,497,111,13121,3,9,52,63,37,42,46,13,13,280
50103,0,0,9,18,20,37,21,7,0,116,0,0,3,9,22,19,3,3,0,54,0,10,62,110,105,143,76,10,0,523,5,10,24,91,104,122,73,15,3,436,50,130,235,403,534,452,275,88,22,2189,17,9,14,13,13,18,10,0,0,93,0,3,12,16,21,22,10,0,0,89,74,151,259,431,573,485,293,92,20,2371,0,0,8,21,32,29,32,11,0,144,55,31,58,88,134,113,115,64,24,681,130,199,421,760,981,953,619,204,54,4329,0,0,10,20,18,26,35,13,0,118,0,0,3,10,14,18,15,0,0,64,0,10,64,99,96,155,123,31,3,580,0,15,37,66,111,138,118,39,6,533,36,137,328,391,503,505,337,139,23,2393,18,23,13,20,8,14,3,3,0,98,11,7,19,24,21,40,46,12,0,174,56,160,354,432,530,553,385,151,27,2657,4,0,5,9,6,8,10,6,0,55
50201,0,3,42,66,91,76,49,18,0,345,0,4,12,36,46,53,27,7,0,189,0,49,271,362,357,298,209,87,18,1651,8,52,180,298,376,428,365,165,34,1913,204,659,1434,1648,1835,1571,1402,671,124,9546,69,60,69,49,25,22,24,12,3,322,10,27,34,56,67,65,57,31,5,356,284,745,1538,1744,1932,1658,1480,714,130,10223,7,34,61,88,86,109,123,73,23,601,320,223,417,485,473,509,504,471,197,3600,620,1108,2529,3084,3364,3127,2751,1538,403,18522,0,5,63,127,128,93,99,28,8,553,0,0,23,44,64,66,47,5,6,267,0,82,345,491,446,374,300,140,35,2225,18,75,289,388,538,493,513,252,58,2618,177,736,1924,1865,2157,1873,1635,982,231,11587,94,89,86,60,31,37,23,10,0,423,20,30,89,89,96,113,134,62,19,651,295,856,2102,2012,2284,2021,1796,1049,250,12659,9,4,21,41,42,34,66,35,6,265
50301,0,29,402,628,901,664,405,175,46,3245,0,5,84,143,174,110,54,17,6,595,6,557,1280,1369,1658,1355,704,303,100,7329,6,112,190,251,336,384,330,161,53,1819,48,194,320,286,400,303,225,124,63,1959,22,22,20,9,5,8,6,0,0,91,3,20,24,16,31,31,26,11,9,180,70,232,361,307,439,344,261,140,73,2230,11,23,52,44,80,65,87,58,28,441,218,200,300,246,259,266,209,166,101,1959,314,1157,2668,2984,3847,3188,2043,1023,402,17622,0,33,471,760,983,794,504,249,75,3864,0,13,96,145,176,144,87,30,3,699,3,861,1512,1401,1813,1458,963,377,144,8536,12,115,196,236,361,329,342,220,56,1875,48,127,326,240,361,318,235,168,56,1879,20,10,12,9,10,7,10,8,0,87,5,9,17,26,31,40,40,26,10,213,69,149,354,275,400,371,285,196,66,2175,0,14,19,26,40,33,42,22,10,206
50302,0,45,1068,953,664,507,227,49,11,3517,0,20,246,286,243,141,40,12,0,1000,0,823,4115,2368,1643,1091,391,113,31,10584,21,309,854,605,596,555,263,111,37,3346,76,548,1366,856,888,656,378,170,68,5001,28,47,62,48,24,21,14,3,0,241,4,34,85,61,66,55,34,9,3,335,108,626,1511,957,977,728,423,186,72,5586,9,46,155,106,91,99,58,44,20,647,216,509,1501,810,560,550,314,271,139,4870,357,2380,9455,6087,4782,3676,1716,785,310,29555,0,40,1329,1288,850,567,383,97,14,4567,0,26,314,267,267,214,79,15,6,1197,6,837,4601,2692,1727,1305,658,196,56,12078,26,288,1056,694,583,565,385,144,43,3777,48,410,1508,840,814,707,444,237,76,5087,31,52,59,32,30,22,5,3,4,239,7,42,116,75,79,72,49,41,4,485,81,505,1686,956,925,803,497,277,83,5812,15,32,111,72,63,41,40,23,4,396
50401,0,28,355,285,187,133,64,5,0,1056,0,5,109,157,110,71,16,9,0,481,4,342,1557,1135,697,431,178,60,20,4427,20,192,633,545,467,413,231,93,32,2620,102,596,1335,1295,1287,1211,739,364,113,7037,20,36,68,51,27,25,9,0,0,240,7,22,57,61,62,67,21,7,3,309,130,666,1454,1402,1379,1301,768,371,113,7588,3,39,98,100,95,76,61,41,16,529,218,253,572,436,406,365,291,252,110,2900,368,1521,4778,4068,3348,2783,1603,832,294,19607,0,27,443,460,272,152,99,21,8,1478,0,13,141,171,132,91,45,11,0,605,0,359,1778,1394,847,547,292,100,21,5349,17,184,730,638,545,445,266,101,36,2960,94,467,1578,1251,1226,1179,845,442,107,7196,57,58,58,50,32,20,12,4,0,287,9,20,77,84,90,82,60,32,7,466,156,548,1718,1387,1341,1282,914,478,114,7945,3,14,64,49,50,29,23,18,6,262
50402,0,0,23,77,102,113,51,10,5,386,0,0,11,44,68,45,22,6,0,198,0,62,166,318,338,293,152,44,9,1388,13,49,108,234,282,268,156,54,10,1166,106,308,587,807,989,831,473,179,36,4313,28,30,18,9,12,14,5,5,0,113,5,7,16,23,24,40,31,11,0,171,136,350,623,843,1029,886,513,195,37,4606,0,16,21,33,46,43,46,29,7,240,174,325,663,581,351,248,166,111,33,2652,325,801,1616,2127,2218,1884,1098,460,102,10632,0,0,27,78,90,122,63,20,12,414,0,0,20,40,75,67,33,8,0,249,0,81,207,317,390,283,230,74,11,1602,5,40,116,248,309,281,229,94,13,1335,78,360,738,758,924,903,664,235,54,4706,38,26,26,21,17,13,8,0,0,140,6,8,32,27,51,57,35,20,8,248,115,391,793,803,990,968,713,256,57,5095,7,3,13,15,23,18,19,9,3,103
50403,0,3,108,150,145,96,43,9,6,563,0,4,59,97,79,50,19,4,0,311,5,196,719,752,551,374,150,42,18,2807,13,137,506,606,591,385,168,49,13,2470,259,925,1990,2316,2258,1517,758,265,42,10317,47,57,94,62,45,26,8,0,0,343,11,37,75,87,83,70,27,17,0,402,312,1014,2153,2468,2380,1614,794,285,47,11055,5,42,117,114,111,112,68,27,14,620,411,295,534,656,605,437,339,242,94,3630,744,1693,4197,4838,4465,3076,1581,656,188,21451,0,15,304,308,210,141,69,23,3,1065,0,7,98,136,123,71,29,13,3,473,3,295,1257,1133,729,467,259,80,19,4251,28,199,920,937,807,589,291,90,21,3883,242,1133,3036,2561,2685,1980,1030,438,78,13190,115,105,137,70,58,35,17,5,0,540,20,55,140,137,144,90,84,25,3,701,382,1297,3310,2768,2892,2106,1128,474,85,14434,12,25,69,75,63,54,40,15,3,356
50501,0,12,204,589,653,430,139,44,8,2077,0,19,103,262,256,206,67,15,4,933,5,603,1590,2084,1867,1338,459,143,32,8107,34,318,660,1103,1388,1328,565,190,33,5618,396,1349,2453,3000,3795,3051,1429,516,151,16149,100,83,93,68,56,60,20,7,0,497,19,44,80,105,100,139,62,27,3,585,516,1469,2630,3180,3957,3254,1518,552,160,17234,19,77,138,183,182,229,139,73,31,1071,348,314,495,529,568,502,286,276,118,3435,919,2805,5811,7936,8864,7279,3170,1292,388,38464,0,31,312,655,747,562,268,70,17,2668,0,18,145,240,330,236,121,15,8,1115,5,736,1773,2213,2037,1535,784,205,59,9343,40,249,753,1124,1446,1330,908,247,70,6169,263,1108,2810,2837,3336,3162,1976,723,165,16384,130,91,85,62,45,38,31,0,0,486,18,39,90,151,171,199,150,63,20,905,413,1245,2989,3056,3551,3399,2158,784,184,17775,15,18,76,88,121,91,95,37,11,547
