SA3_CODE_2021,C21_15_19_NonInd_F,C21_15_19_NonInd_P,C21_15_19_Ind_st_ns_M,C21_15_19_Ind_st_ns_F,C21_15_19_Ind_st_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Indigen_M,C21_20_24_Indigen_F,C21_20_24_Indigen_P,C21_20_24_NonInd_M,C21_20_24_NonInd_F,C21_20_24_NonInd_P,C21_20_24_Ind_st_ns_M,C21_20_24_Ind_st_ns_F,C21_20_24_Ind_st_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Indigen_M,C21_25_29_Indigen_F,C21_25_29_Indigen_P,C21_25_29_NonInd_M,C21_25_29_NonInd_F,C21_25_29_NonInd_P,C21_25_29_Ind_st_ns_M,C21_25_29_Ind_st_ns_F,C21_25_29_Ind_st_ns_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Indigen_M,C21_30_34_Indigen_F,C21_30_34_Indigen_P,C21_30_34_NonInd_M,C21_30_34_NonInd_F,C21_30_34_NonInd_P,C21_30_34_Ind_st_ns_M,C21_30_34_Ind_st_ns_F,C21_30_34_Ind_st_ns_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Indigen_M,C21_35_39_Indigen_F,C21_35_39_Indigen_P,C21_35_39_NonInd_M,C21_35_39_NonInd_F,C21_35_39_NonInd_P,C21_35_39_Ind_st_ns_M,C21_35_39_Ind_st_ns_F,C21_35_39_Ind_st_ns_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Indigen_M,C21_40_44_Indigen_F,C21_40_44_Indigen_P,C21_40_44_NonInd_M,C21_40_44_NonInd_F,C21_40_44_NonInd_P,C21_40_44_Ind_st_ns_M,C21_40_44_Ind_st_ns_F,C21_40_44_Ind_st_ns_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Indigen_M,C21_45_49_Indigen_F,C21_45_49_Indigen_P,C21_45_49_NonInd_M,C21_45_49_NonInd_F,C21_45_49_NonInd_P,C21_45_49_Ind_st_ns_M,C21_45_49_Ind_st_ns_F,C21_45_49_Ind_st_ns_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Indigen_M,C21_50_54_Indigen_F,C21_50_54_Indigen_P,C21_50_54_NonInd_M,C21_50_54_NonInd_F,C21_50_54_NonInd_P,C21_50_54_Ind_st_ns_M,C21_50_54_Ind_st_ns_F,C21_50_54_Ind_st_ns_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Indigen_M,C21_55_59_Indigen_F,C21_55_59_Indigen_P,C21_55_59_NonInd_M,C21_55_59_NonInd_F,C21_55_59_NonInd_P,C21_55_59_Ind_st_ns_M,C21_55_59_Ind_st_ns_F,C21_55_59_Ind_st_ns_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Indigen_M,C21_60_64_Indigen_F,C21_60_64_Indigen_P,C21_60_64_NonInd_M,C21_60_64_NonInd_F,C21_60_64_NonInd_P,C21_60_64_Ind_st_ns_M,C21_60_64_Ind_st_ns_F,C21_60_64_Ind_st_ns_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_over_Indigen_M,C21_65_over_Indigen_F,C21_65_over_Indigen_P,C21_65over_NonInd_M,C21_65over_NonInd_F,C21_65over_NonInd_P,C21_65over_Indig_st_ns_M,C21_65over_Indig_st_ns_F,C21_65over_Indig_st_ns_P,C21_65_over_Tot_M,C21_65_over_Tot_F,C21_65_over_Tot_P,C21_Tot_Indig_M,C21_Tot_Indig_F,C21_Tot_Indig_P,C21_Tot_NonInd_M,C21_Tot_NonInd_F,C21_Tot_NonInd_P,C21_Tot_Indig_st_ns_M,C21_Tot_Indig_st_ns_F,C21_Tot_Indig_st_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
50101,1323,2805,81,79,157,1623,1450,3074,44,32,76,905,764,1673,50,60,110,1002,857,1856,32,23,53,1026,1111,2140,117,97,212,1176,1232,2407,28,35,59,1365,1481,2847,133,94,221,1520,1612,3131,15,34,42,1540,1948,3490,155,130,289,1711,2110,3816,40,34,65,1722,1954,3680,152,100,252,1914,2085,3998,24,26,48,1835,1951,3782,171,107,279,2027,2082,4110,20,28,47,1715,1852,3569,173,105,279,1911,1985,3888,19,13,28,1616,1770,3391,109,99,213,1747,1881,3630,14,13,33,1698,1992,3689,115,95,208,1829,2098,3929,31,35,63,5630,6091,11723,333,343,677,5989,6469,12463,530,497,1030,25647,27131,52780,1905,1627,3529,28080,29249,57332
50102,2940,5933,158,136,297,3345,3289,6638,158,153,317,2382,2254,4637,154,138,295,2693,2544,5246,151,142,288,2561,2663,5227,206,171,383,2921,2977,5894,118,100,220,2844,3116,5961,187,159,346,3149,3373,6525,102,104,211,3013,3277,6288,220,136,355,3326,3524,6851,77,104,180,3064,3164,6227,240,150,386,3381,3416,6793,82,105,190,3066,3298,6370,257,146,401,3402,3555,6954,80,90,167,3253,3545,6795,246,163,407,3576,3795,7372,70,88,158,3186,3384,6575,241,160,402,3501,3630,7131,56,59,112,3232,3476,6713,210,163,373,3501,3694,7198,83,102,188,9061,9802,18864,553,612,1168,9696,10522,20218,1838,1848,3689,48327,49863,98185,3116,2567,5680,53276,54279,107549
50103,535,1091,39,55,98,622,629,1248,36,22,52,402,329,728,41,31,66,473,379,851,14,10,26,411,414,820,40,29,70,463,449,915,13,10,23,458,536,997,47,27,75,523,573,1092,11,12,18,528,608,1140,51,55,104,591,672,1262,19,14,31,548,610,1151,60,63,123,624,682,1308,27,21,41,642,681,1321,82,55,135,740,755,1499,17,19,37,738,764,1508,96,81,180,854,859,1720,22,28,52,852,939,1785,69,64,135,939,1026,1969,12,5,22,907,945,1853,68,81,145,983,1036,2024,22,27,46,2818,2756,5572,229,194,424,3069,2978,6039,306,301,611,10630,10787,21419,977,857,1830,11911,11949,23863
50201,2653,5359,137,138,273,3015,2971,5986,115,132,246,2326,2410,4739,179,145,321,2623,2686,5306,98,87,187,2220,2469,4691,174,131,309,2493,2692,5188,97,110,206,2358,2764,5119,228,143,372,2677,3020,5700,83,84,169,2595,2983,5586,256,163,420,2935,3228,6170,60,75,132,2412,2809,5223,243,142,381,2715,3019,5736,51,61,114,2772,3065,5837,268,180,452,3089,3308,6404,60,78,139,2912,3308,6213,250,140,393,3225,3521,6745,58,68,126,3134,3465,6601,237,160,395,3428,3690,7124,47,40,90,3104,3684,6785,175,147,329,3332,3875,7206,75,93,166,12293,13581,25878,603,600,1208,12973,14273,27246,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
50301,2834,5674,81,85,163,2969,2978,5947,33,38,71,2515,2464,4980,79,96,170,2630,2595,5224,16,16,34,1754,1658,3412,104,88,193,1872,1762,3635,9,17,27,1507,1573,3079,97,66,164,1615,1657,3265,9,5,17,1569,1926,3489,93,59,153,1671,1987,3660,0,7,12,1831,2099,3932,81,52,132,1907,2159,4068,15,12,26,2142,2443,4578,66,53,115,2225,2501,4725,10,11,17,2433,2643,5072,84,66,152,2522,2724,5245,6,4,12,2134,2279,4417,87,66,156,2230,2355,4587,0,4,5,1968,2167,4130,73,74,147,2042,2244,4282,13,10,21,6502,7478,13979,304,369,675,6824,7859,14679,215,261,479,33413,35348,68763,1278,1218,2495,34905,36829,71735
50302,2059,4031,64,68,135,2058,2165,4225,58,62,120,3392,4000,7391,264,272,530,3710,4333,8043,52,71,117,5309,5635,10944,485,383,870,5845,6087,11932,44,43,81,5705,5808,11509,477,326,802,6217,6174,12388,35,26,60,5108,4737,9849,322,239,568,5465,5009,10474,42,28,71,3850,3631,7485,288,157,448,4182,3819,8001,36,32,61,3237,3211,6450,223,126,342,3493,3366,6864,26,27,53,3079,3021,6101,229,136,366,3331,3186,6513,30,28,58,2859,2825,5684,200,132,323,3088,2981,6063,12,14,25,2599,2627,5230,153,100,255,2771,2741,5509,32,33,59,6814,7821,14631,429,388,814,7278,8241,15510,461,474,937,51284,52397,103684,3370,2538,5908,55115,55410,110530
50401,1726,3585,68,65,134,2002,1859,3865,79,80,157,2356,2274,4632,115,81,200,2554,2430,4982,58,69,122,2864,2967,5836,176,140,316,3097,3183,6280,59,58,117,3429,3550,6980,189,129,317,3676,3738,7410,42,51,98,3328,3368,6700,184,151,332,3557,3572,7126,26,29,54,2747,2764,5508,149,93,246,2916,2886,5804,30,51,83,2574,2697,5278,142,103,245,2746,2851,5602,26,32,58,2479,2484,4968,115,85,204,2624,2607,5228,32,31,65,2349,2413,4761,125,68,198,2505,2510,5020,22,30,52,2143,2322,4464,102,79,179,2271,2425,4694,25,56,81,6333,7631,13966,308,346,653,6669,8031,14702,733,740,1472,39129,40380,79511,1929,1553,3483,41790,42676,84462
50402,1158,2388,53,45,102,1369,1260,2630,137,60,195,1141,908,2046,47,37,84,1324,1002,2331,160,39,201,1015,867,1887,68,55,128,1253,962,2212,178,32,205,1264,1108,2370,76,50,128,1513,1190,2709,110,28,141,1279,1203,2480,80,44,119,1467,1276,2742,97,24,124,1270,1251,2520,100,51,151,1463,1325,2788,72,29,100,1352,1349,2706,71,58,128,1500,1435,2932,51,42,96,1521,1525,3040,105,48,152,1676,1613,3289,35,34,66,1505,1502,3011,100,53,153,1642,1585,3225,38,25,60,1386,1406,2791,76,66,138,1497,1492,2992,33,36,69,3879,4208,8088,171,198,369,4088,4446,8528,1207,592,1802,20325,19720,40043,1103,839,1948,22643,21152,43792
50403,4033,8518,162,162,321,4885,4442,9326,192,191,379,4318,4195,8511,192,176,363,4696,4559,9260,195,251,441,4628,4993,9623,274,209,490,5099,5454,10553,148,223,361,5235,5904,11138,344,234,583,5718,6361,12079,145,147,295,5603,5648,11249,318,210,525,6071,6008,12071,99,123,225,4641,4889,9531,279,164,444,5017,5187,10205,111,130,236,4276,4658,8936,300,194,492,4684,4976,9668,87,102,191,4330,4617,8944,274,164,436,4697,4881,9573,87,86,170,4006,4215,8222,227,137,365,4321,4440,8755,58,74,135,3397,3636,7040,169,109,278,3632,3823,7451,71,105,174,7660,8476,16131,358,364,716,8086,8936,17026,2392,2542,4939,67818,69449,137271,3457,2654,6111,73672,74650,148324
50501,4800,9978,113,86,200,5365,4953,10317,46,43,94,4636,4080,8709,144,106,254,4822,4226,9052,51,32,78,3647,3481,7127,160,117,274,3855,3631,7484,49,51,102,4036,4459,8494,186,130,314,4266,4641,8909,42,41,86,5025,5280,10302,226,117,344,5291,5437,10731,42,46,78,4902,5389,10297,225,114,341,5166,5551,10715,44,34,78,5271,5560,10834,236,117,352,5554,5713,11264,28,31,58,5404,5742,11146,242,118,360,5677,5891,11570,27,23,49,5060,5661,10722,222,116,337,5311,5807,11118,21,25,47,4927,5418,10347,169,125,290,5120,5571,10687,39,34,79,13163,14662,27821,432,494,927,13637,15193,28827,706,682,1384,76182,78542,154724,2619,1915,4536,79502,81136,160641
