SOS_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOS50,886,1719,4248,4173,3418,2220,682,180,39,17565,28619,47486,111712,111734,101583,72375,17809,1540,99,492968,232,442,1208,1229,1249,1043,519,155,10,6094,420,3435,17231,19762,15674,8838,1542,99,5,67009,2049,3899,10514,12649,12598,9498,2254,252,10,53721,150,512,2403,3179,2772,1934,371,18,0,11339,3060,7679,22444,22471,18021,12915,3034,240,13,89882,681,1805,5360,6365,6126,4395,1124,135,11,25998,14302,16543,18641,14556,13363,10584,3127,328,24,91461,19645,12887,13581,8944,6065,4208,1123,106,9,66560,865,3047,9689,10749,10136,8885,2655,235,9,46273,421,901,2166,2164,1702,1118,311,55,0,8833,162,1283,5796,7273,6133,3640,995,157,12,25457,225,985,3065,3420,3358,2613,1224,274,27,15190,657,5699,20050,23034,17064,10355,3684,510,30,81083,903,3024,7659,7312,6396,5073,1552,173,10,32112,535,3302,12700,15195,14920,11603,2646,228,10,61143,2293,5695,16926,20578,22556,17448,4775,389,15,90677,2100,11949,35037,33905,30987,24671,6689,505,15,145863,2300,2818,4195,3406,2590,1865,725,122,8,18023
SOS51,199,253,534,619,550,388,144,41,5,2745,5746,6393,17368,19243,18800,13904,3403,313,14,85191,224,394,1028,856,854,817,524,151,19,4858,288,1212,4821,5684,4623,2842,409,17,0,19899,522,854,2216,2390,2101,1465,342,39,4,9929,67,147,503,668,666,591,98,3,0,2746,799,1485,3779,3616,3173,2674,709,52,0,16289,158,304,777,839,872,643,152,23,0,3769,2941,1793,2958,2937,2964,2495,669,80,6,16845,3541,1415,2439,2096,1672,1274,394,46,0,12882,187,455,1436,1645,2087,2018,686,58,4,8578,89,98,212,180,135,123,47,6,0,882,28,117,393,465,462,316,83,8,0,1879,60,189,503,471,555,415,170,36,3,2393,127,337,1238,1421,1254,931,372,41,6,5733,176,374,1087,1255,1270,1016,269,34,0,5480,170,487,1880,2422,2657,2114,508,26,0,10265,235,691,2768,3777,4224,3072,743,61,0,15581,524,1506,4754,5162,5252,4624,1174,73,3,23078,224,143,364,366,321,259,87,19,0,1782
SOS52,26,35,75,78,79,82,37,12,6,425,521,719,1967,2121,2355,2232,619,88,4,10624,87,143,423,311,294,327,240,74,3,1905,28,139,545,602,550,449,78,3,0,2394,72,97,225,265,273,186,47,6,0,1176,6,14,34,53,77,73,20,0,0,279,80,126,301,341,337,403,110,9,0,1702,16,71,140,110,124,105,32,3,0,601,186,155,269,242,326,327,100,10,0,1620,245,157,297,233,247,288,96,17,0,1592,15,43,125,166,226,352,157,22,0,1105,3,7,10,24,19,12,3,0,0,78,0,8,20,39,43,28,8,4,0,154,0,9,30,30,34,40,15,0,0,174,10,25,81,91,93,110,52,3,0,470,21,50,107,129,177,163,50,5,0,710,28,98,327,363,536,495,126,15,0,1998,38,118,440,496,531,502,141,8,0,2257,59,113,376,467,525,601,138,10,0,2279,25,23,49,39,64,59,16,0,0,281
SOS53,83,82,160,240,325,290,133,50,0,1368,2027,2139,4769,6690,8680,7890,2551,433,27,35194,460,823,2106,2713,3413,3719,2454,848,115,16645,118,572,1776,2092,2156,1494,238,13,0,8460,257,258,484,694,957,895,287,50,5,3897,12,27,79,164,202,211,56,5,0,755,329,516,1059,1441,1645,1564,416,34,3,7014,116,140,273,329,418,414,128,18,0,1833,825,505,498,585,960,900,280,33,0,4603,1008,365,578,487,614,627,258,36,6,3971,50,90,311,462,827,882,374,42,0,3038,11,14,40,58,62,58,23,0,0,272,12,38,118,172,196,164,43,9,0,744,27,40,107,144,199,217,99,15,0,858,46,153,378,586,662,608,262,41,0,2736,65,131,290,337,495,434,154,23,0,1921,83,306,542,672,1075,1023,224,24,0,3944,110,234,670,1248,1668,1499,385,15,0,5830,119,325,808,1143,1642,1661,457,44,0,6196,97,106,169,166,208,194,79,16,0,1032
SOS57,0,0,0,0,0,0,0,0,0,5,0,5,8,9,5,0,0,0,0,29,3,4,12,9,3,0,0,0,0,41,0,0,9,34,19,12,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,13,16,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,5,10,12,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,14,6,4,7,0,0,0,30,33,84,234,138,91,102,18,0,0,715,0,16,43,9,8,14,0,0,0,101,0,14,56,41,48,30,0,0,0,188,3,0,27,18,7,7,0,0,0,67,0,0,6,0,5,0,0,0,0,12,4,7,47,43,39,16,3,0,0,168,0,5,6,3,7,0,0,0,0,22,3,17,28,10,9,10,6,0,0,88,22,42,91,23,27,25,0,0,0,231,6,13,21,15,14,15,0,0,0,88,0,6,8,0,0,0,0,0,0,17,0,0,6,7,5,0,0,0,0,16,0,0,0,0,3,5,0,0,0,9,0,9,28,38,9,7,0,0,0,92,0,14,26,19,3,7,3,0,0,62,5,3,17,23,14,14,5,0,0,66,0,7,15,13,11,10,3,0,0,69,4,16,38,38,25,31,3,0,0,157,3,3,9,3,0,3,0,0,0,25
