SOS_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SOS50,624,3303,2536,1405,2756,2624,445,896,2972,17565,23735,99481,85503,51724,97367,74311,19794,34521,6533,492968,220,906,722,587,979,1246,372,958,91,6094,5724,1949,2220,1382,5789,12293,6698,30020,927,67009,1542,4042,3636,2458,13083,14197,5340,9073,351,53721,437,447,558,535,3299,3012,1039,1924,88,11339,2708,5794,5922,4909,12874,26281,8279,22046,1059,89882,740,1835,1830,1296,6015,7285,2286,4554,152,25998,3234,26510,16667,7679,15644,11391,3564,5976,793,91461,1988,24745,12182,5193,7687,6356,2160,5497,757,66560,2234,4164,4706,2950,7823,11207,4021,8562,606,46273,285,1223,895,568,2111,2193,525,975,57,8833,1063,1707,2420,1723,6334,7105,1719,3270,124,25457,403,1764,1606,999,3013,3404,1158,2727,115,15190,2508,7720,7233,5215,15912,23689,6192,12259,357,81083,1179,7098,5574,2581,5595,5186,1355,3193,341,32112,3514,4237,4736,3518,18664,15869,4352,5860,385,61143,3676,16724,13374,9030,17040,14944,5601,9793,493,90677,7717,22276,26297,19428,33315,20949,5099,9669,1103,145863,692,5591,2590,1547,2909,2527,693,1351,135,18023
SOS51,120,559,369,213,342,305,85,216,534,2745,4894,16336,13763,9232,15753,12163,3845,7888,1320,85191,263,658,428,316,576,1026,329,1163,88,4858,2093,650,604,241,1040,2495,2211,10224,346,19899,431,682,584,425,1907,2561,1299,1936,97,9929,121,133,101,101,634,678,316,618,29,2746,682,1035,925,834,1981,3949,1510,5144,223,16289,141,275,220,150,556,930,446,1027,20,3769,739,4323,2820,1661,2964,2186,795,1227,136,16845,508,4047,2078,1130,1691,1424,485,1330,199,12882,437,709,725,471,1036,1665,694,2703,133,8578,38,154,88,68,190,181,67,97,8,882,107,188,221,158,432,435,116,228,5,1879,92,235,225,138,514,482,177,519,17,2393,219,759,628,468,1056,1201,345,1009,46,5733,261,1248,886,501,849,718,271,679,70,5480,766,737,683,535,2700,2860,728,1172,81,10265,758,2255,2225,1754,2876,2699,1084,1805,115,15581,1494,3115,3809,3238,5206,3487,806,1708,211,23078,92,535,270,158,271,212,66,143,21,1782
SOS52,36,77,42,23,55,43,12,33,106,425,710,2025,1678,1055,1651,1540,509,1213,248,10624,120,212,201,150,173,426,145,424,51,1905,278,103,84,29,95,230,217,1306,52,2394,50,89,61,56,220,278,134,270,15,1176,16,15,19,12,65,63,23,62,5,279,97,125,118,108,196,353,157,524,33,1702,29,46,29,22,58,214,66,130,6,601,74,366,242,142,256,201,80,234,29,1620,67,396,238,139,191,169,83,263,39,1592,68,171,141,49,85,162,76,328,30,1105,7,9,12,0,20,15,0,12,5,78,7,26,28,15,32,28,11,8,0,154,12,25,29,7,36,30,5,37,0,174,25,86,56,36,67,93,16,84,8,470,42,173,111,55,82,86,32,117,12,710,121,134,120,103,492,587,146,253,24,1998,126,334,334,252,326,423,150,300,28,2257,163,359,368,287,466,330,81,180,38,2279,20,59,52,16,47,47,4,22,7,281
SOS53,83,282,190,106,120,159,37,102,279,1368,2092,7428,5979,3582,4609,4736,1429,4598,743,35194,644,1618,1398,941,988,2705,1192,6851,308,16645,950,311,230,87,376,680,555,5084,178,8460,168,411,313,233,673,830,362,866,36,3897,40,51,38,32,156,180,81,166,13,755,341,598,489,410,721,1550,497,2303,115,7014,73,163,164,108,218,443,192,433,28,1833,219,1258,825,404,611,529,191,509,62,4603,187,1264,569,287,330,377,141,743,73,3971,188,381,361,177,266,500,177,928,44,3038,12,48,30,15,34,69,14,45,3,272,32,94,99,66,143,165,30,108,9,744,29,116,83,58,126,148,51,237,8,858,114,411,357,270,326,532,171,525,29,2736,104,450,286,158,206,237,82,369,29,1921,272,342,349,227,1002,985,257,473,29,3944,355,1053,1002,631,854,861,366,663,55,5830,471,1185,1198,879,1100,748,174,380,68,6196,51,261,148,73,124,139,49,171,11,1032
SOS57,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,16,0,29,0,0,0,0,0,4,0,36,5,41,4,0,0,0,5,0,4,62,0,74,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,34,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,4,0,0,0,0,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,3,3,0,0,7,7,0,0,3,30,80,124,94,58,124,106,25,96,12,715,4,5,5,9,24,19,10,23,0,101,23,7,5,7,8,10,13,123,0,188,4,3,8,6,17,13,7,7,0,67,4,0,0,0,0,4,0,3,0,12,31,6,10,10,7,35,9,58,0,168,0,0,0,0,6,6,0,6,0,22,9,13,16,4,17,20,4,4,0,88,6,44,28,16,36,37,18,39,7,231,12,15,6,3,8,16,6,24,4,88,0,9,0,0,0,5,0,0,0,17,3,7,0,3,0,0,0,4,0,16,0,5,0,0,0,0,0,0,0,9,11,24,11,7,7,17,3,9,0,92,3,7,9,5,8,14,0,14,0,62,15,4,3,0,14,19,0,11,0,66,12,14,13,9,9,8,4,3,0,69,22,25,35,10,26,17,0,9,0,157,0,4,4,0,5,7,0,5,0,25
