SOS_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS50,207275,32266,8649,2003,399,123,1136,251858
SOS51,30442,6463,2117,425,115,42,334,39936
SOS52,3760,734,283,115,23,19,111,5035
SOS53,13452,2321,636,208,42,9,168,16840
SOS57,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0
