SOS_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOS50,12376,11828,24211,12671,12068,24739,12892,12181,25073,13167,12407,25571,13569,12675,26251,64683,61163,125841,13871,12972,26840,13533,12716,26250,13327,12905,26230,13565,12907,26479,13221,12883,26104,67523,64386,131907,13379,12875,26254,13416,12659,26070,13375,12308,25681,13455,12786,26239,13358,12526,25882,66977,63154,130133,12743,12095,24833,12276,11501,23779,12077,11293,23366,11665,11492,23158,11891,11509,23398,60648,57892,118535,12631,12179,24814,12841,12703,25543,13087,12777,25868,13052,12767,25820,13204,13106,26307,64814,63540,128352,13712,13331,27043,14109,13845,27953,13937,14233,28171,13679,14479,28161,14081,14628,28712,69516,70520,140036,14562,15607,30165,15088,15804,30896,15022,16260,31286,15266,16303,31568,15499,16446,31946,75433,80424,155860,15750,16493,32242,15927,16405,32334,15609,16270,31881,15773,16037,31811,15277,15385,30659,78342,80585,158927,14847,15108,29959,14101,14287,28390,13566,13984,27548,13390,13404,26790,12987,13323,26313,68897,70109,139005,13095,13286,26378,12886,13362,26253,12911,13299,26208,13190,13474,26668,13761,14120,27881,65843,67538,133387,13937,14367,28303,13095,13331,26425,13102,13334,26433,12290,12536,24823,12010,12292,24308,64439,65867,130302,11762,12194
SOS51,2412,2222,4633,2478,2416,4894,2650,2354,5005,2605,2469,5068,2657,2505,5163,12798,11963,24762,2812,2658,5466,2826,2610,5433,2847,2694,5537,2800,2660,5459,2815,2707,5522,14094,13324,27419,2819,2589,5409,2792,2678,5472,2701,2611,5310,2824,2632,5455,2762,2655,5414,13889,13172,27057,2629,2539,5169,2494,2308,4808,2436,2253,4684,2109,1938,4046,1895,1788,3683,11569,10821,22391,1889,1663,3552,1883,1752,3636,1973,1848,3817,2018,1998,4017,2125,2089,4214,9891,9350,19240,2152,2197,4350,2342,2362,4701,2376,2483,4859,2376,2525,4898,2468,2527,4998,11718,12095,23812,2591,2676,5265,2520,2765,5285,2634,2760,5394,2617,2746,5356,2622,2823,5444,12982,13771,26750,2685,2835,5522,2593,2865,5463,2655,2789,5448,2692,2819,5515,2580,2725,5308,13206,14043,27250,2621,2595,5216,2443,2556,5002,2462,2559,5025,2445,2427,4870,2383,2410,4796,12351,12547,24899,2473,2400,4876,2402,2500,4902,2387,2514,4897,2563,2451,5015,2681,2697,5379,12508,12566,25066,2706,2811,5520,2482,2553,5035,2429,2478,4909,2382,2501,4878,2423,2300,4721,12423,12644,25059,2351,2351
SOS52,348,330,681,413,329,743,371,342,717,379,362,739,367,378,743,1882,1747,3630,441,363,804,392,379,768,421,396,814,385,404,787,383,342,726,2015,1881,3894,403,378,780,413,363,776,392,387,780,366,378,738,348,351,698,1920,1856,3774,359,363,720,332,316,649,317,282,600,278,275,555,318,293,604,1607,1531,3135,262,256,517,310,269,577,289,313,609,297,306,604,289,313,610,1449,1461,2915,356,334,689,294,334,625,308,312,622,293,371,666,365,331,697,1616,1680,3300,309,354,665,350,394,748,348,390,742,363,369,730,345,382,723,1719,1891,3610,364,362,722,329,391,722,363,396,757,360,354,710,322,367,686,1731,1872,3602,327,374,706,337,335,672,297,347,646,314,319,636,333,312,645,1614,1680,3296,322,323,647,333,328,658,366,330,691,340,335,678,423,367,786,1785,1686,3463,441,427,858,427,409,833,399,448,849,437,408,846,387,367,753,2077,2053,4133,389,409
SOS53,672,603,1267,750,654,1400,716,706,1415,769,731,1502,832,795,1635,3737,3484,7220,854,830,1685,954,850,1802,963,873,1838,1001,870,1876,1072,890,1964,4857,4311,9166,1083,944,2028,1055,1102,2156,1032,960,1994,966,987,1954,1096,970,2065,5234,4961,10197,995,956,1947,973,878,1848,973,871,1844,922,775,1701,878,701,1577,4741,4187,8927,909,637,1554,917,622,1543,978,622,1600,921,592,1508,910,610,1520,4644,3081,7726,943,580,1522,924,674,1603,990,665,1656,954,690,1643,967,709,1678,4775,3324,8097,999,778,1784,1039,786,1831,1086,794,1881,1046,801,1844,1115,821,1935,5286,3987,9269,1142,888,2033,1079,882,1956,1217,896,2109,1108,933,2042,1184,946,2124,5718,4545,10269,1191,991,2182,1124,921,2046,1219,992,2207,1123,932,2057,1123,926,2042,5773,4765,10534,1158,994,2151,1218,1098,2316,1282,1063,2344,1373,1129,2503,1422,1243,2665,6441,5535,11975,1559,1219,2781,1478,1214,2688,1460,1231,2691,1471,1240,2709,1331,1246,2576,7297,6149,13444,1508,1250
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,7,3,6,0,0,0,4,3,6,0,3,4,9,0,7,9,3,10,25,11,31,4,0,6,10,0,10,9,0,10,15,0,18,10,3,12,49,7,54,6,0,3,9,0,10,10,0,10,11,0,11,19,5,20,48,5,54,17,0,17,6,3,12,25,9,34,26,0,26,8,0,8,85,10,92,22,0,22,14,0,14,13,0,18,22,0,22,13,0,13,79,0,82,5,0,5,17,0,17,13,4,17,8,0,8,13,0,11,51,3,57,9,0,8,13,0,13,10,0,10,9,0,9,3,4,3,48,3,54,4,0
SOS59,24,32,53,27,31,58,45,31,73,23,32,53,29,24,63,149,153,300,30,28,60,21,24,46,27,25,53,28,27,57,25,20,49,132,127,259,38,35,67,13,24,40,15,15,27,33,12,44,21,20,41,116,101,212,17,20,38,11,25,42,20,28,52,22,44,71,36,30,65,118,147,261,65,63,123,48,40,88,66,38,103,62,41,102,63,84,141,295,256,562,79,66,148,82,69,153,74,64,136,77,81,161,69,71,139,385,358,744,137,91,230,55,76,128,82,60,141,89,50,141,70,61,130,433,339,773,130,107,240,89,50,141,78,54,128,85,61,145,69,43,113,449,315,769,169,111,277,64,56,126,80,39,118,75,47,117,95,38,135,476,298,770,145,55,195,64,58,118,65,46,107,75,60,131,99,35,132,433,244,680,134,65,202,68,24,97,80,44,121,68,54,118,55,43,94,404,228,631,95,39
