SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS50,23962,11652,12279,23933,11932,12373,24307,11926,12379,24300,11608,12090,23702,58880,61322,120199,11342,11871,23215,10939,11723,22663,10458,11386,21845,10222,10955,21174,9800,10782,20580,52759,56717,109480,10014,10777,20794,9357,10575,19934,8958,10265,19226,8876,9933,18803,8679,9584,18267,45889,51141,97023,8531,9192,17723,8250,9012,17263,7887,8915,16803,7904,8467,16373,8243,8884,17132,40821,44473,85295,6372,6851,13226,5960,6486,12454,5738,6326,12063,4880,5565,10444,4923,5477,10399,27877,30707,58584,18319,22639,40960,10012,14341,24348,4280,7578,11858,1008,2295,3299,84,343,433,1007026,1036733,2043762
SOS51,4702,2369,2288,4655,2439,2350,4784,2470,2381,4850,2366,2435,4805,11990,11806,23795,2481,2499,4980,2265,2345,4610,2279,2331,4609,2161,2327,4486,2208,2123,4328,11394,11624,23018,2085,2172,4254,1903,2100,4006,1939,1896,3841,1807,1939,3745,1789,1914,3699,9528,10028,19555,1829,1871,3698,1710,1768,3478,1753,1703,3464,1660,1657,3322,1728,1755,3489,8680,8761,17444,1299,1342,2645,1232,1292,2524,1181,1227,2408,953,1089,2045,1009,1088,2097,5680,6041,11719,3710,4236,7949,1931,2698,4631,797,1308,2107,166,375,541,19,55,71,191322,193209,384526
SOS52,802,453,393,846,453,431,885,440,433,872,413,462,874,2151,2125,4279,498,424,921,422,414,835,451,457,908,421,400,822,462,401,863,2253,2092,4345,466,404,869,413,368,781,374,362,735,399,407,806,402,349,746,2048,1889,3940,399,351,750,388,336,722,335,311,642,338,290,627,353,302,646,1804,1577,3388,245,248,494,251,232,485,226,233,455,198,175,371,230,196,430,1154,1077,2233,717,732,1455,339,400,743,123,185,304,29,44,76,0,3,9,30040,29473,59508
SOS53,2759,1422,1289,2712,1462,1315,2774,1560,1325,2883,1487,1306,2790,7438,6486,13924,1463,1334,2798,1468,1235,2705,1415,1267,2683,1322,1186,2509,1355,1153,2511,7027,6176,13210,1373,1191,2567,1276,1043,2313,1195,991,2189,1185,940,2125,1096,903,2001,6124,5063,11188,1103,856,1961,1004,778,1781,947,711,1662,931,752,1677,943,762,1701,4925,3860,8785,723,586,1316,693,516,1210,583,454,1038,530,412,939,477,387,863,3010,2350,5359,1502,1210,2712,615,537,1160,189,209,395,34,53,90,0,4,5,89366,74281,163652
SOS57,4,10,0,10,0,0,0,11,0,11,4,0,4,26,0,26,11,0,12,10,0,10,6,3,7,5,0,8,0,0,0,27,3,34,4,0,4,0,0,4,5,0,3,0,0,0,5,0,3,9,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,58,514
SOS59,133,55,47,105,41,49,89,63,45,110,69,46,114,330,226,552,99,64,172,47,37,84,65,49,117,64,45,107,66,48,116,339,250,588,69,64,128,61,47,111,40,27,67,51,37,91,49,32,83,268,204,478,50,39,86,37,29,71,31,14,45,28,17,48,24,7,37,176,112,281,25,14,41,27,10,36,20,4,17,10,4,13,6,0,7,88,26,114,29,15,42,7,12,17,3,9,13,4,0,4,0,0,0,4639,3416,8055
