SOS_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOS50,807849,848032,1655875,388718,225993,614708,115132,236707,351838,27866,30266,58128,29739,27543,57284,561453,520512,1081965,200560,289677,490236,5.3,5.3,5.3,69.5,61.4,65.3,65.8,58.1,61.9,50468,49477,99944,14441,27697,42135,132548,171851,304398,71879,90255,162134,180026,97407,277435,10343,14680,25025,10259,18969,29230,200628,131058,331686,805807,837814,1643619,135465,143754,279222,519265,538723,1057992,367420,391229,758655
SOS51,150537,154756,305293,68717,39648,108365,16456,39326,55783,6879,6213,13100,4399,3755,8153,96453,88947,185394,39097,52915,92013,4.6,4.2,4.4,64.1,57.5,60.7,61.1,55,58.1,2903,3510,6409,1496,3765,5256,10788,19965,30749,9425,14763,24184,44532,23280,67814,2521,4123,6641,1980,3360,5337,49035,30761,79800,139665,143365,283034,29673,31505,61184,87240,88031,175272,71429,76837,148264
SOS52,24224,23984,48211,8690,4904,13598,2192,4759,6947,1142,958,2099,853,666,1523,12882,11287,24167,8381,10148,18528,6.6,5.9,6.3,53.2,47.1,50.1,49.6,44.3,47,289,387,674,150,407,552,1126,2329,3452,1180,1776,2958,5788,2927,8715,338,544,878,278,465,744,6409,3935,10338,22234,21963,44202,3919,4040,7955,15602,15200,30804,8942,9321,18264
SOS53,75535,61530,137066,33138,15383,48517,7933,16981,24913,3526,2834,6357,1505,1144,2649,46098,36343,82437,19531,19560,39083,3.3,3.2,3.2,61,59.1,60.1,59,57.2,58.2,1230,1502,2729,557,1555,2121,5448,8944,14392,4658,6358,11018,19452,8066,27519,918,1386,2305,984,1488,2465,21348,10939,32289,64829,58259,123084,9603,8670,18275,47928,42673,90602,23289,21308,44601
SOS57,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
SOS59,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,19.5,26.5,28.8,27.5,21.1,23.5,22.1,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
