SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS50,18672,17173,35838,62096,58310,120412,14183,14097,28273,11790,11658,23452,88207,84225,172436,40209,37362,77573,14793,14574,29367,15414,15118,30535,70500,67148,137652,4769,4474,9247,3880,6507,10382,5942,3479,9419,6813,11730,18544,92,89,181,21494,26286,47776,22077,28276,50358,8885,11691,20578,3674,4604,8280,8700,14243,22936,103,126,223,43437,58933,102367,65054,85345,150395,3100,3369,6473,5204,8065,13265,100,92,196,8407,11530,19938,55039,45146,100184,305871,310569,616442
SOS51,3414,3280,6695,12477,11541,24014,2901,2817,5722,1786,1818,3605,17194,16203,33395,8834,8322,17157,2360,2525,4891,1588,1741,3330,12799,12606,25400,586,574,1160,350,740,1089,1395,909,2297,1313,2738,4052,34,17,42,3671,4976,8648,421,887,1304,366,947,1319,150,366,518,872,2203,3077,9,12,19,1821,4421,6241,5497,9408,14909,362,387,748,725,1216,1941,16,14,30,1104,1612,2720,19405,16041,35449,59418,59147,118563
SOS52,444,404,847,1891,1753,3648,335,317,651,195,204,398,2425,2279,4707,1131,1120,2250,180,199,378,183,227,408,1490,1546,3038,58,85,139,22,54,79,140,75,211,127,278,403,3,6,4,344,494,841,39,92,133,40,91,130,18,23,43,73,242,312,0,0,0,163,447,617,517,943,1455,53,49,102,57,122,172,10,9,15,116,176,296,3595,3190,6780,8589,8539,17126
SOS53,1033,999,2029,4128,3678,7802,1025,1002,2026,1028,916,1943,6187,5598,11780,2742,2565,5305,882,901,1789,1275,1267,2543,4897,4738,9640,224,186,414,72,162,235,549,253,794,305,762,1066,6,9,16,1159,1361,2522,402,658,1067,109,297,405,90,170,268,261,722,978,5,0,4,864,1850,2714,2023,3219,5244,136,138,275,202,369,570,6,4,6,342,509,851,14257,6812,21075,28735,21876,50614
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
SOS59,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
