SOS_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS50,34148,5293,39936,349223,119779,14559,483564,1078613,93700,1655875
SOS51,6145,1145,7350,61170,19498,3615,84282,190468,30533,305293
SOS52,919,204,1134,7698,3689,781,12167,30238,5808,48211
SOS53,1459,163,1649,22671,9678,1289,33636,84053,19374,137066
SOS57,0,0,0,40,5,3,45,248,221,516
SOS59,12,23,30,613,205,45,861,3063,3361,7285
