SOS_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOS50,168518,97229,108126,107514,87340,63454,36583,13771,3307,685849,16156,16418,20089,22225,24016,27259,26805,14636,4647,172250,888,1717,2727,3689,5434,8243,11422,8365,2977,45451,40,125,320,714,1663,3722,6425,6229,2703,21933,17081,18254,23130,26627,31111,39219,44654,29222,10327,239638,13576,9974,13693,13094,11827,8957,5474,3198,1742,81543,199184,125463,144955,147237,130284,111637,86701,46197,15377,1007026,163170,86548,106635,106781,86180,65151,40888,15173,4635,675166,11874,22167,27260,26759,27687,29744,28986,17847,7708,200031,769,3620,5654,6143,7854,10579,12764,9583,5007,61978,47,290,697,1396,2835,5191,7267,6689,4359,28754,12688,26076,33605,34301,38369,45519,49015,34117,17078,290765,12841,8811,10698,9610,8854,7374,5711,4057,2854,70807,188701,121434,150941,150691,133403,118041,95610,53346,24562,1036733,331693,183779,214763,214296,173514,128607,77472,28948,7944,1361012,28033,38585,47347,48986,51698,57006,55787,32480,12353,372279,1659,5334,8381,9835,13288,18825,24188,17943,7980,107429,77,419,1009,2105,4495,8913,13690,12915,7065,50693,29766,44333,56738,60927,69482,84736,93669,63339,27404,530400,26422,18779,24389,22707,20687,16328,11181,7254,4593,152348
SOS51,31947,15319,16988,17028,15307,11908,7176,2609,612,118899,3697,2842,3305,3924,4476,5650,5332,2845,854,32930,194,331,517,638,1176,1886,2442,1702,578,9466,11,24,89,152,378,985,1506,1307,530,4976,3909,3205,3908,4712,6035,8516,9287,5849,1960,47377,4930,2935,3800,3821,3579,2959,1747,935,339,25041,40782,21461,24698,25562,24926,23384,18206,9393,2912,191322,31080,13346,16662,16975,14561,11678,7231,2816,765,115116,2605,3626,4958,4991,5451,5803,5632,3333,1330,37722,178,650,1051,1310,1788,2338,2630,1825,936,12712,9,61,141,368,755,1338,1645,1320,847,6494,2799,4344,6152,6667,7998,9481,9906,6473,3110,56925,4570,2478,3053,2945,2648,2267,1650,990,566,21169,38455,20172,25862,26589,25204,23429,18788,10277,4441,193209,63026,28670,33647,34006,29871,23584,14404,5426,1374,234020,6305,6469,8262,8913,9928,11449,10962,6176,2179,70650,377,982,1568,1953,2970,4225,5076,3522,1511,22181,22,88,233,520,1139,2323,3151,2623,1382,11469,6705,7543,10058,11377,14032,17998,19193,12326,5074,104303,9499,5422,6853,6755,6229,5230,3395,1923,900,46211
SOS52,4452,2261,2309,2150,2253,2109,1381,494,123,17534,478,349,447,539,716,1058,1113,565,150,5408,24,46,63,111,194,381,523,317,94,1757,0,6,8,31,75,213,391,258,65,1047,507,396,515,682,981,1655,2024,1135,312,8210,862,402,514,514,626,636,441,236,63,4299,5816,3061,3338,3343,3862,4401,3853,1868,498,30040,4287,2067,2366,2199,2028,1926,1222,504,136,16737,316,458,585,664,808,1062,1015,567,192,5657,16,66,129,200,303,443,514,283,105,2059,0,6,27,62,137,283,342,217,101,1167,327,532,740,922,1251,1786,1864,1060,396,8880,868,389,461,438,449,505,380,252,101,3855,5480,2990,3567,3557,3733,4222,3469,1818,636,29473,8738,4330,4672,4344,4287,4039,2605,1000,257,34266,793,803,1031,1198,1518,2117,2126,1134,339,11065,42,111,189,313,501,829,1039,597,200,3812,0,11,34,91,211,495,733,465,166,2215,834,927,1253,1603,2233,3438,3894,2194,709,17091,1727,791,977,952,1079,1147,826,490,167,8146
SOS53,11108,6582,5895,6870,8149,7731,4640,1451,224,52664,1129,969,987,1396,2168,3141,3169,1351,255,14557,50,89,127,210,476,967,1294,719,154,4087,4,18,11,34,140,386,617,455,103,1774,1187,1077,1125,1641,2781,4486,5081,2525,514,20409,1539,1718,3039,2985,2806,2246,1326,530,104,16293,13828,9381,10059,11495,13733,14468,11045,4509,841,89366,10531,5059,4827,6079,7167,6792,3801,1131,180,45567,761,1094,1219,1658,2291,3083,2560,1121,286,14071,42,169,230,372,644,1023,1049,552,150,4245,0,14,28,68,230,424,552,357,115,1794,804,1274,1480,2095,3168,4532,4168,2031,548,20103,1422,937,1002,1135,1351,1340,952,404,74,8615,12755,7272,7309,9310,11683,12660,8919,3563,805,74281,21641,11648,10719,12958,15314,14526,8439,2580,412,98228,1884,2061,2208,3052,4463,6221,5730,2475,543,28629,99,262,356,580,1120,1982,2344,1272,309,8331,7,32,43,101,368,812,1169,815,217,3564,1988,2352,2608,3737,5949,9017,9252,4558,1064,40517,2959,2652,4040,4116,4157,3589,2279,937,177,24904
SOS57,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
SOS59,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
