SOS_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS50,2345,2173,4518,60305,57103,117406,2034,1884,3919,64683,61163,125841,2369,2142,4519,62883,60022,122904,2269,2221,4491,67523,64386,131907,2289,2242,4529,62465,58857,121326,2223,2058,4282,66977,63154,130133,2013,1914,3925,56686,54105,110791,1951,1871,3821,60648,57892,118535,1846,1771,3614,60016,59285,119301,2954,2483,5434,64814,63540,128352,1680,1717,3402,63807,65503,129311,4029,3297,7326,69516,70520,140036,1449,1471,2916,69445,75752,145195,4542,3207,7745,75433,80424,155860,1158,1196,2353,72830,76306,149137,4356,3087,7439,78342,80585,158927,936,971,1906,64110,66884,130996,3848,2247,6100,68897,70109,139005,916,975,1887,61335,64282,125619,3596,2285,5875,65843,67538,133387,796,960,1755,60191,62788,122975,3452,2120,5574,64439,65867,130302,695,799,1497,55164,58549,113713,3013,1968,4983,58880,61322,120199,511,605,1113,49856,54389,104244,2391,1735,4124,52759,56717,109480,797,1035,1832,141341,165560,306899,6141,6929,13074,148277,173521,321797,19792,19978,39768,940439,979372,1919812,46791,37389,84184,1007026,1036733,2043762
SOS51,1621,1427,3047,10221,9704,19923,957,833,1786,12798,11963,24762,1664,1516,3184,11271,10703,21967,1153,1109,2263,14094,13324,27419,1593,1633,3227,11190,10482,21675,1109,1049,2163,13889,13172,27057,1347,1336,2686,9318,8713,18029,907,770,1674,11569,10821,22391,1101,1048,2153,7866,7459,15321,923,837,1764,9891,9350,19240,994,1041,2033,9460,9959,19417,1261,1099,2364,11718,12095,23812,975,939,1914,10677,11651,22325,1329,1182,2508,12982,13771,26750,816,860,1677,11042,12024,23057,1351,1160,2510,13206,14043,27250,746,788,1534,10341,10808,21149,1267,952,2217,12351,12547,24899,679,764,1446,10564,10898,21460,1263,900,2166,12508,12566,25066,616,759,1381,10584,10971,21549,1227,911,2136,12423,12644,25059,591,659,1251,10279,10322,20596,1119,830,1951,11990,11806,23795,454,535,991,9960,10394,20352,980,692,1674,11394,11624,23018,692,928,1620,27727,30372,58099,2092,2200,4297,30511,33507,64017,13896,14237,28130,160490,164440,324932,16938,14530,31466,191322,193209,384526
SOS52,552,495,1044,1179,1092,2270,153,162,317,1882,1747,3630,577,541,1114,1257,1144,2400,178,198,377,2015,1881,3894,531,533,1068,1193,1139,2332,190,179,375,1920,1856,3774,534,527,1064,956,876,1831,119,122,245,1607,1531,3135,424,486,911,888,829,1722,142,145,282,1449,1461,2915,388,429,820,1049,1091,2137,177,159,335,1616,1680,3300,354,392,752,1170,1304,2468,198,192,389,1719,1891,3610,323,394,721,1195,1299,2499,208,177,384,1731,1872,3602,296,357,655,1130,1164,2298,179,166,349,1614,1680,3296,297,294,593,1268,1226,2498,219,161,378,1785,1686,3463,258,335,592,1538,1531,3071,274,192,468,2077,2053,4133,223,287,505,1671,1642,3320,254,204,457,2151,2125,4279,218,205,422,1784,1693,3475,252,199,445,2253,2092,4345,285,384,670,5347,4997,10347,588,535,1122,6218,5920,12142,5269,5662,10932,21630,21035,42665,3138,2774,5913,30040,29473,59508
SOS53,299,279,580,3171,2968,6135,264,240,504,3737,3484,7220,370,303,667,4079,3645,7729,406,362,775,4857,4311,9166,391,386,776,4428,4172,8601,416,402,820,5234,4961,10197,430,360,787,3905,3491,7397,401,342,744,4741,4187,8927,449,229,673,3470,2506,5977,725,343,1067,4644,3081,7726,462,215,680,3429,2726,6160,878,384,1260,4775,3324,8097,506,250,757,3893,3307,7194,889,428,1321,5286,3987,9269,432,229,660,4377,3901,8271,912,422,1335,5718,4545,10269,357,214,572,4547,4100,8649,868,452,1317,5773,4765,10534,333,200,527,5215,4837,10054,896,502,1395,6441,5535,11975,260,212,465,6037,5432,11469,1000,504,1511,7297,6149,13444,206,173,376,6341,5782,12125,889,526,1421,7438,6486,13924,176,153,325,6125,5562,11685,727,465,1197,7027,6176,13210,259,247,496,14741,11991,26736,1404,1059,2459,16403,13292,29694,4933,3431,8358,73755,64418,138173,10679,6441,17116,89366,74281,163652
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,7,3,6,0,0,0,9,5,15,13,5,15,25,11,31,0,0,0,26,8,32,22,3,21,49,7,54,0,0,0,28,5,32,22,0,22,48,5,54,4,0,5,44,4,45,40,3,39,85,10,92,0,0,0,46,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
SOS59,36,37,69,92,91,188,25,16,42,149,153,300,17,30,48,103,86,193,8,11,20,132,127,259,18,14,30,83,76,159,13,7,25,116,101,212,28,42,68,74,91,166,18,13,31,118,147,261,61,61,119,194,145,344,43,51,93,295,256,562,59,59,115,248,244,497,77,59,137,385,358,744,61,66,127,291,226,518,80,43,123,433,339,773,87,72,155,286,210,500,74,37,109,449,315,769,121,79,202,277,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
